,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,8.5134,0.0,1.9380000000000002,447.8595,2018-01-08,450.9482,"Jan 8, 18",437.8897,440.6167,532480,532480,447.1008
1,-2.1699,-0.004845046270091,-0.485,445.6896,2018-01-09,451.3099,"Jan 9, 18",443.7641,449.5114,397765,397765,446.3432
2,-12.687100000000001,-0.033173350124313,-2.847,433.0025,2018-01-10,443.5393,"Jan 10, 18",432.2793,442.7964,636317,636317,434.3221
3,-7.4383,-0.049781683764662,-1.718,425.5643,2018-01-11,442.0731,"Jan 11, 18",425.2222,433.0025,606450,606450,427.7623
4,0.5473629999999999,-0.048559648729121004,0.129,426.1116,2018-01-12,429.6157,"Jan 12, 18",418.6343,426.3267,1090700,1090700,422.5969
5,11.8758,-0.022042850492174002,2.787,437.9874,2018-01-16,442.3957,"Jan 16, 18",426.6395,426.9425,858147,858147,438.4994
6,-6.0601,-0.035573879754699,-1.384,431.9274,2018-01-17,442.2784,"Jan 17, 18",429.2492,438.7401,627534,627534,432.7955
7,-4.3496,-0.045285854157386,-1.007,427.5778,2018-01-18,434.889,"Jan 18, 18",426.962,430.168,807355,807355,430.4118
8,0.43007,-0.044325508334645006,0.101,428.0079,2018-01-19,432.0935,"Jan 19, 18",423.6974,428.8778,599208,599208,428.4375
9,-1.7985,-0.048341276672706004,-0.42,426.2094,2018-01-22,429.3665,"Jan 22, 18",423.5312,428.1154,702320,702320,426.0194
10,5.8157,-0.035355730982596,1.365,432.0251,2018-01-23,436.1401,"Jan 23, 18",424.7628,426.3462,797560,797560,431.5763
11,-0.684203,-0.036883442240256005,-0.158,431.3409,2018-01-24,435.6709,"Jan 24, 18",428.9462,432.7875,612170,612170,431.3563
12,-2.0819,-0.041531998316436,-0.483,429.259,2018-01-25,434.7424,"Jan 25, 18",423.2282,431.4973,928983,928983,429.9485
13,2.3654,-0.036250431217826,0.551,431.6244,2018-01-26,432.6898,"Jan 26, 18",422.2606,425.1831,1228671,1228671,428.6336
14,-6.2849,-0.050283626896381,-1.456,425.3395,2018-01-29,439.7468,"Jan 29, 18",424.665,436.8927,630796,630796,429.2512
15,4.3007,-0.040680838521902005,1.011,429.6402,2018-01-30,431.8687,"Jan 30, 18",420.2959,420.2959,700169,700169,429.2521
16,15.2773,-0.006569247721662,3.556,444.9174,2018-01-31,448.2896,"Jan 31, 18",430.168,432.465,739486,739486,443.5181
17,-10.4097,-0.029812251386874003,-2.34,434.5078,2018-02-01,447.5272,"Feb 1, 18",433.7405,442.4739,568588,568588,438.4157
18,-7.0277,-0.04550400292949,-1.617,427.4801,2018-02-02,436.189,"Feb 2, 18",425.6914,432.0251,533040,533040,430.1705
19,-7.3698,-0.06195983338524601,-1.724,420.1102,2018-02-05,431.8687,"Feb 5, 18",417.3636,427.1184,581212,581212,424.7133
20,1.0165,-0.059690148361260006,0.242,421.1267,2018-02-06,424.2448,"Feb 6, 18",411.6994,417.6666,726065,726065,418.3335
21,-4.6624,-0.07010033280526501,-1.107,416.4644,2018-02-07,428.1643,"Feb 7, 18",416.1907,420.2959,424157,424157,421.1567
22,-15.7367,-0.10523791501575801,-3.779,400.7277,2018-02-08,420.2959,"Feb 8, 18",400.6886,417.9208,964946,964946,408.5899
23,15.4728,-0.070689580102688,3.8609999999999998,416.2005,2018-02-09,420.3057,"Feb 9, 18",400.239,402.7021,1045458,1045458,409.6886
24,5.5127,-0.058380585875704,1.325,421.7132,2018-02-12,428.2815,"Feb 12, 18",406.7683,418.9373,876972,876972,416.4125
25,4.6917,-0.047904755844187005,1.113,426.4049,2018-02-13,427.9492,"Feb 13, 18",416.396,421.9478,910283,910283,424.4764
26,-0.41052099999999997,-0.048821337941921006,-0.096,425.9944,2018-02-14,427.0207,"Feb 14, 18",419.2501,424.4989,879382,879382,423.7319
27,-27.8764,-0.11106496568678301,-6.5440000000000005,398.118,2018-02-15,410.5216,"Feb 15, 18",391.9504,408.8306,2817438,2817438,397.8887
28,-3.9195,-0.11981659426672801,-0.985,394.1985,2018-02-16,399.4546,"Feb 16, 18",387.3467,396.1436,1317029,1317029,392.8819
29,-6.7052,-0.13478825390552102,-1.701,387.4933,2018-02-20,396.7984,"Feb 20, 18",387.1805,391.706,794624,794624,390.4887
30,-11.26,-0.159930067353712,-2.906,376.2333,2018-02-21,387.1023,"Feb 21, 18",375.9107,386.0956,1194242,1194242,378.543
31,5.4052,-0.14786110376133502,1.437,381.6385,2018-02-22,384.6587,"Feb 22, 18",375.5491,380.0746,858697,858697,380.8509
32,6.5576,-0.133219011765966,1.718,388.1961,2018-02-23,395.7234,"Feb 23, 18",383.5752,383.5752,1033895,1033895,390.7324
33,-0.648895,-0.13466790366175102,-0.167,387.5472,2018-02-26,390.7327,"Feb 26, 18",384.46,390.0051,453346,453346,387.0825
34,-2.92,-0.14118780555062402,-0.753,384.6272,2018-02-27,389.9756,"Feb 27, 18",382.9066,388.2256,513744,513744,385.2048
35,0.8750249999999999,-0.139234067827075,0.227,385.5022,2018-02-28,391.7453,"Feb 28, 18",384.696,389.9068,603801,603801,387.8083
36,-5.7122,-0.151988737539339,-1.482,379.7899,2018-03-01,388.0388,"Mar 1, 18",378.9936,386.3969,549060,549060,382.2192
37,-4.3948,-0.161801413166406,-1.157,375.3952,2018-03-02,380.5077,"Mar 2, 18",368.6014,379.1705,808043,808043,372.8573
38,6.5774,-0.147115110877406,1.752,381.9726,2018-03-05,384.4207,"Mar 5, 18",364.5508,364.5508,426608,426608,381.0159
39,3.0577,-0.14028774649192402,0.8,385.0303,2018-03-06,388.373,"Mar 6, 18",380.4438,381.3729,432578,432578,385.0374
40,-0.23596199999999998,-0.14081469746650402,-0.061,384.7943,2018-03-07,387.5275,"Mar 7, 18",383.2212,383.585,649384,649384,384.7847
41,-1.927,-0.145117386144538,-0.501,382.8673,2018-03-08,386.446,"Mar 8, 18",380.8518,386.446,549102,549102,382.7718
42,5.6434,-0.132516559322734,1.474,388.5107,2018-03-09,388.727,"Mar 9, 18",382.3123,384.7156,456767,456767,385.8426
43,0.186802,-0.132099464229295,0.048,388.6975,2018-03-12,393.1611,"Mar 12, 18",388.2354,390.8015,1087177,1087177,389.7589
44,9.9006,-0.10999297770841,2.547,398.5981,2018-03-13,399.129,"Mar 13, 18",390.654,390.7032,801653,801653,394.4946
45,8.1505,-0.09179418991893601,2.045,406.7486,2018-03-14,409.4277,"Mar 14, 18",397.3494,398.0868,909132,909132,406.2081
46,1.4944,-0.088457429171425,0.367,408.243,2018-03-15,408.6854,"Mar 15, 18",403.8089,405.6376,707245,707245,406.6881
47,4.5816,-0.078227435166609,1.1219999999999999,412.8246,2018-03-16,413.9159,"Mar 16, 18",406.7879,410.3076,1072919,1072919,411.3895
48,-8.0424,-0.09618485261560801,-1.948,404.7822,2018-03-19,411.1335,"Mar 19, 18",402.2358,408.3511,945328,945328,404.5319
49,3.4903,-0.088391560299602,0.862,408.2725,2018-03-20,408.9607,"Mar 20, 18",404.3988,404.3988,424151,424151,406.9583
50,-3.3625,-0.09589949526581401,-0.8240000000000001,404.91,2018-03-21,408.9804,"Mar 21, 18",400.8299,408.7444,618796,618796,405.7803
51,5.6434,-0.083298668444009,1.3940000000000001,410.5534,2018-03-22,413.7684,"Mar 22, 18",400.9577,403.9465,1023816,1023816,410.5617
52,-15.6325,-0.11820336511785501,-3.808,394.921,2018-03-23,412.0576,"Mar 23, 18",394.2524,410.7107,852267,852267,399.8216
53,7.7966,-0.10079500379025101,1.974,402.7175,2018-03-26,403.3664,"Mar 26, 18",397.5657,399.011,450441,450441,400.9001
54,0.265457,-0.10020218394384801,0.066,402.983,2018-03-27,410.229,"Mar 27, 18",397.202,403.8482,517134,517134,405.1271
55,7.0199,-0.084527848577511,1.742,410.0029,2018-03-28,411.399,"Mar 28, 18",404.035,404.4774,590493,590493,408.4438
56,1.1012,-0.082069265026196,0.269,411.104,2018-03-29,414.496,"Mar 29, 18",407.8202,413.0212,628824,628824,411.4418
57,-9.4286,-0.10312184959792,-2.293,401.6754,2018-04-02,412.7459,"Apr 2, 18",396.907,412.0675,627355,627355,402.0887
58,0.049158,-0.10301221700109,0.012,401.7245,2018-04-03,405.4901,"Apr 3, 18",398.1655,402.226,467491,467491,400.5213
59,3.333,-0.09557015090670101,0.8300000000000001,405.0575,2018-04-04,406.2275,"Apr 4, 18",397.3789,399.3551,497914,497914,402.1941
60,1.5731000000000002,-0.09205766540622601,0.388,406.6306,2018-04-05,407.6314,"Apr 5, 18",402.1276,405.6671,386004,386004,405.3955
61,-6.4398,-0.10643672848292801,-1.584,400.1908,2018-04-06,409.2262,"Apr 6, 18",397.6345,404.9199,518876,518876,401.266
62,2.4874,-0.10088275452457701,0.622,402.6782,2018-04-09,410.8435,"Apr 9, 18",401.1838,403.1895,535653,535653,405.9838
63,-3.9130000000000003,-0.10961986962429,-0.972,398.7652,2018-04-10,408.1938,"Apr 10, 18",395.8943,405.4016,607414,607414,399.3183
64,3.333,-0.10217802681421301,0.836,402.0981,2018-04-11,404.9395,"Apr 11, 18",394.9013,396.4547,465630,465630,402.063
65,-7.6491,-0.119257043782704,-1.9020000000000001,394.4491,2018-04-12,403.6909,"Apr 12, 18",393.9919,403.3566,358743,358743,396.2843
66,0.24579299999999998,-0.11870821094562001,0.062,394.6949,2018-04-13,398.0868,"Apr 13, 18",393.1906,395.2749,345843,345843,395.348
67,4.0015,-0.109773489230439,1.014,398.6964,2018-04-16,399.7877,"Apr 16, 18",394.2623,398.1458,396676,396676,397.851
68,4.1687,-0.10046565943113801,1.046,402.865,2018-04-17,406.3651,"Apr 17, 18",396.2974,399.2174,579242,579242,402.5923
69,4.3456,-0.09076261640090201,1.079,407.2106,2018-04-18,408.0168,"Apr 18, 18",402.2849,404.6052,483379,483379,405.9694
70,-4.7291,-0.10132173148052001,-1.161,402.4816,2018-04-19,405.5786,"Apr 19, 18",399.1683,405.5786,382344,382344,401.4975
71,-3.2543,-0.108588072821945,-0.809,399.2273,2018-04-20,407.309,"Apr 20, 18",398.2933,404.2808,411177,411177,401.7608
72,1.4944,-0.10525131207443401,0.374,400.7217,2018-04-23,401.9605,"Apr 23, 18",398.3129,399.768,568473,568473,400.6875
73,1.9172,-0.10097050525890301,0.47800000000000004,402.6389,2018-04-24,403.8089,"Apr 24, 18",400.4759,402.1178,615949,615949,402.11
74,0.668557,-0.099477849638112,0.166,403.3074,2018-04-25,404.4578,"Apr 25, 18",399.3354,401.7147,460362,460362,402.735
75,5.7712,-0.08659144218220201,1.431,409.0787,2018-04-26,411.4875,"Apr 26, 18",403.0469,406.021,364749,364749,408.8685
76,4.9847,-0.07546138911868501,1.219,414.0634,2018-04-27,415.0859,"Apr 27, 18",408.0168,409.2556,485837,485837,413.5092
77,-0.353942,-0.07625181558055501,-0.085,413.7094,2018-04-30,416.2755,"Apr 30, 18",411.9987,415.3612,538460,538460,413.8602
78,2.2023,-0.071334425193615,0.532,415.9117,2018-05-01,417.7208,"May 1, 18",410.8582,413.7094,450184,450184,414.7672
