,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-1.1726,0.0,-0.505,230.807,2018-01-08,231.6696,"Jan 8, 18",228.1323,229.615,543780,543780,230.5836
1,-1.8316,-0.007935634534481,-0.794,228.9754,2018-01-09,231.8149,"Jan 9, 18",228.3552,230.8167,403626,403626,229.7476
2,-3.925,-0.024941184626116,-1.714,225.0504,2018-01-10,227.9433,"Jan 10, 18",223.839,227.7446,389384,389384,225.1809
3,0.21320799999999998,-0.024017469140883003,0.095,225.2636,2018-01-11,227.0274,"Jan 11, 18",224.3333,225.5253,359047,359047,225.2572
4,-5.1751,-0.046439232778901,-2.297,220.0885,2018-01-12,225.5641,"Jan 12, 18",219.6912,225.0698,435730,435730,220.8777
5,0.484562,-0.044339643078416,0.22,220.5731,2018-01-16,225.4768,"Jan 16, 18",219.9141,220.4762,379091,379091,222.2513
6,-0.232591,-0.045347411473655,-0.105,220.3405,2018-01-17,222.2594,"Jan 17, 18",219.1581,222.0849,421024,421024,220.4116
7,-2.6748000000000003,-0.056936314756484,-1.214,217.6657,2018-01-18,219.4198,"Jan 18, 18",216.7547,219.4198,478753,478753,217.5286
8,-0.940052,-0.061009414792445,-0.432,216.7256,2018-01-19,218.4507,"Jan 19, 18",215.9019,217.0164,331504,331504,216.7554
9,2.8783000000000003,-0.048538822479387005,1.328,219.6039,2018-01-22,220.0449,"Jan 22, 18",216.6578,217.2199,463182,463182,219.2958
10,5.0685,-0.026578483321562003,2.308,224.6725,2018-01-23,224.9244,"Jan 23, 18",220.3502,220.3502,433522,433522,223.1931
11,-0.271357,-0.027754357536816,-0.121,224.4011,2018-01-24,226.1552,"Jan 24, 18",223.3932,224.2654,271118,271118,224.605
12,-0.28104599999999996,-0.02897182494465,-0.125,224.1201,2018-01-25,224.7403,"Jan 25, 18",221.4453,224.1782,317443,317443,223.2063
13,-1.3859,-0.034976408861083004,-0.618,222.7342,2018-01-26,224.3294,"Jan 26, 18",219.8995,224.3236,272712,272712,221.9455
14,-2.0255,-0.043752139233212,-0.909,220.7087,2018-01-29,222.6567,"Jan 29, 18",219.478,222.2497,248329,248329,220.8323
15,-0.9594349999999999,-0.047908858916757,-0.435,219.7493,2018-01-30,221.6294,"Jan 30, 18",219.2551,220.2436,283746,283746,220.187
16,6.0377,-0.021749773620384,2.748,225.787,2018-01-31,226.068,"Jan 31, 18",218.7414,219.381,898434,898434,224.2057
17,-5.6306,-0.04614548085629901,-2.4939999999999998,220.1563,2018-02-01,226.5962,"Feb 1, 18",220.0885,225.8354,520415,520415,222.0685
