,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.0787,0.0,0.857,126.8831,2018-01-08,126.9524,"Jan 8, 18",124.7949,125.2502,1760509,1760509,126.0074
1,-0.9203739999999999,-0.007253921128976001,-0.725,125.9627,2018-01-09,127.5461,"Jan 9, 18",125.7648,127.1008,1283389,1283389,126.2522
2,-0.098966,-0.008034166882744,-0.079,125.8637,2018-01-10,126.8039,"Jan 10, 18",125.072,126.8039,1234133,1234133,125.9163
3,2.2069,0.009359796537127001,1.7530000000000001,128.0707,2018-01-11,129.8718,"Jan 11, 18",127.0117,128.6644,2483382,2483382,128.3952
4,2.9195,0.032368376876037004,2.2800000000000002,130.9901,2018-01-12,131.4147,"Jan 12, 18",127.5362,128.991,2245457,2245457,130.0871
5,-1.7418,0.018640780371854,-1.33,129.2483,2018-01-16,132.2965,"Jan 16, 18",128.5557,131.4454,3182351,3182351,130.0386
6,0.039587,0.018952878673361002,0.031,129.2879,2018-01-17,130.4557,"Jan 17, 18",127.9123,130.4557,1885220,1885220,128.9521
7,-3.7112,-0.010296091441649,-2.87,125.5767,2018-01-18,129.0653,"Jan 18, 18",125.4382,128.9613,2824603,2824603,126.3833
8,-0.613584,-0.015131250733943,-0.489,124.9632,2018-01-19,126.8336,"Jan 19, 18",123.3104,126.1111,2319076,2319076,124.3897
9,1.9001000000000001,-0.00015604915075300002,1.521,126.8633,2018-01-22,126.9264,"Jan 22, 18",124.0923,125.2106,1509715,1509715,126.1871
10,0.732341,0.005615405046062,0.577,127.5956,2018-01-23,127.7342,"Jan 23, 18",126.2398,126.8633,1489885,1489885,127.1865
11,1.4845000000000002,0.017315150717471,1.163,129.0801,2018-01-24,130.337,"Jan 24, 18",128.1003,129.0207,1701225,1701225,129.2149
12,0.6729609999999999,0.022619245589050003,0.521,129.7531,2018-01-25,130.8615,"Jan 25, 18",129.0999,130.3963,1407463,1407463,129.8947
13,0.643274,0.027688478607474,0.496,130.3963,2018-01-26,130.9307,"Jan 26, 18",129.5057,130.5349,1538668,1538668,130.3931
14,-1.3459,0.01708107699134,-1.032,129.0504,2018-01-29,130.3864,"Jan 29, 18",128.0404,130.238,1296683,1296683,129.3768
15,-1.4944,0.005303306744554001,-1.158,127.556,2018-01-30,128.991,"Jan 30, 18",126.6555,128.6545,1437746,1437746,127.7196
16,-0.8708929999999999,-0.001560491507537,-0.683,126.6851,2018-01-31,128.2785,"Jan 31, 18",125.7549,127.8331,1334174,1334174,126.8245
17,1.0886,0.0070198474028450005,0.859,127.7738,2018-02-01,129.2879,"Feb 1, 18",125.933,125.933,2196097,2196097,128.2102
18,-2.4444,-0.012245917699047001,-1.913,125.3293,2018-02-02,127.5066,"Feb 2, 18",124.6663,127.0216,1909019,1909019,125.4718
19,-1.5735000000000001,-0.024647096421824003,-1.256,123.7558,2018-02-05,126.9128,"Feb 5, 18",123.2214,124.0329,3227631,3227631,125.0718
20,2.2069,-0.007253921128976001,1.783,125.9627,2018-02-06,126.893,"Feb 6, 18",121.8754,122.0932,3570871,3570871,125.4536
21,2.0288,0.008735599934112001,1.611,127.9915,2018-02-07,131.0703,"Feb 7, 18",125.2205,125.8143,3157948,3157948,128.6045
22,-6.2348,-0.040402543758782,-4.871,121.7567,2018-02-08,129.5749,"Feb 8, 18",121.0392,127.7936,4892256,4892256,125.3023
23,-18.833,-0.188831294317367,-15.468,102.9236,2018-02-09,106.8723,"Feb 9, 18",97.5004,103.9133,17183644,17183644,102.2354
24,-1.1678,-0.19803425357671703,-1.135,101.7559,2018-02-12,104.6357,"Feb 12, 18",99.3411,103.0919,4820580,4820580,101.3945
25,-1.049,-0.20630249418559202,-1.031,100.7068,2018-02-13,101.8548,"Feb 13, 18",99.1531,101.0136,2958075,2958075,100.576
26,-1.6428,-0.21924984493600802,-1.631,99.064,2018-02-14,100.0537,"Feb 14, 18",98.0546,99.6479,4011129,4011129,98.9896
27,2.108,-0.20263612726990402,2.128,101.172,2018-02-15,101.9042,"Feb 15, 18",98.0447,100.4297,3931760,3931760,100.7835
