,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.187187,0.0,-0.265,70.3728,2018-01-08,70.6486,"Jan 8, 18",69.89,70.5009,1084682,1084682,70.2427
1,-1.0936,-0.015540095036718,-1.554,69.2792,2018-01-09,70.6683,"Jan 9, 18",69.23,70.2644,902911,902911,69.6341
2,-1.2216,-0.032899074642475004,-1.763,68.0576,2018-01-10,69.161,"Jan 10, 18",67.9393,69.0625,1197058,1197058,68.1543
3,0.689639,-0.023099834026782003,1.013,68.7472,2018-01-11,68.7472,"Jan 11, 18",67.5256,68.3334,672675,672675,68.2517
4,0.8275669999999999,-0.011339608485096,1.204,69.5748,2018-01-12,69.5846,"Jan 12, 18",68.4911,69.0231,921814,921814,69.2879
5,-0.216742,-0.014420344223904001,-0.312,69.358,2018-01-16,69.9984,"Jan 16, 18",69.0428,69.8999,1561202,1561202,69.5174
6,1.3891,0.005320237364436001,2.003,70.7472,2018-01-17,70.9639,"Jan 17, 18",69.762,69.8703,1387501,1387501,70.5949
7,0.807863,0.016799104199349,1.142,71.555,2018-01-18,71.5649,"Jan 18, 18",70.2349,70.6881,1293033,1293033,71.3635
8,0.009851,0.016939783552736003,0.014,71.5649,2018-01-19,71.8604,"Jan 19, 18",71.2693,71.7324,915597,915597,71.5125
9,0.197041,0.019739160584771,0.275,71.7619,2018-01-22,71.7816,"Jan 22, 18",71.2595,71.6733,635814,635814,71.6234
10,-0.334968,0.014980219630311,-0.467,71.427,2018-01-23,72.0279,"Jan 23, 18",71.0624,71.5058,897286,897286,71.512
11,0.620675,0.023798967783007,0.869,72.0476,2018-01-24,72.5304,"Jan 24, 18",71.4959,71.5944,1038420,1038420,72.084
12,-0.6403789999999999,0.014698860923538,-0.889,71.4072,2018-01-25,72.2939,"Jan 25, 18",71.1609,72.2939,847408,847408,71.4984
13,0.581267,0.022959154673396,0.8140000000000001,71.9885,2018-01-26,72.0181,"Jan 26, 18",71.2496,71.5747,530972,530972,71.7458
14,-1.4482,0.002380180979014,-2.012,70.5403,2018-01-29,71.5747,"Jan 29, 18",70.5009,71.5255,1193001,1193001,70.8621
15,-0.768455,-0.008540231453061,-1.089,69.7718,2018-01-30,70.0871,"Jan 30, 18",69.3383,69.9689,1051984,1051984,69.8119
16,0.108371,-0.006999863583657001,0.155,69.8802,2018-01-31,70.56,"Jan 31, 18",69.7718,70.0674,1261253,1261253,70.0213
17,-1.0936,-0.022539958620375,-1.565,68.7866,2018-02-01,69.9689,"Feb 1, 18",68.7275,69.7423,1728394,1728394,69.2238
18,-4.8472,-0.09141884364413501,-7.047,63.9394,2018-02-02,66.8359,"Feb 2, 18",63.3385,63.3385,4064665,4064665,65.3684
19,-1.8916,-0.11829712616238001,-2.958,62.0479,2018-02-05,64.5847,"Feb 5, 18",62.0479,63.6242,3063710,3063710,63.3786
20,1.1625,-0.10177795966623401,1.874,63.2104,2018-02-06,63.4764,"Feb 6, 18",60.107,61.0134,2912828,2912828,62.4941
21,-0.748752,-0.11241843439510701,-1.185,62.4616,2018-02-07,63.9099,"Feb 7, 18",62.3434,63.0725,3292289,3292289,62.8709
22,-0.9457900000000001,-0.12585828615601402,-1.514,61.5158,2018-02-08,63.6439,"Feb 8, 18",61.506,62.5405,3572888,3572888,62.453
23,-0.719196,-0.13607672282472702,-1.169,60.7967,2018-02-09,62.5799,"Feb 9, 18",60.1858,61.8213,3588374,3588374,61.1502
24,1.4187,-0.115918366186935,2.333,62.2153,2018-02-12,62.7473,"Feb 12, 18",61.0922,61.5553,3198096,3198096,61.9809
25,-0.068964,-0.11689743764636301,-0.111,62.1464,2018-02-13,62.3336,"Feb 13, 18",61.6932,62.0971,1314167,1314167,62.0744
26,0.078817,-0.11577768683354901,0.127,62.2252,2018-02-14,62.373,"Feb 14, 18",61.5454,61.6045,1631419,1631419,62.04
27,-0.24630000000000002,-0.11927761862537702,-0.396,61.9789,2018-02-15,62.8754,"Feb 15, 18",61.5356,62.7572,2158885,2158885,61.8964
28,0.89653,-0.10653832162426301,1.447,62.8754,2018-02-16,63.3385,"Feb 16, 18",61.7621,61.7621,3327072,3327072,62.852
29,0.009852,-0.106397642270877,0.016,62.8853,2018-02-20,63.4862,"Feb 20, 18",62.6094,62.836,1879733,1879733,62.8956
30,-0.344819,-0.11129726257872301,-0.548,62.5405,2018-02-21,63.772,"Feb 21, 18",62.5109,62.9739,1842413,1842413,63.1102
31,-0.019740999999999998,-0.111578621285496,-0.032,62.5207,2018-02-22,63.4201,"Feb 22, 18",62.4713,62.8963,1661186,1661186,62.8767
32,0.256961,-0.10792664211172401,0.41100000000000003,62.7777,2018-02-23,62.8073,"Feb 23, 18",62.3824,62.7777,1797496,1797496,62.6437
33,-0.009883,-0.10806732146511101,-0.016,62.7678,2018-02-26,63.1829,"Feb 26, 18",62.3725,63.173,1311866,1311866,62.722
34,-0.9784300000000001,-0.12197042038969501,-1.5590000000000002,61.7894,2018-02-27,63.2619,"Feb 27, 18",61.7597,62.9556,1431308,1431308,62.1434
35,-1.8383,-0.148092729008935,-2.975,59.9511,2018-02-28,62.1452,"Feb 28, 18",59.9412,62.1452,2097357,2097357,60.7104
36,-0.751119,-0.15876588681990703,-1.2530000000000001,59.2,2018-03-01,60.2822,"Mar 1, 18",58.7355,59.9709,2307070,2307070,59.5686
37,0.10871499999999999,-0.15722125593979402,0.184,59.3087,2018-03-02,59.5261,"Mar 2, 18",58.419200000000004,58.9035,2014718,2014718,59.1306
38,1.0773,-0.141912784484914,1.816,60.386,2018-03-05,60.6923,"Mar 5, 18",58.6861,59.0122,2378398,2378398,60.1556
39,1.1168,-0.126043016620057,1.849,61.5028,2018-03-06,61.5423,"Mar 6, 18",60.3069,60.5639,1614643,1614643,61.1468
40,-0.43485799999999997,-0.132222961144078,-0.707,61.0679,2018-03-07,61.4336,"Mar 7, 18",60.633,60.8406,1025091,1025091,61.0423
41,0.177896,-0.129694995793829,0.291,61.2458,2018-03-08,61.5324,"Mar 8, 18",60.9888,61.3842,1407656,1407656,61.2252
42,1.5319,-0.10792664211172401,2.501,62.7777,2018-03-09,62.8073,"Mar 9, 18",61.1568,61.7202,1236366,1236366,62.3024
43,-0.7511169999999999,-0.11859979992269701,-1.196,62.0266,2018-03-12,62.9457,"Mar 12, 18",61.7004,62.9457,1829745,1829745,62.1359
44,-0.18778,-0.121268444626332,-0.303,61.8388,2018-03-13,62.837,"Mar 13, 18",61.7696,62.4614,729955,729955,62.1629
45,-0.859833,-0.133487654320987,-1.3900000000000001,60.9789,2018-03-14,62.2736,"Mar 14, 18",60.5737,62.0266,1463257,1463257,61.0926
46,-0.039533,-0.134048950730964,-0.065,60.9394,2018-03-15,61.5719,"Mar 15, 18",60.8603,61.1568,1458482,1458482,61.1578
