,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,2.7117,0.0,1.03,265.8832,2018-01-08,267.3775,"Jan 8, 18",264.1314,266.1207,1955961,1955961,265.5493
1,-0.9005949999999999,-0.003387201598295,-0.339,264.9826,2018-01-09,268.198,"Jan 9, 18",264.2403,267.2093,1648259,1648259,265.584
2,0.257312,-0.002419483442353,0.097,265.2399,2018-01-10,265.9425,"Jan 10, 18",260.8952,262.5579,1644391,1644391,263.9905
3,3.1471,0.009416916901857001,1.187,268.387,2018-01-11,268.3969,"Jan 11, 18",264.8588,265.7248,1652140,1652140,266.9205
4,0.6531779999999999,0.011873634738862,0.243,269.0402,2018-01-12,269.0896,"Jan 12, 18",266.7738,268.4464,1342885,1342885,268.1752
5,-2.2465,0.00342405988795,-0.835,266.7936,2018-01-16,270.3366,"Jan 16, 18",264.4481,269.4558,1668575,1668575,268.0768
6,1.8903,0.010533572636405001,0.709,268.6839,2018-01-17,269.0897,"Jan 17, 18",265.2795,267.8427,1378092,1378092,267.575
7,0.682869,0.013101993657365,0.254,269.3668,2018-01-18,271.8211,"Jan 18, 18",267.8526,269.4558,1903072,1903072,269.2593
8,2.1179,0.021067521377807003,0.786,271.4847,2018-01-19,271.544,"Jan 19, 18",267.0312,269.9606,1420389,1420389,269.9629
9,-0.42555699999999996,0.019466818512790002,-0.157,271.0591,2018-01-22,271.2659,"Jan 22, 18",268.4991,270.2278,1006320,1006320,270.4029
10,-1.8507,0.012506243342941,-0.683,269.2084,2018-01-23,271.1185,"Jan 23, 18",268.5157,271.1185,1182783,1182783,269.322
11,-1.5934,0.006513762434031001,-0.592,267.6151,2018-01-24,270.0595,"Jan 24, 18",266.0415,269.6241,1421651,1421651,268.0951
12,-2.3455,-0.0023077802583990003,-0.876,265.2696,2018-01-25,268.2979,"Jan 25, 18",264.0127,268.2979,1603518,1603518,265.4398
13,0.8016289999999999,0.000707077393381,0.302,266.0712,2018-01-26,266.2196,"Jan 26, 18",262.9438,265.7347,1522166,1522166,264.7742
14,-1.148,-0.003610607966204,-0.431,264.9232,2018-01-29,267.7536,"Jan 29, 18",264.5075,264.7351,1153346,1153346,265.6837
15,-6.1656,-0.026799737629154004,-2.327,258.7576,2018-01-30,264.082,"Jan 30, 18",256.8277,263.7851,2455420,2455420,259.277
16,1.0095,-0.023003333794688,0.39,259.767,2018-01-31,264.4085,"Jan 31, 18",258.9555,260.9744,1764603,1764603,260.6797
17,-0.643284,-0.025422817237042,-0.248,259.1237,2018-02-01,262.9241,"Feb 1, 18",254.6703,255.4818,2318110,2318110,259.718
18,-5.8984000000000005,-0.047606994349398,-2.276,253.2253,2018-02-02,258.5398,"Feb 2, 18",253.0769,257.8867,1655040,1655040,255.2149
19,-7.2938,-0.07503934058263101,-2.88,245.9315,2018-02-05,256.4517,"Feb 5, 18",245.793,249.8704,2315389,2315389,250.3617
20,1.6626,-0.06878584280616401,0.676,247.5942,2018-02-06,251.4934,"Feb 6, 18",240.0034,241.9135,3366219,3366219,246.4211
21,0.9599749999999999,-0.06517561094495601,0.388,248.5541,2018-02-07,251.8398,"Feb 7, 18",245.9414,246.3868,1520067,1520067,249.6973
22,-11.7572,-0.10939502759106201,-4.73,236.7969,2018-02-08,249.049,"Feb 8, 18",236.6683,249.049,2735396,2735396,241.8164
23,-3.9092000000000002,-0.12409734800844802,-1.651,232.8878,2018-02-09,236.5296,"Feb 9, 18",223.862,233.2638,5153335,5153335,231.1677
24,4.5624,-0.106938309754057,1.959,237.4501,2018-02-12,238.8802,"Feb 12, 18",232.9669,234.3623,2667200,2667200,236.3362
25,0.385968,-0.10548654446764501,0.163,237.8361,2018-02-13,239.0336,"Feb 13, 18",234.2733,236.2724,1537662,1537662,237.2252
26,0.49483299999999997,-0.10362557694506401,0.20800000000000002,238.3309,2018-02-14,239.8253,"Feb 14, 18",236.3813,237.272,1817122,1817122,238.1628
27,4.1665,-0.08795516226673901,1.748,242.4974,2018-02-15,242.5964,"Feb 15, 18",236.2031,239.4195,1707730,1707730,239.6035
28,-0.8313189999999999,-0.091081723102475,-0.343,241.6661,2018-02-16,245.1596,"Feb 16, 18",240.0925,241.478,1476758,1476758,242.3362
29,-3.1768,-0.10303020273563701,-1.315,238.4892,2018-02-20,241.7749,"Feb 20, 18",237.7668,240.8447,1125377,1125377,239.3424
30,2.296,-0.094394455911467,0.963,240.7853,2018-02-21,245.1893,"Feb 21, 18",238.509,238.509,1281339,1281339,242.1431
31,2.108,-0.086466162585676,0.875,242.8933,2018-02-22,245.6247,"Feb 22, 18",241.5275,241.6265,1383457,1383457,243.4117
32,6.7198,-0.061192659032236,2.767,249.6131,2018-02-23,249.6329,"Feb 23, 18",244.9419,245.6544,1806885,1806885,247.8251
33,2.2663,-0.052668991497018,0.908,251.8794,2018-02-26,252.5128,"Feb 26, 18",247.416,250.385,1534266,1534266,250.5946
34,-5.7104,-0.074146091215992,-2.267,246.169,2018-02-27,253.2748,"Feb 27, 18",246.0404,251.9982,1393714,1393714,248.7374
35,-2.3059,-0.082818696329816,-0.937,243.8631,2018-02-28,248.9995,"Feb 28, 18",243.7147,246.9806,1739389,1739389,245.6334
36,-2.682,-0.092905832335401,-1.1,241.1811,2018-03-01,247.8812,"Mar 1, 18",239.9836,243.8037,1967791,1967791,243.1625
37,-2.3653,-0.101801843817134,-0.981,238.8158,2018-03-02,240.3102,"Mar 2, 18",235.5401,239.083,1729861,1729861,238.2917
38,0.6234879999999999,-0.099456829164084,0.261,239.4393,2018-03-05,240.5972,"Mar 5, 18",234.7434,236.9256,1064196,1064196,238.6555
39,1.0886,-0.09536217406741,0.455,240.528,2018-03-06,242.0916,"Mar 6, 18",239.083,241.0525,1434938,1434938,240.5131
40,-1.3459,-0.10042454732002601,-0.56,239.182,2018-03-07,240.8941,"Mar 7, 18",237.0245,237.5194,1648170,1648170,238.7783
41,-1.1975,-0.10492840465287001,-0.501,237.9845,2018-03-08,239.5086,"Mar 8, 18",233.7389,239.4987,1837494,1837494,236.5319
42,7.0908,-0.07825955156249001,2.98,245.0753,2018-03-09,245.343,"Mar 9, 18",238.9464,240.4241,1644863,1644863,243.2165
43,-0.575202,-0.080422907502241,-0.23500000000000001,244.5001,2018-03-12,246.4439,"Mar 12, 18",243.6175,245.0356,1277097,1277097,244.9326
44,4.195,-0.064645302899919,1.716,248.6951,2018-03-13,250.6488,"Mar 13, 18",244.7381,245.5315,1950408,1950408,248.3084
45,-3.8281,-0.07904297827015701,-1.5390000000000001,244.867,2018-03-14,250.4108,"Mar 14, 18",244.5298,250.1529,1539332,1539332,246.9903
46,0.485946,-0.07721510798726601,0.198,245.353,2018-03-15,249.5381,"Mar 15, 18",245.1745,245.5017,1732144,1732144,246.7412
47,4.5917,-0.05994549486391001,1.871,249.9447,2018-03-16,252.0174,"Mar 16, 18",245.9679,246.434,2167040,2167040,249.6661
48,-2.4,-0.06897201477942101,-0.96,247.5447,2018-03-19,250.7083,"Mar 19, 18",244.2621,249.1414,1984020,1984020,247.2739
49,2.3603,-0.06009480854751201,0.9530000000000001,249.905,2018-03-20,251.9132,"Mar 20, 18",247.3166,248.4769,3398075,3398075,249.5976
50,-2.9454000000000002,-0.071172605113824,-1.179,246.9596,2018-03-21,255.8653,"Mar 21, 18",246.9497,250.1629,4843693,4843693,252.1866
51,-12.6445,-0.11872920139369401,-5.12,234.3151,2018-03-22,243.9646,"Mar 22, 18",233.4467,243.9646,4249762,4249762,237.437
52,-6.7338000000000005,-0.144055359646641,-2.874,227.5813,2018-03-23,236.7636,"Mar 23, 18",227.0061,235.0985,2666312,2666312,231.9106
53,10.2842,-0.10537596959868001,4.519,237.8655,2018-03-26,238.0985,"Mar 26, 18",229.6044,231.8159,2659420,2659420,234.3695
54,-5.1669,-0.12480893866178801,-2.172,232.6986,2018-03-27,239.2737,"Mar 27, 18",231.2506,238.3316,1907104,1907104,235.6179
55,0.15867499999999998,-0.12421243613737101,0.068,232.8572,2018-03-28,235.039,"Mar 28, 18",230.5089,232.6986,1882014,1882014,232.7052
56,5.2661,-0.10440637091775601,2.261,238.1233,2018-03-29,240.5729,"Mar 29, 18",234.8407,234.9795,1923471,1923471,238.1842
57,-1.5967,-0.11041163939654701,-0.671,236.5266,2018-04-02,239.8787,"Apr 2, 18",233.2539,237.2109,2063925,2063925,235.982
58,2.519,-0.100937554535224,1.065,239.0456,2018-04-03,239.2935,"Apr 3, 18",235.1184,237.2407,1540053,1540053,237.6157
59,-2.2611,-0.109441664610625,-0.9460000000000001,236.7845,2018-04-04,237.1217,"Apr 4, 18",230.606,234.5531,2027806,2027806,233.5955
60,2.2909,-0.10082547524627301,0.967,239.0754,2018-04-05,239.9382,"Apr 5, 18",235.2275,237.3299,1153589,1153589,238.1266
61,-6.7239,-0.126114399104569,-2.8120000000000003,232.3515,2018-04-06,237.6473,"Apr 6, 18",229.7928,237.3002,1447010,1447010,233.3736
62,0.029751,-0.126002695920614,0.013000000000000001,232.3812,2018-04-09,236.4076,"Apr 9, 18",232.1234,233.7498,1385357,1385357,234.1679
63,3.6496,-0.112276367969093,1.5710000000000002,236.0308,2018-04-10,238.763,"Apr 10, 18",234.9894,236.0308,1667163,1667163,236.8896
64,0.0,-0.112276367969093,0.0,236.0308,2018-04-11,236.9332,"Apr 11, 18",233.8291,234.1663,905993,905993,236.144
65,3.8776,-0.09769252062559701,1.643,239.9084,2018-04-12,241.5646,"Apr 12, 18",237.4519,237.558,1168024,1168024,240.1712
66,2.5587,-0.08806912208067301,1.067,242.4671,2018-04-13,244.9067,"Apr 13, 18",241.0896,241.6043,1651796,1651796,242.9112
67,5.4942,-0.06740553746908401,2.266,247.9612,2018-04-16,249.0025,"Apr 16, 18",243.5877,243.5877,1417394,1417394,247.6018
68,1.9537,-0.060057574152861004,0.788,249.9149,2018-04-17,251.0554,"Apr 17, 18",248.3074,249.6372,1351812,1351812,249.8246
69,3.5008,-0.04689089043610101,1.401,253.4157,2018-04-18,255.3397,"Apr 18, 18",247.9612,250.143,2186229,2186229,253.2503
70,-3.9074,-0.061586817068547,-1.542,249.5083,2018-04-19,252.8703,"Apr 19, 18",247.5249,252.8703,1483945,1483945,249.2393
71,-4.433,-0.07825955156249001,-1.7770000000000001,245.0753,2018-04-20,250.381,"Apr 20, 18",243.4687,249.6273,1512469,1512469,245.9257
72,1.6859000000000002,-0.07191879742684,0.6880000000000001,246.7612,2018-04-23,247.3166,"Apr 23, 18",244.629,245.2935,813933,813933,246.3169
73,-3.233,-0.084078271963027,-1.31,243.5282,2018-04-24,251.7893,"Apr 24, 18",241.2274,248.3182,1817808,1817808,245.7104
74,1.3289,-0.07908021266480901,0.546,244.8571,2018-04-25,245.9579,"Apr 25, 18",241.5547,243.439,1300763,1300763,244.2954
75,0.029751,-0.07896813337585801,0.012,244.8869,2018-04-26,248.467,"Apr 26, 18",242.5662,245.1546,1708437,1708437,245.4754
76,3.3719,-0.066286625104557,1.377,248.2587,2018-04-27,248.8141,"Apr 27, 18",243.677,244.8869,1243599,1243599,247.5927
77,-3.1041,-0.077961300300282,-1.25,245.1546,2018-04-30,250.8471,"Apr 30, 18",244.629,249.0125,1603352,1603352,246.5082
78,-2.519,-0.087435009056608,-1.028,242.6357,2018-05-01,246.2555,"May 1, 18",241.2472,245.1844,1599371,1599371,243.2386
79,-4.0264,-0.102578876739861,-1.659,238.6092,2018-05-02,241.8919,"May 2, 18",236.7646,241.7629,1461949,1461949,239.2152
80,1.5372,-0.096797390733976,0.644,240.1464,2018-05-03,241.7828,"May 3, 18",234.6523,237.2704,1355389,1355389,238.4802
81,2.7669,-0.08639094158638001,1.152,242.9133,2018-05-04,244.1034,"May 4, 18",236.596,238.5597,989539,989539,241.4344
82,-1.8049,-0.093179260667842,-0.743,241.1084,2018-05-07,244.6786,"May 7, 18",240.3001,243.6571,1308608,1308608,242.201
83,-1.1602999999999999,-0.097543206941995,-0.481,239.9481,2018-05-08,243.3001,"May 8, 18",238.9068,238.9861,1682484,1682484,240.6166
84,2.2016,-0.089262879339499,0.918,242.1497,2018-05-09,242.2885,"May 9, 18",239.0853,241.0985,1388691,1388691,241.315
85,3.5008,-0.076096195622739,1.446,245.6505,2018-05-10,246.1563,"May 10, 18",242.4274,242.6257,1232939,1232939,245.0755
86,3.1735,-0.064160503559457,1.292,248.824,2018-05-11,250.1133,"May 11, 18",245.9202,246.1662,1941164,1941164,248.737
87,0.446276,-0.062481946960168004,0.179,249.2703,2018-05-14,251.6802,"May 14, 18",248.6786,250.51,1047586,1047586,249.7259
88,-3.9768,-0.07743889046017101,-1.595,245.2935,2018-05-15,247.5149,"May 15, 18",244.2125,247.4158,1638203,1638203,245.4911
89,-0.21817899999999998,-0.07825955156249001,-0.089,245.0753,2018-05-16,246.6602,"May 16, 18",244.5001,245.7298,1101189,1101189,245.6414
90,1.3289,-0.073261492264272,0.542,246.4042,2018-05-17,248.1596,"May 17, 18",245.2343,245.6406,1083981,1083981,247.0326
91,0.9818079999999999,-0.069568893408835,0.398,247.386,2018-05-18,247.6637,"May 18, 18",244.6687,245.829,1195706,1195706,246.8212
92,5.1669,-0.050135924345727,2.089,252.5529,2018-05-21,252.8306,"May 21, 18",248.6058,248.9232,1384222,1384222,252.027
93,-2.0529,-0.057856983818458003,-0.8130000000000001,250.5,2018-05-22,254.1793,"May 22, 18",250.262,253.0389,1011323,1011323,252.0186
94,-2.1025,-0.06576421526444601,-0.839,248.3976,2018-05-23,249.9348,"May 23, 18",246.5629,249.9348,1106812,1106812,247.9782
95,1.2595,-0.061027172833785004,0.507,249.6571,2018-05-24,249.9248,"May 24, 18",246.4439,248.11,1496280,1496280,248.6669
96,-0.238013,-0.061922302725407004,-0.095,249.4191,2018-05-25,251.0852,"May 25, 18",248.7844,248.7844,841197,841197,249.9498
97,-3.8578,-0.076432057384595,-1.5470000000000002,245.5612,2018-05-29,249.3794,"May 29, 18",244.272,248.1596,1159706,1159706,245.9064
98,5.4247,-0.056029113535567006,2.209,250.986,2018-05-30,252.0868,"May 30, 18",246.5431,246.672,1201849,1201849,249.9458
99,-3.9272,-0.070799508957316,-1.565,247.0588,2018-05-31,251.4521,"May 31, 18",246.7414,251.4521,1300923,1300923,247.9915
100,4.4429,-0.054089540068721007,1.798,251.5017,2018-06-01,252.6918,"Jun 1, 18",249.0224,249.4885,1174549,1174549,251.3519
101,-1.7058,-0.060505139098671,-0.678,249.7959,2018-06-04,254.3776,"Jun 4, 18",249.5579,252.6025,919305,919305,251.2816
102,0.11900699999999999,-0.060057574152861004,0.048,249.9149,2018-06-05,250.6587,"Jun 5, 18",247.6835,249.4786,953946,953946,249.4677
103,4.5124,-0.04308621229171301,1.806,254.4273,2018-06-06,254.6157,"Jun 6, 18",249.429,251.829,1096295,1096295,252.6871
104,0.6942079999999999,-0.040475291406151005,0.273,255.1215,2018-06-07,258.4636,"Jun 7, 18",252.8653,255.1711,1758740,1758740,255.5369
105,2.876,-0.029658511707396,1.127,257.9975,2018-06-08,258.2553,"Jun 8, 18",254.6256,254.8438,1221783,1221783,257.013
106,1.8049,-0.022870192625935003,0.7000000000000001,259.8024,2018-06-11,261.2404,"Jun 11, 18",257.9876,257.9876,1424278,1424278,260.2268
107,3.5305,-0.009591429620224001,1.359,263.333,2018-06-12,264.4635,"Jun 12, 18",261.0123,261.409,1782413,1782413,263.3193
108,-2.5884,-0.019326531349103,-0.983,260.7446,2018-06-13,263.8288,"Jun 13, 18",260.1694,263.7693,1147804,1147804,261.4271
109,0.5553669999999999,-0.017238020303652003,0.213,261.2999,2018-06-14,261.895,"Jun 14, 18",259.1975,261.8156,1015600,1015600,261.0055
110,1.0711,-0.013209559686358001,0.41000000000000003,262.371,2018-06-15,262.7974,"Jun 15, 18",258.6852,260.338,1363654,1363654,261.3055
111,-0.882635,-0.016529062385287,-0.336,261.4884,2018-06-18,262.4603,"Jun 18, 18",259.4157,260.9132,1399768,1399768,261.1719
112,-5.2363,-0.036223424420948,-2.003,256.252,2018-06-19,259.3462,"Jun 19, 18",252.6422,259.2669,3160686,3160686,256.1607
113,-6.9024,-0.062183695697960006,-2.694,249.3496,2018-06-20,255.181,"Jun 20, 18",249.0125,255.181,3906190,3906190,250.9161
114,-4.671,-0.079751560083525,-1.873,244.6786,2018-06-21,249.7166,"Jun 21, 18",243.6155,249.429,3665126,3665126,245.7992
115,-4.2756,-0.09583230531300901,-1.7469999999999999,240.403,2018-06-22,246.737,"Jun 22, 18",240.1346,246.4984,2687932,2687932,241.7374
116,-7.1991,-0.12290810400958001,-2.995,233.204,2018-06-25,238.9712,"Jun 25, 18",230.6684,238.3746,3605680,3605680,233.6083
117,2.3069,-0.11423211395078701,0.989,235.5108,2018-06-26,236.5847,"Jun 26, 18",232.3787,234.2679,1954296,1954296,234.8467
118,-7.0599,-0.140784374492258,-2.998,228.451,2018-06-27,237.2907,"Jun 27, 18",228.3416,235.5108,2596636,2596636,231.926
119,-3.0626,-0.15230296611444402,-1.341,225.3884,2018-06-28,226.7705,"Jun 28, 18",221.1823,224.8912,4067877,4067877,224.3434
120,0.387795,-0.15084443093809602,0.17200000000000001,225.7762,2018-06-29,229.4453,"Jun 29, 18",225.7165,226.8799,2541151,2541151,227.3186
121,2.3168,-0.14213083037965502,1.026,228.093,2018-07-02,228.3317,"Jul 2, 18",223.9864,224.0958,1587511,1587511,226.9841
122,-1.7699,-0.14878751271234802,-0.776,226.3231,2018-07-03,230.1414,"Jul 3, 18",225.9959,229.2862,922018,922018,227.372
123,0.9645159999999999,-0.145159980021302,0.426,227.2876,2018-07-05,227.8345,"Jul 5, 18",224.235,227.049,1623553,1623553,226.6154
124,-0.30824799999999997,-0.146319135620452,-0.136,226.9794,2018-07-06,227.9926,"Jul 6, 18",224.0759,227.2876,1584852,1584852,226.3984
125,6.6323,-0.12137510004392801,2.922,233.6116,2018-07-09,234.1287,"Jul 9, 18",227.6853,227.914,1734265,1734265,232.2562
126,0.7159300000000001,-0.11868218826913401,0.306,234.3276,2018-07-10,235.8589,"Jul 10, 18",232.9992,234.069,1195675,1195675,234.217
127,-5.4092,-0.139026835843708,-2.308,228.9183,2018-07-11,232.15,"Jul 11, 18",228.3097,231.9213,1394599,1394599,229.5991
128,2.456,-0.12978932102517102,1.073,231.3744,2018-07-12,232.4284,"Jul 12, 18",228.3118,230.4695,1333179,1333179,231.0557
129,1.054,-0.125825174362276,0.456,232.4284,2018-07-13,233.5619,"Jul 13, 18",230.4993,230.6883,983462,983462,232.537
130,-3.5498000000000003,-0.139176149527311,-1.5270000000000001,228.8786,2018-07-16,232.6471,"Jul 16, 18",227.7549,231.0065,1936161,1936161,229.2859
131,0.9645159999999999,-0.135548616836264,0.421,229.8431,2018-07-17,230.1314,"Jul 17, 18",228.1626,228.4311,1801342,1801342,229.3656
132,5.0115,-0.116700114937686,2.18,234.8546,2018-07-18,235.5034,"Jul 18, 18",229.9723,230.2806,1888751,1888751,233.9652
133,0.357965,-0.11535403515528601,0.152,235.2125,2018-07-19,236.008,"Jul 19, 18",232.677,233.7906,1549790,1549790,234.852
134,-1.6108,-0.12141233443858002,-0.685,233.6017,2018-07-20,234.6955,"Jul 20, 18",232.2096,234.1188,1725954,1725954,233.4269
