,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.44,0.0,1.057,137.62,2018-01-08,137.89,"Jan 8, 18",134.55,135.88,428077,428077,136.9891
1,0.22,0.0015986048539450002,0.16,137.84,2018-01-09,138.5,"Jan 9, 18",137.055,138.23,492138,492138,137.8651
2,1.16,0.010027612265659,0.842,139.0,2018-01-10,139.62,"Jan 10, 18",137.37,137.37,606069,606069,138.6618
3,0.77,0.015622729254468,0.554,139.77,2018-01-11,140.5,"Jan 11, 18",138.7,138.9,433143,433143,139.6082
4,2.04,0.030446156081964004,1.46,141.81,2018-01-12,141.88,"Jan 12, 18",139.83,140.07,414789,414789,141.3783
5,-1.29,0.021072518529283,-0.91,140.52,2018-01-16,142.6,"Jan 16, 18",140.15,141.79,569654,569654,141.1321
6,-0.97,0.014024124400523,-0.6900000000000001,139.55,2018-01-17,141.3,"Jan 17, 18",137.5,139.0,738209,738209,139.6351
7,-1.55,0.0027612265659060003,-1.111,138.0,2018-01-18,140.0,"Jan 18, 18",137.98,139.24,568261,568261,138.5773
8,0.76,0.008283679697718,0.551,138.76,2018-01-19,139.56,"Jan 19, 18",138.19,138.7,718491,718491,138.8125
9,2.3,0.024996366807150002,1.658,141.06,2018-01-22,141.33,"Jan 22, 18",137.75,138.7,916819,916819,139.7632
10,1.53,0.036113936927772004,1.085,142.59,2018-01-23,143.2159,"Jan 23, 18",141.08,141.49,642920,642920,142.5734
11,-0.46,0.032771399505885,-0.323,142.13,2018-01-24,143.0,"Jan 24, 18",140.82,142.76,1251158,1251158,141.9269
12,-7.19,-0.019473913675337,-5.059,134.94,2018-01-25,144.45,"Jan 25, 18",134.84,144.27,1838081,1838081,137.3269
13,3.3,0.004505159133846,2.446,138.24,2018-01-26,139.25,"Jan 26, 18",136.13,136.13,2008646,2008646,138.2356
14,0.65,0.009228309838686001,0.47000000000000003,138.89,2018-01-29,139.67,"Jan 29, 18",137.315,138.06,983072,983072,138.7555
15,2.06,0.024197064380177002,1.483,140.95,2018-01-30,141.24,"Jan 30, 18",137.51,138.06,1130554,1130554,140.3199
