,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.237109,0.0,0.251,94.5771,2018-01-08,95.1896,"Jan 8, 18",93.9152,94.2313,1186173,1186173,94.6805
1,0.306267,0.0032386275324570004,0.324,94.8834,2018-01-09,95.0118,"Jan 9, 18",94.3795,94.6364,1338549,1338549,94.821
2,1.2251,0.016191022985479,1.291,96.1084,2018-01-10,96.1183,"Jan 10, 18",94.3005,94.8735,2110920,2110920,95.7446
3,0.493978,0.021414274702861003,0.514,96.6024,2018-01-11,96.6222,"Jan 11, 18",95.8911,96.1578,1239274,1239274,96.3592
4,-0.167952,0.019639003521994002,-0.17400000000000002,96.4345,2018-01-12,96.8099,"Jan 12, 18",95.7429,96.6814,1773403,1773403,96.418
5,-0.434701,0.015042753478378001,-0.451,95.9998,2018-01-16,97.1754,"Jan 16, 18",95.7824,96.6222,1448584,1448584,96.3911
6,0.424821,0.019534327019965003,0.443,96.4246,2018-01-17,96.7852,"Jan 17, 18",96.0788,96.5925,1407576,1407576,96.4356
7,-0.059278,0.018907325346199003,-0.061,96.3653,2018-01-18,96.879,"Jan 18, 18",96.3357,96.7704,1235480,1235480,96.5768
8,0.918801,0.028622150605167002,0.9530000000000001,97.2841,2018-01-19,97.4027,"Jan 19, 18",96.4583,96.6913,1627054,1627054,97.1125
9,0.711329,0.036142998675155004,0.731,97.9954,2018-01-22,98.0053,"Jan 22, 18",97.2248,97.4422,1111924,1111924,97.7881
10,-0.059278,0.035517054339792,-0.06,97.9362,2018-01-23,98.608,"Jan 23, 18",97.7484,97.8374,971557,971557,98.1194
11,1.4128,0.050454073977738004,1.443,99.3489,2018-01-24,99.5959,"Jan 24, 18",98.0251,98.4005,1542895,1542895,99.2022
12,0.9286789999999999,0.06027357573873501,0.935,100.2776,2018-01-25,100.574,"Jan 25, 18",99.3279,99.4477,1195337,1195337,100.21
13,1.3634,0.074689327543348,1.3599999999999999,101.641,2018-01-26,101.8287,"Jan 26, 18",100.3566,100.574,1419726,1419726,101.4715
14,-0.187712,0.07270470335842301,-0.185,101.4533,2018-01-29,102.4017,"Jan 29, 18",101.2557,101.6706,1248384,1248384,101.7426
15,-0.029637999999999998,0.07239067385233801,-0.029,101.4236,2018-01-30,101.8386,"Jan 30, 18",100.9494,101.1273,1222105,1222105,101.5617
16,-0.296387,0.069257780160313,-0.292,101.1273,2018-01-31,101.9374,"Jan 31, 18",100.9395,101.4335,1500377,1500377,101.37
17,-0.246989,0.066646154301622,-0.244,100.8803,2018-02-01,101.641,"Feb 1, 18",100.495,101.068,1530797,1530797,100.986
18,-1.2843,0.053065699836429,-1.2730000000000001,99.5959,2018-02-02,100.9914,"Feb 2, 18",99.5663,100.3369,1612556,1612556,100.1675
19,-3.5665,0.015355725646060001,-3.581,96.0294,2018-02-05,100.1887,"Feb 5, 18",95.8614,99.3786,2636020,2636020,98.0157
20,-1.4622,-0.00010467650202800001,-1.5230000000000001,94.5672,2018-02-06,95.0538,"Feb 6, 18",91.3332,94.2017,5946276,5946276,93.3288
21,1.0374,0.010864152104473002,1.097,95.6046,2018-02-07,97.0272,"Feb 7, 18",94.3301,94.587,3099796,3099796,96.1323
22,-3.9815,-0.031233776463858002,-4.165,91.6231,2018-02-08,96.8099,"Feb 8, 18",91.5737,95.654,3058332,3058332,94.0241
23,2.2624,-0.007312552404334,2.469,93.8855,2018-02-09,94.5672,"Feb 9, 18",91.0106,92.2653,2572010,2572010,92.7219
24,0.118556,-0.006058549056801,0.126,94.0041,2018-02-12,95.2193,"Feb 12, 18",93.7571,94.6166,1789938,1789938,94.4093
25,1.0077,0.004596250043615,1.072,95.0118,2018-02-13,95.1304,"Feb 13, 18",93.2878,93.9349,1144098,1144098,94.5976
26,-0.167954,0.0028199215243430004,-0.177,94.8438,2018-02-14,95.244,"Feb 14, 18",94.1819,94.5277,1590831,1590831,94.7141
27,0.553256,0.008670174915492001,0.583,95.3971,2018-02-15,95.407,"Feb 15, 18",94.3795,95.16,1538136,1538136,94.9768
28,1.2448000000000001,0.021831923372571,1.305,96.6419,2018-02-16,96.9778,"Feb 16, 18",95.3773,95.3773,1098098,1098098,96.47
29,-0.493978,0.016609728993593,-0.511,96.148,2018-02-20,96.8296,"Feb 20, 18",95.1313,96.0689,1501178,1501178,96.2704
30,-0.167951,0.014833400474322002,-0.17500000000000002,95.98,2018-02-21,97.7287,"Feb 21, 18",95.9701,96.3752,1215760,1215760,96.8539
31,0.8694000000000001,0.024025900561552002,0.906,96.8494,2018-02-22,97.9559,"Feb 22, 18",96.0887,96.4641,2315304,2315304,97.0569
32,1.7684000000000002,0.042723872903694005,1.826,98.6178,2018-02-23,98.6376,"Feb 23, 18",96.8988,97.4224,1805316,1805316,97.8234
33,0.098796,0.04376852324717,0.1,98.7166,2018-02-26,99.8824,"Feb 26, 18",98.5092,98.8056,2047911,2047911,98.9126
34,-1.4622,0.028309178437486003,-1.4809999999999999,97.2545,2018-02-27,99.013,"Feb 27, 18",97.2446,98.7463,1253399,1253399,97.8046
35,-1.2448000000000001,0.015146372642003001,-1.28,96.0096,2018-02-28,98.2918,"Feb 28, 18",95.98,97.3137,1987170,1987170,96.8114
36,-1.2053,0.0024022728546330002,-1.255,94.8043,2018-03-01,96.3949,"Mar 1, 18",94.3696,96.0788,1350759,1350759,95.163
37,0.9286789999999999,0.012221774615631,0.98,95.733,2018-03-02,95.8911,"Mar 2, 18",93.6089,94.1325,1260836,1260836,95.1781
38,2.6576,0.040321600049060005,2.776,98.3906,2018-03-05,98.4301,"Mar 5, 18",95.081,95.081,2357011,2357011,97.711
39,-0.869402,0.031129099961829002,-0.884,97.5212,2018-03-06,98.9735,"Mar 6, 18",97.2545,98.6178,1419539,1419539,97.7283
40,-0.138314,0.029666800948644004,-0.14200000000000002,97.3829,2018-03-07,97.5607,"Mar 7, 18",96.6123,96.7308,1398498,1398498,97.2417
41,0.70145,0.037082972516602,0.72,98.0843,2018-03-08,98.1535,"Mar 8, 18",97.3434,97.946,1220650,1220650,97.8658
42,1.4721,0.05264805116672001,1.501,99.5564,2018-03-09,99.6157,"Mar 9, 18",98.193,98.6969,1703128,1703128,99.0962
43,0.454461,0.057453654214392004,0.456,100.0109,2018-03-12,100.3665,"Mar 12, 18",99.0921,99.5663,2355197,2355197,100.016
44,-0.810125,0.048887098462524,-0.81,99.2007,2018-03-13,100.4653,"Mar 13, 18",98.7858,100.001,1501172,1501172,99.3116
