,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.009733,0.0,-0.033,29.8793,2018-01-08,29.9864,"Jan 8, 18",29.6409,29.8501,5896187,5896187,29.8537
1,0.535297,0.017915413011683,1.792,30.4146,2018-01-09,30.6871,"Jan 9, 18",29.9377,29.9961,4363964,4363964,30.4655
2,0.321177,0.028665330178417003,1.056,30.7358,2018-01-10,31.0716,"Jan 10, 18",30.4438,30.4827,3413516,3413516,30.8149
3,0.272516,0.037785356417318006,0.887,31.0083,2018-01-11,31.0472,"Jan 11, 18",30.692,30.8331,4566188,4566188,30.887
4,0.47690000000000005,0.053746239035050006,1.538,31.4852,2018-01-12,31.4949,"Jan 12, 18",31.018,31.1446,4346404,4346404,31.3514
5,-0.068128,0.05146706917498001,-0.216,31.4171,2018-01-16,31.8112,"Jan 16, 18",31.2273,31.5339,6128903,6128903,31.4994
6,0.20438699999999999,0.05830792555381101,0.651,31.6215,2018-01-17,31.6896,"Jan 17, 18",31.091,31.5825,4410808,4410808,31.458
7,-0.311447,0.047882647853195,-0.985,31.31,2018-01-18,31.7772,"Jan 18, 18",31.2127,31.6604,4325279,4325279,31.3767
8,0.321179,0.05863256501993001,1.026,31.6312,2018-01-19,31.6798,"Jan 19, 18",31.2127,31.2613,5417348,5417348,31.454
9,0.262782,0.06742795179271201,0.8310000000000001,31.894,2018-01-22,31.9962,"Jan 22, 18",31.4657,31.6312,7971228,7971228,31.7511
10,0.14599,0.072314277777591,0.458,32.04,2018-01-23,32.2833,"Jan 23, 18",31.2029,31.7772,7393588,7393588,31.8893
11,0.399039,0.085668004270515,1.245,32.439,2018-01-24,32.5071,"Jan 24, 18",32.0335,32.2833,5089713,5089713,32.3592
12,-0.47690000000000005,0.069707121652782,-1.47,31.9621,2018-01-25,32.6142,"Jan 25, 18",31.9426,32.6142,4496228,4496228,32.1202
13,0.496366,0.08632063000137201,1.553,32.4585,2018-01-26,32.5023,"Jan 26, 18",31.9621,32.0594,3574471,3574471,32.3078
14,-0.17518799999999998,0.080457038819517,-0.54,32.2833,2018-01-29,32.691,"Jan 29, 18",32.2346,32.4195,3012163,3012163,32.4111
15,-0.14599099999999998,0.07557071283463801,-0.452,32.1373,2018-01-30,32.4877,"Jan 30, 18",32.001,32.0886,4518280,4518280,32.2031
16,0.077863,0.078174522160827,0.242,32.2151,2018-01-31,32.5753,"Jan 31, 18",32.1081,32.1957,4431434,4431434,32.2752
17,0.54503,0.096417921437249,1.6920000000000002,32.7602,2018-02-01,32.7699,"Feb 1, 18",32.0984,32.2638,4325502,4325502,32.5247
18,-0.515834,0.07915178735780201,-1.5750000000000002,32.2443,2018-02-02,33.0035,"Feb 2, 18",32.113,32.6045,4954114,4954114,32.5294
19,-1.3918,0.032574390966321004,-4.316,30.8526,2018-02-05,32.4098,"Feb 5, 18",30.6774,31.8064,7591402,7591402,31.469
20,0.31144499999999997,0.042996321868316006,1.009,31.164,2018-02-06,31.2808,"Feb 6, 18",29.7138,29.9572,8297651,8297651,30.7305
21,0.31144499999999997,0.053421599568932006,0.999,31.4755,2018-02-07,31.9134,"Feb 7, 18",30.9791,31.0862,5545899,5545899,31.5893
22,-1.2069,0.013029087026804002,-3.834,30.2686,2018-02-08,31.4852,"Feb 8, 18",30.2686,31.4365,7178228,7178228,30.772
23,0.856474,0.041694417205222004,2.83,31.1251,2018-02-09,31.2905,"Feb 9, 18",30.0642,30.8136,8425363,8425363,30.6739
24,0.262782,0.050489803978004004,0.844,31.3879,2018-02-12,31.7966,"Feb 12, 18",31.0375,31.3197,5447267,5447267,31.397
25,0.136257,0.055048143698145,0.434,31.5241,2018-02-13,31.6215,"Feb 13, 18",31.0667,31.2321,3291870,3291870,31.4652
26,0.83701,0.08306084814570601,2.6550000000000002,32.3611,2018-02-14,32.4828,"Feb 14, 18",31.3587,31.5047,4637040,4637040,32.1353
27,-0.048663,0.081434304016493,-0.15,32.3125,2018-02-15,32.6337,"Feb 15, 18",32.2151,32.5558,3709580,3709580,32.3938
28,-0.06813000000000001,0.07915178735780201,-0.211,32.2443,2018-02-16,32.5363,"Feb 16, 18",32.0497,32.2249,6874177,6874177,32.2748
29,0.077863,0.08175894348261101,0.241,32.3222,2018-02-20,32.5461,"Feb 20, 18",32.147,32.147,3852039,3852039,32.3555
