,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.36388299999999996,0.0,0.6930000000000001,52.8908,2018-01-08,52.9301,"Jan 8, 18",51.9958,52.4482,1148890,1148890,52.6156
1,0.029504,0.000557752955145,0.056,52.9203,2018-01-09,53.0383,"Jan 9, 18",52.4827,52.8711,939288,939288,52.8307
2,0.245867,0.005206954706678001,0.465,53.1662,2018-01-10,53.176,"Jan 10, 18",52.6154,52.7334,1176057,1176057,52.995
3,2.0554,0.04406815552043,3.866,55.2216,2018-01-11,55.2609,"Jan 11, 18",53.2448,53.294,1691531,1691531,54.7036
4,0.9047879999999999,0.06117510039553101,1.638,56.1264,2018-01-12,56.3428,"Jan 12, 18",55.239,55.4576,2108958,2108958,55.9901
5,0.9441269999999999,0.079025085648165,1.682,57.0705,2018-01-16,57.2967,"Jan 16, 18",56.2247,56.4313,1905746,1905746,57.0375
6,0.09834699999999999,0.080885522623972,0.17200000000000001,57.1689,2018-01-17,57.4639,"Jan 17, 18",56.7656,57.3951,1482360,1482360,57.1163
7,1.8981,0.11677267123961001,3.32,59.067,2018-01-18,59.4997,"Jan 18, 18",58.0343,58.3589,2508134,2508134,58.9169
8,0.36388299999999996,0.123650994123741,0.616,59.4308,2018-01-19,59.6079,"Jan 19, 18",57.8573,59.1161,1776241,1776241,59.2169
9,0.845781,0.139642433088552,1.423,60.2766,2018-01-22,60.5471,"Jan 22, 18",59.1466,59.3817,2406801,2406801,60.1672
10,0.167189,0.142803663397037,0.277,60.4438,2018-01-23,60.8569,"Jan 23, 18",59.8931,60.2078,1981341,1981341,60.4884
11,-0.177024,0.13945714566616502,-0.293,60.2668,2018-01-24,61.0634,"Jan 24, 18",59.9619,60.6995,2799838,2799838,60.3526
12,-0.059008,0.13834163975587402,-0.098,60.2078,2018-01-25,60.7241,"Jan 25, 18",59.6079,60.6798,1482684,1482684,60.2071
13,0.304875,0.144104456729714,0.506,60.5126,2018-01-26,60.5323,"Jan 26, 18",59.9521,60.2569,953916,953916,60.284
14,0.078677,0.14559242817276302,0.13,60.5913,2018-01-29,61.0241,"Jan 29, 18",60.3455,60.3455,941338,941338,60.7222
15,-1.2195,0.122535488213451,-2.013,59.3718,2018-01-30,60.2569,"Jan 30, 18",59.0768,60.1684,1255389,1255389,59.4807
16,0.324542,0.12867266140803302,0.547,59.6964,2018-01-31,60.3848,"Jan 31, 18",59.2735,59.9324,1128746,1128746,59.6976
17,-0.255701,0.123838172234112,-0.428,59.4407,2018-02-01,60.0209,"Feb 1, 18",59.162,59.4308,1004841,1004841,59.4881
18,-1.6227,0.093157978325152,-2.73,57.818,2018-02-02,59.0374,"Feb 2, 18",57.6409,58.9391,2243326,2243326,58.3147
19,-2.498,0.045926701808253007,-4.32,55.3199,2018-02-05,57.9753,"Feb 5, 18",55.0938,57.3262,2442975,2442975,56.3012
20,0.894955,0.062848359260967,1.6179999999999999,56.2149,2018-02-06,56.5385,"Feb 6, 18",54.3857,54.9757,2461916,2461916,55.8352
21,-0.118016,0.06061734744038601,-0.21,56.0969,2018-02-07,56.9033,"Feb 7, 18",55.9395,55.9395,1465541,1465541,56.4014
22,-1.7014,0.028449182088378003,-3.033,54.3955,2018-02-08,56.0851,"Feb 8, 18",54.3857,56.0477,2284484,2284484,55.0434
23,-0.295039,0.022871652536925,-0.542,54.1005,2018-02-09,55.5216,"Feb 9, 18",52.34,55.1724,1963391,1963391,53.7449
