,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.16,0.0,0.081,197.16,2018-01-08,198.8599,"Jan 8, 18",195.48,197.36,619865,619865,197.1425
1,-0.25,-0.001268005680665,-0.127,196.91,2018-01-09,197.86,"Jan 9, 18",196.4506,197.28,398740,398740,197.1482
2,4.0,0.019020085209981,2.031,200.91,2018-01-10,201.4,"Jan 10, 18",196.15,199.32,563317,563317,199.6595
3,1.67,0.027490363156827003,0.8310000000000001,202.58,2018-01-11,203.59,"Jan 11, 18",200.0,201.38,471134,471134,202.599
4,0.6900000000000001,0.030990058835463002,0.341,203.27,2018-01-12,203.85,"Jan 12, 18",202.37,202.79,353400,353400,203.1279
5,-1.47,0.02353418543315,-0.723,201.8,2018-01-16,206.2,"Jan 16, 18",200.515,205.02,348989,348989,203.0962
6,1.6,0.031649421789409,0.793,203.4,2018-01-17,204.27,"Jan 17, 18",202.05,203.25,493456,493456,203.3623
7,-0.15,0.03088861838101,-0.074,203.25,2018-01-18,205.06,"Jan 18, 18",202.4,203.8,454897,454897,203.4788
8,3.4,0.048133495638060006,1.673,206.65,2018-01-19,207.03,"Jan 19, 18",203.67,204.25,457218,457218,205.8109
9,0.12,0.048742138364779,0.058,206.77,2018-01-22,207.96,"Jan 22, 18",205.01,207.56,492898,492898,206.1029
10,2.08,0.059291945627916,1.006,208.85,2018-01-23,209.18,"Jan 23, 18",205.58,206.69,457218,457218,208.3441
11,-1.02,0.054118482450801,-0.488,207.83,2018-01-24,210.58,"Jan 24, 18",207.53,209.69,317631,317631,208.7663
12,4.29,0.07587745993102,2.064,212.12,2018-01-25,213.74,"Jan 25, 18",208.425,209.9,515483,515483,211.7739
13,-0.09,0.07542097788598001,-0.042,212.03,2018-01-26,213.005,"Jan 26, 18",211.3,212.5,365150,365150,211.979
14,-2.03,0.065124771758977,-0.9570000000000001,210.0,2018-01-29,212.97,"Jan 29, 18",209.69,211.95,550465,550465,210.8823
15,-0.41000000000000003,0.063045242442686,-0.195,209.59,2018-01-30,210.96,"Jan 30, 18",207.55,209.19,366414,366414,209.8086
16,2.91,0.077804828565631,1.388,212.5,2018-01-31,212.54,"Jan 31, 18",209.7899,210.04,384975,384975,211.8517
17,-1.25,0.07146480016230401,-0.588,211.25,2018-02-01,212.955,"Feb 1, 18",209.97,211.73,589153,589153,211.6749
18,-3.74,0.052495435179549,-1.77,207.51,2018-02-02,211.22,"Feb 2, 18",207.0,209.99,362575,362575,208.8481
19,-7.17,0.016129032258064002,-3.455,200.34,2018-02-05,209.49,"Feb 5, 18",199.46,206.7,707450,707450,204.6069
20,3.11,0.031903022925542,1.552,203.45,2018-02-06,205.715,"Feb 6, 18",196.12,196.81,775812,775812,202.0135
21,-0.13,0.031243659971596,-0.064,203.32,2018-02-07,208.26,"Feb 7, 18",200.92,203.4,810608,810608,203.99
22,-8.71,-0.012933657942787,-4.284,194.61,2018-02-08,204.76,"Feb 8, 18",194.59,203.98,1208910,1208910,197.4108
23,-4.69,-0.036721444512071,-2.41,189.92,2018-02-09,198.01,"Feb 9, 18",182.5,192.4,1637377,1637377,188.3087
24,2.77,-0.022671941570298,1.459,192.69,2018-02-12,193.71,"Feb 12, 18",189.46,191.94,813378,813378,192.1615
25,1.51,-0.015013187259078001,0.784,194.2,2018-02-13,194.56,"Feb 13, 18",190.39,192.9,723907,723907,192.7243
26,0.5700000000000001,-0.012122134307161001,0.294,194.77,2018-02-14,195.59,"Feb 14, 18",191.1,193.34,714175,714175,194.1074
27,1.5899999999999999,-0.004057618178129,0.8160000000000001,196.36,2018-02-15,196.73,"Feb 15, 18",194.34,196.37,610475,610475,195.5699
28,2.24,0.007303712720632001,1.141,198.6,2018-02-16,200.51,"Feb 16, 18",193.98,195.0,693396,693396,199.2374
29,0.85,0.011614932034895002,0.428,199.45,2018-02-20,201.64,"Feb 20, 18",197.87,197.94,820754,820754,200.1561
30,4.19,0.032866707242848,2.101,203.64,2018-02-21,207.17,"Feb 21, 18",199.02,199.02,758812,758812,204.7784
31,0.43,0.035047677013593,0.211,204.07,2018-02-22,205.3,"Feb 22, 18",202.89,203.64,492409,492409,204.197
32,2.11,0.045749644958409004,1.034,206.18,2018-02-23,207.1157,"Feb 23, 18",203.25,204.53,519085,519085,205.1218
33,-2.22,0.0344897545141,-1.077,203.96,2018-02-26,206.74,"Feb 26, 18",202.75,206.56,547061,547061,203.8698
34,-2.64,0.021099614526273,-1.294,201.32,2018-02-27,204.97,"Feb 27, 18",200.88,204.33,598527,598527,202.1033
35,-1.3900000000000001,0.014049502941773002,-0.6900000000000001,199.93,2018-02-28,203.92,"Feb 28, 18",199.83,202.41,510022,510022,201.4339
