,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.9,0.0,2.041,45.0,2018-01-08,45.04,"Jan 8, 18",44.01,44.29,1190986,1190986,44.7673
1,-0.68,-0.015111111111111,-1.5110000000000001,44.32,2018-01-09,44.84,"Jan 9, 18",43.97,44.69,1381322,1381322,44.2991
2,-0.22,-0.019999999999999,-0.496,44.1,2018-01-10,44.22,"Jan 10, 18",43.48,44.06,1178902,1178902,43.9373
3,0.16,-0.016444444444444,0.363,44.26,2018-01-11,44.61,"Jan 11, 18",43.9,44.09,1270957,1270957,44.2639
4,0.68,-0.001333333333333,1.536,44.94,2018-01-12,45.13,"Jan 12, 18",44.3,44.44,1462074,1462074,44.8176
5,-0.6000000000000001,-0.014666666666666002,-1.335,44.34,2018-01-16,45.79,"Jan 16, 18",44.15,45.03,1474236,1474236,44.8085
6,0.75,0.002,1.691,45.09,2018-01-17,45.27,"Jan 17, 18",44.64,44.77,1109200,1109200,44.9841
7,0.62,0.015777777777777002,1.375,45.71,2018-01-18,45.9,"Jan 18, 18",44.8468,44.88,1942007,1942007,45.5067
8,0.30000000000000004,0.022444444444444003,0.656,46.01,2018-01-19,46.43,"Jan 19, 18",45.65,45.9,2318716,2318716,46.0899
9,-0.16,0.018888888888888,-0.34800000000000003,45.85,2018-01-22,45.91,"Jan 22, 18",45.21,45.8,1350284,1350284,45.5559
10,-0.1,0.016666666666666,-0.218,45.75,2018-01-23,45.91,"Jan 23, 18",43.55,44.29,2701612,2701612,45.0841
11,-0.5,0.005555555555555001,-1.093,45.25,2018-01-24,46.23,"Jan 24, 18",45.05,45.95,1282777,1282777,45.528
12,0.16,0.009111111111111,0.354,45.41,2018-01-25,45.81,"Jan 25, 18",45.12,45.55,756644,756644,45.4295
13,0.45,0.019111111111111002,0.991,45.86,2018-01-26,46.04,"Jan 26, 18",45.09,45.11,1237673,1237673,45.7123
14,0.1,0.021333333333333003,0.218,45.96,2018-01-29,46.24,"Jan 29, 18",45.69,45.76,1667436,1667436,45.9972
15,-0.22,0.016444444444444,-0.47900000000000004,45.74,2018-01-30,46.0,"Jan 30, 18",45.63,45.65,1326666,1326666,45.7924
16,0.30000000000000004,0.023111111111111002,0.656,46.04,2018-01-31,46.4,"Jan 31, 18",45.36,45.39,1436221,1436221,46.0886
17,-0.17,0.019333333333333,-0.369,45.87,2018-02-01,46.27,"Feb 1, 18",45.47,45.75,1438513,1438513,45.9913
18,-0.93,-0.001333333333333,-2.027,44.94,2018-02-02,45.73,"Feb 2, 18",44.84,45.71,1506780,1506780,45.2275
19,-1.11,-0.026000000000000002,-2.47,43.83,2018-02-05,45.7,"Feb 5, 18",43.67,44.27,2853960,2853960,44.582
20,2.71,0.034222222222222,6.183,46.54,2018-02-06,47.0,"Feb 6, 18",44.6,45.27,6704367,6704367,46.1166
21,-1.03,0.011333333333333001,-2.213,45.51,2018-02-07,46.8,"Feb 7, 18",45.5,46.68,2566662,2566662,45.9487
22,-1.01,-0.011111111111111,-2.219,44.5,2018-02-08,45.85,"Feb 8, 18",44.47,45.5,3713748,3713748,45.0084
23,2.04,0.034222222222222,4.584,46.54,2018-02-09,46.87,"Feb 9, 18",44.54,45.23,4262107,4262107,45.6209
24,-0.06,0.032888888888888,-0.129,46.48,2018-02-12,47.2,"Feb 12, 18",46.39,46.87,2681208,2681208,46.7274
25,1.6400000000000001,0.06933333333333301,3.528,48.12,2018-02-13,48.16,"Feb 13, 18",46.3,46.43,2518352,2518352,47.6502
26,0.26,0.075111111111111,0.54,48.38,2018-02-14,48.51,"Feb 14, 18",47.68,47.93,1565966,1565966,48.1907
27,0.9,0.09511111111111101,1.8599999999999999,49.28,2018-02-15,49.56,"Feb 15, 18",48.2,48.5,1735465,1735465,49.1078
28,-0.33,0.08777777777777701,-0.67,48.95,2018-02-16,49.58,"Feb 16, 18",48.94,49.03,1305560,1305560,49.2122
29,0.11,0.09022222222222201,0.225,49.06,2018-02-20,49.62,"Feb 20, 18",48.42,48.43,1138175,1138175,49.181
30,0.05,0.091333333333333,0.10200000000000001,49.11,2018-02-21,49.97,"Feb 21, 18",49.11,49.4,1596757,1596757,49.5719
31,0.09,0.093333333333333,0.183,49.2,2018-02-22,49.825,"Feb 22, 18",49.02,49.25,1695063,1695063,49.3566
32,0.67,0.10822222222222201,1.362,49.87,2018-02-23,49.94,"Feb 23, 18",49.08,49.65,1255481,1255481,49.6116
33,0.45,0.118222222222222,0.902,50.32,2018-02-26,50.39,"Feb 26, 18",49.79,49.99,1107348,1107348,50.1735
34,-0.37,0.11000000000000001,-0.735,49.95,2018-02-27,50.87,"Feb 27, 18",49.95,50.42,858117,858117,50.2757
35,0.52,0.12155555555555501,1.041,50.47,2018-02-28,51.0,"Feb 28, 18",49.58,49.82,1703353,1703353,50.6191
36,-0.96,0.100222222222222,-1.9020000000000001,49.51,2018-03-01,50.92,"Mar 1, 18",49.27,50.72,1899883,1899883,49.8553
37,0.9500000000000001,0.12133333333333302,1.919,50.46,2018-03-02,50.56,"Mar 2, 18",49.251,49.39,1982489,1982489,50.0615
38,0.19,0.125555555555555,0.377,50.65,2018-03-05,51.23,"Mar 5, 18",49.88,50.23,1568408,1568408,50.7111
39,1.2,0.152222222222222,2.3689999999999998,51.85,2018-03-06,51.93,"Mar 6, 18",50.47,50.89,1949850,1949850,51.5385
40,0.62,0.165999999999999,1.196,52.47,2018-03-07,52.55,"Mar 7, 18",51.21,51.33,1755314,1755314,52.2329
41,1.62,0.202,3.087,54.09,2018-03-08,54.125,"Mar 8, 18",52.63,52.85,2546612,2546612,53.5457
42,0.35000000000000003,0.209777777777777,0.647,54.44,2018-03-09,54.68,"Mar 9, 18",53.96,54.47,1790098,1790098,54.2147
43,0.24,0.215111111111111,0.441,54.68,2018-03-12,54.82,"Mar 12, 18",54.14,54.44,1255353,1255353,54.6254
44,-0.43,0.20555555555555502,-0.786,54.25,2018-03-13,54.95,"Mar 13, 18",54.0,54.69,1253042,1253042,54.3107
45,0.29,0.212,0.535,54.54,2018-03-14,54.6299,"Mar 14, 18",53.9,54.23,750555,750555,54.3472
46,-0.36,0.20400000000000001,-0.66,54.18,2018-03-15,54.97,"Mar 15, 18",54.04,54.62,962182,962182,54.3933
47,-0.18,0.2,-0.332,54.0,2018-03-16,54.73,"Mar 16, 18",54.0,54.09,2274927,2274927,54.1083
48,-0.65,0.185555555555555,-1.204,53.35,2018-03-19,53.47,"Mar 19, 18",52.2187,52.68,1385743,1385743,52.973
49,0.43,0.195111111111111,0.806,53.78,2018-03-20,54.14,"Mar 20, 18",52.82,53.22,717219,717219,53.7647
50,0.79,0.212666666666666,1.469,54.57,2018-03-21,55.18,"Mar 21, 18",53.81,54.13,1527438,1527438,54.6869
51,-0.96,0.19133333333333302,-1.759,53.61,2018-03-22,54.635,"Mar 22, 18",53.5,53.96,909622,909622,53.9269
52,-0.66,0.176666666666666,-1.231,52.95,2018-03-23,53.8601,"Mar 23, 18",52.92,53.58,1207762,1207762,53.2784
53,1.63,0.21288888888888802,3.078,54.58,2018-03-26,54.6,"Mar 26, 18",53.45,53.86,978120,978120,54.1927
54,-1.25,0.185111111111111,-2.29,53.33,2018-03-27,55.34,"Mar 27, 18",52.97,55.12,1338390,1338390,54.2316
55,-1.05,0.16177777777777702,-1.9689999999999999,52.28,2018-03-28,53.6,"Mar 28, 18",51.965,53.33,2012857,2012857,52.4414
56,1.3,0.190666666666666,2.487,53.58,2018-03-29,53.77,"Mar 29, 18",52.45,52.75,1352148,1352148,53.3291
57,-1.15,0.16511111111111101,-2.146,52.43,2018-04-02,53.525,"Apr 2, 18",52.03,53.11,954436,954436,52.4849
58,1.0,0.18733333333333302,1.907,53.43,2018-04-03,53.69,"Apr 3, 18",52.73,52.73,1499978,1499978,53.2851
59,0.88,0.206888888888888,1.647,54.31,2018-04-04,54.48,"Apr 4, 18",52.24,52.42,1240083,1240083,53.754
60,0.28,0.21311111111111103,0.516,54.59,2018-04-05,55.24,"Apr 5, 18",54.19,54.35,1007104,1007104,54.6393
61,-0.26,0.207333333333333,-0.47600000000000003,54.33,2018-04-06,54.97,"Apr 6, 18",54.01,54.23,1241784,1241784,54.4238
62,0.14,0.21044444444444402,0.258,54.47,2018-04-09,55.46,"Apr 9, 18",54.25,54.29,1233569,1233569,54.9722
63,1.76,0.24955555555555503,3.231,56.23,2018-04-10,56.53,"Apr 10, 18",54.7,55.17,1485892,1485892,55.9213
64,-1.4,0.21844444444444402,-2.49,54.83,2018-04-11,56.35,"Apr 11, 18",54.2597,54.68,2301234,2301234,55.3409
