,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.0,0.0,0.0,201.0904,2018-01-08,201.9549,"Jan 8, 18",200.7171,201.2378,1044873,1044873,201.2117
1,1.1592,0.005764571555877,0.5760000000000001,202.2496,2018-01-09,203.3302,"Jan 9, 18",201.3852,201.8665,1290162,1290162,202.5184
2,-1.1101,0.000244666080529,-0.549,201.1396,2018-01-10,202.4166,"Jan 10, 18",200.6484,201.3852,957237,957237,201.288
3,0.746598,0.003957424123677,0.371,201.8862,2018-01-11,202.5345,"Jan 11, 18",201.0904,201.1789,1246208,1246208,201.6614
4,4.9904,0.028774123478793004,2.472,206.8766,2018-01-12,208.0161,"Jan 12, 18",201.9648,202.8882,1892695,1892695,206.3781
5,-4.1849,0.007963085259167,-2.023,202.6917,2018-01-16,207.8884,"Jan 16, 18",202.3675,207.2892,1753762,1753762,204.1682
6,2.1514,0.018661756105711,1.061,204.8431,2018-01-17,205.3637,"Jan 17, 18",203.1436,204.0965,1421048,1421048,204.7648
7,0.118281,0.0192500487343,0.058,204.9614,2018-01-18,206.579,"Jan 18, 18",204.3597,205.5137,1241899,1241899,205.1581
8,1.2822,0.025626285491500003,0.626,206.2436,2018-01-19,206.5494,"Jan 19, 18",204.6901,206.5494,1413853,1413853,205.8278
9,-0.887705,0.021211852977566,-0.43,205.3559,2018-01-22,206.3718,"Jan 22, 18",204.2117,206.2239,1894976,1894976,205.3544
10,-0.7101649999999999,0.017680108050906,-0.34600000000000003,204.6457,2018-01-23,205.9378,"Jan 23, 18",203.9997,205.4545,2277417,2277417,204.7937
11,11.6289,0.07550982045885801,5.682,216.2747,2018-01-24,217.1525,"Jan 24, 18",198.6488,200.2171,4176208,4176208,212.488
12,7.1608,0.11111967552901501,3.311,223.4355,2018-01-25,224.5994,"Jan 25, 18",216.6002,216.9947,3237685,3237685,222.1148
13,-0.286039,0.10969742961374501,-0.128,223.1495,2018-01-26,223.4552,"Jan 26, 18",218.6419,221.8771,1977734,1977734,221.9095
14,-0.72989,0.106067718797118,-0.327,222.4196,2018-01-29,226.4044,"Jan 29, 18",222.1533,223.4059,1737681,1737681,223.4999
15,-1.2033,0.10008334559978901,-0.541,221.2162,2018-01-30,222.7845,"Jan 30, 18",219.2633,221.8376,1590173,1590173,221.3793
16,-1.7754,0.09125448057192101,-0.803,219.4408,2018-01-31,223.8103,"Jan 31, 18",219.3422,223.0015,1833611,1833611,220.7709
17,2.6927,0.10464497559306601,1.227,222.1335,2018-02-01,224.7079,"Feb 1, 18",218.9674,219.3521,1780467,1780467,222.3315
18,-3.4423,0.087526803865326,-1.55,218.6912,2018-02-02,222.3604,"Feb 2, 18",217.8232,217.8232,1377865,1377865,220.3558
