,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.190391,0.0,0.334,57.2314,2018-01-08,57.3075,"Jan 8, 18",56.7078,56.9077,3332690,3332690,57.0172
1,0.17027199999999998,0.0029738919544160004,0.298,57.4016,2018-01-09,57.75,"Jan 9, 18",57.2855,57.75,2865728,2865728,57.4554
2,-0.667686,-0.008691033243988,-1.163,56.734,2018-01-10,57.0485,"Jan 10, 18",56.4727,56.9856,3097204,3097204,56.6758
3,-0.522537,-0.017822384215657003,-0.921,56.2114,2018-01-11,56.884,"Jan 11, 18",56.0469,56.8017,2878463,2878463,56.4253
4,-0.232239,-0.021879597563575003,-0.41300000000000003,55.9792,2018-01-12,56.45,"Jan 12, 18",55.8623,56.3856,2585259,2585259,56.0478
5,0.5612429999999999,-0.012073791659823,1.003,56.5404,2018-01-16,56.8501,"Jan 16, 18",56.0276,56.0953,3961495,3961495,56.5755
6,0.667686,-0.000407119168847,1.181,57.2081,2018-01-17,57.5662,"Jan 17, 18",56.5985,56.7727,3186485,3186485,57.2285
7,-0.445123,-0.008184318398641,-0.778,56.763,2018-01-18,57.3146,"Jan 18, 18",56.4824,57.3146,2298759,2298759,56.8514
8,0.435447,-0.000576606548153,0.767,57.1984,2018-01-19,57.63,"Jan 19, 18",56.734,56.9565,4130381,4130381,57.2715
9,0.638656,0.010583351097474,1.117,57.8371,2018-01-22,57.8565,"Jan 22, 18",57.0823,57.2662,3154723,3154723,57.6151
10,0.019354,0.010922325856085002,0.033,57.8565,2018-01-23,58.1177,"Jan 23, 18",57.2662,57.5855,2682866,2682866,57.9019
11,-0.06773699999999999,0.009737661493515001,-0.117,57.7887,2018-01-24,58.1758,"Jan 24, 18",57.7887,57.9822,4391280,4391280,57.9169
12,0.406417,0.016838658498656,0.7030000000000001,58.1951,2018-01-25,58.7273,"Jan 25, 18",57.6242,57.9919,2352284,2352284,58.189
13,0.058060999999999995,0.017853835481920002,0.1,58.2532,2018-01-26,58.2532,"Jan 26, 18",57.4791,58.2048,5439049,5439049,57.9006
14,-0.5999500000000001,0.007370080060945001,-1.03,57.6532,2018-01-29,58.5338,"Jan 29, 18",57.5952,58.3983,2263368,2263368,57.9263
15,-0.967661,-0.009536722847947,-1.678,56.6856,2018-01-30,58.0113,"Jan 30, 18",56.6759,57.5081,3177035,3177035,56.9969
16,-0.08709,-0.011058614676558,-0.154,56.5985,2018-01-31,57.0243,"Jan 31, 18",56.3372,56.7533,3535157,3535157,56.6612
17,-0.5902729999999999,-0.021372882718228,-1.043,56.0082,2018-02-01,57.1017,"Feb 1, 18",55.8486,56.9952,3538593,3538593,56.2041
18,-1.8676,-0.054005318758583006,-3.334,54.1406,2018-02-02,55.7373,"Feb 2, 18",54.0729,55.7276,4130248,4130248,54.6907
19,-1.8773,-0.086805494885674,-3.467,52.2634,2018-02-05,54.5132,"Feb 5, 18",52.2634,54.0245,4534567,4534567,53.2241
