,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,3.92,0.0,0.353,1114.21,2018-01-08,1119.16,"Jan 8, 18",1110.0,1111.0,1232221,1232221,1115.21
1,-1.42,-0.0012744455713010001,-0.127,1112.79,2018-01-09,1118.44,"Jan 9, 18",1108.2,1118.44,1340381,1340381,1113.91
2,-2.65,-0.003652812306477,-0.23800000000000002,1110.14,2018-01-10,1112.78,"Jan 10, 18",1103.98,1107.0,1036655,1036655,1107.84
3,1.9100000000000001,-0.0019385932633880002,0.17200000000000001,1112.05,2018-01-11,1114.85,"Jan 11, 18",1106.48,1112.31,1121216,1121216,1109.6
4,18.6,0.014754848726900001,1.673,1130.65,2018-01-12,1131.3,"Jan 12, 18",1108.01,1110.1,1929306,1929306,1125.97
5,0.05,0.01479972357096,0.004,1130.7,2018-01-16,1148.88,"Jan 16, 18",1126.66,1140.31,1823100,1823100,1135.7
6,8.4,0.022338697373026,0.743,1139.1,2018-01-17,1139.32,"Jan 17, 18",1123.49,1136.36,1391510,1391510,1133.06
7,-3.13,0.019529532134875002,-0.275,1135.97,2018-01-18,1140.59,"Jan 18, 18",1124.46,1139.35,1374873,1374873,1133.49
8,7.53,0.026287683650299,0.663,1143.5,2018-01-19,1143.78,"Jan 19, 18",1132.5,1138.03,1527554,1527554,1139.67
9,20.66,0.044829969215857,1.807,1164.16,2018-01-22,1166.88,"Jan 22, 18",1141.82,1143.82,1477520,1477520,1159.46
10,12.01,0.055608906759049004,1.032,1176.17,2018-01-23,1178.51,"Jan 23, 18",1167.25,1170.62,1956865,1956865,1174.71
11,-4.88,0.051229121978801,-0.41500000000000004,1171.29,2018-01-24,1187.05,"Jan 24, 18",1167.4,1184.98,1856429,1856429,1176.36
12,10.85,0.060966963139803,0.926,1182.14,2018-01-25,1185.0,"Jan 25, 18",1171.84,1180.71,1499247,1499247,1179.35
13,5.42,0.06583139623589801,0.458,1187.56,2018-01-26,1187.56,"Jan 26, 18",1168.03,1187.53,2108502,2108502,1181.9
14,-1.08,0.064862099604203,-0.091,1186.48,2018-01-29,1198.0,"Jan 29, 18",1184.06,1188.0,1574708,1574708,1189.36
15,-9.11,0.056685903016486,-0.768,1177.37,2018-01-30,1187.93,"Jan 30, 18",1174.51,1177.72,1866883,1866883,1180.37
16,4.85,0.061038762890298005,0.41200000000000003,1182.22,2018-01-31,1186.32,"Jan 31, 18",1172.1,1183.81,1801135,1801135,1180.26
17,-0.63,0.060473339855143006,-0.053,1181.59,2018-02-01,1187.45,"Feb 1, 18",1169.36,1175.99,3675709,3675709,1179.07
18,-62.39,0.004478509437179001,-5.28,1119.2,2018-02-02,1131.3,"Feb 2, 18",1111.17,1127.42,5892122,5892122,1120.93
19,-56.81,-0.046508288383697007,-5.076,1062.39,2018-02-05,1114.99,"Feb 5, 18",1056.74,1100.61,4177469,4177469,1086.89
20,22.04,-0.026727457122086,2.075,1084.43,2018-02-06,1087.38,"Feb 6, 18",1030.01,1033.98,3831524,3831524,1064.64
21,-29.02,-0.052772816614462,-2.676,1055.41,2018-02-07,1086.53,"Feb 7, 18",1054.62,1084.97,2597094,2597094,1067.32
22,-47.7,-0.095583417847622,-4.52,1007.71,2018-02-08,1063.93,"Feb 8, 18",1004.7,1059.87,3339601,3339601,1031.73
23,38.56,-0.060975938108615006,3.826,1046.27,2018-02-09,1051.72,"Feb 9, 18",997.0,1025.88,4917970,4917970,1026.59
24,8.29,-0.05353568896348,0.792,1054.56,2018-02-12,1065.57,"Feb 12, 18",1045.49,1056.67,2812011,2812011,1056.37
25,-0.42,-0.053912637653584006,-0.04,1054.14,2018-02-13,1061.22,"Feb 13, 18",1046.92,1050.0,1579258,1579258,1054.76
26,18.56,-0.037255095538543004,1.7610000000000001,1072.7,2018-02-14,1075.47,"Feb 14, 18",1049.8,1054.32,2065202,2065202,1067.64
27,18.66,-0.020507803735382,1.74,1091.36,2018-02-15,1094.1,"Feb 15, 18",1067.23,1083.45,1869763,1869763,1084.57
28,4.14,-0.01679216664722,0.379,1095.5,2018-02-16,1108.31,"Feb 16, 18",1091.55,1093.38,1997405,1997405,1099.38
29,8.09,-0.009531416878326001,0.738,1103.59,2018-02-20,1116.29,"Feb 20, 18",1090.0,1092.76,1687656,1687656,1105.76
30,10.16,-0.000412848565351,0.921,1113.75,2018-02-21,1136.2,"Feb 21, 18",1107.51,1109.1,2074321,2074321,1123.03
31,-3.85,-0.0038682115579640004,-0.34600000000000003,1109.9,2018-02-22,1125.46,"Feb 22, 18",1105.15,1119.17,1400536,1400536,1114.63
32,18.19,0.012457256711032,1.639,1128.09,2018-02-23,1129.0,"Feb 23, 18",1108.44,1118.66,1264638,1264638,1120.0
