,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.465948,0.0,0.492,95.1119,2018-01-08,95.6749,"Jan 8, 18",94.6459,94.8789,836175,836175,95.1375
1,0.9416059999999999,0.009899917886195,0.99,96.0535,2018-01-09,96.3933,"Jan 9, 18",95.2769,95.2769,1006357,1006357,95.8872
2,0.436828,0.014492403158805001,0.455,96.4903,2018-01-10,96.7233,"Jan 10, 18",95.4128,95.5196,912939,912939,96.3119
3,2.4268,0.040007612086395,2.515,98.9171,2018-01-11,98.9851,"Jan 11, 18",96.0341,96.4806,886890,886890,97.954
4,1.3396,0.054093126096734,1.354,100.2568,2018-01-12,100.3635,"Jan 12, 18",98.6551,98.9657,1026097,1026097,99.7652
5,-0.46595000000000003,0.049193634024764,-0.465,99.7908,2018-01-16,101.8099,"Jan 16, 18",99.6937,100.9945,1070906,1070906,100.6352
6,0.660096,0.056133880197956,0.661,100.4509,2018-01-17,100.7615,"Jan 17, 18",99.8102,100.0723,633524,633524,100.4481
7,-0.533901,0.05052049217816,-0.532,99.917,2018-01-18,100.7907,"Jan 18, 18",99.1598,100.713,610554,610554,99.8975
8,1.1746,0.06287015610034001,1.176,101.0916,2018-01-19,101.3925,"Jan 19, 18",100.1209,100.1209,612959,612959,100.8505
9,-0.009707,0.062768170964937,-0.01,101.0819,2018-01-22,101.1984,"Jan 22, 18",99.9752,101.1984,738708,738708,100.6314
10,0.582437,0.06889148466175,0.5760000000000001,101.6643,2018-01-23,101.8293,"Jan 23, 18",100.5967,100.8489,542733,542733,101.4553
11,1.8444,0.088283379892526,1.814,103.5087,2018-01-24,103.6252,"Jan 24, 18",101.2857,101.9264,726655,726655,103.0584
12,-0.31063399999999997,0.085017752773312,-0.30000000000000004,103.1981,2018-01-25,103.6834,"Jan 25, 18",102.1793,102.8389,860228,860228,103.064
13,1.2328000000000001,0.09797932750791401,1.195,104.4309,2018-01-26,104.4794,"Jan 26, 18",102.9165,103.4213,504592,504592,103.9811
14,-0.553315,0.09216196921731101,-0.53,103.8776,2018-01-29,104.5959,"Jan 29, 18",103.6931,104.4309,579738,579738,104.0723
15,-1.7667000000000002,0.07358595506976501,-1.701,102.1108,2018-01-30,103.7805,"Jan 30, 18",101.7905,103.5669,674009,674009,102.5023
