,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.619787,0.0,0.599,104.1443,2018-01-08,104.794,"Jan 8, 18",103.0446,103.5145,577055,577055,104.0966
1,0.629784,0.006047378493110001,0.605,104.7741,2018-01-09,106.4835,"Jan 9, 18",104.5941,105.3239,1353435,1353435,105.1548
2,-1.2396,-0.0058553372580160004,-1.183,103.5345,2018-01-10,104.4342,"Jan 10, 18",102.9747,104.4342,1222986,1222986,103.4744
3,0.429851,-0.0017283711158460001,0.41500000000000004,103.9643,2018-01-11,104.1543,"Jan 11, 18",102.7248,103.6944,658275,658275,103.6764
4,-0.739746,-0.008831016195797,-0.712,103.2246,2018-01-12,104.5141,"Jan 12, 18",102.9247,104.5141,843457,843457,103.2385
5,1.3395000000000001,0.004030945524623001,1.298,104.5641,2018-01-16,105.3738,"Jan 16, 18",103.4845,103.5845,1553288,1553288,104.5399
6,1.1996,0.015549578805561001,1.147,105.7637,2018-01-17,106.1336,"Jan 17, 18",104.6741,104.964,804918,804918,105.5565
7,0.37986899999999996,0.019197402066171,0.359,106.1436,2018-01-18,106.7434,"Jan 18, 18",105.1949,106.0136,642029,642029,106.0897
8,1.8294000000000001,0.036763413840219,1.7229999999999999,107.973,2018-01-19,108.0229,"Jan 19, 18",104.6141,106.8433,1077177,1077177,107.4917
9,1.0896,0.04722582032814,1.009,109.0626,2018-01-22,109.1226,"Jan 22, 18",107.2282,107.7031,875418,875418,108.4555
10,0.789728,0.054808568495827006,0.724,109.8523,2018-01-23,109.9623,"Jan 23, 18",108.6327,109.1326,1216075,1216075,109.686
11,2.2792,0.076693587647139,2.075,112.1315,2018-01-24,112.2315,"Jan 24, 18",110.1222,110.2022,1325386,1325386,111.6639
12,0.029989,0.07698164949978001,0.027,112.1615,2018-01-25,113.0712,"Jan 25, 18",111.9016,112.6314,846320,846320,112.3132
13,1.0596,0.087156954341236,0.9450000000000001,113.2212,2018-01-26,113.2212,"Jan 26, 18",111.9116,112.4514,682045,682045,112.7881
14,-0.839712,0.079093142879639,-0.742,112.3814,2018-01-29,113.2212,"Jan 29, 18",111.8716,112.8413,792499,792499,112.5453
15,-1.0396,0.069110839479453,-0.925,111.3418,2018-01-30,112.6014,"Jan 30, 18",110.4821,111.4718,717440,717440,111.6665
16,0.39986299999999997,0.072950703975157,0.359,111.7417,2018-01-31,112.8613,"Jan 31, 18",111.1319,111.7517,941578,941578,111.9937
17,-0.189936,0.07112631224176401,-0.17,111.5517,2018-02-01,112.1765,"Feb 1, 18",110.652,111.6317,964985,964985,111.4529
18,-2.8689999999999998,0.04357799706753,-2.572,108.6827,2018-02-02,110.902,"Feb 2, 18",108.5628,110.902,1053201,1053201,109.5109
19,-3.7387,0.007678768785233001,-3.44,104.944,2018-02-05,109.3725,"Feb 5, 18",104.6941,108.0029,1013183,1013183,106.6988
20,1.0296,0.017565051567872,0.981,105.9736,2018-02-06,106.3035,"Feb 6, 18",101.5562,103.2646,1256877,1256877,104.8671
21,0.309893,0.020540730505654,0.292,106.2835,2018-02-07,108.0229,"Feb 7, 18",105.3938,105.3938,770089,770089,106.8062
22,-5.728,-0.034459879225267005,-5.389,100.5555,2018-02-08,106.9433,"Feb 8, 18",100.4455,106.3535,1454498,1454498,103.7497
23,3.3389,-0.0023995552324990004,3.32,103.8944,2018-02-09,104.814,"Feb 9, 18",99.4159,101.2553,1575669,1575669,102.3156
24,2.4692,0.021308895446030002,2.377,106.3635,2018-02-12,107.3532,"Feb 12, 18",104.3542,104.834,1900242,1900242,106.1345
25,0.44984599999999997,0.025628863029469002,0.423,106.8134,2018-02-13,108.0329,"Feb 13, 18",105.4288,105.5038,1248813,1248813,106.9513
26,0.72975,0.032635487491874005,0.683,107.5431,2018-02-14,108.1029,"Feb 14, 18",104.6691,106.1436,1503777,1503777,106.4524
27,4.7684,0.07842195876298501,4.434,112.3115,2018-02-15,112.3315,"Feb 15, 18",105.6737,106.7234,2883485,2883485,109.5163
28,1.9993,0.09761936082915701,1.78,114.3108,2018-02-16,114.8206,"Feb 16, 18",112.3914,112.6514,1686790,1686790,113.9597
29,0.37987099999999996,0.10126718408976701,0.332,114.6907,2018-02-20,115.2005,"Feb 20, 18",113.661,113.9609,1343004,1343004,114.4711
30,-2.4891,0.077365731969968,-2.17,112.2015,2018-02-21,115.2005,"Feb 21, 18",112.1815,114.7006,870872,870872,113.5796
31,-0.21992599999999998,0.07525423859011,-0.196,111.9816,2018-02-22,113.811,"Feb 22, 18",111.6617,112.9612,960842,960842,112.4264
