,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-3.6596,0.0,-1.452,248.3885,2018-01-08,251.7127,"Jan 8, 18",248.2011,251.2886,2940546,2940546,249.3891
1,2.1011,0.008458926238533001,0.846,250.4896,2018-01-09,252.1258,"Jan 9, 18",249.1875,249.3651,2637346,2637346,250.3559
2,0.38470099999999996,0.010007709696705001,0.154,250.8743,2018-01-10,251.6831,"Jan 10, 18",248.9212,251.5352,2927210,2927210,250.6345
3,0.7891300000000001,0.013184587853302001,0.315,251.6634,2018-01-11,252.4131,"Jan 11, 18",249.5327,252.275,2422405,2422405,251.0481
4,1.8742,0.020730025745958003,0.745,253.5376,2018-01-12,253.8039,"Jan 12, 18",250.6375,252.275,2849176,2849176,252.4677
5,1.4106,0.026408630029168004,0.556,254.9481,2018-01-16,258.2132,"Jan 16, 18",252.912,255.7274,4445460,4445460,255.394
6,-4.7446,0.007307101576763001,-1.861,250.2035,2018-01-17,258.44,"Jan 17, 18",245.4553,257.4339,8608134,8608134,249.2099
7,-2.6436,-0.003335903232234,-1.057,247.5599,2018-01-18,251.0814,"Jan 18, 18",247.1949,251.0321,4984536,4984536,248.1436
8,5.08,0.017115929280139,2.052,252.6399,2018-01-19,252.6597,"Jan 19, 18",246.8596,247.5895,4643375,4643375,250.1122
9,5.3266,0.038560963973775,2.108,257.9666,2018-01-22,259.2981,"Jan 22, 18",251.7226,251.979,5264672,5264672,257.0904
10,-1.4106,0.032881957095437,-0.547,256.556,2018-01-23,256.7237,"Jan 23, 18",253.36,254.4944,4003561,4003561,255.4975
11,5.514,0.055081052464184,2.149,262.07,2018-01-24,262.1687,"Jan 24, 18",256.7631,257.1972,4313964,4313964,260.0415
12,3.3045,0.068384808475432,1.2610000000000001,265.3745,2018-01-25,266.8246,"Jan 25, 18",261.4091,262.7309,5054952,5054952,264.7265
13,-0.877907,0.064850425844996,-0.331,264.4966,2018-01-26,265.3449,"Jan 26, 18",262.435,263.8555,3535395,3535395,264.1641
