,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.0,0.0,0.0,234.0039,2018-01-08,234.7307,"Jan 8, 18",230.5368,233.061,954770,954770,233.1972
1,-0.942892,-0.004029420022486001,-0.403,233.061,2018-01-09,235.5067,"Jan 9, 18",232.2016,234.2593,764539,764539,233.6628
2,-5.4413,-0.027282023932079003,-2.335,227.6198,2018-01-10,229.1569,"Jan 10, 18",223.583,226.392,835859,835859,227.0001
3,5.8636,-0.002224321902327,2.576,233.4834,2018-01-11,233.7584,"Jan 11, 18",227.5707,228.3564,677764,677764,231.4869
4,-2.0135,-0.010828879347737,-0.862,231.4699,2018-01-12,235.4281,"Jan 12, 18",231.1458,234.2593,932861,932861,232.5179
5,-3.7912,-0.027030318725457,-1.638,227.6787,2018-01-16,233.2968,"Jan 16, 18",227.0403,232.9432,920960,920960,229.5538
6,-6.4627,-0.054648234495236,-2.839,221.216,2018-01-17,224.2804,"Jan 17, 18",219.6347,223.5634,1752866,1752866,221.3728
7,2.259,-0.044994549236145,1.021,223.475,2018-01-18,226.313,"Jan 18, 18",221.9133,222.0999,1291719,1291719,223.5036
8,2.4751,-0.034417375095030005,1.108,225.9501,2018-01-19,227.7573,"Jan 19, 18",223.0723,224.408,658246,658246,226.1996
9,-0.186614,-0.035215225045394004,-0.083,225.7634,2018-01-22,226.392,"Jan 22, 18",219.2713,225.0366,970346,970346,223.4571
10,-0.40269299999999997,-0.036935709191171,-0.178,225.3608,2018-01-23,226.9715,"Jan 23, 18",221.9821,223.5044,1230988,1230988,225.3371
11,41.7622,0.14153225651367302,18.531,267.123,2018-01-24,269.3623,"Jan 24, 18",252.6948,253.785,4080742,4080742,261.0694
12,14.2121,0.20226671435817903,5.32,281.3351,2018-01-25,292.8315,"Jan 25, 18",269.3722,270.099,4860006,4860006,282.3803
13,-1.159,0.19731380545366903,-0.41200000000000003,280.1761,2018-01-26,285.0821,"Jan 26, 18",277.2885,282.8476,1377127,1377127,280.0708
14,-10.5879,0.152067123667596,-3.779,269.5882,2018-01-29,282.8476,"Jan 29, 18",268.773,280.4413,1548725,1548725,272.9956
15,0.952714,0.15613842333397002,0.353,270.5409,2018-01-30,271.8227,"Jan 30, 18",264.3041,268.6061,1096032,1096032,268.9044
16,-5.6868,0.13183626426739,-2.102,264.8541,2018-01-31,272.466,"Jan 31, 18",262.7425,271.0615,1725956,1725956,265.6454
17,-3.4671,0.117019844541052,-1.309,261.387,2018-02-01,267.4373,"Feb 1, 18",259.5307,262.271,901911,901911,262.0886
18,-6.3252,0.08998952581559501,-2.42,255.0618,2018-02-02,260.4638,"Feb 2, 18",254.8457,260.395,845462,845462,257.0052
19,-5.4806,0.066568975987152,-2.149,249.5813,2018-02-05,257.3405,"Feb 5, 18",245.8785,253.2546,1348140,1348140,252.5534
20,4.8127,0.087135299881754,1.928,254.3939,2018-02-06,258.4109,"Feb 6, 18",242.7649,242.7649,1207778,1207778,253.8191
21,0.864316,0.090829255409845,0.34,255.2583,2018-02-07,257.8316,"Feb 7, 18",252.0858,254.3939,1038423,1038423,255.2329
22,-1.267,0.085414388392672,-0.496,253.9912,2018-02-08,260.3066,"Feb 8, 18",252.7342,254.9636,910832,910832,256.1202
23,9.8905,0.127680777969939,3.894,263.8817,2018-02-09,265.8558,"Feb 9, 18",253.1918,256.074,1808077,1808077,259.8675
24,2.063,0.136496870351306,0.782,265.9447,2018-02-12,268.4814,"Feb 12, 18",264.3802,265.9447,1331586,1331586,266.3943
25,1.9149,0.14468006729802302,0.72,267.8596,2018-02-13,269.0539,"Feb 13, 18",262.5047,263.7238,881362,881362,267.0157
26,-6.5442,0.116713439391394,-2.443,261.3153,2018-02-14,266.0236,"Feb 14, 18",258.1454,265.1353,1160797,1160797,261.3006
27,4.7576,0.137045151811572,1.8210000000000002,266.073,2018-02-15,268.3531,"Feb 15, 18",260.2592,263.2598,807812,807812,264.4792
28,-2.8427,0.12489663633811202,-1.068,263.2302,2018-02-16,267.6918,"Feb 16, 18",263.1611,265.9644,507062,507062,264.984
29,-3.0303,0.11194685216784801,-1.151,260.1999,2018-02-20,264.6023,"Feb 20, 18",259.1734,261.0686,478835,478835,261.7446
30,-1.7965,0.10427005703751101,-0.6900000000000001,258.4035,2018-02-21,263.4869,"Feb 21, 18",258.3936,260.9106,549768,549768,261.0214
31,1.7866,0.111904972523962,0.6910000000000001,260.1901,2018-02-22,262.717,"Feb 22, 18",259.1043,260.2098,683780,683780,260.6088
32,2.5564999999999998,0.12283000411531601,0.983,262.7466,2018-02-23,263.1414,"Feb 23, 18",259.7459,261.4436,469960,469960,261.7177
33,4.5701,0.14236002049538501,1.7389999999999999,267.3167,2018-02-26,267.8596,"Feb 26, 18",262.7861,263.783,499009,499009,265.8739
34,-5.9619,0.11688223999685401,-2.23,261.3548,2018-02-27,270.4555,"Feb 27, 18",261.3548,268.1853,608682,608682,263.8183
35,-3.1882,0.10325768074805601,-1.22,258.1666,2018-02-28,263.783,"Feb 28, 18",258.1666,263.1513,741364,741364,260.2134
36,-5.7645,0.07862347593352001,-2.233,252.4021,2018-03-01,259.1142,"Mar 1, 18",250.7241,257.5941,1043301,1043301,254.2263
37,-0.404696,0.07689401757833901,-0.16,251.9974,2018-03-02,252.4219,"Mar 2, 18",245.5322,250.122,902288,902288,249.8187
38,4.4714,0.09600224611641,1.774,256.4688,2018-03-05,258.1222,"Mar 5, 18",250.9906,251.5533,701090,701090,256.1345
39,7.8274,0.129452543312312,3.052,264.2963,2018-03-06,269.7152,"Mar 6, 18",257.4559,259.4893,1232407,1232407,265.4633
