,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.461651,0.0,0.907,51.3611,2018-01-08,51.4299,"Jan 8, 18",50.4869,50.7423,7611860,7611860,51.0305
1,-0.176803,-0.0034422938761040005,-0.34400000000000003,51.1843,2018-01-09,51.7246,"Jan 9, 18",50.6834,51.4987,8587371,8587371,51.1633
2,0.353605,0.0034422938761040005,0.6910000000000001,51.5379,2018-01-10,51.6558,"Jan 10, 18",50.7423,51.1745,9714221,9714221,51.3334
3,0.844723,0.019890539727536002,1.639,52.3827,2018-01-11,52.7363,"Jan 11, 18",51.2924,51.6362,9086720,9086720,52.3118
4,-0.18662399999999998,0.01625549297036,-0.356,52.196,2018-01-12,52.5693,"Jan 12, 18",51.7442,52.2353,9026830,9026830,52.1822
5,-0.99206,-0.00305873511276,-1.901,51.204,2018-01-16,52.2648,"Jan 16, 18",50.9782,52.088,10231608,10231608,51.5088
6,0.7072109999999999,0.010710440391658001,1.381,51.9112,2018-01-17,52.3827,"Jan 17, 18",51.1745,51.5478,8479932,8479932,51.9128
7,-0.481296,0.0013395351735060001,-0.927,51.4299,2018-01-18,52.1273,"Jan 18, 18",51.2831,51.6951,8387985,8387985,51.6358
8,0.638454,0.013769175504418,1.241,52.0683,2018-01-19,52.2353,"Jan 19, 18",50.5066,51.0959,10387970,10387970,51.7358
9,3.3298,0.07860034150358901,6.395,55.3981,2018-01-22,55.4423,"Jan 22, 18",52.6872,53.0604,17802754,17802754,54.4975
10,0.422361,0.08682446442930501,0.762,55.8205,2018-01-23,56.8322,"Jan 23, 18",55.4669,55.624,13756767,13756767,56.0618
11,-1.4635,0.058330137010305004,-2.622,54.357,2018-01-24,55.8303,"Jan 24, 18",54.3373,55.7223,12321206,12321206,54.7618
12,-0.137514,0.055651066663291004,-0.253,54.2194,2018-01-25,55.2606,"Jan 25, 18",54.1703,54.6811,9436063,9436063,54.6114
13,0.402717,0.06349357782446201,0.743,54.6222,2018-01-26,54.961,"Jan 26, 18",54.1802,54.5141,7495075,7495075,54.5936
14,-0.795611,0.048003255381991,-1.457,53.8266,2018-01-29,54.6123,"Jan 29, 18",53.6399,54.3373,8567477,8567477,54.0048
15,-0.648277,0.035380862170008,-1.204,53.1783,2018-01-30,53.2863,"Jan 30, 18",52.142,53.2765,10719509,10719509,52.7528
16,-0.432183,0.026965933362019003,-0.8130000000000001,52.7461,2018-01-31,53.4631,"Jan 31, 18",51.8719,53.2176,8580754,8580754,52.6432
17,0.795613,0.04245625580449,1.508,53.5417,2018-02-01,53.7234,"Feb 1, 18",52.4809,52.6773,8530414,8530414,53.2973
18,-2.2788,-0.0019119528203250002,-4.256,51.2629,2018-02-02,53.1341,"Feb 2, 18",50.762,53.0408,14070770,14070770,51.6602
19,-2.1118,-0.043028673451308,-4.12,49.1511,2018-02-05,51.4888,"Feb 5, 18",48.7877,50.5754,12398528,12398528,50.0832
20,0.579521,-0.031745815412831,1.179,49.7306,2018-02-06,50.3593,"Feb 6, 18",47.7072,47.8938,11153185,11153185,49.2514
21,-0.923304,-0.049722455321245,-1.857,48.8073,2018-02-07,50.4968,"Feb 7, 18",48.7926,49.8681,8631553,8631553,49.4606
22,-2.2395,-0.09332549341817001,-4.588,46.5678,2018-02-08,49.1118,"Feb 8, 18",46.5334,49.0529,13885437,13885437,47.4081
23,-0.697388,-0.106903863040316,-1.498,45.870400000000004,2018-02-09,47.2063,"Feb 9, 18",44.2989,46.892,17765779,17765779,45.675
24,1.1983,-0.08357102943667401,2.612,47.0688,2018-02-12,47.6385,"Feb 12, 18",46.45,46.5678,12278292,12278292,47.0605
25,-0.520585,-0.09370710518271601,-1.106,46.5482,2018-02-13,46.8723,"Feb 13, 18",46.0374,46.7053,6857707,6857707,46.5119
26,0.471474,-0.084527005846837,1.013,47.0197,2018-02-14,47.3241,"Feb 14, 18",45.8803,46.0472,8741217,8741217,46.7836
27,-0.962592,-0.10326881628314001,-2.047,46.0571,2018-02-15,46.8036,"Feb 15, 18",45.507,46.6562,15759719,15759719,46.0889
28,0.5991639999999999,-0.091604346480118,1.301,46.6562,2018-02-16,47.1375,"Feb 16, 18",45.7035,45.9294,12205873,12205873,46.6332
29,-0.333961,-0.09810537546898301,-0.716,46.3223,2018-02-20,47.1277,"Feb 20, 18",45.9294,46.7545,7426117,7426117,46.4369
30,-0.5991639999999999,-0.10977179227080401,-1.293,45.7231,2018-02-21,46.7741,"Feb 21, 18",45.6936,46.0964,9845933,9845933,46.2115
31,0.569697,-0.09867974011460001,1.246,46.2928,2018-02-22,47.0688,"Feb 22, 18",45.9932,46.0964,8272980,8272980,46.4914
32,1.2966,-0.073434953690633,2.801,47.5894,2018-02-23,47.7907,"Feb 23, 18",46.3714,46.6366,9069926,9069926,47.3114
33,-0.21609199999999998,-0.077642418094628,-0.454,47.3733,2018-02-26,47.5992,"Feb 26, 18",46.7741,47.3831,8123047,8123047,47.2734
34,-0.5991639999999999,-0.089308834896448,-1.2650000000000001,46.7741,2018-02-27,48.0706,"Feb 27, 18",46.7643,47.4617,5941330,5941330,47.3329
35,-1.1787,-0.112258109736746,-2.52,45.5954,2018-02-28,47.2456,"Feb 28, 18",45.5414,47.1572,10558630,10558630,46.2081
36,-0.38307199999999997,-0.119717062134572,-0.84,45.2123,2018-03-01,46.0718,"Mar 1, 18",44.6525,45.1141,10113111,10113111,45.4532
37,0.0,-0.119717062134572,0.0,45.2123,2018-03-02,45.3793,"Mar 2, 18",44.3627,44.898,6151538,6151538,44.9163
38,0.22591499999999998,-0.11531684484950601,0.5,45.4383,2018-03-05,45.6347,"Mar 5, 18",44.2203,44.7703,11767937,11767937,45.1636
39,-0.157774,-0.11838920895385802,-0.34700000000000003,45.2805,2018-03-06,45.9411,"Mar 6, 18",44.9847,45.9313,5634424,5634424,45.403
40,-0.08874699999999999,-0.12011814388710501,-0.196,45.1917,2018-03-07,45.3199,"Mar 7, 18",44.3536,44.7874,7735392,7735392,44.9593
41,0.17749299999999998,-0.11666222101940901,0.393,45.3692,2018-03-08,45.6256,"Mar 8, 18",44.9255,45.2115,9825994,9825994,45.2814
42,0.966352,-0.097846424628756,2.13,46.3356,2018-03-09,46.6708,"Mar 9, 18",45.7637,45.8327,7326041,7326041,46.3359
43,-0.069025,-0.09918985379986,-0.149,46.2666,2018-03-12,46.799,"Mar 12, 18",46.0891,46.2567,5319873,5319873,46.3375
44,-0.8085789999999999,-0.114933286086162,-1.748,45.458,2018-03-13,46.5624,"Mar 13, 18",45.1917,46.4243,6439086,6439086,45.6493
45,0.138049,-0.112246427743954,0.304,45.596,2018-03-14,46.306,"Mar 14, 18",45.5122,45.7341,5988343,5988343,45.85
46,-0.936769,-0.13048396549139302,-2.054,44.6593,2018-03-15,45.8721,"Mar 15, 18",44.4029,45.7538,6871720,6871720,44.8408
