,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.44983399999999996,0.0,-0.23900000000000002,187.796,2018-01-08,189.4389,"Jan 8, 18",187.3657,187.4831,3508451,3508451,188.1344
1,1.0366,0.005519819378474,0.552,188.8326,2018-01-09,189.1944,"Jan 9, 18",187.4048,188.4414,3012324,3012324,188.4063
2,-1.2713,-0.001249760378282,-0.673,187.5613,2018-01-10,188.946,"Jan 10, 18",187.4146,188.5001,3119520,3119520,187.9492
3,2.8164,0.013746831668406002,1.502,190.3776,2018-01-11,190.4265,"Jan 11, 18",187.1701,187.4439,3899237,3899237,189.052
4,1.7015,0.022807727534132002,0.894,192.0792,2018-01-12,195.0129,"Jan 12, 18",190.5145,191.1795,6748410,6748410,192.8127
5,-0.107569,0.022234765383714,-0.056,191.9716,2018-01-16,194.5529,"Jan 16, 18",191.3751,193.4874,5692715,5692715,192.8431
6,3.4324,0.040512577477688,1.788,195.4041,2018-01-17,195.4041,"Jan 17, 18",192.49,193.1353,3996052,3996052,194.6435
7,-1.4571,0.032753626275320004,-0.746,193.947,2018-01-18,195.8148,"Jan 18, 18",193.2918,195.3649,4474606,4474606,194.3033
8,2.9337,0.048375364757502,1.513,196.8807,2018-01-19,196.8807,"Jan 19, 18",194.7293,195.3943,5809640,5809640,196.2209
9,3.0608,0.064673901467549,1.5550000000000002,199.9415,2018-01-22,199.9513,"Jan 22, 18",197.0567,197.1447,4857697,4857697,198.7476
10,0.43027699999999997,0.066965217576519,0.215,200.3718,2018-01-23,201.7897,"Jan 23, 18",199.6393,200.362,3621745,3621745,200.4592
11,1.2908,0.073838633410722,0.644,201.6626,2018-01-24,202.5232,"Jan 24, 18",200.0305,200.6652,4370661,4370661,201.5094
12,-0.831214,0.069412554048009,-0.41200000000000003,200.8314,2018-01-25,202.2591,"Jan 25, 18",199.3352,202.2298,3537694,3537694,200.5557
13,1.8189000000000002,0.079098063856525,0.906,202.6503,2018-01-26,202.7283,"Jan 26, 18",199.922,201.0563,3778050,3778050,201.5605
14,-2.2589,0.06706905365396501,-1.115,200.3913,2018-01-29,203.017,"Jan 29, 18",200.186,202.6503,3632937,3632937,201.3483
15,-3.0413,0.050874885514068005,-1.518,197.3501,2018-01-30,198.6605,"Jan 30, 18",187.3364,197.0176,5979620,5979620,196.4475
16,-0.8898889999999999,0.046136232933608,-0.451,196.4602,2018-01-31,200.5507,"Jan 31, 18",195.805,198.7289,4547323,4547323,197.3948
17,-0.977899,0.040928986772881,-0.498,195.4823,2018-02-01,197.7803,"Feb 1, 18",193.8981,194.9347,3553795,3553795,196.0524
18,-5.7989,0.010049734818633001,-2.966,189.6833,2018-02-02,194.8955,"Feb 2, 18",189.165,194.8466,6178952,6178952,191.4984
19,-10.62,-0.04650099043643,-5.599,179.0633,2018-02-05,190.0012,"Feb 5, 18",176.3937,185.8695,10618526,10618526,184.3112
20,7.7548,-0.005207246160727001,4.331,186.8181,2018-02-06,187.7178,"Feb 6, 18",171.5433,174.6726,11682716,11682716,182.4785
21,0.244475,-0.0039053014973690005,0.131,187.0626,2018-02-07,190.2163,"Feb 7, 18",185.5273,186.5149,6016847,6016847,188.1603
22,-9.8475,-0.05634252060746701,-5.264,177.2151,2018-02-08,186.9159,"Feb 8, 18",176.9315,186.9159,7241823,7241823,181.3017
23,2.8359,-0.041241559990628,1.6,180.051,2018-02-09,181.8895,"Feb 9, 18",171.9051,179.2002,9059239,9059239,177.022
24,-0.058674,-0.041554133208375005,-0.033,179.9923,2018-02-12,182.8771,"Feb 12, 18",179.3567,182.4273,6783710,6783710,180.767
25,-0.332486,-0.043324138959296,-0.185,179.6599,2018-02-13,179.9239,"Feb 13, 18",176.8924,179.1807,4273771,4273771,178.434
26,0.9485629999999999,-0.038273445653794,0.528,180.6084,2018-02-14,180.9702,"Feb 14, 18",177.0489,177.8605,6767034,6767034,179.1665
27,0.567183,-0.035253147031885,0.314,181.1756,2018-02-15,183.0532,"Feb 15, 18",179.2051,182.6131,5113323,5113323,180.7001
28,1.6623999999999999,-0.026400988306460003,0.918,182.838,2018-02-16,183.8355,"Feb 16, 18",180.7747,180.9702,7619162,7619162,182.6923
29,-0.254254,-0.027754584762188002,-0.139,182.5838,2018-02-20,187.2092,"Feb 20, 18",182.1926,185.7033,8922129,8922129,184.0782
30,-3.5693,-0.046761379369102005,-1.955,179.0144,2018-02-21,183.8257,"Feb 21, 18",178.8189,183.0727,7527186,7527186,180.6849
31,2.3567,-0.034211591301199,1.317,181.3712,2018-02-22,182.1045,"Feb 22, 18",178.8678,179.6599,5653924,5653924,180.7999
32,2.8164,-0.01921499925451,1.553,184.1875,2018-02-23,184.2462,"Feb 23, 18",181.5179,182.085,4315388,4315388,182.8597
33,0.107569,-0.018642037104091,0.058,184.2951,2018-02-26,185.5957,"Feb 26, 18",183.7085,184.9894,4647963,4647963,184.4173
34,-3.4031000000000002,-0.03676329634284,-1.847,180.892,2018-02-27,185.0676,"Feb 27, 18",180.8724,184.696,4618805,4618805,182.5442
35,-2.6501,-0.050874885514068005,-1.465,178.2419,2018-02-28,182.5246,"Feb 28, 18",178.2419,180.3346,6419903,6419903,180.1173
36,-2.5719000000000003,-0.064570065390104,-1.443,175.67,2018-03-01,180.3248,"Mar 1, 18",174.3107,178.7113,6123863,6123863,176.9011
37,-1.1539,-0.07071449871136701,-0.657,174.5161,2018-03-02,175.2251,"Mar 2, 18",172.4429,173.7925,5671038,5671038,173.9844
38,3.2075,-0.053634795203305004,1.838,177.7236,2018-03-05,178.2321,"Mar 5, 18",173.7729,173.9294,5748553,5748553,176.3521
39,-0.097789,-0.054155573068648,-0.055,177.6258,2018-03-06,178.9558,"Mar 6, 18",175.5429,178.7113,5306777,5306777,176.9699
40,-1.9964,-0.064786257428273,-1.124,175.6294,2018-03-07,177.026,"Mar 7, 18",173.8985,175.8655,4799246,4799246,175.6058
41,-0.6294259999999999,-0.06813776651259801,-0.358,175.0,2018-03-08,177.0063,"Mar 8, 18",173.81,176.4752,4750745,4750745,174.9485
42,4.1503,-0.04603772178321101,2.372,179.1503,2018-03-09,179.229,"Mar 9, 18",174.9803,176.0425,4477217,4477217,177.6909
43,-2.4095,-0.058868133506570004,-1.345,176.7408,2018-03-12,180.0354,"Mar 12, 18",176.5834,179.4158,4993318,4993318,177.67680000000001
44,-1.3375,-0.06599075592664301,-0.757,175.4032,2018-03-13,177.9603,"Mar 13, 18",174.9213,176.6228,6128147,6128147,176.2047
45,-0.924469,-0.07091311849027601,-0.527,174.4788,2018-03-14,176.6916,"Mar 14, 18",172.9839,176.1408,4531510,4531510,174.6316
46,0.649095,-0.067456708343095,0.372,175.1279,2018-03-15,176.8883,"Mar 15, 18",173.8002,174.7541,3936650,3936650,175.3674
47,0.8752949999999999,-0.06279579969754401,0.5,176.0032,2018-03-16,177.4194,"Mar 16, 18",175.0295,175.4819,8410919,8410919,176.1677
48,-1.8293,-0.072536688747364,-1.039,174.1739,2018-03-19,176.3572,"Mar 19, 18",173.0921,175.6983,4744511,4744511,174.542
