,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.32415299999999997,0.0,0.633,51.56,2018-01-08,51.6189,"Jan 8, 18",50.6818,51.334,3992385,3992385,51.3157
1,-0.029467999999999998,-0.000572148952676,-0.057,51.5305,2018-01-09,51.9627,"Jan 9, 18",51.0492,51.6876,3327178,3327178,51.601
2,0.530432,0.009714895267649001,1.029,52.0609,2018-01-10,52.4145,"Jan 10, 18",51.4912,51.8055,3376097,3376097,52.0711
3,1.6895,0.042482544608223004,3.245,53.7504,2018-01-11,54.497,"Jan 11, 18",52.2377,52.4637,5526625,5526625,53.7933
4,-0.176811,0.039053529868114,-0.329,53.5736,2018-01-12,54.0746,"Jan 12, 18",52.6601,53.6326,3675445,3675445,53.3013
5,-0.982282,0.020001939487975,-1.834,52.5913,2018-01-16,53.8487,"Jan 16, 18",52.3949,53.7013,5032307,5032307,52.9049
6,0.47149599999999997,0.029146625290923003,0.897,53.0628,2018-01-17,53.6817,"Jan 17, 18",52.4244,52.945,5967540,5967540,53.1522
7,-0.176811,0.025717610550814,-0.333,52.886,2018-01-18,53.5933,"Jan 18, 18",52.4342,52.886,3248520,3248520,53.0367
8,-1.2082,0.0022847168347550004,-2.285,51.6778,2018-01-19,52.1395,"Jan 19, 18",50.7348,52.1395,9125250,9125250,51.4828
9,0.844762,0.01866951124903,1.635,52.5226,2018-01-22,52.5717,"Jan 22, 18",50.7054,51.707300000000004,4949775,4949775,51.8677
10,0.147342,0.021526377036462003,0.281,52.6699,2018-01-23,53.3674,"Jan 23, 18",52.1788,52.9646,3878664,3878664,52.6751
11,0.255393,0.026479829325058,0.485,52.9253,2018-01-24,53.2888,"Jan 24, 18",52.1994,52.6012,3068019,3068019,52.9101
12,-0.284861,0.020956167571761,-0.538,52.6405,2018-01-25,53.554,"Jan 25, 18",52.2967,53.3379,4555317,4555317,52.8578
13,0.098227,0.022860744763382002,0.187,52.7387,2018-01-26,52.8959,"Jan 26, 18",52.2574,52.5913,2235446,2235446,52.5923
14,-1.3555000000000001,-0.0034309542280830004,-2.5700000000000003,51.3831,2018-01-29,52.611,"Jan 29, 18",51.2751,52.2083,3309717,3309717,51.7837
15,-1.7583000000000002,-0.037531031807602006,-3.422,49.6249,2018-01-30,50.9215,"Jan 30, 18",49.4382,50.7447,4153017,4153017,49.8158
16,-0.009823,-0.037723041117145,-0.02,49.615,2018-01-31,49.9097,"Jan 31, 18",48.7015,49.7329,4563552,4563552,49.4742
17,0.078582,-0.036198603568657006,0.158,49.6936,2018-02-01,50.4107,"Feb 1, 18",49.3154,49.674,3320576,3320576,49.8005
18,-2.7504,-0.08954228083785801,-5.535,46.9432,2018-02-02,49.0551,"Feb 2, 18",46.7173,49.0551,5479678,5479678,47.4618
19,-3.2415,-0.152410783553141,-6.905,43.7017,2018-02-05,47.0513,"Feb 5, 18",43.6526,44.8706,9397020,9397020,44.6718
