,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.371621,0.0,-0.6890000000000001,53.5723,2018-01-08,53.9243,"Jan 8, 18",53.4158,53.9146,1660871,1660871,53.5873
1,0.185811,0.003468210250446,0.34700000000000003,53.7581,2018-01-09,54.2079,"Jan 9, 18",53.5723,53.8461,2313811,2313811,53.9403
2,0.068456,0.0047449894815040005,0.127,53.8265,2018-01-10,54.0955,"Jan 10, 18",53.5918,53.9048,1891347,1891347,53.8949
3,0.048899,0.005657774633532,0.091,53.8754,2018-01-11,54.1835,"Jan 11, 18",53.6603,54.1395,1374098,1374098,53.8254
4,0.19559,0.009308915241645,0.363,54.071,2018-01-12,54.1101,"Jan 12, 18",53.6212,54.0906,2571800,2571800,53.9488
5,-0.048899,0.008396130089617001,-0.09,54.0221,2018-01-16,54.3155,"Jan 16, 18",53.8967,54.1884,1768652,1768652,54.0977
6,0.968174,0.026468902772514003,1.792,54.9903,2018-01-17,55.1761,"Jan 17, 18",54.0808,54.2764,2112833,2112833,54.8496
7,-0.136913,0.023913477674096,-0.249,54.8534,2018-01-18,55.225,"Jan 18, 18",54.5991,54.9805,1754616,1754616,54.8412
8,-0.127134,0.021540982933344003,-0.232,54.7263,2018-01-19,55.0001,"Jan 19, 18",54.3057,54.9218,2271552,2271552,54.6363
9,0.088016,0.023183622879734002,0.161,54.8143,2018-01-22,54.9267,"Jan 22, 18",54.4084,54.6774,2521401,2521401,54.7067
10,0.606331,0.034501038783102005,1.106,55.4206,2018-01-23,55.4646,"Jan 23, 18",54.6187,54.6676,3943676,3943676,55.1596
11,1.4474,0.06151873262861501,2.612,56.868,2018-01-24,56.9804,"Jan 24, 18",55.5673,55.5673,3923973,3923973,56.6492
12,0.332503,0.06772529833514701,0.585,57.2005,2018-01-25,57.357,"Jan 25, 18",56.4768,56.8582,2519542,2519542,57.0692
13,0.606332,0.079042714238515,1.06,57.8068,2018-01-26,57.8362,"Jan 26, 18",57.22,57.2689,2419566,2419566,57.665
14,-0.6747879999999999,0.066446652467786,-1.167,57.132,2018-01-29,57.894800000000004,"Jan 29, 18",56.9071,57.6992,2424269,2424269,57.2513
15,-0.16625299999999998,0.063344302932672,-0.291,56.9658,2018-01-30,57.1907,"Jan 30, 18",56.5453,56.8093,2346185,2346185,56.9406
16,0.49875699999999995,0.07265321817431701,0.876,57.4645,2018-01-31,57.5917,"Jan 31, 18",56.0172,56.0172,2281902,2281902,57.3667
17,0.009779,0.072836148531983,0.017,57.4743,2018-02-01,57.6307,"Feb 1, 18",56.9919,57.3081,2377460,2377460,57.3503
18,-0.743243,0.058963307530197004,-1.293,56.7311,2018-02-02,57.4939,"Feb 2, 18",56.6235,57.2298,1782351,1782351,56.8827
19,-2.3764,0.014602695796148,-4.189,54.3546,2018-02-05,56.9658,"Feb 5, 18",54.296,56.203,3616678,3616678,55.4617
20,-0.440079,0.006389496064197001,-0.81,53.9146,2018-02-06,54.2128,"Feb 6, 18",52.2814,53.6212,4041076,4041076,53.3084
21,0.713907,0.019715412629287003,1.324,54.6285,2018-02-07,55.3228,"Feb 7, 18",53.5723,53.631,2412088,2412088,54.7913
