,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.6374,0.0,2.081,80.3206,2018-01-08,80.4397,"Jan 8, 18",78.9214,79.6855,2483142,2483142,80.0962
1,0.9824229999999999,0.012230984330296001,1.223,81.303,2018-01-09,81.4419,"Jan 9, 18",80.3503,80.4893,1354775,1354775,81.075
2,-0.27785699999999997,0.008771099817481,-0.342,81.0251,2018-01-10,81.4816,"Jan 10, 18",80.7671,81.0351,1745535,1745535,81.0885
3,1.4091,0.026315789473684,1.7389999999999999,82.4343,2018-01-11,82.5782,"Jan 11, 18",81.0152,81.3526,3886383,3886383,82.1682
4,0.873266,0.037187222207005,1.059,83.3075,2018-01-12,84.0617,"Jan 12, 18",82.464,82.6129,1870095,1870095,83.2032
5,-0.5457919999999999,0.030391954243369,-0.655,82.7617,2018-01-16,84.3396,"Jan 16, 18",82.345,83.9228,1530604,1530604,83.1882
6,0.625178,0.038175760639238006,0.755,83.3869,2018-01-17,83.8632,"Jan 17, 18",82.2656,82.2656,1440416,1440416,83.3622
7,-0.079386,0.037187222207005,-0.095,83.3075,2018-01-18,84.1709,"Jan 18, 18",83.2678,83.5358,1314366,1314366,83.6709
8,1.5282,0.05621347450093701,1.834,84.8357,2018-01-19,85.3915,"Jan 19, 18",83.8285,83.9923,2206776,2206776,84.8426
9,0.277858,0.059673359013752,0.328,85.1136,2018-01-22,85.1335,"Jan 22, 18",84.3644,84.7663,1541415,1541415,84.8975
10,0.754184,0.06906322910934401,0.886,85.8678,2018-01-23,86.3143,"Jan 23, 18",84.9151,85.0342,1632562,1632562,85.9032
11,-0.734337,0.059921116127120005,-0.855,85.1335,2018-01-24,86.3243,"Jan 24, 18",84.4785,86.1357,2134245,2134245,85.4152
12,0.833571,0.070298279644325,0.979,85.967,2018-01-25,86.0861,"Jan 25, 18",84.7464,85.3815,1467760,1467760,85.5941
13,1.0519,0.08339454635548,1.224,87.0189,2018-01-26,87.0189,"Jan 26, 18",85.6693,86.2747,944730,944730,86.641
14,-0.406863,0.078328598142942,-0.468,86.612,2018-01-29,87.4357,"Jan 29, 18",86.364,86.7708,1599138,1599138,86.8416
15,-0.8633419999999999,0.06758042146099501,-0.997,85.7487,2018-01-30,86.7609,"Jan 30, 18",85.6991,85.838,1678640,1678640,86.0527
16,-0.754184,0.05819055136540301,-0.88,84.9945,2018-01-31,86.3342,"Jan 31, 18",84.9747,85.8579,1857363,1857363,85.3206
17,0.10915799999999999,0.059550102962378004,0.128,85.1037,2018-02-01,85.6247,"Feb 1, 18",84.4487,84.677,2139897,2139897,85.1038
18,-3.0862,0.021126585209771002,-3.626,82.0175,2018-02-02,85.1434,"Feb 2, 18",81.6801,84.8953,2718375,2718375,82.5892
19,-2.719,-0.012725253546412001,-3.315,79.2985,2018-02-05,82.3747,"Feb 5, 18",79.2091,81.5015,2386173,2386173,80.9104
20,0.7740319999999999,-0.0030888713480720005,0.976,80.0725,2018-02-06,80.3503,"Feb 6, 18",77.1848,77.9786,4634685,4634685,78.9975
21,1.3198,0.013342778813903002,1.6480000000000001,81.3923,2018-02-07,82.6427,"Feb 7, 18",79.9236,80.3702,3526731,3526731,81.6957
22,-3.3343,-0.028169610286775,-4.097,78.058,2018-02-08,81.7436,"Feb 8, 18",78.0382,81.3228,5065753,5065753,79.8963
23,1.7565,-0.006300998747519,2.25,79.8145,2018-02-09,80.6084,"Feb 9, 18",76.9674,78.6237,3239095,3239095,78.8245
24,1.3794,0.010871432733321001,1.728,81.1938,2018-02-12,81.5312,"Feb 12, 18",79.9732,80.2908,2435861,2435861,80.9606
25,1.3794,0.028045109224781,1.699,82.5732,2018-02-13,82.9304,"Feb 13, 18",81.0351,81.1144,2515598,2515598,82.3008
26,2.7389,0.06214470509433401,3.317,85.3121,2018-02-14,86.4434,"Feb 14, 18",81.3824,81.4915,3946835,3946835,84.7912
27,-1.3992,0.044724516500125,-1.6400000000000001,83.9129,2018-02-15,85.6495,"Feb 15, 18",83.6846,85.4312,3023925,3023925,84.3007
28,-1.2801,0.028785890543646,-1.526,82.6327,2018-02-16,84.0748,"Feb 16, 18",82.6228,83.8136,2564439,2564439,83.0985
29,1.032,0.041635645152053,1.249,83.6648,2018-02-20,84.0518,"Feb 20, 18",82.0969,82.0969,1977818,1977818,83.6074
30,-0.019847,0.041387888038685004,-0.024,83.6449,2018-02-21,85.7785,"Feb 21, 18",83.6152,83.7839,1772124,1772124,84.6565
31,-0.903036,0.030145442140621002,-1.08,82.7419,2018-02-22,84.2503,"Feb 22, 18",82.4839,84.0915,1863514,1863514,83.192
32,0.42671000000000003,0.035457902455907006,0.516,83.1686,2018-02-23,83.3274,"Feb 23, 18",82.4442,83.1091,1565682,1565682,82.889
33,-1.6572,0.014825586462252,-1.9929999999999999,81.5114,2018-02-26,83.6449,"Feb 26, 18",81.5015,83.3869,2888407,2888407,82.1225
34,-2.2824,-0.013590535927271,-2.8,79.229,2018-02-27,81.9877,"Feb 27, 18",79.1992,81.7297,3865898,3865898,80.1853
