,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.550298,0.0,1.118,49.7586,2018-01-08,50.1448,"Jan 8, 18",48.967,49.1311,1742523,1742523,49.724
1,0.7047709999999999,0.014164385653937002,1.416,50.4634,2018-01-09,50.8013,"Jan 9, 18",49.7393,50.0386,2294878,2294878,50.4457
2,-0.115854,0.011837149759036,-0.23,50.3476,2018-01-10,50.6468,"Jan 10, 18",49.8745,50.0579,1335150,1335150,50.3615
3,1.4288,0.040551784013215006,2.838,51.7764,2018-01-11,51.9695,"Jan 11, 18",50.251,50.3862,3108515,3108515,51.6
4,0.75304,0.055684846438605,1.454,52.5294,2018-01-12,52.7515,"Jan 12, 18",51.6992,51.7764,1963340,1963340,52.4096
5,-2.346,0.008537217686992001,-4.466,50.1834,2018-01-16,52.4232,"Jan 16, 18",49.768299999999996,51.9502,4764986,4764986,50.6632
6,0.51168,0.018820867146583,1.02,50.6951,2018-01-17,51.1199,"Jan 17, 18",50.3476,50.4055,1673508,1673508,50.6943
7,-0.164123,0.015522944777385,-0.324,50.531,2018-01-18,51.062,"Jan 18, 18",50.2027,50.251,2997003,2997003,50.5155
8,0.637188,0.028328771307874003,1.2610000000000001,51.1682,2018-01-19,51.1682,"Jan 19, 18",50.251,50.7337,1616587,1616587,50.886
9,0.7820039999999999,0.044044647558412,1.528,51.9502,2018-01-22,53.0604,"Jan 22, 18",51.1585,52.7225,2521334,2521334,51.659
10,0.251014,0.049089001700208,0.483,52.2012,2018-01-23,52.346,"Jan 23, 18",51.5061,52.1336,1641503,1641503,52.0241
11,1.815,0.08556510834308001,3.477,54.0162,2018-01-24,54.3155,"Jan 24, 18",52.1915,52.375,5037317,5037317,53.8254
12,-1.2068,0.061312014405549,-2.234,52.8094,2018-01-25,54.2093,"Jan 25, 18",52.6453,54.0838,2461254,2461254,53.2257
13,0.434446,0.07004417326854001,0.8230000000000001,53.2439,2018-01-26,53.3404,"Jan 26, 18",52.6163,52.906,1786265,1786265,53.0911
14,0.135162,0.072759281812591,0.254,53.379,2018-01-29,54.5472,"Jan 29, 18",53.0122,53.128,4921014,4921014,53.6443
15,-4.2962,-0.013581571828789002,-8.048,49.0828,2018-01-30,50.6468,"Jan 30, 18",48.0788,49.7779,11484391,11484391,49.2221
16,-2.2977,-0.059758514106104006,-4.681,46.7851,2018-01-31,49.3435,"Jan 31, 18",46.312,49.0539,6335067,6335067,47.363
17,0.212395,-0.055489905262607005,0.454,46.9975,2018-02-01,47.2099,"Feb 1, 18",46.061,46.1189,3681127,3681127,46.8604
18,-1.1392,-0.07838444007669,-2.424,45.8583,2018-02-02,46.6548,"Feb 2, 18",45.2694,46.5244,2698865,2698865,45.8677
19,-1.062,-0.09972748429417201,-2.316,44.7963,2018-02-05,46.0514,"Feb 5, 18",44.4101,45.3659,4284234,4284234,45.1881
20,2.1433,-0.056653523210058,4.784,46.9396,2018-02-06,47.2099,"Feb 6, 18",44.1977,44.3908,4454464,4454464,46.3288
21,-0.135161,-0.059370641456954004,-0.28800000000000003,46.8044,2018-02-07,47.3547,"Feb 7, 18",46.3603,46.6306,2263359,2263359,46.9623
22,-0.907511,-0.07760869477839001,-1.939,45.8969,2018-02-08,46.9975,"Feb 8, 18",45.8969,46.6789,2523425,2523425,46.3552
23,0.279976,-0.07198152681144501,0.61,46.1769,2018-02-09,47.2099,"Feb 9, 18",45.25,46.4665,3500577,3500577,46.1639
24,0.502028,-0.06189281852785201,1.087,46.6789,2018-02-12,47.0746,"Feb 12, 18",45.781,46.7658,1897782,1897782,46.6045
25,-0.710182,-0.07616572813543701,-1.521,45.9687,2018-02-13,46.7373,"Feb 13, 18",45.7255,46.5135,2444916,2444916,45.9449
26,0.671289,-0.06267459293468801,1.46,46.64,2018-02-14,47.1264,"Feb 14, 18",45.6477,45.7255,3535575,3535575,46.6202
27,-0.282136,-0.06834396466138501,-0.605,46.3579,2018-02-15,47.0583,"Feb 15, 18",45.9347,46.8638,2706945,2706945,46.2587
28,-0.476713,-0.07792421812510801,-1.028,45.8812,2018-02-16,46.4454,"Feb 16, 18",45.2001,46.3384,4546663,4546663,45.7932
29,-0.505898,-0.08809130481966901,-1.103,45.3753,2018-02-20,45.745,"Feb 20, 18",44.9034,45.6477,2607989,2607989,45.3189
30,-0.33078,-0.094739401832045,-0.729,45.0445,2018-02-21,46.0855,"Feb 21, 18",44.9958,45.4044,2553424,2553424,45.5431
31,0.359966,-0.087506481291676,0.799,45.4044,2018-02-22,45.7644,"Feb 22, 18",44.8888,45.2391,2086161,2086161,45.433
32,-0.058372999999999994,-0.088678138050507,-0.129,45.3461,2018-02-23,45.7012,"Feb 23, 18",45.0639,45.4823,1130098,1130098,45.3206
33,0.019458,-0.08828825569851201,0.043000000000000003,45.3655,2018-02-26,46.0757,"Feb 26, 18",45.1709,45.8422,8411746,8411746,45.4787
34,-1.0604,-0.10959914467046801,-2.338,44.3051,2018-02-27,45.7255,"Feb 27, 18",43.8576,45.5017,3590939,3590939,44.594
35,-0.155661,-0.11272825200065902,-0.35100000000000003,44.1494,2018-02-28,44.6942,"Feb 28, 18",43.9743,44.3732,2527295,2527295,44.2792
36,-0.26267799999999997,-0.11800774137536,-0.595,43.8867,2018-03-01,44.5872,"Mar 1, 18",43.8186,44.4316,2721356,2721356,44.1407
37,-0.885324,-0.135799640665131,-2.017,43.0014,2018-03-02,43.4392,"Mar 2, 18",42.3009,43.3517,4234000,4234000,42.9177
38,1.0021,-0.11566040845200601,2.33,44.0035,2018-03-05,44.2759,"Mar 5, 18",42.7096,42.7387,4832206,4832206,43.8314
39,-0.8755959999999999,-0.13325736656577902,-1.99,43.1279,2018-03-06,44.1883,"Mar 6, 18",42.6706,44.1592,2988803,2988803,43.1062
40,-0.418338,-0.14166395356782502,-0.97,42.7096,2018-03-07,42.9236,"Mar 7, 18",42.2231,42.5831,2279635,2279635,42.526
41,0.428067,-0.133062425389781,1.002,43.1376,2018-03-08,43.1571,"Mar 8, 18",42.4858,43.0793,1670134,1670134,42.9373
42,0.00973,-0.132865474510938,0.023,43.1474,2018-03-09,43.3711,"Mar 9, 18",42.6025,43.2933,1431404,1431404,43.0206
43,0.45725499999999997,-0.12367711310205601,1.06,43.6046,2018-03-12,44.4607,"Mar 12, 18",43.303,43.5365,1940630,1940630,43.7717
44,0.029186,-0.12309027987121801,0.067,43.6338,2018-03-13,43.9889,"Mar 13, 18",43.4392,43.9159,2075811,2075811,43.6522
45,-1.3523,-0.150267491448714,-3.099,42.2815,2018-03-14,44.0229,"Mar 14, 18",42.1258,43.9159,2380825,2380825,42.6463
46,-0.038915,-0.15104926585555,-0.092,42.2426,2018-03-15,42.8652,"Mar 15, 18",42.1647,42.4274,1681437,1681437,42.4175
47,0.700475,-0.136973307126808,1.658,42.943,2018-03-16,43.1668,"Mar 16, 18",42.3107,42.3107,2437550,2437550,42.9155
48,-0.5837300000000001,-0.14870394263504202,-1.359,42.3593,2018-03-19,42.9333,"Mar 19, 18",42.0577,42.7193,1866290,1866290,42.3784
