,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.01,0.0,1.377,74.34,2018-01-08,74.43,"Jan 8, 18",72.87,73.11,1181198,1181198,73.9304
1,-0.89,-0.011972020446596001,-1.197,73.45,2018-01-09,74.4,"Jan 9, 18",73.2001,74.34,1411070,1411070,73.6107
2,-0.66,-0.020850147968791,-0.899,72.79,2018-01-10,73.4,"Jan 10, 18",71.15,73.38,1624629,1624629,72.5637
3,0.51,-0.013989776701641001,0.7010000000000001,73.3,2018-01-11,73.37,"Jan 11, 18",72.06,72.73,1251893,1251893,72.821
4,1.54,0.006725854183481,2.101,74.84,2018-01-12,75.0,"Jan 12, 18",73.06,73.7,1045507,1045507,74.3731
5,1.2,0.022867904223836003,1.603,76.04,2018-01-16,76.37,"Jan 16, 18",74.73,75.0,2075651,2075651,75.8741
6,0.31,0.027037933817594003,0.40800000000000003,76.35,2018-01-17,77.25,"Jan 17, 18",75.6,76.6,4149671,4149671,76.5669
7,-1.73,0.0037664783427490004,-2.266,74.62,2018-01-18,76.44,"Jan 18, 18",74.45,75.88,1778323,1778323,74.9615
8,1.34,0.021791767554479,1.796,75.96,2018-01-19,75.98,"Jan 19, 18",74.38,74.65,1146820,1146820,75.4311
9,0.45,0.027845036319612004,0.592,76.41,2018-01-22,76.45,"Jan 22, 18",75.66,76.13,1038005,1038005,76.1495
10,-0.11,0.026365348399246,-0.14400000000000002,76.3,2018-01-23,76.93,"Jan 23, 18",75.465,76.27,1201984,1201984,76.2686
11,1.11,0.041296744686575,1.455,77.41,2018-01-24,77.69,"Jan 24, 18",76.338,76.62,1555704,1555704,77.3637
12,0.73,0.05111649179445701,0.9430000000000001,78.14,2018-01-25,78.5,"Jan 25, 18",76.96,77.74,1431948,1431948,77.9995
13,0.79,0.061743341404358006,1.011,78.93,2018-01-26,79.0,"Jan 26, 18",77.55,78.1,1518462,1518462,78.427
14,0.48,0.0682001614205,0.608,79.41,2018-01-29,79.54,"Jan 29, 18",78.66,78.91,1232088,1232088,79.2232
15,-1.34,0.050174872208770004,-1.687,78.07,2018-01-30,79.44,"Jan 30, 18",78.04,78.85,2262732,2262732,78.7115
16,-2.39,0.018025289211729002,-3.061,75.68,2018-01-31,78.11,"Jan 31, 18",75.05,78.11,1927624,1927624,75.9127
17,-0.4,0.012644605864944002,-0.529,75.28,2018-02-01,75.51,"Feb 1, 18",73.8,75.22,1229827,1229827,75.1369
18,-0.93,0.00013451708366900002,-1.235,74.35,2018-02-02,75.71,"Feb 2, 18",74.17,74.99,1344649,1344649,74.7414
19,-2.55,-0.034167339252085004,-3.43,71.8,2018-02-05,75.0,"Feb 5, 18",71.79,74.26,1923022,1923022,73.1361
20,1.73,-0.010895883777239001,2.409,73.53,2018-02-06,73.97,"Feb 6, 18",70.351,71.06,2650495,2650495,72.4645
21,-0.56,-0.018428840462738003,-0.762,72.97,2018-02-07,74.5,"Feb 7, 18",72.91,73.08,1764506,1764506,73.5127
22,-2.12,-0.046946462200699,-2.9050000000000002,70.85,2018-02-08,73.06,"Feb 8, 18",70.82,72.89,1854236,1854236,71.919
23,0.9,-0.034839924670433,1.27,71.75,2018-02-09,72.33,"Feb 9, 18",70.26,71.31,1865371,1865371,71.2094
24,0.43,-0.029055690072639,0.599,72.18,2018-02-12,73.19,"Feb 12, 18",71.385,72.28,2295407,2295407,72.2459
25,-4.79,-0.09348937315039,-6.636,67.39,2018-02-13,67.96,"Feb 13, 18",63.01,65.4,12345154,12345154,65.5906
26,1.04,-0.079499596448748,1.5430000000000001,68.43,2018-02-14,68.7,"Feb 14, 18",66.91,66.93,2571595,2571595,67.8633
27,-0.05,-0.080172181867097,-0.073,68.38,2018-02-15,68.69,"Feb 15, 18",67.21,68.69,2146941,2146941,67.8846
