,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.0699,0.0,0.974,110.9339,2018-01-08,111.4882,"Jan 8, 18",109.9029,110.1266,869733,869733,110.8796
1,-0.272327,-0.0024555163029510003,-0.245,110.6615,2018-01-09,111.3051,"Jan 9, 18",110.5351,111.0408,584442,584442,110.8381
2,-2.8789,-0.028406104896699,-2.602,107.7827,2018-01-10,108.9206,"Jan 10, 18",106.5669,108.2884,1309696,1309696,107.5557
3,-0.709992,-0.034806312587946,-0.659,107.0727,2018-01-11,107.7535,"Jan 11, 18",106.8198,107.7146,764272,764272,107.2161
4,-0.797526,-0.041996179707014004,-0.745,106.2751,2018-01-12,107.4423,"Jan 12, 18",106.2362,107.2575,621443,621443,106.6136
5,-0.9531400000000001,-0.050587782454236,-0.897,105.322,2018-01-16,106.2946,"Jan 16, 18",104.3105,104.3689,1641085,1641085,105.4806
6,0.622459,-0.044976332753107,0.591,105.9445,2018-01-17,106.6545,"Jan 17, 18",105.1372,105.5263,1509757,1509757,105.9158
7,-1.1088,-0.05497147400388801,-1.047,104.8357,2018-01-18,106.2751,"Jan 18, 18",104.6412,106.0709,700136,700136,105.0702
8,1.5367000000000002,-0.041119080822002003,1.466,106.3724,2018-01-19,106.5475,"Jan 19, 18",105.1469,105.1858,1046550,1046550,106.0712
9,0.573828,-0.035946631282231,0.539,106.9462,2018-01-22,106.9851,"Jan 22, 18",106.1584,106.4113,1137268,1137268,106.7651
10,0.826703,-0.028494445791592004,0.773,107.7729,2018-01-23,108.1912,"Jan 23, 18",106.8003,107.0629,762757,762757,107.7962
11,-0.486295,-0.032878137341245,-0.451,107.2866,2018-01-24,107.948,"Jan 24, 18",106.7323,107.3742,910022,910022,107.3409
12,0.894786,-0.024812072774868,0.834,108.1814,2018-01-25,108.5218,"Jan 25, 18",107.1497,107.452,562935,562935,108.1291
13,-0.155616,-0.026214709840724004,-0.14400000000000002,108.0258,2018-01-26,108.7455,"Jan 26, 18",107.6076,108.4927,1116201,1116201,107.9717
14,-1.3616000000000001,-0.03848868560467,-1.26,106.6642,2018-01-29,108.0064,"Jan 29, 18",106.6447,107.7146,798644,798644,107.1553
15,-0.136162,-0.039716443756146004,-0.128,106.528,2018-01-30,107.3353,"Jan 30, 18",106.0028,106.2557,862583,862583,106.6983
16,0.778075,-0.032702356989161005,0.73,107.3061,2018-01-31,107.8896,"Jan 31, 18",106.3822,106.4016,1254702,1254702,107.4072
17,-6.3802,-0.090215885315489,-5.946,100.9259,2018-02-01,103.3379,"Feb 1, 18",99.9825,102.5598,3156432,3156432,101.1907
18,-0.778073,-0.09722997208247401,-0.771,100.1478,2018-02-02,102.4041,"Feb 2, 18",99.3406,99.5254,2333373,2333373,100.6729
19,-2.7233,-0.121777923610366,-2.719,97.4246,2018-02-05,100.4396,"Feb 5, 18",97.4246,100.0214,1878088,1878088,98.7704
20,1.0893,-0.11195856271166801,1.118,98.5139,2018-02-06,98.9515,"Feb 6, 18",96.1417,96.7535,2550984,2550984,97.6549
21,-2.1883,-0.131685625403956,-2.221,96.3255,2018-02-07,98.5528,"Feb 7, 18",96.3158,98.2318,1664127,1664127,97.1514
22,-1.3519,-0.14387216171071202,-1.403,94.9736,2018-02-08,97.1231,"Feb 8, 18",94.9444,96.6173,1824004,1824004,95.9251
23,1.9646,-0.126161615160018,2.069,96.9383,2018-02-09,97.5413,"Feb 9, 18",95.1536,95.7225,1898493,1898493,96.3118
24,0.106986,-0.125197978255519,0.11,97.0452,2018-02-12,97.7261,"Feb 12, 18",96.6076,97.2592,1234200,1234200,97.1734
25,-0.233423,-0.12730193385430402,-0.241,96.8118,2018-02-13,97.2252,"Feb 13, 18",95.8684,96.5687,1130587,1130587,96.5977
26,-0.505747,-0.131860504318337,-0.522,96.3061,2018-02-14,96.841,"Feb 14, 18",95.4113,96.1018,955810,955810,96.3561
27,1.7215,-0.11634225426132101,1.788,98.0276,2018-02-15,98.1929,"Feb 15, 18",95.4696,96.4131,982582,982582,97.1005
28,-0.077808,-0.11704357279424901,-0.079,97.9498,2018-02-16,98.0665,"Feb 16, 18",96.2866,97.6483,2472142,2472142,96.9844
29,-0.7877989999999999,-0.12414509901842401,-0.804,97.162,2018-02-20,97.7941,"Feb 20, 18",96.8313,97.6774,1153819,1153819,97.2922
30,-1.9549,-0.141768206111927,-2.012,95.207,2018-02-21,97.5704,"Feb 21, 18",95.1876,97.0063,1166876,1166876,96.2015
31,-0.16062,-0.14321591506293302,-0.169,95.0464,2018-02-22,96.1235,"Feb 22, 18",93.2252,93.8714,1200269,1200269,95.0689
32,-0.11749699999999999,-0.14427510436395002,-0.124,94.9289,2018-02-23,95.678,"Feb 23, 18",94.361,94.9877,1252465,1252465,95.121
33,1.0281,-0.135007423339484,1.083,95.957,2018-02-26,96.4466,"Feb 26, 18",94.9289,95.0562,881279,881279,95.8357
34,0.18604,-0.133329847774215,0.194,96.1431,2018-02-27,97.3758,"Feb 27, 18",95.7514,96.0941,1492926,1492926,96.5583
35,0.06854,-0.132712362947665,0.07100000000000001,96.2116,2018-02-28,97.1124,"Feb 28, 18",96.1137,96.6718,1309095,1309095,96.4913
36,-0.45041000000000003,-0.136772438361943,-0.468,95.7612,2018-03-01,97.0439,"Mar 1, 18",95.0171,96.1529,1220208,1220208,95.8511
37,1.0477,-0.12732807554769102,1.094,96.8089,2018-03-02,97.181,"Mar 2, 18",95.3108,95.3108,973721,973721,96.5139
38,0.56791,-0.12220881083239601,0.587,97.3768,2018-03-05,97.4228,"Mar 5, 18",96.4564,96.4564,1210353,1210353,97.1544
