,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.266632,0.0,0.371,72.2082,2018-01-08,72.4255,"Jan 8, 18",71.6849,72.0009,1952018,1952018,72.133
1,0.918404,0.012718777091798,1.272,73.1266,2018-01-09,73.4055,"Jan 9, 18",72.2943,72.3366,2413626,2413626,73.1284
2,0.404887,0.018326173481681002,0.554,73.5315,2018-01-10,73.6204,"Jan 10, 18",72.8403,73.176,2487003,2487003,73.385
3,-0.079001,0.017232114912156,-0.107,73.4525,2018-01-11,73.6797,"Jan 11, 18",73.097,73.5315,2178501,2178501,73.4074
4,0.395011,0.022702407759783,0.538,73.8475,2018-01-12,74.0747,"Jan 12, 18",73.5612,73.6797,1699323,1699323,73.9012
5,-0.197506,0.019967261335970002,-0.267,73.65,2018-01-16,74.6376,"Jan 16, 18",73.413,74.0549,2148000,2148000,74.0507
6,0.21725699999999998,0.022976614844297003,0.295,73.8673,2018-01-17,74.1142,"Jan 17, 18",73.492,73.9562,1954690,1954690,73.846
7,0.46414000000000005,0.029403862719192004,0.628,74.3314,2018-01-18,74.6474,"Jan 18, 18",73.8673,74.0253,2133381,2133381,74.3631
8,0.325885,0.03391720053955,0.438,74.6573,2018-01-19,74.845,"Jan 19, 18",74.1734,74.5191,3146864,3146864,74.5446
9,0.227131,0.037063657590135,0.304,74.8845,2018-01-22,74.924,"Jan 22, 18",74.4006,74.5191,1645663,1645663,74.767
10,-0.039501,0.036516628305372,-0.053,74.845,2018-01-23,75.0178,"Jan 23, 18",74.2822,74.845,1821157,1821157,74.6989
11,-0.365386,0.031456261200251,-0.488,74.4796,2018-01-24,75.1884,"Jan 24, 18",74.1043,75.0523,2029320,2029320,74.5904
12,-0.474014,0.024891909783099003,-0.636,74.0056,2018-01-25,75.1708,"Jan 25, 18",73.808,75.1708,2095251,2095251,74.1215
13,0.6221439999999999,0.033507274797045,0.841,74.6277,2018-01-26,74.6277,"Jan 26, 18",73.8673,74.1142,1280504,1280504,74.4048
14,-1.0468,0.019010306308701,-1.403,73.5809,2018-01-29,74.9536,"Jan 29, 18",73.5315,74.5487,1870404,1870404,73.8588
15,-0.94803,0.005881603474397001,-1.288,72.6329,2018-01-30,73.7883,"Jan 30, 18",72.6329,73.3439,2831322,2831322,72.973
16,0.286385,0.009847912009993002,0.394,72.9193,2018-01-31,73.6599,"Jan 31, 18",72.4551,72.6329,3423555,3423555,73.0399
17,0.948028,0.022976614844297003,1.3,73.8673,2018-02-01,73.887,"Feb 1, 18",72.5243,73.0871,2523277,2523277,73.4227
18,-0.8097749999999999,0.011761822064530001,-1.096,73.0575,2018-02-02,74.3512,"Feb 2, 18",72.9193,73.6698,2540319,2540319,73.4905
19,-2.4491,-0.022155378475020002,-3.352,70.6084,2018-02-05,73.5414,"Feb 5, 18",70.3813,72.6131,4083820,4083820,72.0979
20,0.760397,-0.011624718522273,1.077,71.3688,2018-02-06,71.4972,"Feb 6, 18",67.9421,69.295,5924117,5924117,70.0905
21,-1.5307,-0.03282175708576,-2.145,69.8382,2018-02-07,71.6552,"Feb 7, 18",69.3543,69.3543,4418942,4418942,70.598
22,-3.6736,-0.083696865452954,-5.26,66.1646,2018-02-08,69.9764,"Feb 8, 18",66.1349,69.8678,5808560,5808560,67.4371
23,1.4319,-0.06386670765924,2.164,67.5965,2018-02-09,68.1396,"Feb 9, 18",66.0856,66.767,5336376,5336376,67.2337
24,0.14812899999999998,-0.061815694062447,0.219,67.7446,2018-02-12,68.7223,"Feb 12, 18",67.32,67.9619,4173510,4173510,67.9981
25,0.5135149999999999,-0.054704313360532004,0.758,68.2581,2018-02-13,68.3273,"Feb 13, 18",67.1916,67.399,2676025,2676025,67.9477
26,1.9257,-0.028035597065153003,2.821,70.1838,2018-02-14,70.2826,"Feb 14, 18",67.873,67.9717,3167474,3167474,69.5023
27,1.4615,-0.0077941286446690005,2.082,71.6454,2018-02-15,71.6552,"Feb 15, 18",70.2233,70.7368,3229547,3229547,71.1713
