,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-1.0178,0.0,-0.663,152.5013,2018-01-08,153.4898,"Jan 8, 18",152.1295,153.4898,208004,208004,152.6345
1,-1.5365,-0.010074668215942,-1.008,150.9649,2018-01-09,153.1472,"Jan 9, 18",150.8474,152.5992,214172,214172,151.4389
2,-0.46974699999999997,-0.013155297692544001,-0.311,150.4951,2018-01-10,151.4444,"Jan 10, 18",149.037,151.004,264598,264598,150.4501
3,-0.244659,-0.014759218446006,-0.163,150.2505,2018-01-11,151.1998,"Jan 11, 18",149.5654,151.1998,388762,388762,150.177
4,0.166368,-0.013668735938644,0.111,150.4168,2018-01-12,150.9062,"Jan 12, 18",148.9685,150.8768,366703,366703,150.3936
5,-1.1352,-0.021112606908924,-0.755,149.2816,2018-01-16,152.1197,"Jan 16, 18",148.8608,151.3955,252049,252049,149.7184
6,3.9243,0.004620944214901001,2.629,153.206,2018-01-17,154.0378,"Jan 17, 18",151.6206,152.2078,789037,789037,153.2297
7,-1.3897,-0.004491764988232,-0.907,151.8163,2018-01-18,153.5289,"Jan 18, 18",149.8982,152.9026,357367,357367,151.6947
8,0.058719,-0.004106850236686,0.039,151.875,2018-01-19,152.5013,"Jan 19, 18",151.1851,152.5013,398308,398308,151.9491
9,-2.0845,-0.01777558617533,-1.373,149.7905,2018-01-22,151.5129,"Jan 22, 18",149.4382,151.5129,443697,443697,150.0092
10,-0.048933,-0.0180962391796,-0.033,149.7416,2018-01-23,150.0939,"Jan 23, 18",148.0779,149.7318,321992,321992,149.5819
11,-0.14679399999999998,-0.019058853924523,-0.098,149.5948,2018-01-24,150.4658,"Jan 24, 18",148.6455,149.7514,291539,291539,149.6153
12,1.9475,-0.006288470983525,1.302,151.5423,2018-01-25,151.8163,"Jan 25, 18",149.8127,150.3288,461211,461211,151.0443
13,-1.3309,-0.015016265435114001,-0.878,150.2113,2018-01-26,151.9533,"Jan 26, 18",149.9569,151.9533,433764,433764,150.2554
14,-2.5347,-0.031636451623690005,-1.687,147.6767,2018-01-29,150.6028,"Jan 29, 18",147.6571,150.1233,338342,338342,148.5849
15,-0.9688519999999999,-0.037989840086609,-0.656,146.7078,2018-01-30,147.6669,"Jan 30, 18",145.4062,147.021,428081,428081,146.7368
16,0.381669,-0.035486910603385005,0.26,147.0895,2018-01-31,148.0094,"Jan 31, 18",145.8123,147.0308,445548,445548,147.0419
17,-2.2607,-0.050311046528783,-1.537,144.8288,2018-02-01,147.2656,"Feb 1, 18",143.7817,146.287,542853,542853,144.8796
18,-1.8203,-0.062247338219411,-1.2570000000000001,143.0085,2018-02-02,144.6527,"Feb 2, 18",142.9498,143.8012,382191,382191,143.5315
19,-5.0596,-0.095424104581403,-3.5380000000000003,137.949,2018-02-05,143.723,"Feb 5, 18",137.9294,142.2452,420686,420686,140.0381
20,1.419,-0.08611926586855301,1.029,139.368,2018-02-06,139.4854,"Feb 6, 18",134.9054,136.3147,578458,578458,138.0728
21,0.283805,-0.08425829812598301,0.20400000000000001,139.6518,2018-02-07,141.7657,"Feb 7, 18",138.3992,138.9374,352295,352295,140.3417
22,-4.5996,-0.11441935249076501,-3.294,135.0522,2018-02-08,139.6127,"Feb 8, 18",134.9837,139.094,370299,370299,137.5228
23,2.3487,-0.09901817230410401,1.7389999999999999,137.4009,2018-02-09,138.2524,"Feb 9, 18",133.9317,136.3832,407502,407502,136.501
