,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-1.11,0.0,-0.486,227.06,2018-01-08,228.9,"Jan 8, 18",225.665,227.55,1002025,1002025,227.0129
1,15.74,0.06932088434774901,6.932,242.8,2018-01-09,245.74,"Jan 9, 18",235.48,236.77,2713984,2713984,241.9794
2,-0.21,0.068396018673478,-0.08600000000000001,242.59,2018-01-10,244.0,"Jan 10, 18",238.24,242.8,982608,982608,241.2167
3,-2.55,0.057165506914471004,-1.051,240.04,2018-01-11,244.2,"Jan 11, 18",239.32,243.85,810073,810073,240.3623
4,4.68,0.077776799083942,1.9500000000000002,244.72,2018-01-12,245.96,"Jan 12, 18",240.63,240.95,975763,975763,244.4305
5,-3.3,0.06324319563111,-1.348,241.42,2018-01-16,248.97,"Jan 16, 18",241.07,247.33,1139941,1139941,243.4836
6,0.63,0.066017792653924,0.261,242.05,2018-01-17,244.48,"Jan 17, 18",240.8718,244.48,738313,738313,242.3243
7,-0.74,0.062758742182682,-0.306,241.31,2018-01-18,243.9,"Jan 18, 18",240.13,242.24,770495,770495,241.6308
8,2.24,0.072623976041574,0.928,243.55,2018-01-19,244.88,"Jan 19, 18",241.44,242.31,896733,896733,243.6022
9,1.6400000000000001,0.079846736545406,0.673,245.19,2018-01-22,247.63,"Jan 22, 18",242.87,245.0,709832,709832,244.836
10,-2.25,0.06993746146393001,-0.918,242.94,2018-01-23,245.07,"Jan 23, 18",241.95,244.07,829954,829954,243.3335
11,-0.45,0.067955606447635,-0.185,242.49,2018-01-24,243.85,"Jan 24, 18",241.19,243.12,845966,845966,242.7213
12,0.9,0.07191931648022501,0.371,243.39,2018-01-25,243.97,"Jan 25, 18",240.16,243.48,613310,613310,242.9179
13,1.44,0.07826125253237001,0.592,244.83,2018-01-26,244.92,"Jan 26, 18",242.09,244.21,678381,678381,243.9568
14,-3.05,0.064828679644146,-1.246,241.78,2018-01-29,244.9,"Jan 29, 18",238.51,244.18,779540,779540,242.052
15,-0.6000000000000001,0.062186206289086006,-0.248,241.18,2018-01-30,243.55,"Jan 30, 18",238.95,240.69,1063398,1063398,241.0337
16,-8.54,0.024575002202061002,-3.541,232.64,2018-01-31,248.1,"Jan 31, 18",229.16,247.45,1760472,1760472,235.2619
17,-2.35,0.014225314894741001,-1.01,230.29,2018-02-01,233.56,"Feb 1, 18",229.08,232.0,943949,943949,230.5932
18,-10.11,-0.030300361138025002,-4.39,220.18,2018-02-02,228.99,"Feb 2, 18",219.54,227.98,1538819,1538819,222.5557
19,-7.18,-0.061921958953580006,-3.261,213.0,2018-02-05,223.54,"Feb 5, 18",212.95,221.45,1483993,1483993,218.0833
20,7.8,-0.027569805337796002,3.662,220.8,2018-02-06,221.55,"Feb 6, 18",207.51,210.0,1759256,1759256,217.4289
21,0.4,-0.025808156434422,0.181,221.2,2018-02-07,223.64,"Feb 7, 18",216.77,218.85,1116021,1116021,220.9181
22,-11.66,-0.07716022196776101,-5.271,209.54,2018-02-08,221.0,"Feb 8, 18",209.48,220.96,1299901,1299901,213.983
23,7.65,-0.043468686690742005,3.651,217.19,2018-02-09,219.58,"Feb 9, 18",210.08,211.35,1798295,1798295,215.3082
24,3.84,-0.026556857218356003,1.768,221.03,2018-02-12,222.855,"Feb 12, 18",216.35,218.43,1000188,1000188,220.0961
25,-0.59,-0.029155289350832003,-0.267,220.44,2018-02-13,221.1,"Feb 13, 18",217.8,219.36,663027,663027,219.8365
26,2.67,-0.017396282920813,1.211,223.11,2018-02-14,223.85,"Feb 14, 18",216.34,217.47,817930,817930,221.8986
27,6.02,0.009116533074958001,2.698,229.13,2018-02-15,229.545,"Feb 15, 18",223.7262,224.6,804863,804863,227.4599
28,0.07,0.009424821633048001,0.031,229.2,2018-02-16,230.95,"Feb 16, 18",227.03,228.85,701696,701696,229.0489
29,-2.63,-0.002158019906632,-1.147,226.57,2018-02-20,229.95,"Feb 20, 18",225.455,228.35,567764,567764,227.5141
30,1.34,0.003743503919668,0.591,227.91,2018-02-21,233.25,"Feb 21, 18",226.46,226.57,549458,549458,228.9847
31,-1.17,-0.001409319122698,-0.513,226.74,2018-02-22,230.88,"Feb 22, 18",225.92,229.49,450092,450092,228.0033
32,7.1,0.029859948912181,3.1310000000000002,233.84,2018-02-23,233.92,"Feb 23, 18",226.615,228.5,536170,536170,231.2777
33,-0.41000000000000003,0.028054258786223002,-0.17500000000000002,233.43,2018-02-26,235.43,"Feb 26, 18",231.0301,234.54,639763,639763,232.5365
34,-3.7,0.011759006430018001,-1.585,229.73,2018-02-27,234.08,"Feb 27, 18",229.73,232.87,673482,673482,231.3049
35,-1.71,0.004227957368096,-0.744,228.02,2018-02-28,233.25,"Feb 28, 18",227.95,231.25,732331,732331,230.5479
36,-3.48,-0.011098388091253,-1.526,224.54,2018-03-01,229.49,"Mar 1, 18",222.9294,227.41,747899,747899,226.0973
37,4.65,0.009380780410464001,2.071,229.19,2018-03-02,229.85,"Mar 2, 18",221.49,222.29,866186,866186,226.2846
38,1.69,0.016823747027217003,0.737,230.88,2018-03-05,232.47,"Mar 5, 18",226.05,227.17,543884,543884,229.6138
39,4.88,0.038315863648374006,2.114,235.76,2018-03-06,236.74,"Mar 6, 18",230.79,231.34,600273,600273,234.8601
40,5.44,0.06227428873425501,2.307,241.2,2018-03-07,242.19,"Mar 7, 18",231.6184,233.54,818299,818299,239.4925
41,2.32,0.07249185237382101,0.962,243.52,2018-03-08,243.72,"Mar 8, 18",240.3,241.5,757260,757260,242.3396
42,6.6,0.10155905927948501,2.71,250.12,2018-03-09,250.67,"Mar 9, 18",244.15,244.59,801074,801074,248.5909
43,3.05,0.11499163216770801,1.219,253.17,2018-03-12,254.89,"Mar 12, 18",250.07,251.33,640920,640920,253.2416
44,0.37,0.11662115740332901,0.146,253.54,2018-03-13,256.049,"Mar 13, 18",251.11,254.94,606499,606499,253.5103
45,-1.75,0.10891394345107001,-0.6900000000000001,251.79,2018-03-14,255.92,"Mar 14, 18",250.46,254.65,846850,846850,252.1127
46,-0.18,0.108121201444552,-0.07100000000000001,251.61,2018-03-15,255.57,"Mar 15, 18",251.24,252.26,739594,739594,253.2881
47,2.3,0.11825068263895001,0.914,253.91,2018-03-16,256.64,"Mar 16, 18",252.24,252.92,1094335,1094335,254.0208
48,-5.18,0.09543732934026201,-2.04,248.73,2018-03-19,254.205,"Mar 19, 18",246.79,252.5,822702,822702,249.2305
49,3.92,0.112701488593323,1.576,252.65,2018-03-20,253.18,"Mar 20, 18",247.48,249.62,589555,589555,251.5192
50,-5.8100000000000005,0.08711353827182201,-2.3,246.84,2018-03-21,252.73,"Mar 21, 18",245.97,252.25,710140,710140,248.3507
51,-5.72,0.061921958953580006,-2.317,241.12,2018-03-22,247.89,"Mar 22, 18",240.97,244.75,820362,820362,243.8446
52,-5.76,0.036554214745001,-2.3890000000000002,235.36,2018-03-23,244.32,"Mar 23, 18",235.32,241.22,872958,872958,238.509
53,6.92,0.067030740773363,2.94,242.28,2018-03-26,242.62,"Mar 26, 18",236.0,239.14,940424,940424,240.2469
54,-4.91,0.045406500484453,-2.027,237.37,2018-03-27,248.5033,"Mar 27, 18",236.0,243.85,651349,651349,240.1575
55,-2.38,0.034924689509380005,-1.003,234.99,2018-03-28,239.875,"Mar 28, 18",233.285,238.03,715008,715008,235.9033
56,1.43,0.041222584338941,0.609,236.42,2018-03-29,238.9,"Mar 29, 18",232.6,236.82,719888,719888,236.4094
