,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.96,0.0,0.961,100.81,2018-01-08,101.02,"Jan 8, 18",98.29,99.4,1531351,1531351,100.0935
1,-4.52,-0.044836821743874,-4.484,96.29,2018-01-09,101.9,"Jan 9, 18",96.16,101.39,2639866,2639866,98.19
2,0.33,-0.041563336970538,0.343,96.62,2018-01-10,97.24,"Jan 10, 18",94.37,96.12,1347867,1347867,95.6801
3,-3.56,-0.076877293919254,-3.685,93.06,2018-01-11,96.61,"Jan 11, 18",92.52,96.45,3251159,3251159,93.534
4,1.01,-0.06685844658268,1.085,94.07,2018-01-12,94.49,"Jan 12, 18",92.91,93.68,1572991,1572991,93.7878
5,-2.42,-0.09086400158714401,-2.573,91.65,2018-01-16,95.22,"Jan 16, 18",91.23,94.07,2323799,2323799,92.6415
6,-1.34,-0.104156333697053,-1.462,90.31,2018-01-17,92.0,"Jan 17, 18",88.81,92.0,2660710,2660710,90.5832
7,1.6099999999999999,-0.08818569586350501,1.783,91.92,2018-01-18,93.5102,"Jan 18, 18",89.98,90.1,2104979,2104979,92.2127
8,1.24,-0.075885328836425,1.349,93.16,2018-01-19,93.58,"Jan 19, 18",91.55,92.23,1927453,1927453,92.6906
9,0.92,-0.06675925007439701,0.988,94.08,2018-01-22,95.33,"Jan 22, 18",92.65,93.38,2645193,2645193,94.1399
10,0.55,-0.061303442118837,0.585,94.63,2018-01-23,95.164,"Jan 23, 18",93.88,94.1,1414473,1414473,94.5118
11,0.71,-0.05426049003075,0.75,95.34,2018-01-24,96.44,"Jan 24, 18",94.33,94.75,1524069,1524069,95.3532
12,-1.08,-0.064973712925305,-1.133,94.26,2018-01-25,95.78,"Jan 25, 18",93.66,95.41,1228469,1228469,94.4997
13,1.25,-0.052574149389941004,1.326,95.51,2018-01-26,95.685,"Jan 26, 18",94.06,94.73,1302796,1302796,95.0866
14,-1.97,-0.072115861521674,-2.063,93.54,2018-01-29,95.94,"Jan 29, 18",93.27,95.9,1350057,1350057,94.0773
15,-1.04,-0.082432298383096,-1.112,92.5,2018-01-30,93.37,"Jan 30, 18",91.66,92.93,1373366,1373366,92.5056
16,-2.21,-0.104354726713619,-2.3890000000000002,90.29,2018-01-31,92.7552,"Jan 31, 18",89.77,92.61,1404592,1404592,90.7204
17,-0.62,-0.11050491022716001,-0.687,89.67,2018-02-01,91.2681,"Feb 1, 18",89.27,90.52,1348960,1348960,90.031
18,-3.75,-0.14770360083325001,-4.182,85.92,2018-02-02,89.45,"Feb 2, 18",85.75,89.11,2394510,2394510,87.0183
19,-0.58,-0.153456998313659,-0.675,85.34,2018-02-05,87.9,"Feb 5, 18",85.31,86.09,2369472,2369472,86.3912
20,2.77,-0.125979565519293,3.246,88.11,2018-02-06,88.33,"Feb 6, 18",84.21,85.06,2288870,2288870,86.6407
21,-1.77,-0.143537347485368,-2.009,86.34,2018-02-07,88.05,"Feb 7, 18",86.09,87.25,1254563,1254563,86.8377
22,-2.42,-0.167542902489832,-2.803,83.92,2018-02-08,87.23,"Feb 8, 18",83.88,86.4,1930397,1930397,85.3242
23,0.58,-0.16178950500942302,0.6910000000000001,84.5,2018-02-09,85.385,"Feb 9, 18",80.85,84.45,2399153,2399153,83.3698
24,3.02,-0.13183215950798502,3.574,87.52,2018-02-12,88.36,"Feb 12, 18",84.99,84.99,1745137,1745137,87.4824
25,0.51,-0.126773137585557,0.583,88.03,2018-02-13,88.835,"Feb 13, 18",85.891,87.25,1661870,1661870,87.7125
26,0.14,-0.12538438646959602,0.159,88.17,2018-02-14,89.12,"Feb 14, 18",86.21,87.31,2243836,2243836,87.7354
27,-2.58,-0.15097708560658601,-2.926,85.59,2018-02-15,88.59,"Feb 15, 18",83.75,87.9,2488976,2488976,85.3881
28,0.44,-0.14661243924213802,0.514,86.03,2018-02-16,88.2284,"Feb 16, 18",84.51,85.55,2473939,2473939,86.7318
29,-0.52,-0.151770657672849,-0.604,85.51,2018-02-20,87.561,"Feb 20, 18",84.58,85.6,1357429,1357429,86.1579
30,-0.8,-0.159706378335482,-0.936,84.71,2018-02-21,86.985,"Feb 21, 18",84.66,85.36,1366648,1366648,85.6515
31,0.48,-0.154944945937903,0.5670000000000001,85.19,2018-02-22,87.54,"Feb 22, 18",85.02,85.14,1315685,1315685,85.9052
32,2.61,-0.12905465727606302,3.064,87.8,2018-02-23,88.015,"Feb 23, 18",84.88,85.43,1460410,1460410,87.1779
33,-0.27,-0.131732962999702,-0.308,87.53,2018-02-26,91.2835,"Feb 26, 18",87.12,88.5,1004386,1004386,88.0701
34,-0.96,-0.141255827794861,-1.097,86.57,2018-02-27,88.74,"Feb 27, 18",86.39,87.68,1012561,1012561,87.1428
35,-1.4100000000000001,-0.15524253546275102,-1.629,85.16,2018-02-28,87.1102,"Feb 28, 18",85.14,86.55,1345031,1345031,85.6973
36,-2.07,-0.17577621267731303,-2.431,83.09,2018-03-01,85.0,"Mar 1, 18",81.25,84.88,2434169,2434169,82.6923
37,3.52,-0.14085904176173,4.236,86.61,2018-03-02,86.89,"Mar 2, 18",82.05,82.3,1274237,1274237,85.5578
38,4.36,-0.097609364150381,5.034,90.97,2018-03-05,91.23,"Mar 5, 18",85.35,86.16,1883169,1883169,89.7683
39,0.12,-0.09641900605098701,0.132,91.09,2018-03-06,92.7,"Mar 6, 18",89.86,91.21,1657290,1657290,90.7631
40,0.61,-0.09036801904572901,0.67,91.7,2018-03-07,92.19,"Mar 7, 18",90.5283,90.53,1409877,1409877,91.5013
41,0.72,-0.08322587044936,0.785,92.42,2018-03-08,92.74,"Mar 8, 18",90.8473,91.81,1253409,1253409,92.092
42,1.81,-0.065271302450153,1.9580000000000002,94.23,2018-03-09,94.79,"Mar 9, 18",92.86,93.02,1578212,1578212,94.1067
43,0.22,-0.063088979267929,0.233,94.45,2018-03-12,95.1599,"Mar 12, 18",93.7,94.55,1428000,1428000,94.5568
44,0.18,-0.061303442118837,0.191,94.63,2018-03-13,95.64,"Mar 13, 18",93.47,94.57,1759798,1759798,94.6236
45,-2.37,-0.084813014581886,-2.504,92.26,2018-03-14,96.33,"Mar 14, 18",92.0039,95.4,2648689,2648689,94.025
46,-3.5700000000000003,-0.12022616803888501,-3.8689999999999998,88.69,2018-03-15,93.25,"Mar 15, 18",87.95,92.29,1734499,1734499,90.5489
47,1.34,-0.10693383592897501,1.5110000000000001,90.03,2018-03-16,90.56,"Mar 16, 18",87.36,89.2,1977841,1977841,89.5332
48,-3.76,-0.144231723043348,-4.176,86.27,2018-03-19,89.71,"Mar 19, 18",85.13,89.5,1686584,1686584,86.5646
49,0.74,-0.136891181430413,0.858,87.01,2018-03-20,87.3441,"Mar 20, 18",85.8701,86.5,1487615,1487615,86.6951
50,1.78,-0.11923420295605501,2.046,88.79,2018-03-21,89.75,"Mar 21, 18",87.06,87.45,1232501,1232501,89.0014
51,-3.54,-0.154349766888205,-3.987,85.25,2018-03-22,88.5,"Mar 22, 18",85.18,87.64,2010966,2010966,85.8722
52,-2.19,-0.176073802202162,-2.569,83.06,2018-03-23,85.6899,"Mar 23, 18",82.765,85.0,1246354,1246354,83.9213
53,3.31,-0.14323975796051902,3.985,86.37,2018-03-26,86.47,"Mar 26, 18",82.78,84.5,1137661,1137661,84.9813
54,-1.34,-0.156532090070429,-1.5510000000000002,85.03,2018-03-27,88.66,"Mar 27, 18",84.57,86.93,1646825,1646825,86.2762
55,-0.07,-0.157226465628409,-0.082,84.96,2018-03-28,87.89,"Mar 28, 18",84.33,86.05,1685383,1685383,85.6259
56,-1.63,-0.173395496478523,-1.919,83.33,2018-03-29,85.68,"Mar 29, 18",83.31,85.06,1592479,1592479,83.935
57,-2.77,-0.20087292927288902,-3.324,80.56,2018-04-02,83.38,"Apr 2, 18",79.39,82.81,1736715,1736715,80.4508
58,1.33,-0.187679793671262,1.651,81.89,2018-04-03,82.46,"Apr 3, 18",79.27,81.0,1073263,1073263,81.1309
59,2.09,-0.166947723440134,2.552,83.98,2018-04-04,84.4,"Apr 4, 18",80.3142,80.84,1184198,1184198,83.2295
60,-0.91,-0.17597460569387902,-1.084,83.07,2018-04-05,84.8,"Apr 5, 18",82.54,84.8,1216533,1216533,83.4852
61,-19.05,-0.36494395397282003,-22.932,64.02,2018-04-06,69.49,"Apr 6, 18",63.43,65.99,26083758,26083758,66.4627
62,1.34,-0.35165162186291005,2.093,65.36,2018-04-09,67.23,"Apr 9, 18",61.3,64.57,7900003,7900003,64.6825
63,2.76,-0.324273385576827,4.223,68.12,2018-04-10,68.66,"Apr 10, 18",65.4,66.21,2940803,2940803,67.3022
64,-1.83,-0.342426346592599,-2.686,66.29,2018-04-11,69.11,"Apr 11, 18",65.75,67.51,2204525,2204525,66.8186
65,3.54,-0.30731078266045003,5.34,69.83,2018-04-12,70.58,"Apr 12, 18",67.05,67.41,4386117,4386117,69.6237
66,0.29,-0.304434083920245,0.41500000000000004,70.12,2018-04-13,70.62,"Apr 13, 18",68.89,70.32,2260239,2260239,69.9245
67,0.25,-0.30195417121317303,0.357,70.37,2018-04-16,71.245,"Apr 16, 18",68.76,70.49,2217033,2217033,70.4126
68,0.15,-0.30046622358892905,0.213,70.52,2018-04-17,71.08,"Apr 17, 18",70.06,70.68,1718266,1718266,70.5575
