,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.0,0.0,0.0,43.6418,2018-01-08,43.7393,"Jan 8, 18",42.8809,43.1833,33733769,33733769,43.4354
1,-1.0925,-0.025033339596441002,-2.503,42.5493,2018-01-09,43.7393,"Jan 9, 18",42.4224,43.6027,44282311,44282311,42.914
2,-1.0925,-0.050066679192883004,-2.568,41.4568,2018-01-10,42.5297,"Jan 10, 18",41.3982,42.2664,45734951,45734951,41.8255
3,0.887662,-0.029728379672699003,2.141,42.3444,2018-01-11,42.5102,"Jan 11, 18",41.408,41.7494,35371519,35371519,42.1361
4,-0.165827,-0.033527489700241005,-0.392,42.1786,2018-01-12,42.5297,"Jan 12, 18",41.9542,42.3834,29973553,29973553,42.157
5,-0.09754499999999999,-0.03576387775023,-0.231,42.081,2018-01-16,42.7151,"Jan 16, 18",41.832300000000004,42.481,38367181,38367181,42.2151
6,1.2193,-0.007822775412563,2.898,43.3004,2018-01-17,43.3589,"Jan 17, 18",42.442,42.4761,32368612,32368612,43.1187
7,0.087791,-0.005813234101251,0.203,43.3881,2018-01-18,43.6369,"Jan 18, 18",43.0858,43.3101,26826529,26826529,43.3879
8,0.331654,0.0017872773350310002,0.764,43.7198,2018-01-19,43.7881,"Jan 19, 18",43.1638,43.5247,25780217,25780217,43.5144
9,0.907171,0.022574687570173002,2.075,44.627,2018-01-22,44.666,"Jan 22, 18",43.6905,43.7003,27706762,27706762,44.3919
10,0.30239099999999997,0.02950382431522,0.678,44.9294,2018-01-23,44.9586,"Jan 23, 18",44.5099,44.6855,22135103,22135103,44.7551
11,-0.5365,0.017210564183878,-1.194,44.3929,2018-01-24,44.9976,"Jan 24, 18",43.8564,44.7733,32464221,32464221,44.4492
12,-0.204845,0.012515524107621,-0.461,44.188,2018-01-25,45.2318,"Jan 25, 18",44.0612,44.7538,36758746,36758746,44.4228
13,4.6627,0.11935575526215601,10.552,48.8507,2018-01-26,48.919,"Jan 26, 18",46.9388,47.1924,86916079,86916079,48.1049
14,-0.09754499999999999,0.11711936721216801,-0.2,48.7531,2018-01-29,49.6018,"Jan 29, 18",48.1581,48.3825,46304040,46304040,48.9428
15,-1.1608,0.09052330563817201,-2.3810000000000002,47.5924,2018-01-30,48.8312,"Jan 30, 18",47.5436,48.2654,32814590,32814590,48.0278
16,-0.6340439999999999,0.075993657456841,-1.332,46.9583,2018-01-31,48.0411,"Jan 31, 18",46.3925,48.0215,41619914,41619914,46.9307
