,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.099128,0.0,0.061,162.7798,2018-01-08,163.097,"Jan 8, 18",161.9174,162.6014,1185952,1185952,162.6632
1,1.0235,0.006287635197979,0.629,163.8033,2018-01-09,164.0815,"Jan 9, 18",161.7365,163.0978,1098328,1098328,163.2694
2,-1.3315000000000001,-0.001892126664364,-0.8130000000000001,162.4718,2018-01-10,163.535,"Jan 10, 18",161.5179,163.3363,1095379,1095379,162.2264
3,-0.5067619999999999,-0.00500553508482,-0.312,161.965,2018-01-11,163.2369,"Jan 11, 18",161.2198,162.4817,813932,813932,161.8961
4,1.5004,0.004211824808729001,0.926,163.4654,2018-01-12,163.8927,"Jan 12, 18",161.8955,162.0445,652394,652394,163.176
5,-2.2059,-0.009339610934526,-1.349,161.2595,2018-01-16,165.4329,"Jan 16, 18",160.8024,163.9523,1385036,1385036,162.4508
6,1.9873,0.0028689063385010003,1.232,163.2468,2018-01-17,163.6344,"Jan 17, 18",161.8955,162.8394,903241,903241,162.9142
7,0.109302,0.0035403655736150003,0.067,163.3561,2018-01-18,163.9126,"Jan 18, 18",162.5711,162.8494,980771,980771,163.3122
8,3.3188,0.023928644708987003,2.032,166.6749,2018-01-19,166.7544,"Jan 19, 18",163.5747,163.8927,1555402,1555402,165.8309
9,0.924095,0.029605639028921,0.554,167.599,2018-01-22,167.7282,"Jan 22, 18",166.0787,166.6849,1042600,1042600,167.3683
10,-0.208667,0.028324153242601003,-0.125,167.3904,2018-01-23,168.7119,"Jan 23, 18",166.6849,167.9269,1058775,1058775,167.5768
11,-0.9042209999999999,0.022768795636805002,-0.54,166.4861,2018-01-24,168.5032,"Jan 24, 18",165.8303,167.5692,860634,860634,166.9333
12,0.268285,0.024417034546055,0.161,166.7544,2018-01-25,167.7083,"Jan 25, 18",165.2242,166.9631,739982,739982,166.7916
13,2.6034,0.040410419474652,1.561,169.3578,2018-01-26,169.5068,"Jan 26, 18",167.1221,167.4698,751661,751661,168.7315
14,-1.2222,0.032902116847422,-0.722,168.1356,2018-01-29,169.3478,"Jan 29, 18",167.1966,168.8808,939779,939779,168.2286
15,-0.705492,0.028568040997716003,-0.42,167.4301,2018-01-30,168.9206,"Jan 30, 18",166.2675,168.6324,1189229,1189229,167.4914
16,-0.59619,0.024905424383123,-0.356,166.8339,2018-01-31,167.9021,"Jan 31, 18",165.9108,167.5295,1314515,1314515,166.8475
17,-2.2357,0.011170919241822001,-1.34,164.5982,2018-02-01,167.3804,"Feb 1, 18",163.8728,166.4961,1499882,1499882,165.3795
