,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,16.5,0.0,6.809,258.84,2018-01-08,259.88,"Jan 8, 18",241.26,241.26,1300985,1300985,254.8753
1,-2.64,-0.010199350950394,-1.02,256.2,2018-01-09,260.33,"Jan 9, 18",254.55,259.85,884884,884884,257.0878
2,-1.67,-0.01665121310462,-0.652,254.53,2018-01-10,255.58,"Jan 10, 18",251.55,254.41,494470,494470,253.6533
3,3.8,-0.001970329160871,1.4929999999999999,258.33,2018-01-11,260.33,"Jan 11, 18",255.02,255.09,446921,446921,258.5444
4,-0.06,-0.002202132591562,-0.023,258.27,2018-01-12,259.64,"Jan 12, 18",256.21,258.5,535564,535564,257.7663
5,2.02,0.005601916241693,0.782,260.29,2018-01-16,264.1114,"Jan 16, 18",258.3145,260.72,346537,346537,261.3911
6,0.66,0.008151753979292001,0.254,260.95,2018-01-17,263.26,"Jan 17, 18",258.53,260.15,616980,616980,261.3935
7,-0.2,0.007379075876989,-0.077,260.75,2018-01-18,262.07,"Jan 18, 18",257.2,260.95,316956,316956,260.4633
8,2.3,0.016264874053469002,0.882,263.05,2018-01-19,263.2773,"Jan 19, 18",260.33,262.57,411308,411308,261.698
9,-2.3,0.007379075876989,-0.874,260.75,2018-01-22,262.78,"Jan 22, 18",257.57,262.5,377128,377128,260.8298
10,2.59,0.017385257301808,0.993,263.34,2018-01-23,263.71,"Jan 23, 18",259.23,260.95,515631,515631,262.1185
11,-7.61,-0.012015144490805001,-2.89,255.73,2018-01-24,264.08,"Jan 24, 18",252.54,264.08,508998,508998,257.8511
12,1.9100000000000001,-0.004636068613815001,0.747,257.64,2018-01-25,259.94,"Jan 25, 18",255.01,258.02,308578,308578,257.6587
13,2.1,0.0034770514603610003,0.8150000000000001,259.74,2018-01-26,259.84,"Jan 26, 18",254.76,258.59,229071,229071,257.5047
14,-3.79,-0.011165198578272001,-1.459,255.95,2018-01-29,259.5078,"Jan 29, 18",253.75,258.03,287093,287093,256.2015
15,-3.18,-0.023450780404883003,-1.242,252.77,2018-01-30,253.59,"Jan 30, 18",240.0,251.24,408886,408886,249.7836
16,-0.8200000000000001,-0.026618760624323,-0.324,251.95,2018-01-31,255.36,"Jan 31, 18",250.0201,253.97,359474,359474,252.3238
17,0.13,-0.026116519857827,0.052000000000000005,252.08,2018-02-01,254.23,"Feb 1, 18",249.35,251.39,355939,355939,252.3226
18,-5.33,-0.04670839128419001,-2.114,246.75,2018-02-02,251.5449,"Feb 2, 18",243.515,250.74,326303,326303,247.2278
19,-12.51,-0.09503940658321701,-5.07,234.24,2018-02-05,246.75,"Feb 5, 18",231.49,241.13,564757,564757,239.2783
20,8.3,-0.06297326533766001,3.543,242.54,2018-02-06,242.625,"Feb 6, 18",223.0,227.71,505397,505397,237.2135
