,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.04,0.0,0.041,98.6,2018-01-08,98.79,"Jan 8, 18",98.13,98.48,830415,830415,98.5763
1,-0.06,-0.000608519269776,-0.061,98.54,2018-01-09,99.0,"Jan 9, 18",98.05,98.96,1160196,1160196,98.6317
2,0.33,0.0027383367139960004,0.335,98.87,2018-01-10,99.0,"Jan 10, 18",97.2,98.37,775806,775806,98.5163
3,0.99,0.012778904665314,1.001,99.86,2018-01-11,100.06,"Jan 11, 18",98.45,99.27,1588629,1588629,99.6479
4,0.18,0.014604462474645,0.18,100.04,2018-01-12,100.68,"Jan 12, 18",99.46,99.93,742070,742070,100.0949
5,-0.11,0.013488843813387,-0.11,99.93,2018-01-16,101.01,"Jan 16, 18",99.85,100.43,957540,957540,100.1265
6,0.29,0.016430020283975,0.29,100.22,2018-01-17,100.58,"Jan 17, 18",99.5651,100.5,975193,975193,100.1684
7,-0.30000000000000004,0.013387423935091002,-0.299,99.92,2018-01-18,100.74,"Jan 18, 18",99.74,100.37,795222,795222,100.1
8,3.08,0.044624746450304,3.082,103.0,2018-01-19,103.0451,"Jan 19, 18",100.34,100.34,1351872,1351872,102.467
9,-0.16,0.043002028397566006,-0.155,102.84,2018-01-22,104.03,"Jan 22, 18",102.48,102.76,1683039,1683039,103.1155
10,0.37,0.046754563894523,0.36,103.21,2018-01-23,104.07,"Jan 23, 18",102.6,102.96,952920,952920,103.5204
11,0.29,0.049695740365111006,0.281,103.5,2018-01-24,103.84,"Jan 24, 18",103.11,103.21,865808,865808,103.4912
12,1.08,0.06064908722109501,1.043,104.58,2018-01-25,105.1,"Jan 25, 18",103.5,103.5,815795,815795,104.5147
13,1.43,0.075152129817444,1.367,106.01,2018-01-26,106.13,"Jan 26, 18",104.68,105.0,1779249,1779249,105.7555
14,-0.43,0.070791075050709,-0.406,105.58,2018-01-29,106.33,"Jan 29, 18",104.341,105.04,871383,871383,105.7667
15,-1.21,0.05851926977687601,-1.146,104.37,2018-01-30,106.215,"Jan 30, 18",103.64,105.3,779898,779898,105.0086
16,-2.18,0.036409736308316,-2.089,102.19,2018-01-31,104.97,"Jan 31, 18",101.86,104.59,1517798,1517798,103.0764
17,1.9300000000000002,0.055983772819472005,1.889,104.12,2018-02-01,104.18,"Feb 1, 18",101.38,102.12,1111877,1111877,103.65090000000001
18,-3.58,0.019675456389452003,-3.438,100.54,2018-02-02,103.33,"Feb 2, 18",100.5,103.33,827650,827650,101.2275
19,-3.79,-0.018762677484786,-3.77,96.75,2018-02-05,100.99,"Feb 5, 18",95.96,100.32,1319879,1319879,97.9594
20,1.31,-0.005476673427991001,1.354,98.06,2018-02-06,98.47,"Feb 6, 18",93.0989,95.21,1760634,1760634,97.0361
21,0.15,-0.003955375253549,0.153,98.21,2018-02-07,100.25,"Feb 7, 18",98.16,98.19,904991,904991,99.0594
22,-2.98,-0.034178498985801005,-3.034,95.23,2018-02-08,98.91,"Feb 8, 18",95.22,98.29,945306,945306,96.6842
23,0.8200000000000001,-0.025862068965517,0.861,96.05,2018-02-09,96.88,"Feb 9, 18",94.12,96.26,1194776,1194776,95.737
24,2.58,0.000304259634888,2.686,98.63,2018-02-12,99.439,"Feb 12, 18",95.95,96.9,1258340,1258340,98.0494
25,1.43,0.014807302231237001,1.45,100.06,2018-02-13,101.23,"Feb 13, 18",97.77,98.1,1440563,1440563,99.8433
26,4.62,0.061663286004056,4.617,104.68,2018-02-14,108.38,"Feb 14, 18",100.0,100.98,2273019,2273019,105.2368
27,-3.11,0.030121703853955004,-2.971,101.57,2018-02-15,106.27,"Feb 15, 18",99.78,105.51,1869437,1869437,101.3427
28,0.15,0.031643002028397,0.148,101.72,2018-02-16,102.5,"Feb 16, 18",101.16,101.39,1288765,1288765,101.9105
29,-1.46,0.01683569979716,-1.435,100.26,2018-02-20,102.07,"Feb 20, 18",99.78,101.58,1301499,1301499,100.8278
30,-0.5,0.011764705882353002,-0.499,99.76,2018-02-21,101.49,"Feb 21, 18",99.73,100.64,1367112,1367112,100.5585
31,-1.38,-0.002231237322515,-1.383,98.38,2018-02-22,100.75,"Feb 22, 18",97.82,100.02,1351787,1351787,98.8076
32,1.4,0.011967545638945,1.423,99.78,2018-02-23,99.925,"Feb 23, 18",98.21,98.87,1403805,1403805,99.4768
