,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.6955779999999999,0.0,0.791,88.5833,2018-01-08,89.083,"Jan 8, 18",88.0347,88.2111,1976567,1976567,88.575
1,0.460453,0.0051984967821240005,0.52,89.0438,2018-01-09,89.4553,"Jan 9, 18",88.5931,88.8871,1779228,1779228,89.0825
2,0.088173,0.006194169781437,0.099,89.132,2018-01-10,89.2495,"Jan 10, 18",88.2699,89.0242,1495262,1495262,88.9578
3,0.9894839999999999,0.017364446797534003,1.11,90.1215,2018-01-11,90.9052,"Jan 11, 18",88.9262,89.1516,1897820,1897820,90.0637
4,-0.871923,0.007520604899569,-0.967,89.2495,2018-01-12,90.4937,"Jan 12, 18",88.8381,90.4937,1744093,1744093,89.3554
5,-0.822936,-0.001768956451159,-0.922,88.4266,2018-01-16,90.0627,"Jan 16, 18",88.1523,90.0137,1451498,1451498,89.0927
6,-0.078376,-0.002653999117214,-0.089,88.3482,2018-01-17,88.8773,"Jan 17, 18",87.9181,88.6323,1166194,1166194,88.3713
7,0.146954,-0.0009945441183600002,0.166,88.4952,2018-01-18,89.2642,"Jan 18, 18",87.731,88.0837,1237619,1237619,88.6338
8,0.587811,0.005641018115152,0.664,89.083,2018-01-19,89.2006,"Jan 19, 18",88.2894,88.9556,1143233,1143233,88.943
9,-1.0679,-0.0064143015669990006,-1.199,88.0151,2018-01-22,88.985,"Jan 22, 18",87.4567,88.8773,1197186,1197186,87.9093
10,1.8908,0.014930579465881002,2.148,89.9059,2018-01-23,89.9843,"Jan 23, 18",88.4952,89.4259,1643808,1643808,89.6278
11,0.205734,0.017253816464277,0.229,90.1117,2018-01-24,91.444,"Jan 24, 18",89.8283,90.3174,1744698,1744698,90.2664
12,-0.401673,0.012719101681693,-0.446,89.71,2018-01-25,90.7681,"Jan 25, 18",89.0213,90.7681,1071252,1071252,89.8157
13,2.2043,0.037603024497845,2.457,91.9143,2018-01-26,91.9535,"Jan 26, 18",89.6414,90.1215,1619431,1619431,91.4174
14,0.048984,0.03815617616413,0.053,91.9633,2018-01-29,93.227,"Jan 29, 18",91.689,91.7281,2071983,2071983,92.3082
15,-1.3128,0.023336227031505,-1.428,90.6505,2018-01-30,92.0319,"Jan 30, 18",89.9157,91.5126,2512497,2512497,90.5806
16,2.0573,0.04656069484880301,2.27,92.7078,2018-01-31,92.8548,"Jan 31, 18",89.4553,91.4734,4407496,4407496,91.7429
17,1.9300000000000002,0.06834809721471201,2.082,94.6378,2018-02-01,95.6861,"Feb 1, 18",92.3356,92.4335,3633986,3633986,94.4027
18,-1.3324,0.053306887415573004,-1.408,93.3054,2018-02-02,94.5105,"Feb 2, 18",93.1438,94.0206,2601308,2601308,93.6751
19,-4.6143,0.0012169336658260001,-4.945,88.6911,2018-02-05,93.3397,"Feb 5, 18",88.5099,92.6197,3789342,3789342,90.1686
20,1.1952,0.014709318799367,1.348,89.8863,2018-02-06,90.4154,"Feb 6, 18",86.046,86.9081,3032561,3032561,88.5027
21,-0.548625,0.008516277898881,-0.61,89.3377,2018-02-07,91.7086,"Feb 7, 18",89.2985,89.8667,2110075,2110075,90.4858
22,-3.5171,-0.031187594049894,-3.9370000000000003,85.8206,2018-02-08,89.4259,"Feb 8, 18",85.7618,89.2789,2111475,2111475,87.51
23,1.5283,-0.013934906466568002,1.7810000000000001,87.3489,2018-02-09,88.0543,"Feb 9, 18",84.0082,86.9081,2351736,2351736,86.2833
24,1.7145000000000001,0.005419757448638001,1.963,89.0634,2018-02-12,89.8667,"Feb 12, 18",87.8505,88.0543,1484922,1484922,89.0504
25,-0.6367959999999999,-0.001768956451159,-0.715,88.4266,2018-02-13,89.0634,"Feb 13, 18",87.8094,88.2209,1172164,1172164,88.4331
26,0.127359,-0.000330762118819,0.14400000000000002,88.554,2018-02-14,88.8871,"Feb 14, 18",87.5155,87.8682,1852203,1852203,88.2824
27,1.5871,0.017585707464047,1.792,90.1411,2018-02-15,90.4839,"Feb 15, 18",88.0455,89.4063,1580099,1580099,89.5086
28,-0.960094,0.006747321447722001,-1.065,89.181,2018-02-16,91.3461,"Feb 16, 18",88.9458,89.8667,1961522,1961522,89.9583
29,-0.969891,-0.0042016949018600005,-1.088,88.2111,2018-02-20,89.3475,"Feb 20, 18",87.878,88.6519,1649158,1649158,88.5564
30,-0.029390999999999997,-0.0045335859016310005,-0.033,88.1817,2018-02-21,89.3965,"Feb 21, 18",87.4861,88.3678,2985211,2985211,88.2803
31,0.293906,-0.001215804784874,0.333,88.4756,2018-02-22,89.7394,"Feb 22, 18",88.2699,88.7499,1295156,1295156,89.0177
32,-0.156749,-0.0029858901169850004,-0.177,88.3188,2018-02-23,89.2887,"Feb 23, 18",87.7506,89.132,1553521,1553521,88.3376
33,0.489844,0.002544497664909,0.555,88.8087,2018-02-26,89.132,"Feb 26, 18",87.3979,88.456,2160753,2160753,88.293
34,-0.558423,-0.0037591735688320004,-0.629,88.2503,2018-02-27,89.9059,"Feb 27, 18",88.2503,88.8871,1546131,1546131,88.9373
35,-1.254,-0.017915340701915,-1.421,86.9963,2018-02-28,89.5336,"Feb 28, 18",86.9865,88.7009,1816678,1816678,88.2216
36,-2.8705,-0.050319868417636006,-3.3,84.1258,2018-03-01,87.2412,"Mar 1, 18",84.067,87.1726,2665542,2665542,85.2954
37,0.41147000000000006,-0.045675652182747,0.489,84.5372,2018-03-02,84.8116,"Mar 2, 18",82.3427,83.3714,2858215,2858215,83.724
38,-0.068579,-0.046448935634594006,-0.081,84.4687,2018-03-05,84.8703,"Mar 5, 18",83.3126,84.0768,3552229,3552229,84.3418
39,0.75436,-0.037933786616664,0.893,85.223,2018-03-06,86.1145,"Mar 6, 18",84.2041,85.0075,1970710,1970710,85.2204
40,0.235124,-0.035279787499449,0.276,85.4581,2018-03-07,85.7227,"Mar 7, 18",84.0278,84.0376,1992312,1992312,84.7865
41,0.6893579999999999,-0.027497282219109003,0.807,86.1475,2018-03-08,86.3149,"Mar 8, 18",85.2612,85.8718,1951995,1951995,85.8827
42,2.1173,-0.00359548583085,2.458,88.2648,2018-03-09,88.2746,"Mar 9, 18",86.5316,86.9156,2017961,2017961,87.7714
43,-1.5264,-0.020826724676095,-1.729,86.7384,2018-03-12,88.5897,"Mar 12, 18",86.5611,88.2845,1375322,1375322,87.2116
44,0.15756199999999998,-0.019048737177323003,0.182,86.8959,2018-03-13,87.989,"Mar 13, 18",86.4725,87.1815,1407576,1407576,87.0501
45,0.07878199999999999,-0.018159178987461,0.091,86.9747,2018-03-14,87.8315,"Mar 14, 18",86.4626,87.5163,1406759,1406759,87.1213
46,1.8711000000000002,0.002963312497953,2.151,88.8458,2018-03-15,88.9442,"Mar 15, 18",86.7778,87.152,2351694,2351694,88.4875
47,-0.7287279999999999,-0.005263971877317,-0.8200000000000001,88.117,2018-03-16,88.8261,"Mar 16, 18",87.605,88.7768,2321118,2321118,88.1941
48,-0.9453779999999999,-0.015935283512806,-1.073,87.1717,2018-03-19,88.0383,"Mar 19, 18",86.2952,87.9201,944791,944791,87.1438
