,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,12.85,0.0,3.39,391.86,2018-01-08,392.64,"Jan 8, 18",377.21,378.72,992502,992502,387.8961
1,5.74,0.014648088603072,1.465,397.6,2018-01-09,404.12,"Jan 9, 18",393.0,393.73,1401081,1401081,399.0172
2,26.16,0.08140662481498401,6.579,423.76,2018-01-10,426.98,"Jan 10, 18",408.45,423.51,2043566,2043566,421.4186
3,-2.39,0.075307507783392,-0.5640000000000001,421.37,2018-01-11,423.95,"Jan 11, 18",416.23,422.0,1274793,1274793,420.2069
4,-2.33,0.069361506660542,-0.553,419.04,2018-01-12,421.93,"Jan 12, 18",415.755,419.13,932782,932782,418.9029
5,1.03,0.071989996427295,0.246,420.07,2018-01-16,426.68,"Jan 16, 18",417.0039,422.0,1007318,1007318,421.5735
6,11.03,0.100137804317868,2.626,431.1,2018-01-17,432.23,"Jan 17, 18",422.52,423.6,896456,896456,427.5541
7,0.97,0.102613178175879,0.225,432.07,2018-01-18,434.9,"Jan 18, 18",426.42,431.38,791406,791406,431.2058
8,1.16,0.10557341907824201,0.268,433.23,2018-01-19,436.57,"Jan 19, 18",428.48,433.96,751544,751544,432.699
9,0.71,0.10738529066503301,0.164,433.94,2018-01-22,435.0,"Jan 22, 18",427.501,435.0,825594,825594,431.4644
10,5.61,0.121701628132496,1.293,439.55,2018-01-23,441.52,"Jan 23, 18",431.8058,433.74,566374,566374,438.268
11,-2.07,0.11641912928086501,-0.47100000000000003,437.48,2018-01-24,442.2051,"Jan 24, 18",432.27,441.74,1008200,1008200,436.6707
12,12.33,0.14788444852753502,2.818,449.81,2018-01-25,452.0,"Jan 25, 18",440.0101,441.82,1312355,1312355,448.43
13,-9.57,0.12346246108303902,-2.128,440.24,2018-01-26,440.25,"Jan 26, 18",417.0,437.87,1819885,1819885,433.5994
14,-3.9,0.11350992701475,-0.886,436.34,2018-01-29,445.9,"Jan 29, 18",433.01,441.77,877438,877438,438.2642
15,-8.5,0.09181850660950301,-1.948,427.84,2018-01-30,433.94,"Jan 30, 18",423.59,433.2,1072854,1072854,428.662
16,3.83,0.101592405450926,0.895,431.67,2018-01-31,436.33,"Jan 31, 18",427.32,430.0,825928,825928,431.7165
17,-5.75,0.08691879752973,-1.332,425.92,2018-02-01,433.13,"Feb 1, 18",423.36,432.61,706539,706539,426.8384
18,-8.96,0.064053488490787,-2.104,416.96,2018-02-02,426.2,"Feb 2, 18",416.2701,423.01,939639,939639,419.7336
19,-17.95,0.018246312458531002,-4.305,399.01,2018-02-05,417.0,"Feb 5, 18",399.01,415.67,1255266,1255266,408.6782
20,9.32,0.042030316949931,2.336,408.33,2018-02-06,412.57,"Feb 6, 18",385.511,390.68,1571945,1571945,403.1722
21,-8.8,0.019573317000969002,-2.155,399.53,2018-02-07,410.88,"Feb 7, 18",396.34,407.12,770645,770645,403.418
22,-17.66,-0.025493798805695002,-4.42,381.87,2018-02-08,400.645,"Feb 8, 18",381.6,400.48,1293408,1293408,389.4463
23,11.04,0.0026795284030010002,2.891,392.91,2018-02-09,396.83,"Feb 9, 18",380.0,386.93,1301214,1301214,388.1454
24,5.6,0.01697034655234,1.425,398.51,2018-02-12,401.88,"Feb 12, 18",391.61,395.5,845177,845177,398.0401
25,3.49,0.025876588577553,0.876,402.0,2018-02-13,402.895,"Feb 13, 18",394.0,396.66,478708,478708,399.4998
26,7.89,0.046011330577246004,1.963,409.89,2018-02-14,411.2072,"Feb 14, 18",397.51,397.51,507581,507581,406.889
27,8.67,0.068136579390598,2.115,418.56,2018-02-15,418.81,"Feb 15, 18",410.0,413.0,521359,521359,415.58
28,-2.58,0.06155259531465301,-0.616,415.98,2018-02-16,421.13,"Feb 16, 18",414.46,418.56,549737,549737,417.2668
29,5.78,0.07630276119022,1.389,421.76,2018-02-20,427.38,"Feb 20, 18",415.46,415.51,894245,894245,422.3857
30,-5.2,0.06303271576583401,-1.233,416.56,2018-02-21,426.81,"Feb 21, 18",416.3,421.29,592382,592382,421.5047
31,3.23,0.071275455519828,0.775,419.79,2018-02-22,425.95,"Feb 22, 18",418.39,419.72,577833,577833,421.4731
32,7.72,0.090976369111417,1.839,427.51,2018-02-23,427.75,"Feb 23, 18",418.972,421.31,472273,472273,424.8502
33,4.49,0.10243454294901201,1.05,432.0,2018-02-26,432.935,"Feb 26, 18",426.0592,430.0,460180,460180,430.4308
34,-1.02,0.09983157250038201,-0.23600000000000002,430.98,2018-02-27,435.4,"Feb 27, 18",429.4068,433.0,649790,649790,431.5865
35,-4.53,0.088271321390292,-1.051,426.45,2018-02-28,436.21,"Feb 28, 18",426.21,431.46,613170,613170,429.9165
36,-14.32,0.051727657836982,-3.358,412.13,2018-03-01,428.85,"Mar 1, 18",409.89,428.44,924998,924998,416.7082
37,5.26,0.06515081917011101,1.276,417.39,2018-03-02,418.35,"Mar 2, 18",406.17,409.57,546005,546005,413.2011
38,6.86,0.08265707140305201,1.6440000000000001,424.25,2018-03-05,426.11,"Mar 5, 18",412.36,413.22,579339,579339,421.9401
39,2.25,0.08839891798091101,0.53,426.5,2018-03-06,432.11,"Mar 6, 18",423.46,426.01,584594,584594,426.9309
40,3.96,0.098504567957944,0.928,430.46,2018-03-07,432.16,"Mar 7, 18",421.365,422.7,772822,772822,428.3426
41,1.9,0.10335323840146901,0.441,432.36,2018-03-08,433.33,"Mar 8, 18",428.97,430.88,443755,443755,431.3566
42,8.1,0.12402388608176301,1.873,440.46,2018-03-09,444.96,"Mar 9, 18",434.0,434.0,785089,785089,440.2466
43,-1.51,0.12017046904506701,-0.343,438.95,2018-03-12,445.1,"Mar 12, 18",438.03,440.53,744645,744645,440.6023
44,1.27,0.12341142244679201,0.289,440.22,2018-03-13,444.7,"Mar 13, 18",437.96,441.62,565648,565648,441.1439
45,0.55,0.124814984943602,0.125,440.77,2018-03-14,444.9,"Mar 14, 18",439.1,442.38,627577,627577,441.5188
46,1.18,0.12782626448221202,0.268,441.95,2018-03-15,444.16,"Mar 15, 18",437.05,440.0,484987,484987,441.2813
47,-6.09,0.112284999744806,-1.3780000000000001,435.86,2018-03-16,444.5,"Mar 16, 18",433.81,443.37,960395,960395,437.3779
48,-9.0,0.08931761343336901,-2.065,426.86,2018-03-19,436.1,"Mar 19, 18",421.59,433.28,638911,638911,428.285
49,3.33,0.0978155463686,0.78,430.19,2018-03-20,433.1389,"Mar 20, 18",427.06,428.74,601533,601533,430.8596
50,-5.2,0.08454550094421401,-1.209,424.99,2018-03-21,431.7,"Mar 21, 18",422.53,430.41,493005,493005,426.7844
51,-11.09,0.05624457714489801,-2.609,413.9,2018-03-22,424.13,"Mar 22, 18",413.62,420.95,667901,667901,417.7524
52,-14.75,0.018603582912264,-3.564,399.15,2018-03-23,418.19,"Mar 23, 18",398.81,414.51,1012641,1012641,406.2142
53,15.97,0.05935793395600401,4.001,415.12,2018-03-26,415.47,"Mar 26, 18",403.75,407.78,1138649,1138649,409.5238
54,-9.9,0.034093809013423,-2.385,405.22,2018-03-27,418.83,"Mar 27, 18",402.08,416.31,656555,656555,410.6754
55,-2.83,0.026871841984382003,-0.6980000000000001,402.39,2018-03-28,408.615,"Mar 28, 18",397.2146,406.39,728450,728450,403.0601
56,10.44,0.053514010105649004,2.594,412.83,2018-03-29,421.92,"Mar 29, 18",401.33,403.67,960221,960221,413.9024
57,-11.94,0.023043944265809004,-2.892,400.89,2018-04-02,414.865,"Apr 2, 18",394.37,412.26,756018,756018,401.7177
58,2.58,0.029627928341754,0.644,403.47,2018-04-03,405.7391,"Apr 3, 18",396.61,402.74,621583,621583,401.9218
59,-1.55,0.025672434032562003,-0.384,401.92,2018-04-04,404.21,"Apr 4, 18",393.57,398.0,1627556,1627556,400.2265
60,4.2,0.036390547644566,1.045,406.12,2018-04-05,410.1,"Apr 5, 18",403.48,406.39,1004119,1004119,407.2552
61,-9.57,0.011968560200071001,-2.356,396.55,2018-04-06,406.8,"Apr 6, 18",394.0,403.52,627621,627621,399.2186
62,9.1,0.035191139692747,2.295,405.65,2018-04-09,413.45,"Apr 9, 18",400.06,400.89,542992,542992,407.4636
63,13.05,0.068493849844332,3.217,418.7,2018-04-10,421.31,"Apr 10, 18",410.0092,411.61,779948,779948,417.9577
64,-6.58,0.05170213851885801,-1.572,412.12,2018-04-11,416.93,"Apr 11, 18",410.77,414.83,495186,495186,413.1193
65,2.93,0.059179298729137006,0.711,415.05,2018-04-12,418.42,"Apr 12, 18",412.86,414.07,758162,758162,415.4045
66,-0.42,0.05810748736793701,-0.101,414.63,2018-04-13,420.66,"Apr 13, 18",411.81,418.0,470072,470072,415.7213
67,3.75,0.06767723166436901,0.904,418.38,2018-04-16,422.92,"Apr 16, 18",417.68,419.7,606555,606555,419.9591
68,17.07,0.11123870770173001,4.08,435.45,2018-04-17,436.7,"Apr 17, 18",420.01,423.42,1344581,1344581,431.2949
69,35.58,0.20203644158628,8.171,471.03,2018-04-18,473.79,"Apr 18, 18",448.9115,453.75,3474548,3474548,463.5731
70,-8.32,0.180804368907262,-1.766,462.71,2018-04-19,468.0,"Apr 19, 18",458.18,467.01,1714788,1714788,463.2963
71,-6.44,0.164369928035522,-1.392,456.27,2018-04-20,460.19,"Apr 20, 18",453.6,459.86,1320533,1320533,456.8117
72,-8.43,0.14285714285714202,-1.8479999999999999,447.84,2018-04-23,459.0,"Apr 23, 18",446.01,457.0,919359,919359,450.4073
73,-11.37,0.113841678150359,-2.539,436.47,2018-04-24,451.46,"Apr 24, 18",430.0,448.84,1134664,1134664,439.6195
74,1.49,0.11764405655080801,0.341,437.96,2018-04-25,439.8,"Apr 25, 18",429.035,436.0,768791,768791,435.6629
75,8.23,0.13864645536671202,1.879,446.19,2018-04-26,448.53,"Apr 26, 18",437.11,439.66,731507,731507,445.4513
76,0.84,0.140790078089113,0.188,447.03,2018-04-27,451.42,"Apr 27, 18",442.9623,449.84,546182,546182,446.8699
77,-6.25,0.124840504261726,-1.3980000000000001,440.78,2018-04-30,450.67,"Apr 30, 18",440.69,448.61,666353,666353,444.3913
78,6.77,0.142117082631552,1.536,447.55,2018-05-01,448.06,"May 1, 18",440.01,440.01,607254,607254,444.6988
79,1.46,0.145842903077629,0.326,449.01,2018-05-02,453.43,"May 2, 18",445.25,447.23,810219,810219,449.1285
80,-0.77,0.143877915582095,-0.171,448.24,2018-05-03,450.85,"May 3, 18",438.07,446.0,812255,812255,445.5713
81,12.18,0.17496044505690803,2.717,460.42,2018-05-04,461.32,"May 4, 18",443.02,447.05,751416,751416,456.369
82,4.98,0.18766906548257,1.082,465.4,2018-05-07,468.38,"May 7, 18",460.59,461.0,719283,719283,465.2118
83,-2.8,0.18052365640790002,-0.602,462.6,2018-05-08,464.04,"May 8, 18",459.525,463.0,810093,810093,462.1507
84,-0.33,0.17968151890981401,-0.07100000000000001,462.27,2018-05-09,465.865,"May 9, 18",459.24,463.79,686056,686056,462.1206
85,6.13,0.19532486091971601,1.326,468.4,2018-05-10,468.64,"May 10, 18",462.72,464.01,509199,509199,466.8004
86,-0.05,0.195197264329097,-0.011,468.35,2018-05-11,472.78,"May 11, 18",464.245,468.09,615438,615438,468.6617
87,-2.16,0.189685091614352,-0.461,466.19,2018-05-14,471.75,"May 14, 18",463.99,469.56,674856,674856,467.1442
88,-9.36,0.165799009850456,-2.008,456.83,2018-05-15,463.92,"May 15, 18",453.11,461.6,783266,783266,456.5107
89,4.21,0.176542642780584,0.922,461.04,2018-05-16,465.42,"May 16, 18",454.68,457.99,513946,513946,461.1421
