,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.42035000000000006,0.0,-1.18,35.1947,2018-01-08,35.4336,"Jan 8, 18",34.9273,34.9368,3534119,3534119,35.2022
1,0.343923,0.009774198956092,0.977,35.5387,2018-01-09,35.8061,"Jan 9, 18",35.3189,35.3189,2840263,2840263,35.634
2,-0.363029,-0.000542695349015,-1.022,35.1756,2018-01-10,35.9781,"Jan 10, 18",35.0419,35.6438,3929898,3929898,35.4403
3,0.458563,0.01248767570117,1.304,35.6342,2018-01-11,35.6629,"Jan 11, 18",34.9655,35.2712,2974190,2974190,35.2922
4,0.534992,0.027688828147419003,1.501,36.169200000000004,2018-01-12,36.1883,"Jan 12, 18",35.7393,35.9113,2511795,2511795,36.0165
5,-0.6305259999999999,0.009774198956092,-1.7429999999999999,35.5387,2018-01-16,36.7042,"Jan 16, 18",35.4336,36.4271,3843918,3843918,35.8226
6,0.840699,0.033661318323497,2.366,36.3794,2018-01-17,36.58,"Jan 17, 18",35.6438,35.7297,3258274,3258274,36.1311
7,-0.210173,0.027688828147419003,-0.578,36.169200000000004,2018-01-18,36.5036,"Jan 18, 18",36.1023,36.3794,2315740,2315740,36.2452
8,0.257941,0.035016636027583,0.713,36.4271,2018-01-19,36.5418,"Jan 19, 18",36.2265,36.2838,2457584,2457584,36.4057
9,-0.248388,0.027961596490380002,-0.682,36.1788,2018-01-22,36.3603,"Jan 22, 18",35.6629,36.2647,3176352,3176352,36.0133
10,-0.248389,0.020903715616271003,-0.687,35.9304,2018-01-23,36.3172,"Jan 23, 18",35.7632,36.0928,3223428,3223428,35.9436
11,0.0,0.020903715616271003,0.0,35.9304,2018-01-24,36.494,"Jan 24, 18",35.8157,36.1883,2776971,2776971,36.0869
12,-0.019107,0.020361020267256003,-0.053,35.9113,2018-01-25,36.0259,"Jan 25, 18",35.5769,36.0068,2042607,2042607,35.8634
13,0.773826,0.042347285244653005,2.155,36.6851,2018-01-26,36.7137,"Jan 26, 18",35.7775,36.0163,3309719,3309719,36.3633
14,-0.878914,0.017374775179217,-2.396,35.8062,2018-01-29,36.7137,"Jan 29, 18",35.7966,36.5513,3093066,3093066,36.0412
15,-0.764272,-0.004341562792124,-2.134,35.0419,2018-01-30,35.7297,"Jan 30, 18",35.0419,35.4622,3941125,3941125,35.3083
16,-0.525438,-0.019269946895413,-1.499,34.5165,2018-01-31,35.0228,"Jan 31, 18",33.8286,34.6311,4910117,4910117,34.5639
