,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.7455,0.0,1.514,117.0573,2018-01-08,117.1961,"Jan 8, 18",115.1729,115.1828,828762,828762,116.6561
1,2.2612,0.019317035332268,1.932,119.3185,2018-01-09,119.5466,"Jan 9, 18",117.3613,117.4242,945833,945833,118.9086
2,-0.198351,0.017622138901204003,-0.166,119.1201,2018-01-10,119.6656,"Jan 10, 18",118.4061,119.3581,889650,889650,119.1117
3,0.8132419999999999,0.024570018273102002,0.683,119.9334,2018-01-11,120.1912,"Jan 11, 18",115.7878,116.3928,938635,938635,119.3196
4,0.128928,0.025671188383808,0.107,120.0623,2018-01-12,120.5065,"Jan 12, 18",118.6342,120.3301,978426,978426,119.6707
5,-0.416537,0.022113101874039,-0.34700000000000003,119.6458,2018-01-16,120.4888,"Jan 16, 18",118.7036,120.4193,1068552,1068552,119.7049
6,0.009916,0.022197675839097,0.008,119.6557,2018-01-17,120.7169,"Jan 17, 18",118.8127,120.3797,1241640,1241640,119.5175
7,0.793408,0.028975552998403,0.663,120.4491,2018-01-18,121.1731,"Jan 18, 18",116.2143,117.9598,1480484,1480484,119.7542
8,2.1422,0.04727599218502301,1.779,122.5913,2018-01-19,122.8491,"Jan 19, 18",120.3598,121.2722,1318247,1318247,121.9714
9,1.7653,0.062356640722107004,1.44,124.3566,2018-01-22,124.4756,"Jan 22, 18",121.302,122.5913,1170113,1170113,123.4579
10,0.198351,0.06405153715317201,0.16,124.555,2018-01-23,125.0064,"Jan 23, 18",123.8508,124.2971,995486,995486,124.4554
11,0.059505999999999996,0.06455983522599601,0.048,124.6145,2018-01-24,125.4475,"Jan 24, 18",123.562,124.6641,1030799,1030799,124.7327
12,-1.6463,0.050494928552085004,-1.321,122.9681,2018-01-25,125.1995,"Jan 25, 18",122.4227,124.9417,814032,814032,123.1951
13,1.0314,0.059306852285162005,0.839,123.9996,2018-01-26,124.5153,"Jan 26, 18",122.4425,123.8111,623134,623134,123.6258
14,-3.2431,0.031601617327582,-2.615,120.7565,2018-01-29,123.4343,"Jan 29, 18",119.2689,121.2921,1094971,1094971,121.3783
15,-1.0314,0.022790547876979,-0.854,119.7251,2018-01-30,120.8557,"Jan 30, 18",119.2788,120.3301,765024,765024,119.9208
