,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.362699,0.0,1.376,26.7123,2018-01-08,27.3985,"Jan 8, 18",26.2221,26.33,2538850,2538850,26.5618
1,0.343094,0.012844270242547001,1.284,27.0554,2018-01-09,27.5847,"Jan 9, 18",26.835,26.8397,3808399,3808399,27.321
2,0.235263,0.021649202801705,0.87,27.2906,2018-01-10,27.3592,"Jan 10, 18",26.8789,26.9965,1488316,1488316,27.2215
3,0.137237,0.026789157054989,0.503,27.4279,2018-01-11,27.6631,"Jan 11, 18",27.32,27.32,1348886,1348886,27.4555
4,-0.049013,0.024951052511389002,-0.179,27.3788,2018-01-12,27.7415,"Jan 12, 18",27.2612,27.5847,1255364,1255364,27.3851
5,-0.372502,0.011006165698947001,-1.361,27.0063,2018-01-16,27.6141,"Jan 16, 18",26.9034,27.5259,1322350,1322350,27.1898
6,0.264673,0.020915458421775,0.98,27.271,2018-01-17,27.3396,"Jan 17, 18",26.8789,27.1534,1143275,1143275,27.21
7,-0.186251,0.013944886812442001,-0.683,27.0848,2018-01-18,27.2514,"Jan 18, 18",26.8985,27.222,958938,958938,27.0664
8,0.37250099999999997,0.027889773624884002,1.375,27.4573,2018-01-19,27.5553,"Jan 19, 18",27.1926,27.2318,1236748,1236748,27.3892
9,-0.098026,0.024217308131460002,-0.357,27.3592,2018-01-22,27.4573,"Jan 22, 18",27.1191,27.2514,1102039,1102039,27.3063
10,-0.26467199999999996,0.014311759002407002,-0.967,27.0946,2018-01-23,27.3985,"Jan 23, 18",27.0652,27.3396,1199640,1199640,27.1492
11,-0.098026,0.010639293508982,-0.362,26.9965,2018-01-24,27.369,"Jan 24, 18",26.9965,27.32,1380057,1380057,27.0993
12,-0.107831,0.006603699419368001,-0.399,26.8887,2018-01-25,27.1093,"Jan 25, 18",26.8005,27.0848,755085,755085,26.9285
13,0.19605399999999998,0.013944886812442001,0.729,27.0848,2018-01-26,27.1044,"Jan 26, 18",26.8201,27.0063,1026656,1026656,27.0179
14,-0.441119,-0.002571848923529,-1.629,26.6436,2018-01-29,27.1534,"Jan 29, 18",26.6289,26.9671,986125,986125,26.7564
15,-0.088225,-0.005873698633213,-0.331,26.5554,2018-01-30,26.6731,"Jan 30, 18",26.4182,26.5162,1237742,1237742,26.5443
16,-0.019604999999999997,-0.006607443013143001,-0.074,26.535800000000002,2018-01-31,26.7025,"Jan 31, 18",26.3986,26.5652,1395550,1395550,26.5283
17,-0.039210999999999996,-0.008074931773003,-0.148,26.4966,2018-02-01,26.575,"Feb 1, 18",26.2515,26.4966,1287125,1287125,26.4585
18,-0.725397,-0.035230961017957,-2.738,25.7712,2018-02-02,26.4868,"Feb 2, 18",25.7026,26.3888,1645311,1645311,25.9529
19,-1.49,-0.09101050826772601,-5.782,24.2812,2018-02-05,25.7908,"Feb 5, 18",24.2714,25.4869,2441046,2441046,24.8512
20,-0.039210999999999996,-0.09247799702758601,-0.161,24.242,2018-02-06,24.5753,"Feb 6, 18",23.4288,23.7421,4662408,4662408,23.9689
21,0.274476,-0.08220183211479301,1.1320000000000001,24.5165,2018-02-07,24.9184,"Feb 7, 18",24.095,24.095,2243384,2243384,24.6631
22,-1.1273,-0.12440336474208501,-4.598,23.3892,2018-02-08,24.5165,"Feb 8, 18",23.3892,24.5165,2288178,2288178,23.7834
23,0.382304,-0.11009160573967701,1.635,23.7715,2018-02-09,23.9675,"Feb 9, 18",22.9971,23.7028,2004383,2004383,23.5509
24,0.5783579999999999,-0.08844240293797201,2.433,24.3498,2018-02-12,24.5998,"Feb 12, 18",23.8646,23.9675,2251771,2251771,24.2887
25,-0.235265,-0.09724733549713001,-0.966,24.1146,2018-02-13,24.291,"Feb 13, 18",24.0606,24.1342,1478051,1478051,24.1552
26,0.6077659999999999,-0.07449751612553,2.52,24.7223,2018-02-14,24.7321,"Feb 14, 18",23.9185,23.9283,1302370,1302370,24.5366
27,-0.284278,-0.08514055322828801,-1.15,24.438,2018-02-15,24.8988,"Feb 15, 18",24.242,24.8007,1859642,1859642,24.4504
28,0.039210999999999996,-0.08366932087465301,0.16,24.4773,2018-02-16,24.6537,"Feb 16, 18",24.3302,24.34,2044097,2044097,24.4968
29,0.127435,-0.07889998240510901,0.521,24.6047,2018-02-20,24.8007,"Feb 20, 18",24.4184,24.4282,1658521,1658521,24.6046
30,-0.117633,-0.083302448684688,-0.47800000000000004,24.4871,2018-02-21,24.9135,"Feb 21, 18",24.4675,24.5557,1473234,1473234,24.6848
31,-0.49013399999999996,-0.101653545370484,-2.002,23.9969,2018-02-22,24.6145,"Feb 22, 18",23.9528,24.6047,1413948,1413948,24.2023
32,0.480332,-0.08366932087465301,2.002,24.4773,2018-02-23,24.5067,"Feb 23, 18",23.9773,24.095,1747600,1747600,24.3071
33,0.049013,-0.081834959924828,0.2,24.5263,2018-02-26,24.7321,"Feb 26, 18",24.3694,24.5949,1164997,1164997,24.5067
34,-0.450922,-0.09871482425699,-1.839,24.0754,2018-02-27,24.9478,"Feb 27, 18",24.0655,24.6439,1343940,1343940,24.4023
35,-0.558752,-0.11963402627254101,-2.321,23.5166,2018-02-28,24.2322,"Feb 28, 18",23.5068,24.193,2193031,2193031,23.7454
36,-0.343094,-0.13247829651508802,-1.459,23.1735,2018-03-01,23.7813,"Mar 1, 18",23.0951,23.4578,2122832,2122832,23.3604
37,0.166645,-0.126241469285684,0.719,23.3401,2018-03-02,23.399,"Mar 2, 18",22.6736,22.9873,1601634,1601634,23.1436
38,0.10783000000000001,-0.12220213160229501,0.462,23.448,2018-03-05,23.6538,"Mar 5, 18",22.9971,23.1441,1704636,1704636,23.4538
39,0.14704,-0.11669904875282101,0.627,23.595,2018-03-06,23.7225,"Mar 6, 18",23.296,23.6146,2705839,2705839,23.5071
40,-0.068618,-0.11926715408257602,-0.291,23.5264,2018-03-07,23.5656,"Mar 7, 18",23.2029,23.35,1599227,1599227,23.4143
41,-0.019606,-0.12000089846250601,-0.083,23.5068,2018-03-08,23.6244,"Mar 8, 18",23.1637,23.5656,2424272,2424272,23.4037
42,0.5097400000000001,-0.100919800990554,2.168,24.0165,2018-03-09,24.2322,"Mar 9, 18",23.6538,23.7421,1694486,1694486,23.9999
43,0.0,-0.100919800990554,0.0,24.0165,2018-03-12,24.1244,"Mar 12, 18",23.9283,23.9871,1797564,1797564,24.0264
44,-0.19605499999999998,-0.108257244789853,-0.8160000000000001,23.8205,2018-03-13,24.1636,"Mar 13, 18",23.7519,24.1636,2063559,2063559,23.8994
45,0.0,-0.108257244789853,0.0,23.8205,2018-03-14,24.0361,"Mar 14, 18",23.7127,23.9087,2751007,2751007,23.8347
46,0.107829,-0.104221650700239,0.453,23.9283,2018-03-15,24.095,"Mar 15, 18",23.8009,23.9185,3204069,3204069,23.9187
47,0.33467,-0.09169184233480401,1.399,24.263,2018-03-16,24.3319,"Mar 16, 18",23.9628,24.0267,3007505,3007505,24.2142
48,-0.639795,-0.11564335530822802,-2.637,23.6232,2018-03-19,24.2433,"Mar 19, 18",23.387,24.2138,2743457,2743457,23.6218
49,-0.7972819999999999,-0.14549102847751702,-3.375,22.8259,2018-03-20,23.7216,"Mar 20, 18",22.8259,23.7118,2790982,2790982,23.0112
50,-0.02953,-0.146595388641187,-0.129,22.7964,2018-03-21,23.0228,"Mar 21, 18",22.7176,22.7964,2202463,2202463,22.8618
51,-0.787439,-0.17607618962051103,-3.454,22.0089,2018-03-22,22.7767,"Mar 22, 18",21.9991,22.57,2149953,2149953,22.3436
52,-0.501993,-0.19486903037177603,-2.281,21.5069,2018-03-23,22.1566,"Mar 23, 18",21.379,22.068,2876112,2876112,21.5834
53,0.620109,-0.17165500537205702,2.883,22.127,2018-03-26,22.1664,"Mar 26, 18",21.7333,21.8613,2028920,2028920,21.9669
54,-0.324818,-0.183814197953751,-1.468,21.8022,2018-03-27,22.255,"Mar 27, 18",21.6841,22.1959,2724888,2724888,21.8717
55,0.29528899999999997,-0.17275936553572602,1.354,22.0975,2018-03-28,22.1467,"Mar 28, 18",21.7333,21.8022,2469698,2469698,22.033
56,0.27560399999999996,-0.162442021091407,1.2469999999999999,22.3731,2018-03-29,22.5601,"Mar 29, 18",22.2058,22.2649,2260491,2260491,22.3962
57,-0.620108,-0.18565604609112601,-2.7720000000000002,21.753,2018-04-02,22.3633,"Apr 2, 18",21.4479,22.2255,2232392,2232392,21.7189
58,0.177173,-0.17902239792155603,0.8140000000000001,21.9302,2018-04-03,21.9892,"Apr 3, 18",21.6152,21.9105,1984815,1984815,21.8432
59,-0.029529,-0.18012675808522602,-0.135,21.9007,2018-04-04,21.9794,"Apr 4, 18",21.5365,21.5365,3840997,3840997,21.8322
60,0.22638899999999998,-0.17165500537205702,1.034,22.127,2018-04-05,22.2944,"Apr 5, 18",21.9105,22.0188,2717519,2717519,22.1389
61,-0.6988519999999999,-0.19781523867282103,-3.158,21.4282,2018-04-06,21.9942,"Apr 6, 18",21.2707,21.94,3098262,3098262,21.5155
62,2.4804,-0.104959138673944,11.576,23.9086,2018-04-09,24.3594,"Apr 9, 18",22.8948,23.2295,7752576,7752576,23.8233
63,0.088586,-0.10164231458915901,0.371,23.9972,2018-04-10,24.4795,"Apr 10, 18",23.9874,24.0661,4877005,4877005,24.1819
64,-0.06890099999999999,-0.104221650700239,-0.28700000000000003,23.9283,2018-04-11,23.9874,"Apr 11, 18",23.6626,23.761,2995326,2995326,23.8558
65,0.049214999999999995,-0.10237980256286401,0.20600000000000002,23.9775,2018-04-12,24.2335,"Apr 12, 18",23.9578,23.9874,5342080,5342080,24.0675
66,-0.059058,-0.10458852289020401,-0.246,23.9185,2018-04-13,24.2335,"Apr 13, 18",23.8693,24.1153,3280381,3280381,23.9995
67,0.32481899999999997,-0.09242933030850901,1.358,24.2433,2018-04-16,24.3516,"Apr 16, 18",23.9775,24.0956,3120715,3120715,24.2055
68,-0.09843,-0.096113026583259,-0.406,24.1449,2018-04-17,24.4303,"Apr 17, 18",24.0563,24.4008,3624388,3624388,24.1996
69,-0.206703,-0.10385103491649901,-0.856,23.9382,2018-04-18,24.1744,"Apr 18, 18",23.761,24.1744,3322761,3322761,23.9559
70,-0.206703,-0.111589043249738,-0.863,23.7315,2018-04-19,24.2433,"Apr 19, 18",23.7315,23.9677,2767176,2767176,23.9098
71,-0.088587,-0.11490586733452302,-0.373,23.6429,2018-04-20,23.9874,"Apr 20, 18",23.633,23.8693,3490398,3490398,23.7505
72,0.39372,-0.10016733864174901,1.665,24.0366,2018-04-23,24.1153,"Apr 23, 18",23.7216,23.7708,3006522,3006522,23.9051
73,-0.177174,-0.10680098681131901,-0.737,23.8594,2018-04-24,24.263,"Apr 24, 18",23.7511,24.0858,3362313,3362313,23.9685
74,0.216546,-0.09869236269433901,0.908,24.076,2018-04-25,24.3122,"Apr 25, 18",23.6527,23.82,2628601,2628601,24.0924
75,-0.147645,-0.104221650700239,-0.613,23.9283,2018-04-26,24.1941,"Apr 26, 18",23.7856,24.0661,2876513,2876513,24.0388
76,-0.26576099999999997,-0.11416837936081801,-1.111,23.6626,2018-04-27,24.1252,"Apr 27, 18",23.4165,23.8299,2532713,2532713,23.7578
77,0.0,-0.11416837936081801,0.0,23.6626,2018-04-30,23.8889,"Apr 30, 18",23.6576,23.7807,2206325,2206325,23.7499
78,0.019686,-0.113434634980888,0.083,23.6822,2018-05-01,23.7315,"May 1, 18",23.2688,23.6133,3557481,3557481,23.5187
79,0.216546,-0.10532601086390901,0.914,23.8988,2018-05-02,23.9874,"May 2, 18",23.5937,23.6724,4296583,4296583,23.8421
80,-0.285447,-0.11601397109196801,-1.194,23.6133,2018-05-03,23.9382,"May 3, 18",23.3968,23.7511,7235390,7235390,23.6462
81,0.45277799999999996,-0.099062978478079,1.917,24.0661,2018-05-04,24.135,"May 4, 18",23.3682,23.5346,3290098,3290098,23.9762
82,0.187017,-0.09206245811854401,0.777,24.2531,2018-05-07,24.3811,"May 7, 18",23.7807,24.0563,2858997,2858997,24.1189
83,-0.19686,-0.09942985066804401,-0.812,24.0563,2018-05-08,24.3811,"May 8, 18",24.0366,24.2335,4993118,4993118,24.1826
84,0.19686,-0.09206245811854401,0.8180000000000001,24.2531,2018-05-09,24.327,"May 9, 18",23.9677,24.1055,2537636,2537636,24.197400000000002
85,0.147645,-0.08653317011264401,0.609,24.4008,2018-05-10,24.4992,"May 10, 18",24.1645,24.2433,2901834,2901834,24.3753
86,-0.22638899999999998,-0.09500866641958901,-0.928,24.1744,2018-05-11,24.514,"May 11, 18",24.1449,24.3417,2719913,2719913,24.2784
87,0.009843,-0.094641794229624,0.041,24.1842,2018-05-14,24.4303,"May 14, 18",24.1055,24.2236,2880631,2880631,24.2398
88,-0.767753,-0.12338136364146801,-3.175,23.4165,2018-05-15,24.1793,"May 15, 18",23.3673,24.0661,3813372,3813372,23.627
89,-0.285447,-0.13406932386952802,-1.219,23.131,2018-05-16,23.4165,"May 16, 18",22.9342,23.3771,3085728,3085728,23.1171
90,-0.059058,-0.136278044196868,-0.255,23.072,2018-05-17,23.259,"May 17, 18",23.0671,23.1212,1841041,1841041,23.1209
91,-0.33466199999999996,-0.148807852562302,-1.451,22.7373,2018-05-18,23.1212,"May 18, 18",22.7373,23.1212,1667761,1667761,22.8491
92,0.127958,-0.14401605253010702,0.5630000000000001,22.8653,2018-05-21,23.0228,"May 21, 18",22.8161,22.8554,1698422,1698422,22.8963
93,0.275605,-0.13369870808578802,1.205,23.1409,2018-05-22,23.2688,"May 22, 18",22.885,22.885,2341260,2341260,23.1336
94,-0.039372,-0.13517368403319802,-0.17,23.1015,2018-05-23,23.1212,"May 23, 18",22.9046,23.0424,1821527,1821527,23.0368
95,-0.38387699999999997,-0.14954534053600702,-1.662,22.7176,2018-05-24,23.2688,"May 24, 18",22.6487,22.9834,1175269,1175269,22.7905
96,0.157488,-0.143649180340142,0.6930000000000001,22.8751,2018-05-25,22.9046,"May 25, 18",22.6389,22.6389,1389085,1389085,22.7804
97,-1.0335,-0.182339222006341,-4.518,21.8416,2018-05-29,22.5995,"May 29, 18",21.7038,22.5601,2194616,2194616,21.9263
98,0.019684999999999998,-0.18160173403263602,0.09,21.8613,2018-05-30,22.1172,"May 30, 18",21.8514,22.068,1739930,1739930,21.9547
99,-0.324818,-0.193760926614331,-1.486,21.5365,2018-05-31,22.0385,"May 31, 18",21.5168,21.881,3281724,3281724,21.6197
100,0.19686,-0.186393534064831,0.914,21.7333,2018-06-01,21.8121,"Jun 1, 18",21.634900000000002,21.8121,1590570,1590570,21.7131
101,-0.13780199999999998,-0.19155220628699102,-0.634,21.5955,2018-06-04,21.8908,"Jun 4, 18",21.5266,21.8219,1531833,1531833,21.637
102,0.009843,-0.191181590503251,0.046,21.6054,2018-06-05,21.6546,"Jun 5, 18",21.290399999999998,21.5857,1397481,1397481,21.52
103,0.836653,-0.15986268498032702,3.872,22.442,2018-06-06,22.5109,"Jun 6, 18",21.6054,21.6054,2771692,2771692,22.2508
104,0.19686099999999998,-0.15249154883705202,0.877,22.6389,2018-06-07,22.8456,"Jun 7, 18",22.425,22.57,2047530,2047530,22.6693
105,0.0689,-0.14991221272597202,0.304,22.7078,2018-06-08,22.7472,"Jun 8, 18",22.442,22.6389,1730806,1730806,22.6244
106,0.02953,-0.148807852562302,0.13,22.7373,2018-06-11,22.8948,"Jun 11, 18",22.6536,22.7472,1455874,1455874,22.7504
107,0.019686,-0.14807036458859701,0.08700000000000001,22.757,2018-06-12,22.9342,"Jun 12, 18",22.57,22.8653,1637521,1637521,22.7531
108,-0.5512079999999999,-0.16870505347723702,-2.422,22.2058,2018-06-13,22.757,"Jun 13, 18",22.1566,22.7472,1885279,1885279,22.2885
109,-0.049214,-0.170546901614611,-0.222,22.1566,2018-06-14,22.2796,"Jun 14, 18",22.0434,22.2649,1645504,1645504,22.1726
110,-0.187862,-0.177581114318123,-0.848,21.9687,2018-06-15,22.1763,"Jun 15, 18",21.8896,22.028,4197429,4197429,21.9744
111,-0.009888,-0.17795173010186302,-0.045,21.9588,2018-06-18,22.1665,"Jun 18, 18",21.771,21.8995,1555528,1555528,21.9872
112,0.187852,-0.170917517398352,0.855,22.1467,2018-06-19,22.2456,"Jun 19, 18",21.7809,21.8105,1740943,1740943,22.0775
113,0.5932149999999999,-0.148710519124148,2.6790000000000003,22.7399,2018-06-20,22.9673,"Jun 20, 18",22.3543,22.4433,2378606,2378606,22.7648
114,-0.029661,-0.149822366475368,-0.13,22.7102,2018-06-21,22.7696,"Jun 21, 18",22.2653,22.660800000000002,1852066,1852066,22.6388
115,0.355929,-0.136495172635826,1.5670000000000002,23.0662,2018-06-22,23.3429,"Jun 22, 18",22.908,22.908,3616008,3616008,23.1383
116,-0.207625,-0.144270616906818,-0.9,22.8585,2018-06-25,23.0859,"Jun 25, 18",22.552,22.9871,2561127,2561127,22.7826
117,0.118642,-0.13982697109571202,0.519,22.9772,2018-06-26,23.1947,"Jun 26, 18",22.7053,22.9574,2715922,2715922,22.9687
118,-0.514119,-0.15907278669377,-2.238,22.4631,2018-06-27,22.9673,"Jun 27, 18",22.4631,22.8487,2414827,2414827,22.7426
119,0.12853,-0.15426226869269902,0.5720000000000001,22.5916,2018-06-28,22.7844,"Jun 28, 18",22.384,22.4631,1982159,1982159,22.5899
120,-0.10875599999999999,-0.15833529872006502,-0.481,22.4828,2018-06-29,22.997,"Jun 29, 18",22.4729,22.7201,2537831,2537831,22.731
121,-0.237286,-0.167215103154726,-1.055,22.2456,2018-07-02,22.5372,"Jul 2, 18",22.0874,22.3049,1890912,1890912,22.2168
122,0.049434,-0.165365767829801,0.222,22.295,2018-07-03,22.4334,"Jul 3, 18",22.1961,22.3444,1066486,1066486,22.3176
123,0.06920899999999999,-0.162775200937395,0.31,22.3642,2018-07-05,22.4532,"Jul 5, 18",22.2752,22.4532,1485010,1485010,22.3568
124,0.148304,-0.15722345136884502,0.663,22.5125,2018-07-06,22.5916,"Jul 6, 18",22.3246,22.4136,1570086,1570086,22.4994
125,0.444911,-0.140568202663192,1.976,22.9574,2018-07-09,23.0266,"Jul 9, 18",22.5323,22.641,1324950,1324950,22.9212
126,-0.098869,-0.144270616906818,-0.431,22.8585,2018-07-10,23.0167,"Jul 10, 18",22.8487,22.908,1014466,1014466,22.9041
127,-0.187852,-0.151301086016554,-0.8220000000000001,22.6707,2018-07-11,22.7597,"Jul 11, 18",22.5718,22.7597,1038622,1038622,22.665
128,-0.28672000000000003,-0.16203396936991502,-1.2650000000000001,22.384,2018-07-12,22.7498,"Jul 12, 18",22.2752,22.7498,1567425,1567425,22.4569
129,-0.039548,-0.16351643250487602,-0.177,22.3444,2018-07-13,22.4334,"Jul 13, 18",22.1961,22.384,1059017,1059017,22.3251
130,0.08898199999999999,-0.16018463404499,0.398,22.4334,2018-07-16,22.5619,"Jul 16, 18",22.3444,22.3444,1103081,1103081,22.4372
131,-0.148303,-0.165736383613541,-0.661,22.2851,2018-07-17,22.4433,"Jul 17, 18",22.206,22.4037,734107,734107,22.3155
132,0.197738,-0.15833529872006502,0.887,22.4828,2018-07-18,22.4828,"Jul 18, 18",22.1961,22.2456,1524349,1524349,22.3522
133,0.168077,-0.152042317584034,0.748,22.6509,2018-07-19,22.6905,"Jul 19, 18",22.3939,22.5026,1839210,1839210,22.6053
134,-0.148303,-0.157594067152585,-0.655,22.5026,2018-07-20,22.6015,"Jul 20, 18",22.379,22.5916,1300264,1300264,22.497700000000002
135,0.039547,-0.156111604017624,0.176,22.5422,2018-07-23,22.641,"Jul 23, 18",22.3543,22.4235,1169940,1169940,22.5258
136,0.25706,-0.14649056801548302,1.1400000000000001,22.7992,2018-07-24,22.9475,"Jul 24, 18",22.5026,22.5422,1834131,1834131,22.7992
137,-0.21751199999999998,-0.15463288447643903,-0.9540000000000001,22.5817,2018-07-25,22.8585,"Jul 25, 18",22.1862,22.819,1449074,1449074,22.5246
138,0.227399,-0.146119952231743,1.007,22.8091,2018-07-26,22.8585,"Jul 26, 18",22.5916,22.6213,796393,796393,22.7673
139,1.6709,-0.083568243842724,7.326,24.48,2018-07-27,24.784,"Jul 27, 18",22.8412,23.165,3120277,3120277,24.3386
140,-0.10875599999999999,-0.087641273870089,-0.444,24.3712,2018-07-30,24.7173,"Jul 30, 18",24.2823,24.48,1916151,1916151,24.4166
141,-0.395476,-0.10244344365704101,-1.623,23.9758,2018-07-31,24.4701,"Jul 31, 18",23.8472,24.4602,1974372,1974372,24.0547
142,-0.375703,-0.11650812547028801,-1.5670000000000002,23.6001,2018-08-01,24.1241,"Aug 1, 18",23.5803,23.8967,1738123,1738123,23.7393
143,-0.187851,-0.1235423381738,-0.796,23.4122,2018-08-02,23.6594,"Aug 2, 18",23.343,23.4419,1240071,1240071,23.4653
144,0.8206129999999999,-0.0928224076549,3.505,24.2328,2018-08-03,24.2625,"Aug 3, 18",23.4518,23.5308,1748831,1748831,24.0985
145,-0.079095,-0.09578359033104501,-0.326,24.1537,2018-08-06,24.4231,"Aug 6, 18",24.1339,24.2328,1149784,1149784,24.2257
146,-0.039548,-0.097262309872231,-0.164,24.1142,2018-08-07,24.3762,"Aug 7, 18",24.0845,24.2032,1086462,1086462,24.2031
147,-0.039547,-0.098744773007191,-0.164,24.0746,2018-08-08,24.1834,"Aug 8, 18",23.8176,24.1339,849958,849958,24.0749
148,-0.059322,-0.10096472411585601,-0.246,24.0153,2018-08-09,24.1537,"Aug 9, 18",23.9659,24.1339,968191,968191,24.0389
149,-0.612989,-0.12391295395754001,-2.552,23.4023,2018-08-10,23.7929,"Aug 10, 18",23.3628,23.7088,2310120,2310120,23.4958
150,-0.39547499999999997,-0.13871886733826702,-1.69,23.0068,2018-08-13,23.4616,"Aug 13, 18",22.8833,23.3034,1829125,1829125,23.0839
151,0.494345,-0.120210539713914,2.149,23.5012,2018-08-14,23.6001,"Aug 14, 18",22.9673,23.0958,1702842,1702842,23.4107
152,-0.31638099999999997,-0.13205527041849602,-1.346,23.1848,2018-08-15,23.3924,"Aug 15, 18",23.1749,23.3331,2124842,2124842,23.2623
153,0.346041,-0.11910243595646901,1.4929999999999999,23.5308,2018-08-16,23.5407,"Aug 16, 18",23.254,23.2738,1488610,1488610,23.4593
154,-0.346041,-0.13205527041849602,-1.471,23.1848,2018-08-17,23.4962,"Aug 17, 18",23.1156,23.4518,1115982,1115982,23.2411
155,0.029661,-0.13094342306727602,0.128,23.2145,2018-08-20,23.2837,"Aug 20, 18",23.0958,23.1749,1282832,1282832,23.208
156,0.168076,-0.12465418552502001,0.724,23.3825,2018-08-21,23.9659,"Aug 21, 18",23.352899999999998,23.4715,2499321,2499321,23.5826
157,-0.26694599999999996,-0.13464583731090102,-1.142,23.1156,2018-08-22,23.3232,"Aug 22, 18",23.0266,23.2342,1269020,1269020,23.1588
158,-0.187852,-0.141680050014412,-0.8130000000000001,22.9277,2018-08-23,23.1057,"Aug 23, 18",22.7992,23.1057,1323202,1323202,22.9183
159,0.26694799999999996,-0.131684654634756,1.164,23.1947,2018-08-24,23.3232,"Aug 24, 18",22.9277,23.0167,1033480,1033480,23.2102
160,0.415249,-0.11614125328032401,1.79,23.6099,2018-08-27,23.689,"Aug 27, 18",23.1851,23.3825,1463972,1463972,23.5931
161,0.197739,-0.10873642479307201,0.838,23.8077,2018-08-28,23.8176,"Aug 28, 18",23.5506,23.7088,1444368,1444368,23.734
162,-0.306494,-0.120210539713914,-1.287,23.5012,2018-08-29,23.7879,"Aug 29, 18",23.4715,23.7879,972627,972627,23.5744
163,-0.355929,-0.13353398995968102,-1.5150000000000001,23.1453,2018-08-30,23.4913,"Aug 30, 18",23.0365,23.4913,894812,894812,23.1762
164,-0.187851,-0.140568202663192,-0.812,22.9574,2018-08-31,23.1551,"Aug 31, 18",22.7696,23.1453,1459624,1459624,22.9216
165,0.098868,-0.136865788419566,0.431,23.0563,2018-09-04,23.2145,"Sep 4, 18",22.9426,22.9574,1899117,1899117,23.0814
166,0.20762599999999998,-0.12909408774235,0.901,23.2639,2018-09-05,23.3875,"Sep 5, 18",22.9574,23.1057,1262317,1262317,23.2748
167,-0.336156,-0.141680050014412,-1.445,22.9277,2018-09-06,23.2244,"Sep 6, 18",22.660800000000002,23.2244,1152003,1152003,22.9281
