,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.039557999999999996,0.0,0.033,118.4967,2018-01-08,118.65,"Jan 8, 18",117.7649,118.1506,293132,293132,118.3971
1,1.1867,0.010014624879848001,1.002,119.6834,2018-01-09,119.8812,"Jan 9, 18",118.3781,118.6154,302556,302556,119.4814
2,1.2955,0.020948262694235,1.082,120.979,2018-01-10,121.068,"Jan 10, 18",118.9318,119.1296,246896,246896,120.5084
3,0.346134,0.023869019137241,0.28600000000000003,121.3251,2018-01-11,121.4438,"Jan 11, 18",119.995,120.9196,213128,213128,120.9292
4,0.69227,0.029711375928612,0.5710000000000001,122.0174,2018-01-12,122.1954,"Jan 12, 18",120.7614,121.5031,261054,261054,121.8406
5,0.34613499999999997,0.032632132371618,0.28400000000000003,122.3635,2018-01-16,122.9569,"Jan 16, 18",122.1657,122.5811,365476,365476,122.552
6,1.0483,0.041478792236408005,0.857,123.4118,2018-01-17,124.1634,"Jan 17, 18",122.6602,122.8184,380419,380419,123.6318
7,-0.356025,0.038474489162989005,-0.28800000000000003,123.0558,2018-01-18,124.114,"Jan 18, 18",123.0063,124.114,265566,265566,123.31
8,0.7120500000000001,0.044483095309827005,0.579,123.7678,2018-01-19,124.1238,"Jan 19, 18",122.68,123.0657,242241,242241,123.7244
9,0.168122,0.045901700216124004,0.136,123.9359,2018-01-22,123.9656,"Jan 22, 18",123.1843,123.3722,241445,241445,123.624
10,0.67249,0.051576963746669,0.543,124.6084,2018-01-23,124.7963,"Jan 23, 18",123.3327,123.3624,269828,269828,124.3963
11,-0.8406119999999999,0.044483095309827005,-0.675,123.7678,2018-01-24,125.4985,"Jan 24, 18",123.4612,124.9249,333507,333507,124.298
12,0.395582,0.047821584904896006,0.32,124.1634,2018-01-25,124.737,"Jan 25, 18",123.2635,124.292,313983,313983,124.0405
13,0.969177,0.056000715631743005,0.781,125.1326,2018-01-26,125.1623,"Jan 26, 18",123.4118,124.2227,218327,218327,124.6379
14,-0.11867499999999999,0.054998999972151005,-0.095,125.0139,2018-01-29,125.9039,"Jan 29, 18",124.4304,124.6678,356842,356842,125.287
15,-1.1472,0.045317717708594,-0.918,123.8667,2018-01-30,125.3007,"Jan 30, 18",123.7876,124.648,296852,296852,124.2426
16,-0.583483,0.040393529946403,-0.47100000000000003,123.2832,2018-01-31,124.4997,"Jan 31, 18",122.8679,123.8865,343987,343987,123.4958
17,0.0,0.040393529946403,0.0,123.2832,2018-02-01,123.7283,"Feb 1, 18",122.3932,123.1052,283143,283143,123.1411
18,-1.6812,0.026205793072718003,-1.3639999999999999,121.602,2018-02-02,123.3327,"Feb 2, 18",121.513,122.5712,339086,339086,122.1923
19,-4.9349,-0.015440092424514001,-4.058,116.6671,2018-02-05,121.5822,"Feb 5, 18",116.6375,120.9987,451175,451175,118.8097
20,0.0,-0.015440092424514001,0.0,116.6671,2018-02-06,117.5572,"Feb 6, 18",113.0377,114.6002,878241,878241,115.7798
21,-0.7318279999999999,-0.021615791832177003,-0.627,115.9353,2018-02-07,117.2604,"Feb 7, 18",114.6299,116.9638,750185,750185,115.7845
22,-2.8284000000000002,-0.045484810969419004,-2.44,113.1069,2018-02-08,117.3792,"Feb 8, 18",112.9882,116.3012,670676,670676,115.0729
23,0.9493969999999999,-0.037472773503397006,0.839,114.0563,2018-02-09,114.6694,"Feb 9, 18",111.5325,114.0068,656908,656908,113.363
24,0.959287,-0.029377189406962004,0.841,115.0156,2018-02-12,115.8562,"Feb 12, 18",114.2442,115.4111,461902,461902,115.102
25,0.820834,-0.022450414230944002,0.714,115.8364,2018-02-13,115.9798,"Feb 13, 18",114.2145,114.5112,335730,335730,115.1715
26,2.1263,-0.004506454610128,1.8359999999999999,117.9627,2018-02-14,118.2099,"Feb 14, 18",115.0304,115.2232,445580,445580,117.3897
27,1.612,0.009097299756026,1.367,119.5747,2018-02-15,120.3263,"Feb 15, 18",117.6066,118.5362,385212,385212,118.8089
28,1.1571,0.018861284744638003,0.968,120.7317,2018-02-16,121.0976,"Feb 16, 18",119.1593,119.5054,364615,364615,120.541
29,-1.0582,0.009931078249436,-0.876,119.6735,2018-02-20,121.068,"Feb 20, 18",119.3076,120.9592,297061,297061,119.9649
30,-1.5626,-0.0032549429646560003,-1.306,118.111,2018-02-21,120.2867,"Feb 21, 18",117.9824,119.7131,364153,364153,119.1528
31,0.721938,0.002837209812593,0.611,118.8329,2018-02-22,119.1494,"Feb 22, 18",117.9132,118.3385,376413,376413,118.6337
32,1.7702,0.017776866359991,1.49,120.6032,2018-02-23,120.6724,"Feb 23, 18",118.6994,119.3175,182504,182504,119.9281
33,-0.5043679999999999,0.013520207735742001,-0.418,120.0988,2018-02-26,121.4932,"Feb 26, 18",119.7626,121.1965,270930,270930,120.3252
34,-1.8592,-0.002169680674651,-1.548,118.2396,2018-02-27,120.2274,"Feb 27, 18",117.2605,119.8219,377585,377585,118.8251
35,-1.8749,-0.017992062226205002,-1.5859999999999999,116.3647,2018-02-28,120.2534,"Feb 28, 18",116.2555,118.6066,588622,588622,117.3736
36,0.37697,-0.014811382933026002,0.324,116.7416,2018-03-01,117.4857,"Mar 1, 18",115.5958,116.5829,420345,420345,116.5434
37,1.3988,-0.0030068347894920003,1.198,118.1404,2018-03-02,118.3388,"Mar 2, 18",114.924,115.8687,280334,280334,117.3801
38,1.9047,0.013067030558656,1.612,120.0451,2018-03-05,120.2385,"Mar 5, 18",116.9152,117.4757,458575,458575,119.6802
39,0.882902,0.020517870961807003,0.735,120.928,2018-03-06,120.9677,"Mar 6, 18",119.4796,120.2633,384613,384613,120.5334
40,0.307529,0.02311287993674,0.254,121.2355,2018-03-07,121.6125,"Mar 7, 18",120.1145,120.1145,364347,364347,121.141
41,0.178565,0.024620094905596003,0.147,121.4141,2018-03-08,121.9895,"Mar 8, 18",120.5014,121.7911,354894,354894,121.1896
42,1.5277,0.037512437055209,1.258,122.9418,2018-03-09,123.2196,"Mar 9, 18",121.3942,122.0192,321653,321653,122.4518
