,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.268343,0.0,0.9470000000000001,28.6033,2018-01-08,28.6679,"Jan 8, 18",27.8828,28.325,4717415,4717415,28.4055
1,-0.14908000000000002,-0.0052126852496040006,-0.521,28.4542,2018-01-09,28.7524,"Jan 9, 18",28.4145,28.7425,2696458,2696458,28.5372
2,-0.22858799999999999,-0.013201273978876,-0.803,28.2257,2018-01-10,28.4841,"Jan 10, 18",28.0716,28.2356,3167283,3167283,28.2481
3,0.35779000000000005,-0.000695723919967,1.268,28.5834,2018-01-11,28.5934,"Jan 11, 18",28.1461,28.2058,2632753,2632753,28.4554
4,0.12920199999999998,0.0038212374096690004,0.452,28.7126,2018-01-12,28.7574,"Jan 12, 18",28.3946,28.6828,3057774,3057774,28.6312
5,-0.278281,-0.0059049130694710005,-0.969,28.4344,2018-01-16,29.0207,"Jan 16, 18",28.335,28.8021,2870850,2870850,28.599
6,0.059632,-0.0038212374096690004,0.21,28.494,2018-01-17,28.5636,"Jan 17, 18",27.6095,27.6293,3289762,3289762,28.3191
7,-1.0038,-0.038915090216863006,-3.523,27.4902,2018-01-18,28.2952,"Jan 18, 18",27.3709,28.2853,5759752,5759752,27.6757
8,0.188834,-0.032314453227424,0.687,27.679,2018-01-19,27.8679,"Jan 19, 18",27.5299,27.5598,3952638,3952638,27.6667
9,0.506869,-0.014592721818811001,1.831,28.1859,2018-01-22,28.4244,"Jan 22, 18",27.6492,28.4145,5711927,5711927,28.078
10,-0.22858799999999999,-0.022584806648183003,-0.811,27.9573,2018-01-23,28.2853,"Jan 23, 18",27.7983,28.2753,4127081,4127081,27.9477
11,-0.159018,-0.028143605807721003,-0.5690000000000001,27.7983,2018-01-24,28.2753,"Jan 24, 18",27.7685,28.1263,3763054,3763054,27.9465
12,-0.298158,-0.038568976306929,-1.073,27.5001,2018-01-25,27.9871,"Jan 25, 18",27.4007,27.947400000000002,2900422,2900422,27.5738
13,0.5168079999999999,-0.020501130988382,1.879,28.0169,2018-01-26,28.0368,"Jan 26, 18",27.4206,27.8082,3097227,3097227,27.857
14,0.288219,-0.010421874399107,1.029,28.3052,2018-01-29,28.494,"Jan 29, 18",27.8778,27.8778,4454458,4454458,28.3014
15,-0.159017,-0.015984169658745002,-0.562,28.1461,2018-01-30,28.3747,"Jan 30, 18",27.9971,28.1263,5281238,5281238,28.183
16,-2.1567,-0.09138106442263601,-7.662,25.9895,2018-01-31,26.1485,"Jan 31, 18",24.8962,25.6714,16168393,16168393,25.523600000000002
17,0.397545,-0.077484066523792,1.53,26.387,2018-02-01,26.4128,"Feb 1, 18",25.6416,25.8006,4949259,4949259,26.1891
18,-0.28822000000000003,-0.08755982701296701,-1.092,26.0988,2018-02-02,26.5808,"Feb 2, 18",26.0789,26.2479,5380633,5380633,26.2989
19,-1.0535,-0.12439124157002801,-4.037,25.0453,2018-02-05,26.1087,"Feb 5, 18",25.0354,25.8503,3866488,3866488,25.5653
20,0.33791299999999996,-0.11257791933098601,1.349,25.3832,2018-02-06,25.4826,"Feb 6, 18",24.4092,24.8565,4795826,4795826,25.1456
21,-0.149079,-0.11779060458059001,-0.587,25.2341,2018-02-07,25.572,"Feb 7, 18",25.1049,25.3534,3196055,3196055,25.3041
22,-0.7255189999999999,-0.143154810808543,-2.875,24.5086,2018-02-08,25.3782,"Feb 8, 18",24.4987,25.2639,4350541,4350541,24.8595
23,0.775212,-0.11605304283072201,3.163,25.2838,2018-02-09,25.5124,"Feb 9, 18",24.4092,24.767,6415975,6415975,24.9472
24,0.35779000000000005,-0.103543996671712,1.415,25.6416,2018-02-12,25.7311,"Feb 12, 18",25.0552,25.4528,3977759,3977759,25.5254
25,0.387606,-0.08999311268280201,1.512,26.0292,2018-02-13,26.0889,"Feb 13, 18",25.4925,25.4925,3846228,3846228,25.9109
26,-0.019878,-0.09068883660276901,-0.076,26.0093,2018-02-14,26.1932,"Feb 14, 18",25.8006,25.8106,6977437,6977437,26.0063
27,0.735458,-0.064975020364783,2.8280000000000003,26.7448,2018-02-15,26.9634,"Feb 15, 18",26.1485,26.2777,6866415,6866415,26.5871
28,-0.556563,-0.08443431352326401,-2.081,26.1882,2018-02-16,27.1324,"Feb 16, 18",26.1882,26.7349,5780286,5780286,26.5694
29,-0.119263,-0.08860166484286701,-0.455,26.069,2018-02-20,26.5262,"Feb 20, 18",25.8901,25.9,5335714,5335714,26.1673
30,-0.33791299999999996,-0.10041498708191,-1.296,25.7311,2018-02-21,26.2379,"Feb 21, 18",25.6516,26.1286,4678496,4678496,25.9375
31,0.139141,-0.09555191184233901,0.541,25.8702,2018-02-22,26.1584,"Feb 22, 18",25.6913,25.7211,4485452,4485452,25.9123
32,0.089447,-0.09242639835263701,0.34600000000000003,25.959600000000002,2018-02-23,26.1286,"Feb 23, 18",25.5323,26.0491,4455723,4455723,25.8628
33,0.069571,-0.08999311268280201,0.268,26.0292,2018-02-26,26.3075,"Feb 26, 18",25.9249,26.0292,4033816,4033816,26.049
34,-0.089448,-0.09311862617250401,-0.34400000000000003,25.9398,2018-02-27,26.5361,"Feb 27, 18",25.861,26.0292,3630536,3630536,26.1387
35,-0.437299,-0.108407071911282,-1.686,25.5025,2018-02-28,25.9298,"Feb 28, 18",25.3633,25.8205,6124935,6124935,25.5993
