,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.155964,0.0,0.148,105.7635,2018-01-08,105.939,"Jan 8, 18",104.9837,105.4224,12466512,12466512,105.6107
1,0.5361279999999999,0.0050698019638150005,0.507,106.2997,2018-01-09,106.865,"Jan 9, 18",105.7538,105.978,13292310,13292310,106.4623
2,1.1697,0.016129383010206,1.1,107.4694,2018-01-10,107.9081,"Jan 10, 18",106.6311,106.7091,15834468,15834468,107.2622
3,0.5751189999999999,0.021566986720371002,0.535,108.0445,2018-01-11,108.1313,"Jan 11, 18",107.2754,107.8788,13676788,13676788,107.6873
4,1.7838,0.038433864234825005,1.651,109.8284,2018-01-12,110.0038,"Jan 12, 18",108.0445,108.8341,18884229,18884229,109.1398
5,-0.389911,0.034747337219362004,-0.355,109.4385,2018-01-16,110.5692,"Jan 16, 18",108.2687,108.6976,22703336,22703336,109.3542
6,0.70184,0.041382896746041,0.641,110.1403,2018-01-17,110.4384,"Jan 17, 18",108.5027,109.068,14940266,14940266,109.5745
7,0.26319000000000004,0.04387146794499,0.23900000000000002,110.4035,2018-01-18,110.8544,"Jan 18, 18",109.4385,109.9161,14572911,14572911,110.4044
8,-0.243694,0.041567270372103005,-0.221,110.1598,2018-01-19,111.4562,"Jan 19, 18",109.959,111.0663,18785468,18785468,110.4969
9,1.2867,0.053733093174866006,1.168,111.4465,2018-01-22,111.505,"Jan 22, 18",109.6627,109.8186,12475654,12475654,110.7063
10,-0.116973,0.052626851418495005,-0.105,111.3295,2018-01-23,111.7487,"Jan 23, 18",110.4912,110.8031,12320751,12320751,111.3474
11,1.4232,0.066083289603691,1.278,112.7527,2018-01-24,113.0744,"Jan 24, 18",111.7682,111.9631,15904504,15904504,112.5294
12,0.029242999999999998,0.06635937728989601,0.026000000000000002,112.7819,2018-01-25,113.2401,"Jan 25, 18",112.1727,113.1134,13509957,13509957,112.635
13,0.604363,0.072074014192041,0.536,113.3863,2018-01-26,113.3863,"Jan 26, 18",112.0606,112.7819,13883875,13883875,112.932
14,-0.116974,0.07096777243567001,-0.10300000000000001,113.2693,2018-01-29,114.3932,"Jan 29, 18",113.0939,113.0939,11679919,11679919,113.6779
