,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.019455,0.0,0.041,46.9518,2018-01-08,47.8953,"Jan 8, 18",46.2514,47.2339,1778522,1778522,46.8994
1,-0.369624,-0.007871902674657,-0.787,46.5822,2018-01-09,46.9226,"Jan 9, 18",46.1493,46.9226,1710393,1710393,46.5798
2,1.2742,0.019266566989977002,2.735,47.8564,2018-01-10,48.1482,"Jan 10, 18",46.2514,46.339,3099386,3099386,47.6021
3,0.865695,0.037704624742821005,1.8090000000000002,48.7221,2018-01-11,48.7415,"Jan 11, 18",47.3798,48.012,2008416,2008416,48.2778
4,1.6828,0.073543506319246,3.454,50.4048,2018-01-12,51.5526,"Jan 12, 18",48.9215,49.0042,5201554,5201554,50.4376
5,-1.5952000000000002,0.03956823806542,-3.165,48.8096,2018-01-16,50.5507,"Jan 16, 18",48.6734,50.434,1973686,1973686,49.4626
6,0.7684259999999999,0.055933957803534,1.574,49.578,2018-01-17,49.7629,"Jan 17, 18",48.761,49.1403,1217288,1217288,49.5151
7,0.243172,0.061113737918461,0.49,49.8212,2018-01-18,49.9963,"Jan 18, 18",49.3057,49.4516,884781,884781,49.6915
8,0.758699,0.077272862808241,1.5230000000000001,50.5799,2018-01-19,50.6772,"Jan 19, 18",49.6656,50.0157,1504232,1504232,50.4217
9,0.7976059999999999,0.09426049693515401,1.577,51.3775,2018-01-22,51.3872,"Jan 22, 18",50.1033,50.5799,1100002,1100002,50.9663
10,-0.7976059999999999,0.077272862808241,-1.552,50.5799,2018-01-23,51.0589,"Jan 23, 18",50.006,50.4048,1181859,1181859,50.4647
11,-1.3423,0.048683969517675,-2.654,49.2376,2018-01-24,50.8134,"Jan 24, 18",48.761,50.5021,2557942,2557942,49.4694
12,-1.0894,0.025481451190369,-2.213,48.1482,2018-01-25,49.6072,"Jan 25, 18",48.0315,49.5197,1945760,1945760,48.3686
13,0.8754200000000001,0.044126103791548,1.818,49.0236,2018-01-26,49.0236,"Jan 26, 18",47.7105,48.1871,2416973,2416973,48.4686
14,0.476618,0.054276939329269004,0.972,49.5002,2018-01-29,49.8504,"Jan 29, 18",48.8777,48.8777,1301369,1301369,49.5467
15,-1.4396,0.023615708023973003,-2.908,48.0606,2018-01-30,49.4224,"Jan 30, 18",47.7105,49.2181,1608686,1608686,48.2584
16,-0.097268,0.021545499853040002,-0.202,47.9634,2018-01-31,48.7804,"Jan 31, 18",47.7299,48.2552,1357407,1357407,48.1465
17,-0.077817,0.019888481378775,-0.162,47.8856,2018-02-01,49.6072,"Feb 1, 18",47.0782,47.5646,1447209,1447209,48.0587
18,-1.3423,-0.008702541755587,-2.803,46.5432,2018-02-02,48.0606,"Feb 2, 18",46.232,47.4868,1842334,1842334,47.0237
19,-1.177,-0.033768673405492,-2.529,45.3663,2018-02-05,47.1658,"Feb 5, 18",45.2398,46.2806,2622579,2622579,45.8043
20,1.5758,-0.000208724692131,3.473,46.942,2018-02-06,47.4187,"Feb 6, 18",44.841,45.7748,2463963,2463963,46.4861
21,1.0116,0.021336775160909,2.155,47.9536,2018-02-07,48.7804,"Feb 7, 18",47.1755,48.0023,2221331,2221331,48.084
22,-2.0135,-0.021545499853040002,-4.199,45.9402,2018-02-08,47.7397,"Feb 8, 18",45.911,47.5548,1791575,1791575,46.6569
23,0.641975,-0.007871902674657,1.397,46.5822,2018-02-09,47.2825,"Feb 9, 18",44.9383,46.3682,2079440,2079440,45.8861
24,0.466892,0.0020702081709320004,1.002,47.049,2018-02-12,47.4284,"Feb 12, 18",46.3682,46.8642,910082,910082,47.0231
25,0.778153,0.018644652601178,1.654,47.8272,2018-02-13,47.8856,"Feb 13, 18",46.8642,46.981,1001251,1001251,47.5564
26,1.1575,0.043297594554415,2.42,48.9847,2018-02-14,49.2862,"Feb 14, 18",47.1658,47.5354,1487097,1487097,48.5787
27,0.855968,0.06152905745892501,1.7469999999999999,49.8407,2018-02-15,50.1908,"Feb 15, 18",48.9263,49.3738,1333622,1333622,49.6795
28,0.252899,0.066915432422186,0.507,50.0936,2018-02-16,50.3854,"Feb 16, 18",49.51,49.7337,1346662,1346662,50.0707
29,-0.982417,0.045989717114146005,-1.9609999999999999,49.1111,2018-02-20,50.0255,"Feb 20, 18",48.7804,49.578,1343886,1343886,49.3133
30,-0.418257,0.037082710354022004,-0.852,48.6929,2018-02-21,49.7045,"Feb 21, 18",48.6734,49.1403,1125792,1125792,49.1052
31,0.204265,0.041433981231816006,0.419,48.8972,2018-02-22,49.3512,"Feb 22, 18",48.6345,48.7902,1014627,1014627,48.9718
32,3.2002,0.109591112587802,6.545,52.0973,2018-02-23,52.5253,"Feb 23, 18",48.8582,49.3057,7127872,7127872,51.5978
33,-1.1283,0.08556008502336401,-2.166,50.969,2018-02-26,52.3308,"Feb 26, 18",50.7842,52.1654,2237668,2237668,51.1304
34,-1.3326,0.057177786581132005,-2.615,49.6364,2018-02-27,52.0681,"Feb 27, 18",49.6169,51.6888,2769921,2769921,50.237
35,0.272353,0.062979481084857,0.549,49.9088,2018-02-28,50.5313,"Feb 28, 18",49.5002,50.1033,2167688,2167688,50.0576
36,-0.807333,0.045783122265813006,-1.6179999999999999,49.1014,2018-03-01,49.4808,"Mar 1, 18",47.8077,49.2668,3405552,3405552,48.6574
37,2.871,0.106933067528827,5.8469999999999995,51.9725,2018-03-02,52.1586,"Mar 2, 18",46.5048,46.8869,4985294,4985294,50.72
38,-1.1171,0.08314058246968101,-2.149,50.8554,2018-03-05,52.1096,"Mar 5, 18",50.6986,51.8353,2988274,2988274,51.0562
39,0.578125,0.095453209461618,1.137,51.4335,2018-03-06,51.4531,"Mar 6, 18",49.7874,49.9637,3286235,3286235,50.6154
40,-1.411,0.065401113482337,-2.743,50.0225,2018-03-07,51.2768,"Mar 7, 18",49.6208,51.1396,2268846,2268846,50.2189
41,-0.9014829999999999,0.046200571650075004,-1.802,49.121,2018-03-08,50.4831,"Mar 8, 18",48.9447,50.3851,2456820,2456820,49.3966
42,-0.137183,0.043280555804037,-0.279,48.9839,2018-03-09,49.7374,"Mar 9, 18",48.3861,49.415,2148364,2148364,48.8135
43,-0.137182,0.040358410114202006,-0.28,48.8467,2018-03-12,49.2974,"Mar 12, 18",48.3861,48.9055,1401232,1401232,48.8065
44,0.47033899999999995,0.050375065492696006,0.963,49.317,2018-03-13,49.9441,"Mar 13, 18",48.8859,48.9937,1203484,1203484,49.4576
45,-0.832892,0.032635596505352,-1.689,48.4841,2018-03-14,49.5914,"Mar 14, 18",48.356700000000004,49.3366,1411446,1411446,48.6153
46,-0.548729,0.020949143589809,-1.1320000000000001,47.9354,2018-03-15,48.5625,"Mar 15, 18",47.7443,48.4645,2321836,2321836,48.0603
47,0.39195,0.029296001431255003,0.8180000000000001,48.3273,2018-03-16,48.8369,"Mar 16, 18",47.7884,47.8276,1958655,1958655,48.3971
48,0.039195,0.030130900199779,0.081,48.3665,2018-03-19,48.768299999999996,"Mar 19, 18",48.0138,48.3469,1066583,1066583,48.3698
49,-0.009799,0.029922175507648002,-0.02,48.356700000000004,2018-03-20,48.6801,"Mar 20, 18",47.857,48.5919,1150717,1150717,48.2853
50,-1.6168,-0.004513139006385,-3.343,46.7399,2018-03-21,47.4259,"Mar 21, 18",46.3676,47.2299,3537751,3537751,46.9544
51,-0.813294,-0.02183302876567,-1.74,45.9267,2018-03-22,47.1515,"Mar 22, 18",45.8875,46.4068,1358051,1358051,46.3252
52,-0.499735,-0.032477988064355,-1.088,45.4269,2018-03-23,46.6028,"Mar 23, 18",45.3191,46.0442,1896538,1896538,45.7532
53,0.7545029999999999,-0.016408316614059,1.661,46.1814,2018-03-26,46.5244,"Mar 26, 18",45.7047,45.9462,1407638,1407638,46.1265
54,0.235169,-0.011398924002913001,0.509,46.4166,2018-03-27,47.4944,"Mar 27, 18",45.9658,46.1324,1869987,1869987,46.7467
55,0.5193329999999999,-0.000338645163763,1.119,46.9359,2018-03-28,48.1216,"Mar 28, 18",46.3186,46.4558,1170382,1170382,47.1166
56,0.499735,0.010306314134921,1.065,47.4357,2018-03-29,47.9942,"Mar 29, 18",46.9751,47.1417,1158087,1158087,47.5444
57,-0.8622879999999999,-0.008059328928816,-1.818,46.5734,2018-04-02,47.9648,"Apr 2, 18",45.7699,47.3181,2278709,2278709,46.6324
58,0.6565139999999999,0.005923095600168,1.4100000000000001,47.2299,2018-04-03,47.2495,"Apr 3, 18",46.5636,46.6812,1119497,1119497,47.0557
59,1.1954,0.031383248352565,2.531,48.4253,2018-04-04,48.5037,"Apr 4, 18",46.6028,46.6322,1174186,1174186,48.0237
