,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.65,0.0,1.48,44.57,2018-01-08,44.71,"Jan 8, 18",43.98,44.05,869836,869836,44.4738
1,0.58,0.013013237603769,1.301,45.15,2018-01-09,45.78,"Jan 9, 18",44.635,44.7,1105385,1105385,45.2294
2,-0.81,-0.005160421808391,-1.794,44.34,2018-01-10,45.1,"Jan 10, 18",44.29,45.05,846446,846446,44.5163
3,0.58,0.007852815795378,1.308,44.92,2018-01-11,44.94,"Jan 11, 18",44.28,44.4,482328,482328,44.641
4,-0.1,0.005609154139555,-0.223,44.82,2018-01-12,45.08,"Jan 12, 18",44.64,44.97,505320,505320,44.8513
5,-0.07,0.00403859098048,-0.156,44.75,2018-01-16,45.16,"Jan 16, 18",44.47,45.04,695137,695137,44.7947
6,1.26,0.032308727843841,2.816,46.01,2018-01-17,46.02,"Jan 17, 18",44.86,44.97,752719,752719,45.7559
7,-0.24,0.026923939869867002,-0.522,45.77,2018-01-18,46.12,"Jan 18, 18",45.64,45.92,450760,450760,45.828
8,0.56,0.039488445142472,1.224,46.33,2018-01-19,46.43,"Jan 19, 18",45.81,45.83,732060,732060,46.2403
9,0.15,0.042853937626205006,0.324,46.48,2018-01-22,46.49,"Jan 22, 18",45.92,46.24,549840,549840,46.2223
10,0.07,0.044424500785281006,0.151,46.55,2018-01-23,46.63,"Jan 23, 18",46.38,46.5,759783,759783,46.5317
11,-0.52,0.032757460175005006,-1.117,46.03,2018-01-24,46.9,"Jan 24, 18",45.98,46.53,780146,780146,46.341
12,-0.29,0.02625084137312,-0.63,45.74,2018-01-25,46.46,"Jan 25, 18",45.55,46.36,414813,414813,45.7771
13,0.84,0.045097599282028,1.8359999999999999,46.58,2018-01-26,46.58,"Jan 26, 18",45.82,46.02,410098,410098,46.3427
14,1.07,0.069104778999326,2.297,47.65,2018-01-29,48.03,"Jan 29, 18",46.8,46.8,1233099,1233099,47.597
15,-0.45,0.059008301548126,-0.9440000000000001,47.2,2018-01-30,47.66,"Jan 30, 18",46.85,46.98,997757,997757,47.313
16,-0.48,0.04823872560017901,-1.017,46.72,2018-01-31,47.95,"Jan 31, 18",46.64,47.5,799820,799820,46.9854
17,0.43,0.057886470720215,0.92,47.15,2018-02-01,47.23,"Feb 1, 18",46.46,46.53,628174,628174,47.0175
18,-0.77,0.040610275970383004,-1.633,46.38,2018-02-02,46.92,"Feb 2, 18",46.12,46.7,561602,561602,46.4483
19,-1.54,0.0060578864707200005,-3.32,44.84,2018-02-05,46.655,"Feb 5, 18",44.83,45.76,974390,974390,45.7894
20,0.31,0.013013237603769,0.6910000000000001,45.15,2018-02-06,45.31,"Feb 6, 18",43.02,43.94,1114228,1114228,44.6751
21,0.08,0.014808166928427001,0.177,45.23,2018-02-07,45.59,"Feb 7, 18",44.71,44.94,994115,994115,45.3039
22,-1.42,-0.017051828584249,-3.14,43.81,2018-02-08,45.28,"Feb 8, 18",43.81,45.28,792364,792364,44.3182
23,-0.55,-0.029391967691272003,-1.255,43.26,2018-02-09,44.55,"Feb 9, 18",42.13,44.27,992451,992451,43.1774
24,0.77,-0.012115772941440001,1.78,44.03,2018-02-12,44.3,"Feb 12, 18",43.49,43.55,573761,573761,43.9443
25,0.44,-0.002243661655822,0.999,44.47,2018-02-13,44.59,"Feb 13, 18",43.64,43.79,433519,433519,44.3015
26,0.9,0.017949293246578003,2.024,45.37,2018-02-14,45.55,"Feb 14, 18",43.96,44.05,623479,623479,45.2223
27,0.61,0.031635629347094005,1.345,45.98,2018-02-15,46.04,"Feb 15, 18",45.1,45.55,548199,548199,45.7657
28,-0.11,0.029167601525689,-0.23900000000000002,45.87,2018-02-16,46.06,"Feb 16, 18",45.52,45.91,258363,258363,45.8856
29,-0.17,0.025353376710792002,-0.371,45.7,2018-02-20,46.03,"Feb 20, 18",45.54,45.59,403075,403075,45.7848
30,-0.13,0.022436616558223002,-0.28400000000000003,45.57,2018-02-21,46.285,"Feb 21, 18",45.57,45.88,394436,394436,45.9162
31,0.0,0.022436616558223002,0.0,45.57,2018-02-22,46.06,"Feb 22, 18",45.31,45.82,604549,604549,45.727
32,0.72,0.038590980480143006,1.58,46.29,2018-02-23,46.34,"Feb 23, 18",45.56,45.83,580699,580699,46.0011
33,1.46,0.071348440655149,3.154,47.75,2018-02-26,47.9428,"Feb 26, 18",46.49,46.55,819283,819283,47.4455
34,-0.32,0.06416872335651701,-0.67,47.43,2018-02-27,48.16,"Feb 27, 18",47.324,47.6,1150575,1150575,47.6975
35,-0.42,0.054745344402064,-0.886,47.01,2018-02-28,47.79,"Feb 28, 18",46.95,47.54,647923,647923,47.3034
36,-0.43,0.045097599282028,-0.915,46.58,2018-03-01,47.2,"Mar 1, 18",45.98,47.04,801472,801472,46.575
37,2.84,0.10881759030738102,6.097,49.42,2018-03-02,50.04,"Mar 2, 18",47.05,47.05,2951274,2951274,49.3149
38,1.12,0.133946600852591,2.266,50.54,2018-03-05,50.715,"Mar 5, 18",48.91,48.99,1894380,1894380,50.0445
39,2.01,0.17904420013461902,3.977,52.55,2018-03-06,52.86,"Mar 6, 18",51.2,51.21,2284351,2284351,52.3115
40,0.06,0.180390397128113,0.114,52.61,2018-03-07,52.87,"Mar 7, 18",51.84,52.27,1811342,1811342,52.4489
41,-0.02,0.179941664796948,-0.038,52.59,2018-03-08,53.329,"Mar 8, 18",52.41,53.0,933397,933397,52.5926
42,1.48,0.21314785730311803,2.814,54.07,2018-03-09,54.11,"Mar 9, 18",52.84,53.08,1178524,1178524,53.5936
43,0.55,0.22548799641014103,1.017,54.62,2018-03-12,55.21,"Mar 12, 18",54.1,54.19,919424,919424,54.7479
44,-0.75,0.20866053399147402,-1.373,53.87,2018-03-13,55.19,"Mar 13, 18",53.78,54.65,670119,670119,54.1876
45,-0.29,0.20215391518958903,-0.538,53.58,2018-03-14,54.14,"Mar 14, 18",53.37,54.02,966369,966369,53.5874
46,-0.2,0.19766659187794403,-0.373,53.38,2018-03-15,53.97,"Mar 15, 18",53.24,53.82,1044703,1044703,53.5278
47,0.01,0.19789095804352702,0.019,53.39,2018-03-16,53.71,"Mar 16, 18",53.28,53.4,2121894,2121894,53.4155
48,-0.7000000000000001,0.18218532645277002,-1.311,52.69,2018-03-19,53.36,"Mar 19, 18",52.14,53.15,809224,809224,52.6174
49,0.01,0.18240969261835302,0.019,52.7,2018-03-20,53.07,"Mar 20, 18",52.45,52.62,811778,811778,52.6938
50,0.46,0.192730536235135,0.873,53.16,2018-03-21,53.68,"Mar 21, 18",52.69,52.69,1246406,1246406,53.3228
51,-1.27,0.164236033206192,-2.3890000000000002,51.89,2018-03-22,53.15,"Mar 22, 18",51.87,52.71,691158,691158,52.3372
52,-1.08,0.140004487323311,-2.081,50.81,2018-03-23,52.17,"Mar 23, 18",50.77,51.82,654007,654007,51.2413
53,1.38,0.170967018173659,2.716,52.19,2018-03-26,52.3,"Mar 26, 18",50.9,51.68,704159,704159,51.7316
54,-0.85,0.151895894099169,-1.629,51.34,2018-03-27,53.09,"Mar 27, 18",51.11,52.45,843306,843306,51.99
55,-0.11,0.149427866277765,-0.214,51.23,2018-03-28,51.58,"Mar 28, 18",50.39,51.34,795359,795359,51.1168
56,1.16,0.175454341485304,2.2640000000000002,52.39,2018-03-29,52.78,"Mar 29, 18",51.265,51.36,602116,602116,52.195
57,-1.25,0.147408570787525,-2.386,51.14,2018-04-02,52.32,"Apr 2, 18",50.66,51.99,771154,771154,51.1171
58,0.49,0.158402512901054,0.9580000000000001,51.63,2018-04-03,51.99,"Apr 3, 18",51.15,51.43,966316,966316,51.5535
59,0.39,0.16715279335876101,0.755,52.02,2018-04-04,52.125,"Apr 4, 18",50.55,50.71,767169,767169,51.5317
60,0.03,0.167825891855508,0.058,52.05,2018-04-05,52.41,"Apr 5, 18",51.61,52.33,726454,726454,52.0349
61,-1.48,0.134619699349338,-2.843,50.57,2018-04-06,52.26,"Apr 6, 18",50.25,51.72,758174,758174,50.9759
62,0.72,0.150774063271258,1.424,51.29,2018-04-09,52.23,"Apr 9, 18",51.005,51.08,681493,681493,51.6781
63,1.54,0.18532645277092202,3.003,52.83,2018-04-10,53.25,"Apr 10, 18",52.06,52.11,916923,916923,52.8129
64,0.28,0.19160870540722402,0.53,53.11,2018-04-11,53.19,"Apr 11, 18",52.56,52.59,673569,673569,53.0078
65,0.73,0.207987435494727,1.375,53.84,2018-04-12,54.06,"Apr 12, 18",53.27,53.27,795427,795427,53.8451
66,0.05,0.20910926632263802,0.093,53.89,2018-04-13,54.7,"Apr 13, 18",53.835,54.08,1198610,1198610,54.1402
67,-0.09,0.20708997083239802,-0.167,53.8,2018-04-16,54.39,"Apr 16, 18",53.61,54.28,849403,849403,53.9232
68,0.71,0.22301996858873602,1.32,54.51,2018-04-17,54.84,"Apr 17, 18",53.78,53.95,734189,734189,54.5507
69,0.06,0.22436616558223002,0.11,54.57,2018-04-18,55.02,"Apr 18, 18",54.39,54.61,592419,592419,54.7204
70,-0.46,0.214045321965447,-0.843,54.11,2018-04-19,54.52,"Apr 19, 18",53.77,54.33,543402,543402,54.0558
71,-0.55,0.201705182858424,-1.016,53.56,2018-04-20,54.44,"Apr 20, 18",53.55,54.02,616662,616662,53.7612
72,0.67,0.21673771595243402,1.251,54.23,2018-04-23,54.58,"Apr 23, 18",53.72,53.72,910040,910040,54.1988
73,-0.62,0.20282701368633602,-1.143,53.61,2018-04-24,54.83,"Apr 24, 18",53.2,54.34,554508,554508,53.8038
74,-0.08,0.20103208436167802,-0.149,53.53,2018-04-25,53.79,"Apr 25, 18",52.6326,53.39,683140,683140,53.3508
75,0.26,0.20686560466681603,0.486,53.79,2018-04-26,54.205,"Apr 26, 18",53.26,53.55,561693,561693,53.8605
76,-1.47,0.173883778326228,-2.733,52.32,2018-04-27,54.0,"Apr 27, 18",52.31,53.79,1460878,1460878,52.7573
77,-0.64,0.159524343728965,-1.223,51.68,2018-04-30,52.49,"Apr 30, 18",51.66,52.13,1736454,1736454,51.8872
78,-0.33,0.152120260264752,-0.639,51.35,2018-05-01,51.76,"May 1, 18",50.88,51.47,1757393,1757393,51.2311
79,-0.14,0.1489791339466,-0.273,51.21,2018-05-02,51.7199,"May 2, 18",51.03,51.47,1733991,1733991,51.341
80,0.42,0.158402512901054,0.8200000000000001,51.63,2018-05-03,51.75,"May 3, 18",50.59,51.08,1155447,1155447,51.278
81,0.8,0.17635180614763202,1.549,52.43,2018-05-04,52.59,"May 4, 18",51.23,51.6,1048266,1048266,52.1427
82,-0.19,0.17208884900157,-0.362,52.24,2018-05-07,52.75,"May 7, 18",52.22,52.51,790361,790361,52.3888
83,0.49,0.183082791115099,0.9380000000000001,52.73,2018-05-08,52.96,"May 8, 18",52.24,52.24,764645,764645,52.7112
84,0.42,0.192506170069553,0.797,53.15,2018-05-09,53.25,"May 9, 18",52.59,52.86,754695,754695,53.029
