,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.99,0.0,-1.3940000000000001,70.05,2018-01-08,72.19,"Jan 8, 18",69.41,71.9,3627348,3627348,70.0456
1,-0.25,-0.003568879371877,-0.357,69.8,2018-01-09,69.97,"Jan 9, 18",69.03,69.84,2361903,2361903,69.6599
2,0.5,0.003568879371877,0.716,70.3,2018-01-10,70.34,"Jan 10, 18",69.3,69.75,2132009,2132009,70.0489
3,1.6099999999999999,0.026552462526766,2.29,71.91,2018-01-11,72.115,"Jan 11, 18",70.43,70.43,1936286,1936286,71.7388
4,0.42,0.032548179871520005,0.584,72.33,2018-01-12,72.805,"Jan 12, 18",71.76,71.82,1904857,1904857,72.3721
5,-1.0,0.018272662384011002,-1.383,71.33,2018-01-16,72.88,"Jan 16, 18",71.02,72.71,1521216,1521216,71.6954
6,-1.49,-0.0029978586723760003,-2.089,69.84,2018-01-17,71.56,"Jan 17, 18",69.74,71.36,1659452,1659452,70.1751
7,0.7000000000000001,0.006995003568879001,1.002,70.54,2018-01-18,71.64,"Jan 18, 18",70.23,71.64,1159503,1159503,70.7377
8,0.04,0.007566024268379001,0.057,70.58,2018-01-19,70.93,"Jan 19, 18",69.88,70.93,1202842,1202842,70.4355
9,0.91,0.020556745182012,1.289,71.49,2018-01-22,71.57,"Jan 22, 18",70.62,70.95,1767521,1767521,71.176
10,-0.9500000000000001,0.006995003568879001,-1.329,70.54,2018-01-23,71.42,"Jan 23, 18",69.79,71.42,1643654,1643654,70.5927
11,0.41000000000000003,0.012847965738758,0.581,70.95,2018-01-24,71.18,"Jan 24, 18",70.2,70.63,1345194,1345194,70.8018
12,0.59,0.021270521056388002,0.8320000000000001,71.54,2018-01-25,71.72,"Jan 25, 18",71.03,71.37,1347600,1347600,71.445
13,0.88,0.033832976445396006,1.23,72.42,2018-01-26,72.42,"Jan 26, 18",71.2,71.83,1104560,1104560,71.9665
14,-0.06,0.032976445396145006,-0.083,72.36,2018-01-29,72.55,"Jan 29, 18",71.83,72.33,1387316,1387316,72.307
15,-0.54,0.02526766595289,-0.746,71.82,2018-01-30,72.26,"Jan 30, 18",71.21,71.77,2077706,2077706,71.7044
16,-0.45,0.018843683083511,-0.627,71.37,2018-01-31,72.55,"Jan 31, 18",71.04,72.14,2280179,2280179,71.6141
17,-0.56,0.010849393290506,-0.785,70.81,2018-02-01,71.05,"Feb 1, 18",70.04,71.0,1266309,1266309,70.729
18,-2.06,-0.018558172733761,-2.909,68.75,2018-02-02,70.73,"Feb 2, 18",68.74,70.6,2090244,2090244,69.4368
19,-3.93,-0.07466095645967101,-5.716,64.82,2018-02-05,68.2,"Feb 5, 18",64.81,68.08,6223025,6223025,65.8248
20,0.5,-0.067523197715917,0.771,65.32,2018-02-06,66.1492,"Feb 6, 18",63.51,63.51,3749214,3749214,64.8117
21,0.08,-0.066381156316916,0.122,65.4,2018-02-07,66.06,"Feb 7, 18",64.59,64.89,1880342,1880342,65.5589
22,-1.06,-0.08151320485367501,-1.621,64.34,2018-02-08,65.93,"Feb 8, 18",64.33,65.21,3096636,3096636,64.9317
23,0.15,-0.079371877230549,0.233,64.49,2018-02-09,65.33,"Feb 9, 18",62.44,64.93,3080087,3080087,64.0186
24,1.17,-0.06266952177016401,1.814,65.66,2018-02-12,66.16,"Feb 12, 18",64.46,65.56,1473224,1473224,65.5648
25,-2.27,-0.095074946466809,-3.457,63.39,2018-02-13,65.29,"Feb 13, 18",62.3149,65.22,2663421,2663421,63.2986
26,0.39,-0.08950749464668001,0.615,63.78,2018-02-14,64.25,"Feb 14, 18",62.63,62.8,2731669,2731669,63.3872
27,0.55,-0.08165596002855101,0.862,64.33,2018-02-15,64.355,"Feb 15, 18",59.7,62.27,3921393,3921393,62.6934
28,0.1,-0.0802284082798,0.155,64.43,2018-02-16,64.94,"Feb 16, 18",63.79,64.27,1445850,1445850,64.3951
29,-1.12,-0.09621698786581001,-1.738,63.31,2018-02-20,64.82,"Feb 20, 18",63.17,64.15,1926949,1926949,63.7166
30,-2.33,-0.129478943611705,-3.68,60.98,2018-02-21,63.52,"Feb 21, 18",60.92,63.52,3071585,3071585,61.6033
31,0.06,-0.12862241256245502,0.098,61.04,2018-02-22,62.08,"Feb 22, 18",60.87,61.22,1552278,1552278,61.4132
32,1.72,-0.10406852248394001,2.818,62.76,2018-02-23,62.95,"Feb 23, 18",61.2,61.51,1511284,1511284,62.2173
33,0.13,-0.10221270521056301,0.20700000000000002,62.89,2018-02-26,63.25,"Feb 26, 18",62.17,62.85,1054047,1054047,62.6659
34,-0.85,-0.11434689507494601,-1.3519999999999999,62.04,2018-02-27,63.28,"Feb 27, 18",62.03,62.71,1475312,1475312,62.3987
35,-0.12,-0.11605995717344701,-0.193,61.92,2018-02-28,63.31,"Feb 28, 18",61.86,62.12,1815175,1815175,62.5013
36,-1.8599999999999999,-0.14261241970021402,-3.004,60.06,2018-03-01,62.2,"Mar 1, 18",59.9348,62.2,2078306,2078306,60.6963
37,-0.09,-0.14389721627408902,-0.15,59.97,2018-03-02,60.14,"Mar 2, 18",59.03,59.73,2130394,2130394,59.7132
38,0.49,-0.13690221270521,0.8170000000000001,60.46,2018-03-05,60.6,"Mar 5, 18",58.97,59.45,4779976,4779976,59.7565
