,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,2.4533,0.0,4.673,54.9584,2018-01-08,57.0737,"Jan 8, 18",53.471,56.668,11871755,11871755,55.0257
1,0.115905,0.002108867798189,0.211,55.0743,2018-01-09,55.7794,"Jan 9, 18",54.3403,55.1516,4772525,4772525,55.0331
2,1.7579,0.034094879035779,3.192,56.8322,2018-01-10,57.2959,"Jan 10, 18",54.8136,54.8618,4471128,4471128,56.4995
3,2.2022,0.074165186759439,3.875,59.0344,2018-01-11,59.0731,"Jan 11, 18",56.7744,57.2282,4855026,4855026,58.198
4,2.6562,0.12249628810154602,4.499,61.6906,2018-01-12,62.84,"Jan 12, 18",60.8793,61.3622,7484750,7484750,61.5308
5,-0.453963,0.11423549448310001,-0.736,61.2366,2018-01-16,62.9945,"Jan 16, 18",60.9469,61.7389,4566900,4566900,61.88
6,1.1494,0.135149494890681,1.877,62.386,2018-01-17,62.7241,"Jan 17, 18",61.0048,61.3429,3355414,3355414,62.1755
7,0.251127,0.139720224751812,0.403,62.6372,2018-01-18,63.0042,"Jan 18, 18",62.048,62.386,2848904,2848904,62.5025
8,2.5982000000000003,0.18699598241579002,4.148,65.2354,2018-01-19,65.245,"Jan 19, 18",63.2167,64.3468,5561802,5561802,64.5743
9,0.608502,0.19806799324580002,0.933,65.8439,2018-01-22,65.8439,"Jan 22, 18",64.2405,65.1967,2978080,2978080,65.2835
10,0.637479,0.209667675914873,0.968,66.4814,2018-01-23,66.7808,"Jan 23, 18",65.5927,65.9694,2329320,2329320,66.2933
11,-1.0914,0.189807199627354,-1.642,65.3899,2018-01-24,66.6842,"Jan 24, 18",64.8587,66.462,4070285,4070285,65.5943
12,-0.878949,0.17381510378759202,-1.344,64.511,2018-01-25,65.7183,"Jan 25, 18",63.8349,65.7183,2977199,2977199,64.463
13,1.5164,0.201406882296427,2.351,66.0274,2018-01-26,66.037,"Jan 26, 18",64.5206,64.5593,2058790,2058790,65.6
14,-0.39601000000000003,0.194201432356109,-0.6000000000000001,65.6314,2018-01-29,66.7808,"Jan 29, 18",65.4768,65.7183,3267929,3267929,66.019
