,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.739973,0.0,0.687,108.47,2018-01-08,108.9436,"Jan 8, 18",107.3551,107.5426,1598806,1598806,108.1213
1,0.522913,0.004821609661657,0.482,108.993,2018-01-09,109.7428,"Jan 9, 18",108.549,108.7858,799720,799720,109.0573
2,-3.8775,-0.030925601548815,-3.558,105.1155,2018-01-10,110.315,"Jan 10, 18",103.9513,108.7956,4265345,4265345,106.4872
3,1.0952,-0.020828800590024,1.042,106.2107,2018-01-11,107.2269,"Jan 11, 18",105.3227,105.3819,1283799,1283799,106.3319
4,2.7132,0.004184567161427,2.555,108.9239,2018-01-12,109.1903,"Jan 12, 18",105.964,106.0923,1896088,1896088,108.1767
5,0.591977,0.009642297409421,0.543,109.5159,2018-01-16,111.2918,"Jan 16, 18",108.7562,109.5356,2530591,2530591,109.7322
6,-0.18746000000000002,0.007913708859592,-0.171,109.3284,2018-01-17,110.098,"Jan 17, 18",108.618,109.6737,1629483,1629483,109.4301
7,0.680775,0.014190098644786,0.623,110.0092,2018-01-18,110.3644,"Jan 18, 18",108.47,109.506,2273876,2273876,109.6835
8,-1.4799,0.000545773024799,-1.345,108.5292,2018-01-19,109.5849,"Jan 19, 18",105.5299,107.2269,2260195,2260195,107.7852
9,0.947164,0.009278141421591,0.873,109.4764,2018-01-22,110.2627,"Jan 22, 18",108.58840000000001,108.8647,1555369,1555369,109.6051
10,0.690641,0.015644878768323,0.631,110.167,2018-01-23,110.4236,"Jan 23, 18",107.3847,109.1607,1674690,1674690,109.118
11,1.0162,0.025014289665345003,0.922,111.1833,2018-01-24,112.0219,"Jan 24, 18",109.7823,110.3644,1939362,1939362,111.0209
12,-1.2530000000000001,0.013462708583018,-1.127,109.9303,2018-01-25,111.3017,"Jan 25, 18",109.4665,110.8084,1480164,1480164,110.1436
13,2.0522,0.032381303586245004,1.867,111.9824,2018-01-26,112.0219,"Jan 26, 18",109.8908,110.2361,1002419,1002419,111.2248
14,0.197325,0.034201161611505,0.176,112.1798,2018-01-29,113.2157,"Jan 29, 18",111.4003,111.9726,1052307,1052307,112.3619
15,-1.4602,0.020739374942380002,-1.302,110.7196,2018-01-30,112.308,"Jan 30, 18",110.7097,111.5878,1071522,1071522,111.1733
16,0.8978309999999999,0.02901631787591,0.811,111.6174,2018-01-31,112.1304,"Jan 31, 18",110.611,111.0649,971484,971484,111.3312
17,-0.256522,0.026651608739743003,-0.23,111.3609,2018-02-01,112.4758,"Feb 1, 18",110.6702,111.2918,1011156,1011156,111.4441
18,-2.6836,0.001910205586798,-2.41,108.6772,2018-02-02,111.3411,"Feb 2, 18",108.5588,110.5617,1051910,1051910,109.4262
19,-4.9035,-0.043295842168341,-4.5120000000000005,103.7737,2018-02-05,108.96340000000001,"Feb 5, 18",103.7145,108.2628,1272097,1272097,105.8407
20,2.1114,-0.023830552226422,2.035,105.8851,2018-02-06,106.5757,"Feb 6, 18",100.7063,101.7314,1459381,1459381,104.484
21,-0.217059,-0.025832027288651003,-0.20500000000000002,105.668,2018-02-07,106.8174,"Feb 7, 18",105.1648,105.1648,1326764,1326764,106.1571
22,-3.5223,-0.058304600350327,-3.333,102.1457,2018-02-08,106.2008,"Feb 8, 18",102.1161,105.7371,1434571,1434571,103.956
23,0.236792,-0.05612150825112901,0.232,102.3825,2018-02-09,103.0633,"Feb 9, 18",98.14,103.0633,1543896,1543896,100.9214
24,1.6279,-0.041112750069143,1.5899999999999999,104.0105,2018-02-12,105.2043,"Feb 12, 18",101.169,102.5009,1351430,1351430,103.6749
25,-1.2826,-0.05293721766387,-1.233,102.7279,2018-02-13,103.5369,"Feb 13, 18",101.6031,103.5369,1286827,1286827,102.5018
26,2.2298,-0.032381303586245004,2.171,104.9576,2018-02-14,105.0366,"Feb 14, 18",102.2345,102.6884,1141981,1141981,104.2819
27,1.184,-0.021465843090255003,1.1280000000000001,106.1416,2018-02-15,106.5165,"Feb 15, 18",104.9478,105.6877,1095821,1095821,105.8458
