,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.40562699999999996,0.0,0.877,46.6666,2018-01-08,46.7438,"Jan 8, 18",45.6911,46.2513,1109741,1109741,46.4753
1,-0.35733899999999996,-0.007658582369403001,-0.766,46.3092,2018-01-09,46.8404,"Jan 9, 18",46.2802,46.7921,1078130,1078130,46.404
2,-0.453918,-0.017385024835749,-0.98,45.8553,2018-01-10,46.2223,"Jan 10, 18",45.7394,46.0678,617817,617817,45.9533
3,1.0527,0.005172864532663001,2.296,46.908,2018-01-11,46.9128,"Jan 11, 18",45.8746,46.1257,882121,882121,46.6884
4,0.222129,0.009932157045938,0.47400000000000003,47.1301,2018-01-12,47.2653,"Jan 12, 18",46.7631,47.0722,885310,885310,47.0847
5,-0.347682,0.0024814321163310004,-0.738,46.7824,2018-01-16,47.5358,"Jan 16, 18",46.7535,47.5358,1045239,1045239,47.0764
6,0.057948,0.003724291034701,0.124,46.8404,2018-01-17,47.2364,"Jan 17, 18",46.6859,46.9273,908637,908637,46.9145
7,-0.13521000000000002,0.0008271440387770001,-0.289,46.7052,2018-01-18,47.1108,"Jan 18, 18",46.512,46.879,627843,627843,46.7412
8,-0.106235,-0.001448573497962,-0.227,46.599,2018-01-19,47.2653,"Jan 19, 18",46.2513,46.879,1271433,1271433,46.5788
9,-0.154526,-0.004761435373479,-0.332,46.4444,2018-01-22,46.6086,"Jan 22, 18",45.9229,46.541,1643760,1643760,46.4158
10,-0.7146779999999999,-0.020076457252081,-1.5390000000000001,45.7297,2018-01-23,46.7148,"Jan 23, 18",45.4497,46.7148,1328842,1328842,45.768299999999996
11,-0.019315,-0.020490029271470003,-0.042,45.7104,2018-01-24,46.57,"Jan 24, 18",45.6235,45.9132,1384208,1384208,45.8635
12,0.44425899999999996,-0.010969301384716001,0.972,46.1547,2018-01-25,46.5217,"Jan 25, 18",45.7008,45.8746,1834547,1834547,46.1536
13,0.038631,-0.010142157345939,0.084,46.1933,2018-01-26,46.512,"Jan 26, 18",45.9809,46.145,1170547,1170547,46.1541
14,-0.183498,-0.014074305820436001,-0.397,46.0098,2018-01-29,46.512,"Jan 29, 18",45.9712,46.2126,1324228,1324228,46.1401
