,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.16,0.0,-0.381,41.86,2018-01-08,42.23,"Jan 8, 18",41.84,42.06,983963,983963,41.9621
1,0.13,0.0031055900621110005,0.311,41.99,2018-01-09,42.28,"Jan 9, 18",41.8,41.99,915419,915419,42.029
2,0.25,0.009077878643096001,0.595,42.24,2018-01-10,42.58,"Jan 10, 18",41.95,41.97,1597904,1597904,42.2974
3,0.75,0.026994744386048004,1.776,42.99,2018-01-11,43.43,"Jan 11, 18",42.2,43.43,1105598,1105598,42.6956
4,0.48,0.038461538461538006,1.117,43.47,2018-01-12,43.645,"Jan 12, 18",42.81,43.16,1153170,1153170,43.3843
5,-0.28,0.031772575250836,-0.644,43.19,2018-01-16,43.75,"Jan 16, 18",43.02,43.75,1098346,1098346,43.3476
6,0.0,0.031772575250836,0.0,43.19,2018-01-17,43.7,"Jan 17, 18",43.09,43.48,1475923,1475923,43.2224
7,-0.49,0.020066889632107003,-1.135,42.7,2018-01-18,43.25,"Jan 18, 18",42.62,43.15,1197844,1197844,42.8201
8,0.26,0.026278069756330003,0.609,42.96,2018-01-19,43.21,"Jan 19, 18",42.74,42.99,1575493,1575493,42.9724
9,-0.11,0.023650262780697002,-0.256,42.85,2018-01-22,43.05,"Jan 22, 18",42.4,43.05,1568001,1568001,42.7571
10,0.28,0.030339225991399002,0.653,43.13,2018-01-23,43.25,"Jan 23, 18",42.63,42.69,960377,960377,43.0374
11,-0.26,0.024128045867176002,-0.603,42.87,2018-01-24,43.58,"Jan 24, 18",42.84,43.27,1310988,1310988,43.0091
12,-0.32,0.016483516483516,-0.746,42.55,2018-01-25,42.88,"Jan 25, 18",42.28,42.88,1850715,1850715,42.5627
13,0.28,0.023172479694218002,0.658,42.83,2018-01-26,42.86,"Jan 26, 18",42.5,42.7,1226499,1226499,42.7463
14,-0.12,0.020305781175346,-0.28,42.71,2018-01-29,43.8599,"Jan 29, 18",42.62,43.52,1311250,1311250,42.9259
15,-0.52,0.007883420926899,-1.218,42.19,2018-01-30,42.53,"Jan 30, 18",40.41,42.53,1462294,1462294,42.2123
16,-0.16,0.0040611562350690005,-0.379,42.03,2018-01-31,42.37,"Jan 31, 18",41.61,42.19,1732009,1732009,42.0078
17,-0.24,-0.0016722408026750002,-0.5710000000000001,41.79,2018-02-01,42.11,"Feb 1, 18",41.37,41.73,1038943,1038943,41.8274
18,-0.86,-0.022216913521261,-2.058,40.93,2018-02-02,41.9289,"Feb 2, 18",40.9,41.54,1411218,1411218,41.2487
19,-1.47,-0.057333970377448,-3.591,39.46,2018-02-05,41.27,"Feb 5, 18",39.44,40.73,2284312,2284312,40.3537
20,1.07,-0.031772575250836,2.7119999999999997,40.53,2018-02-06,40.57,"Feb 6, 18",38.16,38.92,2892061,2892061,40.0243
21,-0.18,-0.036072623029144005,-0.444,40.35,2018-02-07,41.02,"Feb 7, 18",40.07,40.31,1289338,1289338,40.5419
22,-1.49,-0.07166746297181001,-3.693,38.86,2018-02-08,40.29,"Feb 8, 18",38.83,40.28,1526848,1526848,39.6161
23,0.06,-0.07023411371237401,0.154,38.92,2018-02-09,39.41,"Feb 9, 18",37.46,39.41,1933348,1933348,38.4879
24,1.24,-0.040611562350692,3.186,40.16,2018-02-12,40.355,"Feb 12, 18",39.36,39.74,2474859,2474859,40.0081
25,0.37,-0.031772575250836,0.921,40.53,2018-02-13,40.55,"Feb 13, 18",39.65,39.96,2126201,2126201,40.3181
26,0.91,-0.010033444816053,2.245,41.44,2018-02-14,41.455,"Feb 14, 18",39.001,40.33,2008221,2008221,41.024
27,0.33,-0.002150023889154,0.796,41.77,2018-02-15,41.98,"Feb 15, 18",41.51,41.75,2005766,2005766,41.7721
28,0.0,-0.002150023889154,0.0,41.77,2018-02-16,42.49,"Feb 16, 18",41.08,41.67,1932353,1932353,41.9465
29,-0.31,-0.009555661729574,-0.742,41.46,2018-02-20,42.14,"Feb 20, 18",41.27,41.48,1534722,1534722,41.6996
30,0.12,-0.006688963210702,0.289,41.58,2018-02-21,42.28,"Feb 21, 18",41.3668,41.61,2195356,2195356,41.8507
31,-1.53,-0.043239369326325,-3.68,40.05,2018-02-22,41.6,"Feb 22, 18",39.61,41.05,3386550,3386550,40.2643
32,0.05,-0.042044911610128,0.125,40.1,2018-02-23,40.87,"Feb 23, 18",39.86,40.49,2315173,2315173,40.0652
33,0.34,-0.03392259913999,0.848,40.44,2018-02-26,40.86,"Feb 26, 18",39.97,40.4,2906627,2906627,40.4223
34,-1.11,-0.06043956043956,-2.745,39.33,2018-02-27,40.5,"Feb 27, 18",39.32,40.445,2007541,2007541,39.6673
35,0.15,-0.056856187290969,0.381,39.48,2018-02-28,40.2,"Feb 28, 18",39.47,39.52,3142547,3142547,39.7756
36,-0.1,-0.059245102723363,-0.253,39.38,2018-03-01,39.8,"Mar 1, 18",38.88,39.47,1940695,1940695,39.3763
37,-0.39,-0.06856187290969801,-0.99,38.99,2018-03-02,39.29,"Mar 2, 18",38.56,39.01,2385495,2385495,39.0011
38,-0.07,-0.07023411371237401,-0.18,38.92,2018-03-05,39.04,"Mar 5, 18",38.46,38.79,2184431,2184431,38.8773
39,0.63,-0.05518394648829401,1.619,39.55,2018-03-06,39.63,"Mar 6, 18",38.9,39.0,2010619,2010619,39.3547
40,-0.55,-0.068322981366459,-1.391,39.0,2018-03-07,39.33,"Mar 7, 18",38.84,39.19,1693495,1693495,39.0287
41,-0.21,-0.07333970377448601,-0.538,38.79,2018-03-08,39.19,"Mar 8, 18",38.725,39.1,2012960,2012960,38.9049
42,0.85,-0.053033922599139006,2.191,39.64,2018-03-09,39.75,"Mar 9, 18",38.92,38.94,2633630,2633630,39.4625
43,-0.31,-0.06043956043956,-0.782,39.33,2018-03-12,39.7,"Mar 12, 18",39.26,39.67,1734904,1734904,39.3836
44,0.09,-0.058289536550406,0.229,39.42,2018-03-13,39.84,"Mar 13, 18",39.3642,39.55,1007951,1007951,39.6035
45,-0.39,-0.067606306736741,-0.989,39.03,2018-03-14,39.5,"Mar 14, 18",38.95,39.5,910693,910693,39.1167
46,0.02,-0.067128523650262,0.051000000000000004,39.05,2018-03-15,39.25,"Mar 15, 18",38.92,39.03,826638,826638,39.0559
47,0.5,-0.05518394648829401,1.28,39.55,2018-03-16,39.68,"Mar 16, 18",39.03,39.06,2284705,2284705,39.4559
48,-0.30000000000000004,-0.062350692785475004,-0.759,39.25,2018-03-19,39.55,"Mar 19, 18",38.9,39.51,1378790,1378790,39.1897
49,0.15,-0.058767319636884,0.382,39.4,2018-03-20,39.69,"Mar 20, 18",39.21,39.37,1136289,1136289,39.3806
50,0.1,-0.05637840420449101,0.254,39.5,2018-03-21,39.81,"Mar 21, 18",39.24,39.4,763604,763604,39.5458
51,-1.5899999999999999,-0.09436215957955,-4.025,37.91,2018-03-22,39.26,"Mar 22, 18",37.87,39.12,1678843,1678843,38.3345
52,-0.74,-0.11204013377926401,-1.952,37.17,2018-03-23,38.15,"Mar 23, 18",37.07,38.0,1837183,1837183,37.4523
53,0.6900000000000001,-0.095556617295747,1.8559999999999999,37.86,2018-03-26,37.96,"Mar 26, 18",37.03,37.65,1927163,1927163,37.6024
54,-0.27,-0.10200668896321001,-0.713,37.59,2018-03-27,38.36,"Mar 27, 18",37.39,37.93,2134859,2134859,37.9059
55,-0.09,-0.10415671285236501,-0.23900000000000002,37.5,2018-03-28,38.02,"Mar 28, 18",37.42,37.69,1524066,1524066,37.6272
56,0.45,-0.093406593406593,1.2,37.95,2018-03-29,38.25,"Mar 29, 18",37.285,37.75,1800143,1800143,38.0123
57,-0.8,-0.11251791686574202,-2.108,37.15,2018-04-02,37.88,"Apr 2, 18",36.615,37.83,1289003,1289003,37.1022
58,0.64,-0.09722885809842301,1.7229999999999999,37.79,2018-04-03,37.96,"Apr 3, 18",37.33,37.33,2361407,2361407,37.7446
59,0.44,-0.086717630195891,1.164,38.23,2018-04-04,38.44,"Apr 4, 18",37.02,37.38,1879282,1879282,38.1007
60,0.5,-0.07477305303392201,1.308,38.73,2018-04-05,38.89,"Apr 5, 18",38.09,38.51,1292258,1292258,38.648
61,-0.55,-0.087912087912087,-1.42,38.18,2018-04-06,38.83,"Apr 6, 18",37.82,38.51,1215107,1215107,38.3092
62,-0.07,-0.089584328714763,-0.183,38.11,2018-04-09,38.525,"Apr 9, 18",38.08,38.39,1590376,1590376,38.3746
63,0.02,-0.089106545628284,0.052000000000000005,38.13,2018-04-10,38.59,"Apr 10, 18",38.1,38.59,1627720,1627720,38.3496
64,-0.08,-0.091017677974199,-0.21,38.05,2018-04-11,38.19,"Apr 11, 18",37.72,37.79,1332082,1332082,38.0352
