,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.44556599999999996,0.0,1.12,40.2366,2018-01-08,40.2753,"Jan 8, 18",39.762,39.791,1718948,1718948,40.0826
1,-0.610231,-0.015165297266667,-1.517,39.6264,2018-01-09,40.1979,"Jan 9, 18",39.5973,40.13,1747392,1747392,39.7032
2,-0.697409,-0.032497775656988005,-1.76,38.929,2018-01-10,39.5295,"Jan 10, 18",38.8902,39.423,1785791,1785791,39.0825
3,-0.339018,-0.040925426104591,-0.871,38.5899,2018-01-11,39.0646,"Jan 11, 18",38.464,38.8612,1567437,1567437,38.7071
4,-0.300274,-0.048386295064692005,-0.778,38.2897,2018-01-12,38.6577,"Jan 12, 18",38.2509,38.5221,1642836,1642836,38.4355
5,0.029058999999999998,-0.047665558223110006,0.076,38.3187,2018-01-16,38.6384,"Jan 16, 18",38.0959,38.5124,4681814,4681814,38.3299
6,0.48431199999999996,-0.03562925296869,1.264,38.803,2018-01-17,38.9096,"Jan 17, 18",38.4059,38.4543,2385903,2385903,38.7219
7,-0.368077,-0.04477515495842,-0.9490000000000001,38.435,2018-01-18,38.8515,"Jan 18, 18",38.125,38.8127,2024166,2024166,38.4488
8,-0.261528,-0.051276698329381004,-0.68,38.1734,2018-01-19,38.7013,"Jan 19, 18",38.1056,38.5609,2040877,2040877,38.3012
9,0.135607,-0.047906632270122006,0.355,38.309,2018-01-22,38.6093,"Jan 22, 18",38.2122,38.3575,1689159,1689159,38.4106
10,0.590861,-0.033220997798024,1.542,38.8999,2018-01-23,38.9774,"Jan 23, 18",38.3478,38.3478,1809940,1809940,38.8279
11,-0.300274,-0.040684352057579004,-0.772,38.5996,2018-01-24,38.8127,"Jan 24, 18",38.5803,38.7643,1076849,1076849,38.6617
12,0.523057,-0.027683750615111004,1.355,39.1227,2018-01-25,39.1517,"Jan 25, 18",38.5415,38.5996,1414617,1414617,38.9114
13,-0.08717699999999999,-0.029850931738765,-0.223,39.0355,2018-01-26,39.268,"Jan 26, 18",38.6481,39.2002,1479946,1479946,38.8926
14,-0.66835,-0.04646018798805,-1.712,38.3672,2018-01-29,38.9193,"Jan 29, 18",38.3672,38.8708,1284252,1284252,38.4893
15,-0.01467,-0.046825527007749,-0.038,38.3525,2018-01-30,38.8702,"Jan 30, 18",38.2743,38.7335,1912017,1912017,38.4445
16,0.47867299999999996,-0.034928398522738005,1.248,38.8312,2018-01-31,38.88,"Jan 31, 18",38.1669,38.372,1930614,1930614,38.6031
17,-0.654512,-0.051197168746862004,-1.686,38.1766,2018-02-01,38.9777,"Feb 1, 18",38.0692,38.8214,1502578,1502578,38.3176
18,-0.166071,-0.05532276584005601,-0.435,38.0106,2018-02-02,38.2841,"Feb 2, 18",37.571,37.571,1888751,1888751,38.0769
19,-0.674051,-0.072076169457657,-1.7730000000000001,37.3365,2018-02-05,38.4257,"Feb 5, 18",37.3365,37.9715,2431260,2431260,37.6818
20,-0.693587,-0.089314206468737,-1.858,36.6429,2018-02-06,37.1509,"Feb 6, 18",35.9884,36.9067,3223825,3223825,36.5342
21,-0.009769,-0.089555280515749,-0.027,36.6332,2018-02-07,37.1607,"Feb 7, 18",36.4866,36.6332,1891515,1891515,36.8481
22,-0.351678,-0.098296078694521,-0.96,36.2815,2018-02-08,37.2633,"Feb 8, 18",36.2717,36.6234,2675012,2675012,36.7236
23,1.2504,-0.067219894325067,3.446,37.5319,2018-02-09,37.825,"Feb 9, 18",36.2815,36.2815,3225472,3225472,37.086
24,0.058614,-0.06576350884518001,0.156,37.5905,2018-02-12,37.7761,"Feb 12, 18",37.1607,37.5417,2176856,2176856,37.5262
25,0.146532,-0.062122545145464,0.39,37.737,2018-02-13,37.8592,"Feb 13, 18",37.0142,37.4244,1773953,1773953,37.4438
26,-0.507979,-0.07474538107096501,-1.346,37.2291,2018-02-14,37.6003,"Feb 14, 18",37.1705,37.4928,1924144,1924144,37.3266
