,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.250288,0.0,-0.227,109.8477,2018-01-08,110.1269,"Jan 8, 18",108.8177,110.1269,1283204,1283204,109.5493
1,1.0012,0.009113527183545,0.911,110.8488,2018-01-09,111.9896,"Jan 9, 18",109.944,110.0595,1794033,1794033,111.1486
2,-0.115516,0.008062071395213,-0.10400000000000001,110.7333,2018-01-10,111.0606,"Jan 10, 18",109.8958,110.4253,1235998,1235998,110.6768
3,2.5703,0.031460831678769,2.321,113.3036,2018-01-11,113.5346,"Jan 11, 18",110.8296,112.1388,1892030,1892030,112.6573
4,-0.019253,0.031285133871715005,-0.017,113.2843,2018-01-12,113.5924,"Jan 12, 18",112.0425,113.2555,2070462,2070462,113.168
5,-1.7231,0.015598870071926,-1.521,111.5612,2018-01-16,113.7175,"Jan 16, 18",110.8103,113.5635,1996269,1996269,111.9765
6,0.9530219999999999,0.024274518264833,0.854,112.5142,2018-01-17,112.6683,"Jan 17, 18",111.3976,111.9174,1704023,1704023,112.1846
7,0.009625,0.024362822344027,0.009000000000000001,112.5239,2018-01-18,112.9378,"Jan 18, 18",111.1858,111.9174,2248395,2248395,112.3003
8,2.9168000000000003,0.050915949992580006,2.592,115.4407,2018-01-19,115.5081,"Jan 19, 18",112.7741,113.0052,2863969,2863969,114.5895
9,-0.943395,0.042327695527534,-0.8170000000000001,114.4973,2018-01-22,115.2289,"Jan 22, 18",114.093,114.5358,2067828,2067828,114.4508
10,-0.49095000000000005,0.037857870487957,-0.429,114.0063,2018-01-23,114.6032,"Jan 23, 18",113.2555,114.093,1479389,1479389,113.8427
11,0.49095000000000005,0.042327695527534,0.431,114.4973,2018-01-24,115.9316,"Jan 24, 18",114.0063,114.7283,1701386,1701386,114.656
12,1.7328000000000001,0.058101353055184005,1.513,116.23,2018-01-25,116.4322,"Jan 25, 18",115.1326,115.1326,1585020,1585020,115.9351
13,0.721986,0.064674089671426,0.621,116.952,2018-01-26,117.2312,"Jan 26, 18",115.691,116.7691,2157188,2157188,116.7512
14,-0.558335,0.059591598185487,-0.47700000000000004,116.3937,2018-01-29,117.3949,"Jan 29, 18",116.1819,117.0772,1228242,1228242,116.5796
15,-1.9831,0.041538420922786,-1.704,114.4106,2018-01-30,116.6151,"Jan 30, 18",113.9582,115.431,3319073,3319073,114.5959
16,0.953021,0.050214979467025,0.833,115.3637,2018-01-31,115.8546,"Jan 31, 18",114.4106,114.7861,3213885,3213885,115.2396
17,-2.1948,0.030233678083382003,-1.903,113.1688,2018-02-01,115.2674,"Feb 1, 18",112.5239,114.6513,3431741,3431741,113.436
18,-5.1887,-0.017000811123036003,-4.585,107.9802,2018-02-02,113.4384,"Feb 2, 18",107.3641,113.1688,4224647,4224647,108.8467
19,-3.273,-0.04679661021578,-3.031,104.7072,2018-02-05,108.7695,"Feb 5, 18",103.4384,107.5662,3146641,3146641,106.34
20,4.8614,-0.002541700918635,4.643,109.5685,2018-02-06,110.0787,"Feb 6, 18",102.0406,102.1273,4939488,4939488,107.8157
21,-3.4173999999999998,-0.033652047334627004,-3.119,106.1511,2018-02-07,109.9584,"Feb 7, 18",106.0837,108.9043,3163677,3163677,107.8148
22,-4.3127,-0.072911858873695,-4.063,101.8385,2018-02-08,106.4303,"Feb 8, 18",101.5689,105.9779,2543583,2543583,103.6523
23,1.1552,-0.062396390639039005,1.134,102.9936,2018-02-09,103.8023,"Feb 9, 18",98.9804,103.1477,3151806,3151806,101.4656
24,2.6088,-0.038647145092705004,2.533,105.6024,2018-02-12,106.5747,"Feb 12, 18",104.1007,104.1873,2260652,2260652,105.5128
25,-0.057759,-0.039172417811205,-0.055,105.5447,2018-02-13,106.4578,"Feb 13, 18",104.0044,105.2847,1852823,1852823,105.6759
26,2.2718,-0.018491056253339,2.153,107.8165,2018-02-14,108.4326,"Feb 14, 18",104.197,104.6494,1757511,1757511,107.0513
27,-1.9542000000000002,-0.036281141981124004,-1.8130000000000002,105.8623,2018-02-15,110.175,"Feb 15, 18",104.6783,109.0679,3118308,3118308,106.5104
28,-1.3092000000000001,-0.048199461618222,-1.237,104.5531,2018-02-16,106.3532,"Feb 16, 18",104.2162,105.6987,2782445,2782445,104.8941
29,-0.019251,-0.048374249073945004,-0.018000000000000002,104.5339,2018-02-20,105.535,"Feb 20, 18",103.398,103.9659,2295796,2295796,104.5074
30,0.481323,-0.04399272811356,0.46,105.0152,2018-02-21,107.1042,"Feb 21, 18",104.3028,104.6013,1984497,1984497,105.7766
31,1.675,-0.028744343304411002,1.595,106.6902,2018-02-22,107.5373,"Feb 22, 18",105.4003,105.6987,1509685,1509685,106.7262
32,0.741238,-0.021996819232446,0.6950000000000001,107.4314,2018-02-23,107.9513,"Feb 23, 18",106.18,107.3256,1516611,1516611,107.0539
33,-1.0493,-0.031548225406631006,-0.977,106.3822,2018-02-26,107.7973,"Feb 26, 18",105.5158,107.6721,2469276,2469276,106.3376
34,-0.818252,-0.038997630355483,-0.769,105.5639,2018-02-27,106.7961,"Feb 27, 18",105.1018,106.3822,2054449,2054449,105.8466
35,-1.3862,-0.051616920518135004,-1.313,104.1777,2018-02-28,106.1704,"Feb 28, 18",104.1296,106.0837,2226615,2226615,105.0468
36,-0.08663799999999999,-0.05240528477155101,-0.083,104.0911,2018-03-01,106.4014,"Mar 1, 18",103.3209,104.2451,3693767,3693767,104.7527
37,0.077716,-0.051697941786673,0.075,104.1688,2018-03-02,104.4894,"Mar 2, 18",102.0603,103.5955,2403928,2403928,103.4913
38,1.4186,-0.038783697792489004,1.362,105.5874,2018-03-05,105.9372,"Mar 5, 18",102.9251,103.7413,2413583,2413583,105.0406
39,1.0396,-0.029319685346165,0.985,106.627,2018-03-06,107.9776,"Mar 6, 18",105.5291,106.1606,1794573,1794573,106.7554
40,-0.349788,-0.032504094305115,-0.328,106.2772,2018-03-07,106.8505,"Mar 7, 18",104.7129,105.8497,2144003,2144003,106.0209
41,-0.009715999999999999,-0.032592398384308004,-0.009000000000000001,106.2675,2018-03-08,107.2197,"Mar 8, 18",105.3833,106.8019,2181313,2181313,106.0621
42,2.8275,-0.006852214475132,2.661,109.095,2018-03-09,109.299,"Mar 9, 18",106.7437,107.2003,1860100,1860100,108.56
43,-1.1077,-0.016936176178472002,-1.015,107.9873,2018-03-12,109.6294,"Mar 12, 18",107.6861,109.4836,2024971,2024971,108.2786
44,-0.7773059999999999,-0.024012337081249002,-0.72,107.21,2018-03-13,109.3962,"Mar 13, 18",106.8408,108.4731,2233231,2233231,107.8793
45,-1.5449000000000002,-0.038076354807610006,-1.441,105.6651,2018-03-14,108.0456,"Mar 14, 18",105.2862,108.0456,1592595,1592595,106.0889
46,-1.2437,-0.04939839432232,-1.177,104.4214,2018-03-15,106.3161,"Mar 15, 18",104.0133,106.2481,2014888,2014888,104.7582
47,-0.281773,-0.051963764375585,-0.27,104.1396,2018-03-16,105.4805,"Mar 16, 18",103.5567,104.4408,4500742,4500742,104.2713
48,-0.39837000000000006,-0.055589693730501,-0.383,103.7413,2018-03-19,104.2757,"Mar 19, 18",102.5073,104.1688,2581655,2581655,103.3858
49,0.6801429999999999,-0.04939839432232,0.656,104.4214,2018-03-20,105.5096,"Mar 20, 18",103.8967,104.4408,2591925,2591925,104.6724
50,3.6339,-0.016317137272787,3.48,108.0553,2018-03-21,109.1727,"Mar 21, 18",103.7607,104.4408,3351960,3351960,107.906
51,-4.4792,-0.05709359413078201,-4.145,103.5761,2018-03-22,107.5403,"Mar 22, 18",103.4206,106.5881,2968788,2968788,105.0279
52,-1.9918,-0.07522688231069001,-1.923,101.5842,2018-03-23,104.4506,"Mar 23, 18",101.4482,103.6441,2569240,2569240,102.7216
53,0.524682,-0.070450268872265,0.516,102.1089,2018-03-26,103.4692,"Mar 26, 18",100.5057,102.8085,3045173,3045173,101.7359
54,-0.923051,-0.07885281166560601,-0.904,101.1859,2018-03-27,103.3332,"Mar 27, 18",100.7778,102.7502,2432965,2432965,101.9078
55,-0.9619169999999999,-0.08760948112705101,-0.9510000000000001,100.224,2018-03-28,102.449,"Mar 28, 18",99.4175,101.1664,2304176,2304176,100.5057
56,2.4582,-0.06523122468654301,2.453,102.6822,2018-03-29,103.1971,"Mar 29, 18",100.36,100.36,2258674,2258674,102.2474
57,-1.9141,-0.08265625953024,-1.8639999999999999,100.7681,2018-04-02,102.9445,"Apr 2, 18",99.4564,102.4198,1750224,1750224,100.7211
58,0.417803,-0.07885281166560601,0.41500000000000004,101.1859,2018-04-03,101.4433,"Apr 3, 18",99.5244,100.9818,1724496,1724496,100.9185
59,-1.37,-0.091324624912492,-1.354,99.8159,2018-04-04,100.0491,"Apr 4, 18",93.4614,98.2418,4713551,4713551,97.745
60,2.0599,-0.072573208178232,2.064,101.8757,2018-04-05,102.4976,"Apr 5, 18",100.2774,100.4571,2069745,2069745,101.8062
61,-3.9448,-0.10848474751860901,-3.872,97.9309,2018-04-06,101.0498,"Apr 6, 18",97.0856,100.5737,2404111,2404111,98.5052
62,-1.3214000000000001,-0.12051413001819701,-1.349,96.6095,2018-04-09,98.9414,"Apr 9, 18",96.5803,98.6499,3719946,3719946,97.4022
63,2.8275,-0.09477485646035301,2.927,99.4369,2018-04-10,100.8361,"Apr 10, 18",97.9698,98.543,3205416,3205416,99.5429
64,-0.12631299999999998,-0.09592463019253,-0.127,99.3106,2018-04-11,99.6993,"Apr 11, 18",98.2127,98.9608,1708111,1708111,99.0983
65,1.4477,-0.08274547396076501,1.458,100.7583,2018-04-12,101.5648,"Apr 12, 18",99.9033,100.2725,4214910,4214910,100.9837
66,-0.641277,-0.08858264670084101,-0.636,100.1171,2018-04-13,101.6134,"Apr 13, 18",99.7187,101.1081,1750231,1750231,100.3615
67,1.4575,-0.07531518638988301,1.456,101.5745,2018-04-16,102.2644,"Apr 16, 18",100.5737,101.2247,2314532,2314532,101.484
68,1.4574,-0.062046815727593005,1.435,103.032,2018-04-17,103.4984,"Apr 17, 18",101.6523,102.3324,1788540,1788540,103.0349
69,2.7497,-0.037014885154627,2.669,105.7817,2018-04-18,106.3452,"Apr 18, 18",103.7024,104.1979,3163178,3163178,105.7429
70,-1.234,-0.048248620590144,-1.167,104.5477,2018-04-19,105.3833,"Apr 19, 18",103.635,105.3347,2390271,2390271,104.3109
71,0.077731,-0.047541277605266004,0.074,104.6254,2018-04-20,105.2376,"Apr 20, 18",103.683,104.6935,2673923,2673923,104.5113
72,0.621844,-0.041879802672245,0.594,105.2473,2018-04-23,105.4513,"Apr 23, 18",104.1979,104.4506,2178516,2178516,104.9467
73,-2.3125,-0.06293167722219001,-2.197,102.9348,2018-04-24,106.423,"Apr 24, 18",101.8369,105.6262,2491121,2491121,103.7362
74,-0.5343979999999999,-0.06779659473980701,-0.519,102.4004,2018-04-25,102.9737,"Apr 25, 18",101.147,102.5073,2554737,2554737,102.2395
75,1.0688,-0.05806675970457201,1.044,103.4692,2018-04-26,104.0959,"Apr 26, 18",102.1186,102.7696,2058189,2058189,103.3977
76,0.174894,-0.056474555225098005,0.169,103.6441,2018-04-27,106.4327,"Apr 27, 18",102.0215,106.0537,3208172,3208172,103.5706
77,-0.913335,-0.064788793939244,-0.881,102.7308,2018-04-30,104.6837,"Apr 30, 18",102.3324,103.6441,2200486,2200486,103.2787
78,-1.885,-0.081948916545362,-1.835,100.8458,2018-05-01,102.7501,"May 1, 18",100.1365,102.5073,2341611,2341611,100.877
79,0.932766,-0.073457159321497,0.925,101.7786,2018-05-02,102.6432,"May 2, 18",100.7778,101.1859,2599838,2599838,101.7338
80,-0.7773059999999999,-0.08053332022427401,-0.764,101.0013,2018-05-03,101.9049,"May 3, 18",99.7624,101.7105,2170914,2170914,100.9615
81,0.8161729999999999,-0.073103943004723,0.808,101.8174,2018-05-04,102.002,"May 4, 18",99.5535,100.5932,2129453,2129453,101.1022
82,-0.184612,-0.074784451563391,-0.181,101.6328,2018-05-07,103.0806,"May 7, 18",101.2053,102.0118,1903563,1903563,102.0324
83,-0.058296,-0.07531518638988301,-0.057,101.5745,2018-05-08,101.6911,"May 8, 18",100.5252,101.5357,3054781,3054781,101.2741
84,5.208,-0.027904089025077003,5.127,106.7825,2018-05-09,107.2683,"May 9, 18",102.2547,102.2547,3547028,3547028,106.0179
85,2.4485,-0.005614136663762001,2.293,109.231,2018-05-10,110.2901,"May 10, 18",106.6173,106.763,3471986,3471986,108.9935
86,0.14574499999999999,-0.004287754773199,0.133,109.3767,2018-05-11,110.3095,"May 11, 18",108.7938,109.2796,2234442,2234442,109.5219
87,-0.573263,-0.009505888607590001,-0.524,108.8035,2018-05-14,110.1136,"May 14, 18",108.4051,109.6682,1854391,1854391,108.8069
88,0.18461000000000002,-0.007825380048922,0.17,108.9881,2018-05-15,109.299,"May 15, 18",107.997,108.4828,1534176,1534176,108.8298
89,3.0509,0.019948528735694002,2.799,112.039,2018-05-16,113.0787,"May 16, 18",110.5524,110.7079,3360147,3360147,112.034
90,0.8550369999999999,0.027732032623350004,0.763,112.894,2018-05-17,112.9815,"May 17, 18",111.6698,111.835,2311451,2311451,112.5386
91,0.029148999999999998,0.027997855212261002,0.026000000000000002,112.9232,2018-05-18,113.5548,"May 18, 18",112.622,112.8163,1903891,1903891,113.121
92,1.2728,0.039584806964551,1.127,114.196,2018-05-21,114.3709,"May 21, 18",112.9329,113.6811,1770785,1770785,113.9151
93,-1.3214000000000001,0.027555424464963,-1.157,112.8746,2018-05-22,115.4203,"May 22, 18",112.758,114.4389,1715326,1715326,113.9111
94,-0.495533,0.023044633615451,-0.439,112.3791,2018-05-23,112.5345,"May 23, 18",109.9597,111.9321,1573412,1573412,111.587
95,1.3214000000000001,0.035074016115039006,1.176,113.7005,2018-05-24,116.0033,"May 24, 18",112.2236,112.3596,2659054,2659054,114.0751
96,-3.1675,0.006238637677438001,-2.786,110.533,2018-05-25,112.9232,"May 25, 18",109.8431,112.5151,2545295,2545295,110.692
97,-2.2445,-0.014194197966821,-2.031,108.2885,2018-05-29,111.2228,"May 29, 18",107.8221,109.4836,2548003,2548003,108.8715
98,2.3611,0.007300107330422001,2.18,110.6496,2018-05-30,110.9022,"May 30, 18",108.58,109.231,1866354,1866354,110.199
99,-1.7101000000000002,-0.00826781079622,-1.545,108.9395,2018-05-31,110.601,"May 31, 18",108.716,110.601,2126893,2126893,109.2084
100,0.971633,0.000577162744417,0.892,109.9111,2018-06-01,111.9904,"Jun 1, 18",109.2601,111.1743,1667298,1667298,110.1553
101,0.262341,0.0029659246392960002,0.23900000000000002,110.1735,2018-06-04,111.1062,"Jun 4, 18",109.8625,110.3581,1377520,1377520,110.213
102,1.9918,0.021098302467871,1.808,112.1653,2018-06-05,112.4471,"Jun 5, 18",109.7751,109.7751,1850959,1850959,111.6762
103,2.5262000000000002,0.044096508165396,2.252,114.6916,2018-06-06,114.7207,"Jun 6, 18",112.2819,113.205,2368054,2368054,114.1076
104,0.48581599999999997,0.048518994935715,0.424,115.1774,2018-06-07,115.4786,"Jun 7, 18",114.0697,114.6624,2256881,2256881,114.8932
105,0.538948,0.05342487826326801,0.468,115.7163,2018-06-08,115.9221,"Jun 8, 18",114.1681,114.7462,1837909,1837909,115.3633
106,-0.548744,0.04842978050519001,-0.47400000000000003,115.1676,2018-06-11,116.3239,"Jun 11, 18",114.5992,116.0985,1508377,1508377,115.2671
107,0.137186,0.049678782532542,0.11900000000000001,115.3048,2018-06-12,115.3636,"Jun 12, 18",114.3445,115.2362,989277,989277,114.9654
108,-2.097,0.030588715102819002,-1.819,113.2078,2018-06-13,115.2705,"Jun 13, 18",113.1,115.2362,2296854,2296854,113.6483
109,-1.3523,0.018278034041677,-1.194,111.8555,2018-06-14,113.6095,"Jun 14, 18",111.6008,113.6095,1490820,1490820,112.1546
110,1.1465,0.02871521206179,1.025,113.002,2018-06-15,115.4812,"Jun 15, 18",111.8947,114.9618,3493565,3493565,113.6888
111,-0.59774,0.023274042151087002,-0.529,112.4043,2018-06-18,113.2176,"Jun 18, 18",111.8457,111.8457,1637099,1637099,112.5144
112,-3.3905,-0.007591419756626001,-3.016,109.0138,2018-06-19,111.1304,"Jun 19, 18",108.1319,110.6992,2403376,2403376,108.9958
113,-1.2249,-0.018742313220941,-1.124,107.7889,2018-06-20,109.347,"Jun 20, 18",106.8482,109.347,2978317,2978317,107.9004
114,-1.9402,-0.036404949762261,-1.8,105.8487,2018-06-21,107.8771,"Jun 21, 18",105.4666,107.8379,2809961,2809961,106.1879
115,2.9397,-0.009643351658705,2.777,108.7884,2018-06-22,109.5038,"Jun 22, 18",107.1569,107.7399,2717253,2717253,108.8474
116,-3.3317,-0.039972616631936006,-3.063,105.4568,2018-06-25,108.6219,"Jun 25, 18",104.7611,108.5239,1814492,1814492,105.7297
117,0.6663319999999999,-0.033906945707557,0.632,106.1231,2018-06-26,106.6229,"Jun 26, 18",104.9962,105.8781,1896880,1896880,105.9661
118,0.725125,-0.027305988200026002,0.683,106.8482,2018-06-27,109.5038,"Jun 27, 18",106.2995,107.005,2279052,2279052,107.8381
119,0.30377000000000004,-0.024540340853745003,0.28400000000000003,107.152,2018-06-28,107.348,"Jun 28, 18",105.4764,106.7601,1619164,1619164,106.8341
120,0.48994899999999997,-0.020079619327487003,0.457,107.642,2018-06-29,109.8369,"Jun 29, 18",107.3872,107.7889,2156622,2156622,108.2896
