,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.477346,0.0,0.302,158.386,2018-01-08,159.5893,"Jan 8, 18",157.2026,157.6998,3143063,3143063,158.4748
1,0.22872499999999998,0.001443940752339,0.14400000000000002,158.6147,2018-01-09,159.2213,"Jan 9, 18",157.66,158.7639,2573864,2573864,158.5764
2,0.35800099999999996,0.0037042415364990002,0.226,158.9727,2018-01-10,159.0821,"Jan 10, 18",156.6954,158.3462,2416852,2416852,158.3341
3,1.0541,0.010359501471089001,0.663,160.0268,2018-01-11,160.2356,"Jan 11, 18",158.555,159.2114,2803968,2803968,159.4642
4,1.4022000000000001,0.019212556665361,0.876,161.429,2018-01-12,161.6179,"Jan 12, 18",159.3605,160.6036,3041005,3041005,160.972
5,-0.039777,0.01896127182958,-0.025,161.3892,2018-01-16,163.03,"Jan 16, 18",160.4146,162.7317,4673402,4673402,161.8821
6,2.0187,0.031706716502721,1.251,163.4079,2018-01-17,163.5869,"Jan 17, 18",161.9759,162.2146,3135967,3135967,162.9381
7,1.1536,0.038990188526763,0.706,164.5615,2018-01-18,165.0587,"Jan 18, 18",163.1991,163.9151,4150590,4150590,164.3901
8,1.3425,0.047466316467364,0.8160000000000001,165.904,2018-01-19,166.0233,"Jan 19, 18",164.2433,165.377,2947790,2947790,165.4829
9,1.442,0.05657065649741701,0.869,167.346,2018-01-22,167.3957,"Jan 22, 18",165.367,165.6554,2275936,2275936,166.6475
10,-1.0839,0.049726617251524004,-0.648,166.262,2018-01-23,168.0122,"Jan 23, 18",165.725,167.5647,3035266,3035266,166.6363
11,-0.179001,0.04859646685944401,-0.108,166.083,2018-01-24,167.167,"Jan 24, 18",165.0289,167.0078,3912415,3912415,166.3363
12,1.5712000000000002,0.058516535552384,0.9460000000000001,167.6542,2018-01-25,167.9924,"Jan 25, 18",166.2023,167.0775,2088934,2088934,167.4337
13,1.7403,0.069504249112926,1.038,169.3945,2018-01-26,169.4144,"Jan 26, 18",167.8531,168.0719,2191639,2191639,168.7631
14,-1.7801,0.058265882085537006,-1.051,167.6145,2018-01-29,169.8619,"Jan 29, 18",167.3559,169.1757,3082788,3082788,168.3839
15,-1.3525,0.049726617251524004,-0.807,166.262,2018-01-30,167.0675,"Jan 30, 18",165.377,166.4808,4227133,4227133,166.3698
16,1.8,0.06109125806573801,1.083,168.062,2018-01-31,168.7282,"Jan 31, 18",166.093,166.5802,5815258,5815258,167.822
17,3.9082,0.085766418749131,2.325,171.9702,2018-02-01,175.7341,"Feb 1, 18",170.0509,171.5525,6848449,6848449,172.271
18,-2.3668,0.07082317881630901,-1.376,169.6034,2018-02-02,176.1269,"Feb 2, 18",169.4741,170.9459,6556476,6556476,172.1641
19,-5.9269,0.033401942090841005,-3.495,163.6764,2018-02-05,171.0055,"Feb 5, 18",163.0997,166.441,7195970,7195970,167.0878
20,4.664,0.062848989178336,2.85,168.3404,2018-02-06,168.42,"Feb 6, 18",155.9297,159.6091,7259895,7259895,164.7452
21,-0.546947,0.059396032477617,-0.325,167.7935,2018-02-07,171.6519,"Feb 7, 18",166.5206,168.062,4364793,4364793,169.0958
22,-8.065,0.0084761279406,-4.806,159.7285,2018-02-08,168.3006,"Feb 8, 18",159.5694,167.8332,6557705,6557705,163.5788
23,4.5546,0.037232457414165004,2.851,164.2831,2018-02-09,165.5659,"Feb 9, 18",157.6849,160.7727,6302992,6302992,161.9798
24,2.9734,0.056005581301377005,1.81,167.2565,2018-02-12,167.883,"Feb 12, 18",164.6609,165.8742,5227367,5227367,166.9085
25,1.9193,0.06812281388506501,1.148,169.1757,2018-02-13,169.8221,"Feb 13, 18",166.083,166.4012,3471021,3471021,168.5649
26,2.3867000000000003,0.083191696235778,1.411,171.5624,2018-02-14,171.7017,"Feb 14, 18",168.062,168.42,4203662,4203662,170.6225
27,2.158,0.09681663783415201,1.258,173.7204,2018-02-15,173.7303,"Feb 15, 18",170.4089,172.9845,3915012,3915012,172.3263
28,0.954672,0.10284431704822301,0.55,174.6751,2018-02-16,175.6894,"Feb 16, 18",173.1734,173.3823,4213141,4213141,174.7089
29,-0.29833699999999996,0.10096031214880101,-0.171,174.3767,2018-02-20,175.4507,"Feb 20, 18",173.074,173.9093,3750105,3750105,174.2464
30,-3.0132,0.081935903425807,-1.728,171.3635,2018-02-21,175.3712,"Feb 21, 18",171.3238,174.3767,5999480,5999480,173.4024
31,0.6265029999999999,0.085891429798088,0.366,171.99,2018-02-22,172.8652,"Feb 22, 18",169.852,172.3779,5605771,5605771,171.1624
32,2.7944,0.10353440329322001,1.625,174.7844,2018-02-23,174.8043,"Feb 23, 18",171.5326,172.9348,3093816,3093816,173.585
33,2.0983,0.116782417637922,1.201,176.8827,2018-02-26,177.1512,"Feb 26, 18",175.0828,175.5203,4088074,4088074,176.5796
34,-1.9292,0.10460204816082201,-1.091,174.9535,2018-02-27,178.1755,"Feb 27, 18",174.9535,176.7336,3815927,3815927,176.4924
35,-0.16905699999999999,0.10353440329322001,-0.097,174.7844,2018-02-28,177.9766,"Feb 28, 18",174.7745,175.3115,4145673,4145673,176.1072
36,-2.2574,0.089281880974328,-1.292,172.527,2018-03-01,176.3656,"Mar 1, 18",171.1955,175.3712,4658478,4658478,173.455
37,1.5215,0.09888879067594301,0.882,174.0486,2018-03-02,174.3568,"Mar 2, 18",168.3308,170.6078,4190095,4190095,171.8869
38,3.4905,0.120926723321505,2.005,177.5391,2018-03-05,178.275,"Mar 5, 18",171.9503,173.1635,4826505,4826505,176.2326
39,-0.9944500000000001,0.11464775927165201,-0.56,176.5446,2018-03-06,179.0904,"Mar 6, 18",175.9678,178.1855,3820901,3820901,177.0509
40,1.6707,0.125196040054045,0.9460000000000001,178.2153,2018-03-07,178.7125,"Mar 7, 18",174.5756,174.7844,2766055,2766055,177.024
41,0.039778999999999995,0.12544732488982602,0.022,178.2551,2018-03-08,178.8915,"Mar 8, 18",176.5745,178.3545,2235312,2235312,177.8918
42,3.9679,0.150498781457957,2.226,182.2229,2018-03-09,182.3124,"Mar 9, 18",178.9711,179.2495,4168940,4168940,181.4052
43,-0.696114,0.146103822307527,-0.382,181.5268,2018-03-12,182.5014,"Mar 12, 18",180.6915,181.8152,3588990,3588990,181.4421
44,-1.5215,0.136497543974846,-0.838,180.0053,2018-03-13,182.7102,"Mar 13, 18",179.1501,182.4517,3286588,3286588,180.4583
45,-0.885061,0.130909297538924,-0.492,179.1202,2018-03-14,180.9898,"Mar 14, 18",178.623,180.9799,2820698,2820698,179.4576
46,0.8253929999999999,0.136120616721174,0.461,179.9456,2018-03-15,181.1589,"Mar 15, 18",179.0208,179.5677,2258178,2258178,180.1634
47,1.5911,0.146166959200939,0.884,181.5368,2018-03-16,182.1533,"Mar 16, 18",180.0053,180.0053,4604968,4604968,181.3582
48,-1.9591,0.13379781041253602,-1.079,179.5777,2018-03-19,181.2881,"Mar 19, 18",178.1169,180.781,3770039,3770039,179.5343
49,1.9193,0.145915674365158,1.069,181.497,2018-03-20,182.2329,"Mar 20, 18",180.2141,180.3036,2859315,2859315,181.4995
50,-1.7502,0.13486482391120402,-0.964,179.7467,2018-03-21,182.4815,"Mar 21, 18",179.7368,181.9445,3238416,3238416,181.0029
51,-5.201,0.102027957016403,-2.893,174.5458,2018-03-22,179.2595,"Mar 22, 18",174.1381,178.2054,4387283,4387283,176.3171
52,-3.6695,0.07885987397876,-2.102,170.8763,2018-03-23,176.8032,"Mar 23, 18",170.7072,175.2021,4324061,4324061,173.1335
53,5.3104,0.11238745848749201,3.108,176.1866,2018-03-26,176.485,"Mar 26, 18",172.0994,174.3568,5470147,5470147,174.6597
54,-4.6242,0.083191696235778,-2.625,171.5624,2018-03-27,177.5092,"Mar 27, 18",170.021,177.37,5069105,5069105,173.659
55,-2.158,0.06956738600633901,-1.258,169.4045,2018-03-28,171.9702,"Mar 28, 18",167.6145,171.2939,5166602,5166602,169.7869
56,4.7833,0.09976765623224201,2.824,174.1878,2018-03-29,175.6794,"Mar 29, 18",169.8719,170.7669,3719229,3719229,173.204
57,-3.5402,0.077415301857487,-2.032,170.6475,2018-04-02,174.7944,"Apr 2, 18",168.1017,173.6707,4222361,4222361,170.3465
58,0.8651700000000001,0.082877905875519,0.507,171.5127,2018-04-03,171.9304,"Apr 3, 18",168.8675,171.4033,3612644,3612644,170.581
59,1.2132,0.09053767378429901,0.707,172.7259,2018-04-04,173.0442,"Apr 4, 18",167.0078,168.241,4628330,4628330,170.0311
60,2.0983,0.103785688129001,1.215,174.8242,2018-04-05,176.4551,"Apr 5, 18",173.5662,174.1579,3434123,3434123,175.1477
61,-5.8258,0.06700339676486501,-3.332,168.9984,2018-04-06,174.4259,"Apr 6, 18",168.2615,172.6532,5005487,5005487,170.6867
62,0.637354,0.071027110982031,0.377,169.6357,2018-04-09,173.3702,"Apr 9, 18",169.4366,170.5619,3910687,3910687,171.487
63,4.3619,0.09856679251954001,2.571,173.9976,2018-04-10,174.7246,"Apr 10, 18",171.3088,172.4242,3461490,3461490,173.4798
64,-2.3502,0.08372835982978301,-1.351,171.6474,2018-04-11,174.874,"Apr 11, 18",171.4084,172.9819,2783033,2783033,173.0255
65,2.4299,0.09906999356003601,1.416,174.0773,2018-04-12,175.7504,"Apr 12, 18",172.4441,172.6134,3065620,3065620,174.5848
66,-0.5278079999999999,0.09573762832573501,-0.303,173.5495,2018-04-13,175.3719,"Apr 13, 18",171.986,175.2723,3059947,3059947,173.3766
67,-0.398348,0.09322288586112401,-0.23,173.1512,2018-04-16,175.3719,"Apr 16, 18",172.2549,174.8939,4668552,4668552,173.3152
68,4.4515,0.12132827396360701,2.571,177.6027,2018-04-17,178.4492,"Apr 17, 18",173.9478,175.0433,4210184,4210184,176.7331
69,1.1154,0.128369931685881,0.628,178.718,2018-04-18,179.0566,"Apr 18, 18",176.3379,177.762,3150576,3150576,178.2296
