,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.31742699999999996,0.0,0.343,92.8039,2018-01-08,93.2752,"Jan 8, 18",92.4095,92.4961,556563,556563,92.8135
1,-1.4140000000000001,-0.015236428641468002,-1.524,91.3899,2018-01-09,93.179,"Jan 9, 18",91.2264,92.7173,643914,643914,91.6484
2,-1.0581,-0.026637889140434003,-1.158,90.3318,2018-01-10,91.0821,"Jan 10, 18",89.8326,90.8993,700039,700039,90.3374
3,-0.8913169999999999,-0.036242011380987,-0.987,89.4405,2018-01-11,91.1502,"Jan 11, 18",89.3531,90.7131,605281,605281,89.7292
4,-0.72858,-0.04409297454094,-0.8150000000000001,88.7119,2018-01-12,89.6542,"Jan 12, 18",88.2845,89.3725,856951,856951,88.773
5,0.854866,-0.034881077196109,0.964,89.5668,2018-01-16,90.9657,"Jan 16, 18",89.0131,89.0131,885673,885673,89.9617
6,0.650866,-0.027868440873713003,0.727,90.2176,2018-01-17,90.5479,"Jan 17, 18",89.4502,90.0914,878531,878531,90.2117
7,-1.292,-0.041790269589963,-1.432,88.9256,2018-01-18,89.9651,"Jan 18, 18",88.5273,89.8291,672899,672899,88.9136
8,0.9520109999999999,-0.031532080009568,1.071,89.8776,2018-01-19,90.6839,"Jan 19, 18",89.1986,89.7902,711723,711723,89.8385
9,0.7091529999999999,-0.023890159788543003,0.789,90.5868,2018-01-22,90.5868,"Jan 22, 18",89.5959,89.8582,564551,564551,90.3428
10,1.7000000000000002,-0.005571964109266,1.877,92.2868,2018-01-23,92.3597,"Jan 23, 18",90.4314,90.7325,697316,697316,91.866
11,-0.378862,-0.009654766663900001,-0.41100000000000003,91.9079,2018-01-24,92.4617,"Jan 24, 18",91.5971,92.1411,781824,781824,91.9538
12,-0.106858,-0.010805580368928001,-0.116,91.8011,2018-01-25,91.9177,"Jan 25, 18",91.1211,91.9177,580839,580839,91.5017
13,0.009715,-0.010701058899464001,0.011,91.8108,2018-01-26,92.111,"Jan 26, 18",90.6742,92.0634,555161,555161,91.4177
14,-1.224,-0.023890159788543003,-1.333,90.5868,2018-01-29,91.6709,"Jan 29, 18",90.4119,91.5388,580826,580826,90.7909
15,-0.281719,-0.026925592566691,-0.311,90.3051,2018-01-30,91.0145,"Jan 30, 18",90.1302,90.3439,705849,705849,90.5071
16,2.3412,-0.001699282034483,2.593,92.6462,2018-01-31,92.6754,"Jan 31, 18",89.9456,90.1691,1157531,1157531,91.8053
17,-3.5166,-0.039592086108450004,-3.7960000000000003,89.1296,2018-02-01,92.2868,"Feb 1, 18",88.5079,91.8011,1467307,1467307,89.4483
18,-0.058288,-0.04022029246615701,-0.065,89.0713,2018-02-02,89.4988,"Feb 2, 18",87.4782,88.3622,875143,875143,88.7799
19,-2.7103,-0.069424884083535,-3.043,86.361,2018-02-05,90.8199,"Feb 5, 18",86.361,89.1102,1021765,1021765,88.0953
20,0.28171599999999997,-0.06638945130538601,0.326,86.6427,2018-02-06,87.3422,"Feb 6, 18",84.4667,85.3799,1072824,1072824,86.1213
21,-1.224,-0.07957855219446501,-1.413,85.4187,2018-02-07,87.6239,"Feb 7, 18",85.341,86.2639,845852,845852,86.3127
22,-2.4675000000000002,-0.10616579691155201,-2.8890000000000002,82.9513,2018-02-08,86.9147,"Feb 8, 18",82.8638,85.0399,982728,982728,84.6154
23,2.2926,-0.081462093726664,2.7640000000000002,85.2439,2018-02-09,85.9919,"Feb 9, 18",83.301,83.301,1500921,1500921,84.4362
24,-0.009714,-0.08156661519612801,-0.011,85.2342,2018-02-12,86.1862,"Feb 12, 18",83.1941,85.7976,1060599,1060599,84.7757
25,0.24286000000000002,-0.078950345836758,0.28500000000000003,85.477,2018-02-13,85.817,"Feb 13, 18",84.6999,85.3216,769873,769873,85.3366
26,-0.13600099999999998,-0.080415801491101,-0.159,85.341,2018-02-14,85.3993,"Feb 14, 18",83.7576,84.729,751818,751818,84.8504
27,1.0977000000000001,-0.06858763478690001,1.286,86.4387,2018-02-15,86.6039,"Feb 15, 18",85.1273,85.5742,645741,645741,86.1691
28,-0.223432,-0.07099486120734101,-0.258,86.2153,2018-02-16,87.313,"Feb 16, 18",85.8073,86.4096,1765579,1765579,86.2694
29,-0.48572000000000004,-0.07622847746700201,-0.5630000000000001,85.7296,2018-02-20,87.1576,"Feb 20, 18",84.5444,85.749,831244,831244,86.1863
30,-2.6617,-0.10491046173706,-3.105,83.0678,2018-02-21,86.0016,"Feb 21, 18",83.0387,85.545,875438,875438,83.8555
31,0.388577,-0.10072313771296201,0.468,83.4564,2018-02-22,84.2724,"Feb 22, 18",82.8736,83.2621,846838,846838,83.58
32,2.0789,-0.078322139479051,2.491,85.5353,2018-02-23,85.5936,"Feb 23, 18",83.505,83.9713,513086,513086,85.0217
33,-0.27200399999999997,-0.08125305078773601,-0.318,85.2633,2018-02-26,85.9433,"Feb 26, 18",84.7873,85.817,610929,610929,85.1821
34,-2.1177,-0.10407213489950301,-2.484,83.1456,2018-02-27,85.7393,"Feb 27, 18",83.1213,85.3604,699464,699464,83.6719
35,0.223431,-0.10166490847906101,0.269,83.369,2018-02-28,84.9816,"Feb 28, 18",83.3593,83.6216,1053245,1053245,84.0435
36,0.08743000000000001,-0.10072313771296201,0.105,83.4564,2018-03-01,84.5639,"Mar 1, 18",82.8347,83.0678,968680,968680,83.6481
37,-0.223433,-0.10313036413340301,-0.268,83.233,2018-03-02,83.6313,"Mar 2, 18",82.7278,82.9804,836307,836307,83.0855
38,1.0394,-0.091930403786909,1.249,84.2724,2018-03-05,84.9427,"Mar 5, 18",82.9901,83.1358,913341,913341,84.4232
39,-0.514863,-0.097477584454963,-0.611,83.7576,2018-03-06,84.3793,"Mar 6, 18",83.3593,84.2044,867851,867851,83.7506
40,0.46629099999999996,-0.09245301113423,0.557,84.2239,2018-03-07,84.8067,"Mar 7, 18",83.5439,83.573,1502958,1502958,84.1566
41,0.320575,-0.088999492478225,0.381,84.5444,2018-03-08,84.9816,"Mar 8, 18",84.0101,84.4376,1072888,1072888,84.5086
42,2.2635,-0.06460935370173,2.677,86.8079,2018-03-09,86.8176,"Mar 9, 18",84.185,84.8164,1060768,1060768,85.6963
43,-0.019429,-0.064818396640658,-0.022,86.7885,2018-03-12,87.1965,"Mar 12, 18",86.2445,86.6136,680558,680558,86.7341
44,0.12628699999999998,-0.06345853999670201,0.146,86.9147,2018-03-13,87.8085,"Mar 13, 18",86.6622,87.2645,616711,616711,87.0625
45,0.884011,-0.05393200070255601,1.017,87.7988,2018-03-14,87.9153,"Mar 14, 18",86.3707,87.0896,855802,855802,87.6061
46,0.45657699999999996,-0.049013026392209,0.52,88.2553,2018-03-15,88.7411,"Mar 15, 18",87.7016,87.9736,889676,889676,88.1479
47,1.02,-0.038022108984643005,1.156,89.2753,2018-03-16,89.4211,"Mar 16, 18",88.2262,88.5273,1075932,1075932,88.9592
48,-0.8451529999999999,-0.047128407319088,-0.9470000000000001,88.4302,2018-03-19,89.0811,"Mar 19, 18",87.6822,89.0811,633023,633023,88.2288
49,-1.1463,-0.059480258911532004,-1.296,87.2839,2018-03-20,89.1491,"Mar 20, 18",86.8953,88.5079,745925,745925,87.4449
50,-0.369148,-0.06345853999670201,-0.423,86.9147,2018-03-21,87.993,"Mar 21, 18",86.4776,87.3228,525027,525027,86.9721
51,-1.2726,-0.077170248233102,-1.464,85.6422,2018-03-22,87.9736,"Mar 22, 18",85.613,86.565,742631,742631,86.7986
52,-1.292,-0.09109315449027401,-1.509,84.3501,2018-03-23,85.8462,"Mar 23, 18",84.1364,85.613,803232,803232,84.9564
