,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.9167,0.0,1.443,134.7059,2018-01-08,134.9431,"Jan 8, 18",132.5027,132.5027,3275513,3275513,134.184
1,1.3536000000000001,0.01004855763556,1.005,136.0595,2018-01-09,136.6425,"Jan 9, 18",134.37,134.8838,3071480,3071480,135.897
2,-0.009880000000000002,0.009975064195406001,-0.007,136.0496,2018-01-10,136.1386,"Jan 10, 18",134.8739,135.2691,1143450,1143450,135.7123
3,1.7093,0.02266418917063,1.256,137.7589,2018-01-11,137.8676,"Jan 11, 18",135.0073,135.0073,1408743,1408743,136.8949
4,0.345806,0.025231263070140002,0.251,138.1047,2018-01-12,138.574,"Jan 12, 18",136.8697,138.4308,1806773,1806773,137.7827
5,-0.6520900000000001,0.020390346673753,-0.47200000000000003,137.4526,2018-01-16,139.6954,"Jan 16, 18",136.6919,139.6658,2531764,2531764,138.1613
6,2.8455,0.04151414303308101,2.07,140.2981,2018-01-17,140.9304,"Jan 17, 18",138.164,138.5296,2436092,2436092,140.3067
7,-0.859572,0.035132833825392,-0.613,139.4385,2018-01-18,140.9798,"Jan 18, 18",139.1817,139.9523,1691377,1691377,139.702
8,2.9048,0.056696848467661,2.083,142.3433,2018-01-19,142.3433,"Jan 19, 18",139.7448,139.9227,3267115,3267115,141.1283
9,-0.256883,0.054789730813572,-0.18,142.0864,2018-01-22,142.5607,"Jan 22, 18",140.3623,142.5211,2153912,2153912,141.6201
10,1.9661,0.06938597344288501,1.384,144.0526,2018-01-23,144.675,"Jan 23, 18",141.3256,141.8197,1540317,1540317,143.8066
11,-1.3931,0.059044184404691,-0.967,142.6595,2018-01-24,144.9319,"Jan 24, 18",142.1062,144.3687,3736604,3736604,143.1727
12,1.0967,0.067185624386162,0.769,143.7562,2018-01-25,144.3045,"Jan 25, 18",142.2593,142.7879,1198080,1198080,143.5844
