,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.207636,0.0,0.47200000000000003,44.1668,2018-01-08,45.0369,"Jan 8, 18",43.9987,43.9987,3283404,3283404,44.3866
1,0.751436,0.017012778829346,1.701,44.9182,2018-01-09,45.027,"Jan 9, 18",44.1964,44.1964,3414023,3414023,44.8339
2,-0.711888,0.0008943369227560001,-1.585,44.2063,2018-01-10,45.0171,"Jan 10, 18",44.1865,44.7996,2127325,2127325,44.389
3,1.1149,0.02613727958557,2.5220000000000002,45.3212,2018-01-11,45.3411,"Jan 11, 18",44.127,44.3996,3133856,3133856,44.8784
4,0.029733,0.026811994529827,0.066,45.351,2018-01-12,45.5987,"Jan 12, 18",45.128,45.4005,2603508,2603508,45.4152
5,-0.515353,0.015142595795937,-1.1360000000000001,44.8356,2018-01-16,45.7474,"Jan 16, 18",44.6176,45.7177,3090188,3090188,45.0592
6,0.584727,0.028381046396840002,1.304,45.4203,2018-01-17,45.5294,"Jan 17, 18",44.7514,45.1429,2389681,2389681,45.2593
7,0.43606599999999995,0.038254978852893,0.96,45.8564,2018-01-18,46.0299,"Jan 18, 18",45.3131,45.3906,2608820,2608820,45.8596
8,-0.36669199999999996,0.029952362407962,-0.8,45.4897,2018-01-19,46.015,"Jan 19, 18",45.3212,46.015,2775351,2775351,45.5796
9,-0.029731999999999998,0.029279911607813004,-0.065,45.46,2018-01-22,45.797,"Jan 22, 18",45.2618,45.5888,2301044,2301044,45.4036
10,-0.406335,0.020080694096017003,-0.894,45.0537,2018-01-23,45.232,"Jan 23, 18",44.7762,45.0239,3528805,3528805,45.0215
11,0.445978,0.030176512674678004,0.99,45.4996,2018-01-24,45.6978,"Jan 24, 18",45.2221,45.4402,2134801,2134801,45.4866
12,-0.47571,0.01940597915176,-1.046,45.0239,2018-01-25,45.7524,"Jan 25, 18",44.8554,45.6186,3116009,3116009,45.1493
13,-0.099105,0.01716221234049,-0.22,44.9248,2018-01-26,45.2618,"Jan 26, 18",44.8455,45.242,3431169,3431169,44.9973
14,-0.683833,0.001679994928317,-1.522,44.241,2018-01-29,44.7861,"Jan 29, 18",44.1815,44.7662,2633106,2633106,44.4231
15,-0.11892799999999999,-0.001012072416385,-0.269,44.1221,2018-01-30,44.3599,"Jan 30, 18",43.6563,43.9833,2694845,2694845,44.1509
16,0.13874799999999998,0.0021282954617490002,0.314,44.2608,2018-01-31,44.682,"Jan 31, 18",44.1716,44.4194,3643128,3643128,44.3461
17,-0.584726,-0.011110155139154,-1.321,43.6761,2018-02-01,44.3401,"Feb 1, 18",43.4977,43.9833,2177520,2177520,43.8137
18,-1.1595,-0.037365170218354005,-2.6550000000000002,42.5165,2018-02-02,43.3788,"Feb 2, 18",42.3877,43.349,3942852,3942852,42.9092
19,-1.6055000000000001,-0.073716003876214,-3.776,40.911,2018-02-05,42.4868,"Feb 5, 18",40.6633,42.2985,4493583,4493583,41.6138
20,1.0505,-0.049931170019109,2.568,41.9615,2018-02-06,42.249,"Feb 6, 18",39.8109,40.1132,4626940,4626940,41.4621
21,0.346871,-0.04207685410761,0.8270000000000001,42.3084,2018-02-07,42.9229,"Feb 7, 18",41.694,41.7633,4555425,4555425,42.5439
22,-1.9722,-0.08673030421040201,-4.662,40.3362,2018-02-08,43.349,"Feb 8, 18",40.2173,41.5255,6658627,6658627,41.2732
23,1.4172,-0.054642853908365006,3.5140000000000002,41.7534,2018-02-09,42.1944,"Feb 9, 18",39.9497,41.0002,5990423,5990423,41.154
24,0.981151,-0.032427071918273,2.35,42.7346,2018-02-12,43.0814,"Feb 12, 18",41.9516,42.0408,4981055,4981055,42.6095
25,-0.356782,-0.040505538096488006,-0.835,42.3778,2018-02-13,42.6652,"Feb 13, 18",41.9318,42.5463,4258104,4258104,42.3389
26,0.178391,-0.036466305007381,0.421,42.5562,2018-02-14,42.6949,"Feb 14, 18",41.8129,41.9318,2892508,2892508,42.3573
27,-0.109016,-0.038934222085367,-0.256,42.4472,2018-02-15,43.0616,"Feb 15, 18",42.1895,43.0616,2860644,2860644,42.4225
28,0.376602,-0.030407455373719004,0.887,42.8238,2018-02-16,43.2995,"Feb 16, 18",42.4273,42.4571,2767559,2767559,42.9031
29,-0.683833,-0.045891936930001,-1.597,42.1399,2018-02-20,42.9031,"Feb 20, 18",41.9516,42.6751,2000632,2000632,42.3513
