,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.117035,0.0,-0.069,169.634,2018-01-08,169.907,"Jan 8, 18",168.6586,169.4486,2060827,2060827,169.3785
1,-0.38036699999999996,-0.0022424749755350004,-0.224,169.2536,2018-01-09,169.9265,"Jan 9, 18",168.7367,169.9265,2674280,2674280,169.1948
2,-0.029259,-0.002415199783062,-0.017,169.2243,2018-01-10,169.7022,"Jan 10, 18",168.21,169.2146,2173176,2173176,169.2164
3,-0.117036,-0.0031049200042440003,-0.069,169.1073,2018-01-11,170.2386,"Jan 11, 18",167.8492,169.2731,3077963,3077963,168.98930000000001
4,0.175553,-0.0020703396724710004,0.10400000000000001,169.2828,2018-01-12,169.4974,"Jan 12, 18",168.6099,169.078,2901615,2901615,169.1698
5,0.10728399999999999,-0.001437801384156,0.063,169.3901,2018-01-16,170.1021,"Jan 16, 18",168.6099,169.3316,3662624,3662624,169.3075
6,1.2679,0.006036525696499001,0.749,170.658,2018-01-17,171.3505,"Jan 17, 18",169.5852,170.0436,4129573,4129573,170.547
7,-0.399873,0.003679097350767,-0.234,170.2581,2018-01-18,171.1115,"Jan 18, 18",169.6047,170.8628,2154754,2154754,170.3234
8,1.5117,0.012591225815579001,0.888,171.7699,2018-01-19,172.277,"Jan 19, 18",170.0728,170.6678,3746267,3746267,171.4127
9,0.087777,0.013108221229234001,0.051000000000000004,171.8576,2018-01-22,172.4623,"Jan 22, 18",171.2676,171.6236,3217879,3217879,171.6842
10,0.58518,0.01655800134407,0.341,172.4428,2018-01-23,173.3596,"Jan 23, 18",170.5312,171.2334,3197644,3197644,172.3918
11,-0.6729569999999999,0.012591225815579001,-0.39,171.7699,2018-01-24,172.9207,"Jan 24, 18",170.9213,172.9207,2810819,2810819,171.9347
12,-0.448638,0.009946119292123001,-0.261,171.3212,2018-01-25,172.2575,"Jan 25, 18",170.3459,172.0429,2815838,2815838,171.2872
13,2.6333,0.025469540304420002,1.537,173.9545,2018-01-26,173.9935,"Jan 26, 18",170.6874,171.331,3957724,3957724,172.8159
14,-0.575429,0.022077531626914,-0.331,173.3791,2018-01-29,174.2861,"Jan 29, 18",172.8622,173.896,6091905,6091905,173.6186
15,-5.1593,-0.008336772109364001,-2.976,168.2198,2018-01-30,173.2816,"Jan 30, 18",166.63,172.7257,9612974,9612974,169.076
16,-1.3069,-0.016041005930414,-0.777,166.9129,2018-01-31,169.9899,"Jan 31, 18",166.0644,169.3121,7004176,7004176,167.3695
17,0.7412289999999999,-0.011671598854003,0.444,167.6541,2018-02-01,169.2536,"Feb 1, 18",164.7228,166.0644,4751328,4751328,167.6355
18,-2.4578,-0.026160439534527003,-1.466,165.1963,2018-02-02,168.4635,"Feb 2, 18",164.816,166.5813,4604454,4604454,166.2728
19,-5.3934,-0.057954773217633,-3.265,159.8029,2018-02-05,165.2695,"Feb 5, 18",150.0597,164.4454,7309275,7309275,161.3156
20,1.2972000000000001,-0.05030772132945,0.812,161.1001,2018-02-06,161.9486,"Feb 6, 18",154.3412,154.4388,7019960,7019960,159.2262
21,0.5169079999999999,-0.047260572762535,0.321,161.617,2018-02-07,164.104,"Feb 7, 18",160.4564,160.788,4974029,4974029,162.3718
22,-6.5735,-0.086011648608179,-4.067,155.0435,2018-02-08,161.6393,"Feb 8, 18",154.8386,161.5975,5655988,5655988,158.2549
23,1.7848000000000002,-0.075490172960609,1.151,156.8283,2018-02-09,157.9791,"Feb 9, 18",151.3958,156.0285,7187079,7187079,154.9009
24,3.0234,-0.057667095039909,1.928,159.8517,2018-02-12,161.7925,"Feb 12, 18",157.511,158.3595,5255925,5255925,159.5984
25,-1.4629,-0.066291545326998,-0.915,158.3887,2018-02-13,159.7834,"Feb 13, 18",157.7255,158.9739,5405988,5405988,158.5739
26,-2.3505000000000003,-0.080147258214744,-1.484,156.0383,2018-02-14,158.0181,"Feb 14, 18",155.7359,157.4525,5865565,5865565,156.6952
27,0.7704869999999999,-0.075605126330806,0.494,156.8088,2018-02-15,157.5305,"Feb 15, 18",154.8874,157.1599,5012104,5012104,156.2109
28,-2.9161,-0.09279625546765301,-1.8599999999999999,153.8926,2018-02-16,155.9505,"Feb 16, 18",153.8633,155.5311,7165793,7165793,154.6625
29,-0.614439,-0.096418170885553,-0.399,153.2782,2018-02-20,155.2288,"Feb 20, 18",152.415,153.1221,5211141,5211141,153.455
30,1.4434,-0.08790926347312401,0.9420000000000001,154.7216,2018-02-21,157.3354,"Feb 21, 18",153.7073,153.8633,7833396,7833396,155.5571
31,1.9701,-0.07629543605645,1.2730000000000001,156.6917,2018-02-22,157.4134,"Feb 22, 18",154.9752,155.024,4398165,4398165,156.4012
32,2.3407,-0.06249690510157101,1.494,159.0324,2018-02-23,159.2763,"Feb 23, 18",157.4525,157.4525,4272364,4272364,158.5596
33,0.507157,-0.05950693846752401,0.319,159.5396,2018-02-26,160.6807,"Feb 26, 18",158.2912,159.9492,4525196,4525196,159.2648
34,-2.8479,-0.07629543605645,-1.7850000000000001,156.6917,2018-02-27,160.4369,"Feb 27, 18",156.6722,160.1345,4907530,4907530,157.9269
35,-1.8745,-0.087345697206927,-1.196,154.8172,2018-02-28,158.2229,"Feb 28, 18",154.7975,157.4573,6116820,6116820,156.4035
36,-2.0022,-0.09914875555607901,-1.293,152.815,2018-03-01,157.4573,"Mar 1, 18",152.3341,154.8761,5608962,5608962,154.3228
37,-7.2923,-0.14213777898298602,-4.772,145.5226,2018-03-02,147.6623,"Mar 2, 18",144.1191,146.1508,11754262,11754262,145.6276
38,2.7089,-0.126168692597002,1.861,148.2315,2018-03-05,148.6732,"Mar 5, 18",145.1791,145.5325,6397841,6397841,147.6403
39,0.166851,-0.12518480964900802,0.113,148.3984,2018-03-06,148.8989,"Mar 6, 18",147.3482,148.4474,5015408,5015408,148.0605
40,1.1581000000000001,-0.118357758468231,0.78,149.5565,2018-03-07,149.9098,"Mar 7, 18",146.9065,147.0832,4492049,4492049,148.7298
41,2.0218,-0.10643915724442,1.3519999999999999,151.5783,2018-03-08,151.7452,"Mar 8, 18",149.8215,149.9,4291386,4291386,151.0831
42,2.7481,-0.090238985109117,1.8130000000000002,154.3264,2018-03-09,154.8074,"Mar 9, 18",151.9709,152.7365,5076480,5076480,153.7368
43,0.490735,-0.087345697206927,0.318,154.8172,2018-03-12,156.4955,"Mar 12, 18",154.5865,154.8172,4461502,4461502,155.2472
44,0.47110599999999997,-0.08456854168386001,0.304,155.2883,2018-03-13,156.9273,"Mar 13, 18",155.2785,155.622,4333091,4333091,155.8968
45,0.01963,-0.0844529988092,0.013000000000000001,155.3079,2018-03-14,156.5544,"Mar 14, 18",154.3264,156.0538,3878961,3878961,155.3509
46,3.3076,-0.064954549205937,2.13,158.6155,2018-03-15,159.1455,"Mar 15, 18",155.6514,155.7692,5925708,5925708,158.1254
47,0.736103,-0.060615206857115,0.464,159.3516,2018-03-16,160.2055,"Mar 16, 18",158.586,158.8805,14293754,14293754,159.3178
48,-3.2879,-0.07999811358571901,-2.063,156.0636,2018-03-19,159.3516,"Mar 19, 18",155.2785,158.9982,4307627,4307627,156.7576
49,0.36314399999999997,-0.07785703337774201,0.233,156.4268,2018-03-20,157.6929,"Mar 20, 18",156.2992,156.7899,3105129,3105129,156.8922
50,-0.7066589999999999,-0.08202306141457401,-0.452,155.7201,2018-03-21,157.4377,"Mar 21, 18",155.357,157.0353,3871947,3871947,156.2301
51,-1.5899999999999999,-0.0913961823691,-1.021,154.1301,2018-03-22,156.1716,"Mar 22, 18",153.9437,154.9251,3669437,3669437,154.8109
52,-2.0218,-0.103314783592911,-1.312,152.1083,2018-03-23,155.1509,"Mar 23, 18",152.0494,154.67,3447383,3447383,153.4925
53,2.9739,-0.085783510381173,1.955,155.0822,2018-03-26,155.2687,"Mar 26, 18",153.3155,153.3155,3476951,3476951,154.4738
54,-0.5201800000000001,-0.08885011259535201,-0.335,154.562,2018-03-27,156.8051,"Mar 27, 18",153.5707,155.5631,3519139,3519139,155.0745
55,0.9127679999999999,-0.083469115861207,0.591,155.4748,2018-03-28,156.7997,"Mar 28, 18",154.8957,154.9153,3913249,3913249,155.8383
56,-1.9924,-0.095214402773028,-1.2810000000000001,153.4824,2018-03-29,156.8685,"Mar 29, 18",153.4824,156.0538,5289487,5289487,155.0184
57,1.3152,-0.087461829586049,0.857,154.7975,2018-04-02,157.1923,"Apr 2, 18",152.3733,155.3374,6960137,6960137,154.6379
58,2.6303,-0.071955504203166,1.699,157.4279,2018-04-03,157.5555,"Apr 3, 18",154.3853,155.0527,4719350,4719350,156.509
59,1.3054000000000001,-0.064260702453517,0.8290000000000001,158.7332,2018-04-04,159.1455,"Apr 4, 18",154.9546,155.5631,4888038,4888038,157.506
60,2.1789,-0.051415989719042,1.373,160.9121,2018-04-05,161.5123,"Apr 5, 18",158.7529,159.3908,4503889,4503889,160.747
61,-2.65,-0.067037857976584,-1.647,158.2621,2018-04-06,160.7453,"Apr 6, 18",157.9284,159.4105,4321878,4321878,159.0192
62,-0.019629,-0.06715340085124401,-0.012,158.2425,2018-04-09,160.5392,"Apr 9, 18",158.0757,159.2142,3581531,3581531,159.2384
63,1.5115,-0.05824304089981901,0.9550000000000001,159.754,2018-04-10,160.9251,"Apr 10, 18",159.0473,159.8129,3926051,3926051,159.8445
