,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.353719,0.0,0.39,91.0039,2018-01-08,91.2495,"Jan 8, 18",89.7462,90.3357,1084335,1084335,90.7745
1,-0.108082,-0.0011878611795750002,-0.11900000000000001,90.8958,2018-01-09,91.4067,"Jan 9, 18",90.0803,91.112,2223308,2223308,91.0206
2,-1.5328,-0.018031095370637,-1.686,89.363,2018-01-10,90.6515,"Jan 10, 18",88.5082,90.3456,1992156,1992156,89.2319
3,1.1398,-0.005506357419846001,1.275,90.5028,2018-01-11,90.7288,"Jan 11, 18",89.137,89.589,1077574,1077574,90.3294
4,1.3068,0.008853466719558,1.444,91.8096,2018-01-12,92.0159,"Jan 12, 18",90.1884,90.7189,1271338,1271338,91.5317
5,-0.10808000000000001,0.007665605539982001,-0.11800000000000001,91.7015,2018-01-16,92.7233,"Jan 16, 18",91.0579,92.3893,1758472,1758472,91.8301
6,2.6431,0.036709415750313,2.882,94.3446,2018-01-17,94.6934,"Jan 17, 18",92.2812,92.7332,2853273,2853273,93.7696
7,1.2478,0.050420916026675006,1.323,95.5924,2018-01-18,95.897,"Jan 18, 18",94.1972,94.3446,2416573,2416573,95.4751
8,0.157209,0.052148314522784005,0.164,95.7496,2018-01-19,96.4276,"Jan 19, 18",95.2485,96.1426,3764861,3764861,95.7344
9,1.2184,0.06553675172162901,1.272,96.968,2018-01-22,96.9876,"Jan 22, 18",95.5334,95.9068,1747824,1747824,96.4171
10,-0.167034,0.06370056667901,-0.17200000000000001,96.8009,2018-01-23,97.4396,"Jan 23, 18",96.3588,96.968,1630974,1630974,96.793
11,-3.1049,0.029583347526864003,-3.207,93.6961,2018-01-24,96.0935,"Jan 24, 18",93.2294,95.1699,3283359,3283359,94.255
12,-2.8297,-0.001512023111097,-3.02,90.8663,2018-01-25,94.6688,"Jan 25, 18",90.6403,94.6295,2724406,2724406,92.0527
13,4.3527000000000005,0.046317795171415,4.79,95.219,2018-01-26,95.3762,"Jan 26, 18",91.8489,92.2812,3252153,3252153,94.3896
14,-0.029476,0.045993633239894006,-0.031,95.1895,2018-01-29,95.5924,"Jan 29, 18",93.7108,94.4625,1958700,1958700,94.7063
15,-1.857,0.025587914364109003,-1.951,93.3325,2018-01-30,94.826,"Jan 30, 18",93.2343,94.6688,2045575,2045575,93.7956
16,0.225987,0.028071324415766003,0.242,93.5585,2018-01-31,94.5312,"Jan 31, 18",92.8707,94.1186,1943995,1943995,93.5271
17,-0.6681349999999999,0.020729880807306002,-0.714,92.8904,2018-02-01,94.2168,"Feb 1, 18",92.472,93.2539,1932510,1932510,93.3165
18,-1.2085,0.007449131300966001,-1.301,91.6818,2018-02-02,93.2834,"Feb 2, 18",91.6131,92.3598,1945337,1945337,92.2234
19,-3.7435,-0.033686468382124,-4.083,87.9383,2018-02-05,92.4089,"Feb 5, 18",87.9088,91.4755,3524140,3524140,89.7822
20,2.3778,-0.007557917847476001,2.7039999999999997,90.3161,2018-02-06,90.3161,"Feb 6, 18",86.3662,86.60210000000001,5478058,5478058,88.5686
21,-8.8528,-0.10483726521610601,-9.802,81.4633,2018-02-07,87.447,"Feb 7, 18",81.3651,86.0223,13625175,13625175,83.7386
22,-2.9575,-0.137335872418654,-3.63,78.5058,2018-02-08,81.7581,"Feb 8, 18",77.8573,81.5517,8116226,8116226,79.0895
23,1.1201,-0.125027608706879,1.427,79.6259,2018-02-09,80.5495,"Feb 9, 18",76.9632,79.3607,5716768,5716768,79.1843
24,1.9455,-0.10364940403653,2.443,81.5714,2018-02-12,82.0528,"Feb 12, 18",80.0877,80.0877,5019924,5019924,81.3306
25,-2.1714,-0.127509919904531,-2.662,79.4,2018-02-13,81.2668,"Feb 13, 18",78.7318,80.6773,4296454,4296454,79.3385
26,1.3756,-0.11239518306358301,1.732,80.7755,2018-02-14,80.9426,"Feb 14, 18",78.6041,78.6434,3687119,3687119,80.032
