,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.7598429999999999,0.0,-0.324,233.5933,2018-01-08,234.7136,"Jan 8, 18",232.9991,233.1939,1869025,1869025,233.6931
1,1.4515,0.006213791234594,0.621,235.0448,2018-01-09,235.5363,"Jan 9, 18",233.155,233.4083,1695114,1695114,234.9116
2,-0.136383,0.005630298471745,-0.058,234.9085,2018-01-10,236.3015,"Jan 10, 18",233.8271,234.7721,1640853,1640853,234.9623
3,1.1398,0.010509291148333,0.485,236.0482,2018-01-11,236.0774,"Jan 11, 18",233.5544,234.5188,1487650,1487650,235.1624
4,2.1042,0.019517254989762003,0.891,238.1524,2018-01-12,239.6429,"Jan 12, 18",236.2333,236.7886,1974312,1974312,238.3566
5,0.263023,0.020643143446323002,0.11,238.4154,2018-01-16,240.8021,"Jan 16, 18",237.5289,238.9609,2411131,2411131,238.8399
6,3.2829,0.034697056807708,1.377,241.6983,2018-01-17,242.1075,"Jan 17, 18",239.448,240.4709,2519000,2519000,241.4013
7,-2.1431,0.025522564217381003,-0.887,239.5552,2018-01-18,242.5653,"Jan 18, 18",238.5908,241.7178,2233505,2233505,239.7585
8,2.2113,0.034989017236367,0.923,241.7665,2018-01-19,242.0783,"Jan 19, 18",239.2532,240.2566,2013467,2013467,240.9991
9,-0.857259,0.031319391438024,-0.355,240.9093,2018-01-22,241.484,"Jan 22, 18",238.7466,240.7437,1660506,1660506,240.343
10,-0.964417,0.027190848367654,-0.4,239.9449,2018-01-23,240.8703,"Jan 23, 18",238.7856,240.5293,1822654,1822654,239.8293
11,1.3443,0.03294572233022,0.56,241.2892,2018-01-24,242.1172,"Jan 24, 18",239.8864,241.5814,3471044,3471044,241.283
12,4.5493,0.052421024061905006,1.885,245.8385,2018-01-25,248.2155,"Jan 25, 18",240.7144,243.5395,3507873,3507873,245.7074
13,6.108,0.078569034300213,2.485,251.9465,2018-01-26,253.057,"Jan 26, 18",246.8419,246.8809,3730628,3730628,251.0121
14,-2.5523,0.067642779137929,-1.013,249.3942,2018-01-29,252.6381,"Jan 29, 18",249.3552,251.8296,2306292,2306292,250.7291
15,-4.3545,0.049001405434145,-1.746,245.0397,2018-01-30,249.0825,"Jan 30, 18",244.9131,248.9948,2412632,2412632,246.0262
16,-1.0131000000000001,0.044664380356799004,-0.41300000000000003,244.0266,2018-01-31,246.5886,"Jan 31, 18",243.1498,244.991,3136406,3136406,244.6279
17,-2.4938000000000002,0.033988132365097005,-1.022,241.5327,2018-02-01,243.6272,"Feb 1, 18",239.8177,241.0456,2665501,2665501,241.7106
18,-2.6984,0.022436431181887,-1.117,238.8343,2018-02-02,242.3218,"Feb 2, 18",238.55180000000001,240.0617,3925658,3925658,240.2436
