,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.54,0.0,0.851,64.03,2018-01-08,64.08,"Jan 8, 18",62.79,63.06,1479307,1479307,63.7332
1,1.45,0.022645634858660002,2.265,65.48,2018-01-09,65.59,"Jan 9, 18",63.98,64.31,3473300,3473300,64.9235
2,-1.8900000000000001,-0.006871778853662001,-2.886,63.59,2018-01-10,66.1612,"Jan 10, 18",63.29,65.68,2713600,2713600,63.8277
3,0.37,-0.0010932375449,0.582,63.96,2018-01-11,64.11,"Jan 11, 18",63.44,63.72,1973954,1973954,63.84
4,-0.19,-0.004060596595345,-0.297,63.77,2018-01-12,64.32,"Jan 12, 18",63.68,64.14,1842706,1842706,63.8762
5,0.79,0.00827736998282,1.239,64.56,2018-01-16,64.76,"Jan 16, 18",63.611,64.08,2857049,2857049,64.4206
6,2.51,0.047477744807121004,3.888,67.07,2018-01-17,67.24,"Jan 17, 18",65.05,65.34,3906064,3906064,66.6966
7,-0.6000000000000001,0.0381071372794,-0.895,66.47,2018-01-18,67.22,"Jan 18, 18",65.69,67.01,1762518,1762518,66.2877
8,0.39,0.044198032172419,0.587,66.86,2018-01-19,67.34,"Jan 19, 18",66.53,66.63,2501578,2501578,66.8333
9,0.91,0.058410120256129,1.361,67.77,2018-01-22,67.8,"Jan 22, 18",66.75,66.84,1823960,1823960,67.5578
10,0.68,0.06903014212088,1.003,68.45,2018-01-23,68.63,"Jan 23, 18",67.38,67.73,2499503,2499503,68.3287
11,-0.17,0.06637513665469301,-0.248,68.28,2018-01-24,68.77,"Jan 24, 18",68.14,68.68,2138892,2138892,68.4113
12,-0.48,0.058878650632515,-0.7030000000000001,67.8,2018-01-25,68.67,"Jan 25, 18",67.65,68.55,2672474,2672474,68.0595
13,1.11,0.0762142745588,1.637,68.91,2018-01-26,69.0,"Jan 26, 18",67.69,67.84,1758362,1758362,68.6801
14,-0.62,0.066531313446821,-0.9,68.29,2018-01-29,70.215,"Jan 29, 18",67.56,69.6,3091849,3091849,68.3815
15,-0.39,0.06044041855380201,-0.5710000000000001,67.9,2018-01-30,69.01,"Jan 30, 18",67.79,68.25,2429019,2429019,68.1688
16,0.33,0.065594252694049,0.486,68.23,2018-01-31,68.58,"Jan 31, 18",67.55,67.64,2504603,2504603,68.1463
17,-0.30000000000000004,0.06090894893018901,-0.44,67.93,2018-02-01,68.44,"Feb 1, 18",67.06,67.97,1910081,1910081,67.8897
18,-1.3,0.040605965953459,-1.9140000000000001,66.63,2018-02-02,67.86,"Feb 2, 18",66.58,67.66,3118313,3118313,67.0298
19,-2.7800000000000002,-0.0028111822583160003,-4.172,63.85,2018-02-05,66.86,"Feb 5, 18",63.85,66.58,3339233,3339233,65.364
20,0.36,0.0028111822583160003,0.5640000000000001,64.21,2018-02-06,64.32,"Feb 6, 18",61.15,63.1,3448613,3448613,63.4822
21,0.34,0.008121193190691,0.53,64.55,2018-02-07,65.11,"Feb 7, 18",63.58,63.73,2931090,2931090,64.6011
22,-2.56,-0.031860065594252,-3.966,61.99,2018-02-08,64.62,"Feb 8, 18",61.94,64.39,2955131,2955131,62.9592
23,0.9,-0.017804154302670003,1.452,62.89,2018-02-09,63.42,"Feb 9, 18",61.18,62.28,2679822,2679822,62.2354
24,1.19,0.0007808839606430001,1.892,64.08,2018-02-12,64.48,"Feb 12, 18",63.0,63.15,2051507,2051507,63.979
25,-0.6900000000000001,-0.009995314696236001,-1.077,63.39,2018-02-13,63.77,"Feb 13, 18",62.87,63.61,2018293,2018293,63.3618
26,0.51,-0.0020302982976730002,0.805,63.9,2018-02-14,64.0,"Feb 14, 18",62.41,62.84,1733734,1733734,63.5206
27,1.71,0.024675933156332003,2.676,65.61,2018-02-15,65.65,"Feb 15, 18",63.8,64.09,1711496,1711496,64.9327
28,-0.13,0.022645634858660002,-0.198,65.48,2018-02-16,66.43,"Feb 16, 18",65.1055,65.97,1567948,1567948,65.6463
