,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.07912899999999999,0.0,0.447,17.7742,2018-01-08,17.7841,"Jan 8, 18",17.4577,17.6753,7096781,7096781,17.6599
1,0.07912899999999999,0.004450270616961001,0.445,17.8533,2018-01-09,17.9325,"Jan 9, 18",17.6605,17.8138,12120455,12120455,17.8104
2,-0.148366,-0.0038932835233090003,-0.8310000000000001,17.705,2018-01-10,17.9522,"Jan 10, 18",17.6555,17.8929,7921869,7921869,17.7908
3,0.692373,0.035056430106558005,3.911,18.3973,2018-01-11,18.6051,"Jan 11, 18",17.7445,17.8039,13189720,13189720,18.3655
4,0.217602,0.047298893902397006,1.183,18.6149,2018-01-12,18.7499,"Jan 12, 18",18.3677,18.4765,10312221,10312221,18.5755
5,-0.5736800000000001,0.015027399264101002,-3.082,18.0413,2018-01-16,18.704,"Jan 16, 18",18.0246,18.6842,13872546,13872546,18.3321
6,0.5934619999999999,0.048412868089702,3.289,18.6347,2018-01-17,18.8326,"Jan 17, 18",17.8731,18.1501,19818169,19818169,18.4277
7,-0.148365,0.040069313949432,-0.796,18.4864,2018-01-18,18.7139,"Jan 18, 18",18.2589,18.5556,10145137,10145137,18.5465
8,-0.108801,0.033948082051512,-0.589,18.3776,2018-01-19,18.3875,"Jan 19, 18",18.061,18.338,7614689,7614689,18.288
9,0.692373,0.07289779568138001,3.767,19.0699,2018-01-22,19.0699,"Jan 22, 18",18.4072,18.4468,13343213,13343213,18.8442
10,-0.059347,0.069561499251724,-0.311,19.0106,2018-01-23,19.3073,"Jan 23, 18",18.7139,19.1293,11965002,11965002,18.961100000000002
11,0.059347,0.07289779568138001,0.312,19.0699,2018-01-24,19.2678,"Jan 24, 18",18.8029,19.1293,11367172,11367172,19.017
12,-0.593463,0.039512326855779004,-3.112,18.4765,2018-01-25,19.2381,"Jan 25, 18",18.4468,19.2282,9251595,9251595,18.7485
13,0.15825599999999998,0.048412868089702,0.857,18.6347,2018-01-26,18.8326,"Jan 26, 18",18.2589,18.4468,8947447,8947447,18.6656
14,-0.217602,0.036170404293864006,-1.168,18.4171,2018-01-29,18.8622,"Jan 29, 18",18.3083,18.427,7613634,7613634,18.5375
15,-0.553898,0.005007257710614,-3.008,17.8632,2018-01-30,18.2885,"Jan 30, 18",17.517,18.249,12467494,12467494,17.8697
16,0.128583,0.012242463795838002,0.72,17.9918,2018-01-31,18.1006,"Jan 31, 18",17.7742,17.8632,9760274,9760274,17.9599
17,0.23738599999999999,0.025598901778982,1.319,18.2292,2018-02-01,18.3182,"Feb 1, 18",17.9621,18.0512,9494424,9494424,18.1765
18,-0.9000859999999999,-0.025041914685330003,-4.938,17.3291,2018-02-02,18.0314,"Feb 2, 18",17.2303,17.9424,10885077,10885077,17.5722
19,-0.7319359999999999,-0.066219576689808,-4.224,16.5972,2018-02-05,17.1906,"Feb 5, 18",16.429,16.518,15320078,15320078,16.833
20,0.445096,-0.041177662004478005,2.682,17.0423,2018-02-06,17.1379,"Feb 6, 18",15.9641,16.1323,16059039,16059039,16.7359
