,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.177803,0.0,0.135,131.5837,2018-01-08,132.2357,"Jan 8, 18",131.1985,131.396,217256,217256,131.6766
1,0.879134,0.006680918685217,0.668,132.4628,2018-01-09,132.69,"Jan 9, 18",131.2676,131.9492,319609,319609,132.2224
2,-0.345727,0.004053693580587,-0.261,132.1171,2018-01-10,132.5616,"Jan 10, 18",131.2676,132.5616,241968,241968,131.9441
3,0.9976689999999999,0.011635939709857001,0.755,133.1148,2018-01-11,133.584,"Jan 11, 18",132.127,132.3838,480799,480799,133.1273
4,1.1162,0.02011875331063,0.839,134.231,2018-01-12,135.2583,"Jan 12, 18",133.4111,133.668,461287,461287,134.3854
5,-1.541,0.008407576318343001,-1.148,132.69,2018-01-16,135.1003,"Jan 16, 18",132.5517,134.0828,265671,265671,133.4202
6,1.4521,0.019443137713865,1.094,134.1421,2018-01-17,135.12,"Jan 17, 18",133.4704,133.4704,418822,418822,134.3878
7,1.0075,0.027099861153015003,0.751,135.1496,2018-01-18,136.0238,"Jan 18, 18",133.668,134.4187,331605,331605,135.0721
8,1.4125,0.037835233391369,1.045,136.5622,2018-01-19,136.6708,"Jan 19, 18",135.5448,135.6633,216384,216384,136.3254
9,1.0075,0.045491956830519,0.738,137.5697,2018-01-22,137.6142,"Jan 22, 18",135.6743,136.5819,231989,231989,137.1049
10,0.819867,0.05172297176625901,0.596,138.3896,2018-01-23,138.6514,"Jan 23, 18",136.335,137.7278,221559,221559,138.0002
11,-2.0052,0.03648400219784,-1.449,136.3844,2018-01-24,139.2786,"Jan 24, 18",136.3251,138.844,365507,365507,137.2878
12,-0.20743699999999998,0.034907059157023,-0.152,136.1769,2018-01-25,137.3524,"Jan 25, 18",135.5151,137.3524,470043,470043,136.2823
13,2.6769,0.05525152431494101,1.966,138.8539,2018-01-26,138.9526,"Jan 26, 18",135.4954,136.8091,351470,351470,138.2145
14,-2.4892,0.036333527632981005,-1.7930000000000001,136.3646,2018-01-29,140.217,"Jan 29, 18",136.3152,138.439,413429,413429,137.6619
15,0.246947,0.038210659830967005,0.181,136.6116,2018-01-30,137.7969,"Jan 30, 18",133.8655,135.3176,538898,538898,136.485
16,0.9186479999999999,0.045191767673351,0.672,137.5302,2018-01-31,138.113,"Jan 31, 18",135.6139,137.1845,747645,747645,136.8554
