,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.9233429999999999,0.0,1.023,91.1751,2018-01-08,91.2046,"Jan 8, 18",89.9767,90.0553,727677,727677,90.9637
1,-0.687595,-0.007541532721104,-0.754,90.4875,2018-01-09,91.8234,"Jan 9, 18",90.3009,91.3519,814301,814301,90.8165
2,0.255393,-0.004740329322369,0.28200000000000003,90.7429,2018-01-10,91.0671,"Jan 10, 18",90.0946,90.3304,537073,537073,90.6567
3,1.1493,0.007865085971937,1.267,91.8922,2018-01-11,91.9708,"Jan 11, 18",90.5072,90.6938,812028,812028,91.6205
4,2.9665,0.040401381517541,3.228,94.8587,2018-01-12,95.4579,"Jan 12, 18",92.9727,93.2968,1874908,1874908,94.7665
5,-0.697418,0.032752363309719,-0.735,94.1613,2018-01-16,95.3989,"Jan 16, 18",93.5915,95.3793,1192833,1192833,94.1276
6,1.3948,0.048050399725363006,1.4809999999999999,95.5561,2018-01-17,95.9686,"Jan 17, 18",94.6426,94.7408,708350,708350,95.4806
7,0.216102,0.050420564386548,0.226,95.7722,2018-01-18,95.9195,"Jan 18, 18",95.1239,95.6838,1061324,1061324,95.6586
8,0.294683,0.053652806522833,0.308,96.0669,2018-01-19,96.5285,"Jan 19, 18",95.7231,96.2437,1070388,1070388,96.1023
9,-0.461671,0.048588923949630006,-0.481,95.6052,2018-01-22,96.5285,"Jan 22, 18",95.3007,96.4794,976178,976178,95.6337
10,-0.5598989999999999,0.042447992927893,-0.586,95.0453,2018-01-23,95.6052,"Jan 23, 18",94.6622,95.6052,808660,808660,95.0702
11,-0.9036959999999999,0.032536295545603,-0.9510000000000001,94.1416,2018-01-24,95.5364,"Jan 24, 18",94.063,95.4284,837170,837170,94.5918
12,1.8074,0.052359690310183005,1.92,95.949,2018-01-25,96.45,"Jan 25, 18",94.672,95.0257,1117577,1117577,95.7256
13,1.2966,0.066580678277292,1.351,97.2456,2018-01-26,97.2456,"Jan 26, 18",96.1946,96.3714,976306,976306,97.0193
