,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.391995,0.0,-0.231,168.9695,2018-01-08,169.4595,"Jan 8, 18",168.2933,169.1851,488878,488878,168.9029
1,2.4402,0.014441067766667,1.444,171.4096,2018-01-09,173.0364,"Jan 9, 18",169.7437,169.9201,539114,539114,171.8814
2,1.8032,0.025112816218311,1.052,173.2128,2018-01-10,174.8494,"Jan 10, 18",171.4194,171.7428,549918,549918,173.488
3,1.2152,0.032304646696593005,0.7020000000000001,174.428,2018-01-11,174.6338,"Jan 11, 18",172.517,173.7812,342002,342002,173.8667
4,0.519393,0.035378574239729,0.298,174.9474,2018-01-12,175.898,"Jan 12, 18",174.0556,175.1042,439557,439557,174.9805
5,-0.7251900000000001,0.031086675405916003,-0.41500000000000004,174.2222,2018-01-16,176.2214,"Jan 16, 18",173.301,175.5942,607856,607856,174.7282
6,1.4014,0.039380479909096,0.804,175.6236,2018-01-17,176.0156,"Jan 17, 18",172.0858,174.9278,824808,824808,174.9924
7,6.8011,0.079630939311532,3.873,182.4247,2018-01-18,184.9237,"Jan 18, 18",175.6138,176.3978,1397247,1397247,182.5453
8,2.5774,0.09488457976143601,1.413,185.0021,2018-01-19,185.0707,"Jan 19, 18",182.9637,183.6791,749565,749565,184.3198
9,-0.019601,0.094768582495657,-0.011,184.9825,2018-01-22,185.1981,"Jan 22, 18",183.0421,184.2377,649410,649410,184.4213
10,0.06860000000000001,0.09517457292588201,0.037,185.0511,2018-01-23,186.2957,"Jan 23, 18",183.5125,183.6007,991937,991937,184.9414
11,0.617391,0.098828486797913,0.334,185.6685,2018-01-24,186.2663,"Jan 24, 18",184.3553,185.8253,637885,637885,185.6074
12,-1.764,0.088388732877827,-0.9500000000000001,183.9045,2018-01-25,186.2565,"Jan 25, 18",183.5125,186.2565,597532,597532,184.5029
13,1.6758000000000002,0.098306499101908,0.911,185.5803,2018-01-26,185.6587,"Jan 26, 18",183.3263,184.5317,434404,434404,184.9488
