,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-4.17,0.0,-0.654,633.18,2018-01-08,639.1,"Jan 8, 18",632.12,635.93,137720,137720,635.7793
1,16.81,0.026548532802678004,2.6550000000000002,649.99,2018-01-09,655.0,"Jan 9, 18",636.04,636.04,261092,261092,648.4392
2,-3.8,0.020547079819324,-0.585,646.19,2018-01-10,648.48,"Jan 10, 18",638.15,648.48,146195,146195,642.5774
3,-6.93,0.009602324773366,-1.072,639.26,2018-01-11,648.38,"Jan 11, 18",635.8,647.37,161767,161767,638.1587
4,11.34,0.02751192393948,1.774,650.6,2018-01-12,652.11,"Jan 12, 18",638.12,638.61,149619,149619,647.5265
5,-1.18,0.025648314855175002,-0.181,649.42,2018-01-16,660.21,"Jan 16, 18",648.89,653.3,129186,129186,652.5643
6,7.09,0.036845762658327,1.092,656.51,2018-01-17,661.21,"Jan 17, 18",651.76,653.12,148277,148277,656.3303
7,-2.76,0.032486812596734,-0.42,653.75,2018-01-18,660.16,"Jan 18, 18",650.52,655.8,101619,101619,653.6646
8,12.94,0.052923339334786004,1.979,666.69,2018-01-19,667.53,"Jan 19, 18",656.94,656.94,188638,188638,662.8118
9,4.19,0.05954073091380001,0.628,670.88,2018-01-22,671.77,"Jan 22, 18",657.935,665.81,146087,146087,666.8103
10,-3.73,0.053649831011718004,-0.556,667.15,2018-01-23,674.15,"Jan 23, 18",665.76,671.07,187544,187544,669.0609
11,5.54,0.062399317729555,0.8300000000000001,672.69,2018-01-24,676.65,"Jan 24, 18",664.595,667.0,152954,152954,672.1516
12,5.36,0.07086452509554901,0.797,678.05,2018-01-25,680.31,"Jan 25, 18",674.81,674.93,225730,225730,676.9103
13,14.25,0.093369973783126,2.102,692.3,2018-01-26,693.18,"Jan 26, 18",676.46,679.08,180696,180696,685.9305
14,-6.51,0.083088537224801,-0.9400000000000001,685.79,2018-01-29,697.26,"Jan 29, 18",685.3375,690.39,129740,129740,689.4789
15,-8.65,0.06942733503900901,-1.2610000000000001,677.14,2018-01-30,684.96,"Jan 30, 18",669.88,680.34,115190,115190,678.7449
16,-1.88,0.06645819514198101,-0.278,675.26,2018-01-31,682.57,"Jan 31, 18",671.44,679.73,125767,125767,677.119
17,8.85,0.080435263274266,1.311,684.11,2018-02-01,685.0,"Feb 1, 18",671.89,676.0,150920,150920,680.3381
18,-16.95,0.053665624309043,-2.478,667.16,2018-02-02,680.97,"Feb 2, 18",666.175,680.97,176030,176030,670.4289
19,-31.66,0.0036640449793100003,-4.745,635.5,2018-02-05,668.4195,"Feb 5, 18",635.16,666.34,202790,202790,650.0312
20,1.78,0.006475251903092001,0.28,637.28,2018-02-06,641.61,"Feb 6, 18",618.68,623.2,209970,209970,632.941
21,4.68,0.013866515051012001,0.734,641.96,2018-02-07,649.71,"Feb 7, 18",636.71,636.71,166025,166025,644.3203
22,-40.96,-0.050822830790612006,-6.38,601.0,2018-02-08,646.44,"Feb 8, 18",601.0,644.04,261913,261913,630.1772
23,-0.63,-0.051817808522063004,-0.105,600.37,2018-02-09,637.99,"Feb 9, 18",580.43,614.06,413202,413202,605.8342
24,13.5,-0.030496857133832003,2.249,613.87,2018-02-12,619.22,"Feb 12, 18",602.13,605.54,167981,167981,611.1559
25,-0.18,-0.030781136485675,-0.029,613.69,2018-02-13,617.35,"Feb 13, 18",603.0,611.62,139099,139099,612.6394
26,10.98,-0.013440096023247002,1.7890000000000001,624.67,2018-02-14,625.0,"Feb 14, 18",608.17,611.51,177571,177571,618.5032
27,7.3,-0.0019109889762780002,1.169,631.97,2018-02-15,632.69,"Feb 15, 18",619.35,625.81,141065,141065,628.1602
28,2.4,0.0018794023816290002,0.38,634.37,2018-02-16,639.95,"Feb 16, 18",628.94,628.94,101997,101997,635.3816
29,-10.15,-0.014150794402855,-1.6,624.22,2018-02-20,634.88,"Feb 20, 18",620.26,632.81,122694,122694,626.3058
30,4.39,-0.007217536877349001,0.7030000000000001,628.61,2018-02-21,646.97,"Feb 21, 18",624.66,624.66,158273,158273,636.1886
31,-3.64,-0.012966297103509002,-0.579,624.97,2018-02-22,639.57,"Feb 22, 18",622.75,631.99,129896,129896,628.4855
32,11.13,0.004611642818787,1.7810000000000001,636.1,2018-02-23,636.7,"Feb 23, 18",625.44,628.94,81591,81591,633.2808
33,0.53,0.005448687576992001,0.083,636.63,2018-02-26,639.69,"Feb 26, 18",629.4,636.94,75704,75704,636.525
34,-11.06,-0.012018699264032,-1.737,625.57,2018-02-27,636.76,"Feb 27, 18",624.81,635.08,125048,125048,628.5793
35,-9.35,-0.026785432262547003,-1.495,616.22,2018-02-28,632.22,"Feb 28, 18",616.21,628.41,163589,163589,622.2837
36,-20.05,-0.058450993398401006,-3.254,596.17,2018-03-01,618.1,"Mar 1, 18",590.58,618.1,240847,240847,601.2289
37,-2.91,-0.06304684291986401,-0.488,593.26,2018-03-02,594.62,"Mar 2, 18",585.33,589.6,273588,273588,590.4324
38,6.69,-0.052481127009696,1.1280000000000001,599.95,2018-03-05,602.69,"Mar 5, 18",585.5887,592.16,239665,239665,596.9324
39,5.34,-0.044047506238352005,0.89,605.29,2018-03-06,606.54,"Mar 6, 18",596.185,601.42,192730,192730,602.3857
40,6.25,-0.034176695410467,1.033,611.54,2018-03-07,612.92,"Mar 7, 18",599.3,599.3,175793,175793,607.7292
41,-4.66,-0.041536371963738,-0.762,606.88,2018-03-08,614.22,"Mar 8, 18",601.62,614.22,179744,179744,606.174
